Chemical,Dose(mg/L),Animal,Group,Replicate,Delta_Fluorescence
1-Decanol,1,1,A,1,4.814499999999997
1-Decanol,0.1,2,A,1,5.176000000000004
1-Decanol,0.01,3,A,1,1.6899999999999995
1-Decanol,0.001,4,A,1,12.841500000000005
1-Decanol,1e-4,5,A,1,1.3834999999999997
1-Decanol,0,6,A,1,4.5109999999999975
1-Decanol,1,7,A,2,3.6260000000000066
1-Decanol,0.1,8,A,2,6.066000000000004
1-Decanol,0.01,9,A,2,-3.187000000000003
1-Decanol,0.001,10,A,2,10.775000000000007
1-Decanol,1e-4,11,A,2,9.313000000000004
1-Decanol,0,12,A,2,5.084000000000005
1-Decanol,1,13,A,3,3.7669999999999977
1-Decanol,0.1,14,A,3,5.992000000000006
1-Decanol,0.01,15,A,3,1.6704999999999988
1-Decanol,0.001,16,A,3,10.627000000000011
1-Decanol,1e-4,17,A,3,13.403499999999996
1-Decanol,0,18,A,3,12.076500000000005
1-Decanol,1,19,B,1,0.4670000000000005
1-Decanol,0.1,20,B,1,10.2645
1-Decanol,0.01,21,B,1,2.2819999999999983
1-Decanol,0.001,22,B,1,11.470999999999998
1-Decanol,1e-4,23,B,1,-2.666000000000002
1-Decanol,0,24,B,1,13.399500000000005
1-Decanol,1,25,B,2,10.541999999999996
1-Decanol,0.1,26,B,2,22.749000000000002
1-Decanol,0.01,27,B,2,7.016999999999998
1-Decanol,0.001,28,B,2,9.254
1-Decanol,1e-4,29,B,2,11.76350000000001
1-Decanol,0,30,B,2,7.617999999999997
1-Decanol,1,31,B,3,5.022
1-Decanol,0.1,32,B,3,9.495000000000006
1-Decanol,0.01,33,B,3,6.570000000000002
1-Decanol,0.001,34,B,3,7.557500000000006
1-Decanol,1e-4,35,B,3,5.786000000000003
1-Decanol,0,36,B,3,8.44
1-Decanol,1,37,C,1,3.9230000000000036
1-Decanol,0.1,38,C,1,12.3315
1-Decanol,0.01,39,C,1,13.403500000000003
1-Decanol,0.001,40,C,1,5.497999999999999
1-Decanol,1e-4,41,C,1,8.059499999999995
1-Decanol,0,42,C,1,7.002000000000011
1-Decanol,1,43,C,2,1.4529999999999976
1-Decanol,0.1,44,C,2,6.098000000000001
1-Decanol,0.01,45,C,2,6.603499999999999
1-Decanol,0.001,46,C,2,7.340000000000005
1-Decanol,1e-4,47,C,2,8.286000000000003
1-Decanol,0,48,C,2,4.620000000000006
1-Decanol,1,49,C,3,2.582499999999998
1-Decanol,0.1,50,C,3,3.616999999999999
1-Decanol,0.01,51,C,3,4.925500000000001
1-Decanol,0.001,52,C,3,0.8245000000000022
1-Decanol,1e-4,53,C,3,3.4694999999999983
1-Decanol,0,54,C,3,1.3900000000000023
1-Octanol,10,1,A,1,0.8308749999999998
1-Octanol,1,2,A,1,5.277875000000001
1-Octanol,0.1,3,A,1,-0.11512499999999815
1-Octanol,0.01,4,A,1,3.1878750000000027
1-Octanol,0.001,5,A,1,4.682375000000001
1-Octanol,0,6,A,1,-0.30812499999999776
1-Octanol,10,7,A,2,2.5958750000000004
1-Octanol,1,8,A,2,0.5568749999999989
1-Octanol,0.1,9,A,2,0.018374999999999808
1-Octanol,0.01,10,A,2,2.5893750000000013
1-Octanol,0.001,11,A,2,3.4518749999999985
1-Octanol,0,12,A,2,1.3258749999999973
1-Octanol,10,13,A,3,3.3853750000000007
1-Octanol,1,14,A,3,25.752375
1-Octanol,0.1,15,A,3,3.0718749999999995
1-Octanol,0.01,16,A,3,0.9293749999999976
1-Octanol,0.001,17,A,3,3.319875000000004
1-Octanol,0,18,A,3,34.280375
1-Octanol,10,19,B,1,3.853875000000003
1-Octanol,1,20,B,1,3.113875000000001
1-Octanol,0.1,21,B,1,12.267875
1-Octanol,0.01,22,B,1,0.6548750000000014
1-Octanol,0.001,23,B,1,13.131374999999998
1-Octanol,0,24,B,1,7.896874999999999
1-Octanol,10,25,B,2,3.4553750000000027
1-Octanol,1,26,B,2,5.572374999999998
1-Octanol,0.1,27,B,2,5.645875000000001
1-Octanol,0.01,28,B,2,2.3753749999999973
1-Octanol,0.001,29,B,2,1.2383750000000022
1-Octanol,0,30,B,2,3.066874999999997
1-Octanol,10,31,B,3,3.1703749999999973
1-Octanol,1,32,B,3,4.922375
1-Octanol,0.1,33,B,3,3.5083749999999982
1-Octanol,0.01,34,B,3,0.7133750000000001
1-Octanol,0.001,35,B,3,2.152375000000002
1-Octanol,0,36,B,3,3.8573749999999984
1-Octanol,10,37,C,1,-0.9541250000000003
1-Octanol,1,38,C,1,6.714874999999997
1-Octanol,0.1,39,C,1,3.1598750000000004
1-Octanol,0.01,40,C,1,2.963874999999999
1-Octanol,0.001,41,C,1,9.108375000000002
1-Octanol,0,42,C,1,-0.29012500000000063
1-Octanol,10,43,C,2,4.295874999999996
1-Octanol,1,44,C,2,3.3933750000000016
1-Octanol,0.1,45,C,2,2.144874999999998
1-Octanol,0.01,46,C,2,8.586375
1-Octanol,0.001,47,C,2,5.128875000000002
1-Octanol,0,48,C,2,0.029874999999997875
1-Octanol,10,49,C,3,6.277875000000001
1-Octanol,1,50,C,3,3.4128749999999988
1-Octanol,0.1,51,C,3,0.26437500000000025
1-Octanol,0.01,52,C,3,1.0143750000000002
1-Octanol,0.001,53,C,3,0.564375000000001
1-Octanol,0,54,C,3,1.3723750000000008
17-beta-estradiol,0.1,1,A,1,46.797375
17-beta-estradiol,0.01,2,A,1,6.266374999999993
17-beta-estradiol,0.001,3,A,1,25.888375
17-beta-estradiol,1e-4,4,A,1,9.031874999999996
17-beta-estradiol,1e-5,5,A,1,4.980375000000006
17-beta-estradiol,0,6,A,1,40.27337499999999
17-beta-estradiol,0.1,7,A,2,NA
17-beta-estradiol,0.01,8,A,2,7.546375000000001
17-beta-estradiol,0.001,9,A,2,15.804874999999992
17-beta-estradiol,1e-4,10,A,2,10.384875000000005
17-beta-estradiol,1e-5,11,A,2,4.361374999999999
17-beta-estradiol,0,12,A,2,24.463375000000003
17-beta-estradiol,0.1,13,A,3,19.555874999999997
17-beta-estradiol,0.01,14,A,3,16.468875
17-beta-estradiol,0.001,15,A,3,21.833375
17-beta-estradiol,1e-4,16,A,3,8.522875000000003
17-beta-estradiol,1e-5,17,A,3,2.8093750000000064
17-beta-estradiol,0,18,A,3,9.043375000000008
17-beta-estradiol,0.1,19,B,1,8.160374999999998
17-beta-estradiol,0.01,20,B,1,10.351375
17-beta-estradiol,0.001,21,B,1,4.8833750000000045
17-beta-estradiol,1e-4,22,B,1,13.192874999999997
17-beta-estradiol,1e-5,23,B,1,3.9943750000000016
17-beta-estradiol,0,24,B,1,13.000375000000002
17-beta-estradiol,0.1,25,B,2,14.745375
17-beta-estradiol,0.01,26,B,2,12.113375000000001
17-beta-estradiol,0.001,27,B,2,7.455375
17-beta-estradiol,1e-4,28,B,2,14.076874999999998
17-beta-estradiol,1e-5,29,B,2,8.897874999999996
17-beta-estradiol,0,30,B,2,9.032875
17-beta-estradiol,0.1,31,B,3,45.58187500000001
17-beta-estradiol,0.01,32,B,3,12.188875000000007
17-beta-estradiol,0.001,33,B,3,11.170374999999996
17-beta-estradiol,1e-4,34,B,3,11.967875000000003
17-beta-estradiol,1e-5,35,B,3,8.550875000000001
17-beta-estradiol,0,36,B,3,8.186875000000004
17-beta-estradiol,0.1,37,C,1,12.324875000000002
17-beta-estradiol,0.01,38,C,1,16.736875
17-beta-estradiol,0.001,39,C,1,11.581875
17-beta-estradiol,1e-4,40,C,1,7.9928750000000015
17-beta-estradiol,1e-5,41,C,1,13.366875000000004
17-beta-estradiol,0,42,C,1,11.567374999999995
17-beta-estradiol,0.1,43,C,2,7.743874999999999
17-beta-estradiol,0.01,44,C,2,26.476875000000003
17-beta-estradiol,0.001,45,C,2,67.059375
17-beta-estradiol,1e-4,46,C,2,40.22387500000001
17-beta-estradiol,1e-5,47,C,2,36.971875
17-beta-estradiol,0,48,C,2,12.517875
17-beta-estradiol,0.1,49,C,3,18.375875000000004
17-beta-estradiol,0.01,50,C,3,16.092875000000003
17-beta-estradiol,0.001,51,C,3,11.885875000000002
17-beta-estradiol,1e-4,52,C,3,11.539874999999999
17-beta-estradiol,1e-5,53,C,3,11.063375000000004
17-beta-estradiol,0,54,C,3,22.947874999999993
"2,4-DMP",1,1,A,1,1.9376250000000006
"2,4-DMP",0.1,2,A,1,1.6586250000000007
"2,4-DMP",0.01,3,A,1,-2.3163750000000007
"2,4-DMP",0.001,4,A,1,-0.1663749999999986
"2,4-DMP",1e-4,5,A,1,1.708124999999999
"2,4-DMP",0,6,A,1,2.3821249999999985
"2,4-DMP",1,7,A,2,-2.0993749999999984
"2,4-DMP",0.1,8,A,2,2.0611250000000005
"2,4-DMP",0.01,9,A,2,2.3716250000000016
"2,4-DMP",0.001,10,A,2,5.027125000000002
"2,4-DMP",1e-4,11,A,2,8.180625000000003
"2,4-DMP",0,12,A,2,4.023625000000003
"2,4-DMP",1,13,A,3,3.286125000000002
"2,4-DMP",0.1,14,A,3,3.049125
"2,4-DMP",0.01,15,A,3,3.6541250000000005
"2,4-DMP",0.001,16,A,3,3.0561250000000015
"2,4-DMP",1e-4,17,A,3,5.768125000000001
"2,4-DMP",0,18,A,3,5.795125000000002
"2,4-DMP",1,19,B,1,5.334125
"2,4-DMP",0.1,20,B,1,3.5621250000000018
"2,4-DMP",0.01,21,B,1,5.369125000000004
"2,4-DMP",0.001,22,B,1,4.652125000000002
"2,4-DMP",1e-4,23,B,1,9.247125000000004
"2,4-DMP",0,24,B,1,4.094624999999997
"2,4-DMP",1,25,B,2,6.563625000000002
"2,4-DMP",0.1,26,B,2,3.071125000000002
"2,4-DMP",0.01,27,B,2,3.1616249999999972
"2,4-DMP",0.001,28,B,2,3.720625000000002
"2,4-DMP",1e-4,29,B,2,5.982125
"2,4-DMP",0,30,B,2,3.6606249999999996
"2,4-DMP",1,31,B,3,4.449625000000001
"2,4-DMP",0.1,32,B,3,3.2191249999999982
"2,4-DMP",0.01,33,B,3,2.8426250000000017
"2,4-DMP",0.001,34,B,3,5.184124999999998
"2,4-DMP",1e-4,35,B,3,5.484124999999999
"2,4-DMP",0,36,B,3,6.134125000000001
"2,4-DMP",1,37,C,1,2.9361250000000005
"2,4-DMP",0.1,38,C,1,4.971625000000003
"2,4-DMP",0.01,39,C,1,3.3141250000000007
"2,4-DMP",0.001,40,C,1,10.745124999999998
"2,4-DMP",1e-4,41,C,1,3.571625000000001
"2,4-DMP",0,42,C,1,8.446625000000001
"2,4-DMP",1,43,C,2,5.711125000000003
"2,4-DMP",0.1,44,C,2,2.9141249999999985
"2,4-DMP",0.01,45,C,2,3.769124999999999
"2,4-DMP",0.001,46,C,2,32.173125
"2,4-DMP",1e-4,47,C,2,7.213125000000002
"2,4-DMP",0,48,C,2,6.650125000000003
"2,4-DMP",1,49,C,3,3.6911249999999995
"2,4-DMP",0.1,50,C,3,1.5621250000000018
"2,4-DMP",0.01,51,C,3,3.2211250000000042
"2,4-DMP",0.001,52,C,3,4.648125
"2,4-DMP",1e-4,53,C,3,3.6211249999999993
"2,4-DMP",0,54,C,3,5.236625000000004
"2,4-DNP",10,1,A,1,7.599125
"2,4-DNP",1,2,A,1,4.410624999999999
"2,4-DNP",0.1,3,A,1,8.596125000000004
"2,4-DNP",0.01,4,A,1,4.724624999999999
"2,4-DNP",0.001,5,A,1,8.613625000000003
"2,4-DNP",0,6,A,1,2.8666250000000018
"2,4-DNP",10,7,A,2,10.611125000000001
"2,4-DNP",1,8,A,2,7.006624999999999
"2,4-DNP",0.1,9,A,2,10.894624999999998
"2,4-DNP",0.01,10,A,2,7.3216249999999965
"2,4-DNP",0.001,11,A,2,9.091125000000002
"2,4-DNP",0,12,A,2,9.578125
"2,4-DNP",10,13,A,3,9.835125000000001
"2,4-DNP",1,14,A,3,12.381625
"2,4-DNP",0.1,15,A,3,7.794125
"2,4-DNP",0.01,16,A,3,22.131625000000007
"2,4-DNP",0.001,17,A,3,9.566625000000009
"2,4-DNP",0,18,A,3,8.290625000000006
"2,4-DNP",10,19,B,1,5.356625
"2,4-DNP",1,20,B,1,9.617625
"2,4-DNP",0.1,21,B,1,8.970125000000003
"2,4-DNP",0.01,22,B,1,11.855625000000003
"2,4-DNP",0.001,23,B,1,3.2526249999999974
"2,4-DNP",0,24,B,1,8.442125000000004
"2,4-DNP",10,25,B,2,5.886625000000005
"2,4-DNP",1,26,B,2,6.555625000000005
"2,4-DNP",0.1,27,B,2,5.896625000000003
"2,4-DNP",0.01,28,B,2,16.557125000000003
"2,4-DNP",0.001,29,B,2,8.547125000000001
"2,4-DNP",0,30,B,2,5.137624999999999
"2,4-DNP",10,31,B,3,1.946625
"2,4-DNP",1,32,B,3,4.509125
"2,4-DNP",0.1,33,B,3,4.4956249999999995
"2,4-DNP",0.01,34,B,3,12.372625
"2,4-DNP",0.001,35,B,3,5.4741250000000035
"2,4-DNP",0,36,B,3,29.836125000000003
"2,4-DNP",10,37,C,1,6.862125000000005
"2,4-DNP",1,38,C,1,4.9501250000000026
"2,4-DNP",0.1,39,C,1,10.321625000000001
"2,4-DNP",0.01,40,C,1,7.420125000000001
"2,4-DNP",0.001,41,C,1,7.910625000000002
"2,4-DNP",0,42,C,1,6.677624999999998
"2,4-DNP",10,43,C,2,6.040624999999998
"2,4-DNP",1,44,C,2,4.023124999999999
"2,4-DNP",0.1,45,C,2,4.160125000000003
"2,4-DNP",0.01,46,C,2,7.074125000000001
"2,4-DNP",0.001,47,C,2,5.293625000000001
"2,4-DNP",0,48,C,2,5.859625000000004
"2,4-DNP",10,49,C,3,1.4981250000000008
"2,4-DNP",1,50,C,3,1.1586249999999998
"2,4-DNP",0.1,51,C,3,3.1126250000000004
"2,4-DNP",0.01,52,C,3,3.9666249999999996
"2,4-DNP",0.001,53,C,3,3.8021249999999993
"2,4-DNP",0,54,C,3,7.358625000000003
"3,4-DCA",1,1,A,1,-2.2912500000000104
"3,4-DCA",0.1,2,A,1,-3.225250000000008
"3,4-DCA",0.01,3,A,1,3.9497500000000034
"3,4-DCA",0.001,4,A,1,-3.3962500000000073
"3,4-DCA",1e-4,5,A,1,4.606750000000007
"3,4-DCA",0,6,A,1,-5.386750000000005
"3,4-DCA",1,7,A,2,-1.1207500000000064
"3,4-DCA",0.1,8,A,2,9.777249999999997
"3,4-DCA",0.01,9,A,2,5.466749999999985
"3,4-DCA",0.001,10,A,2,6.913249999999993
"3,4-DCA",1e-4,11,A,2,6.082249999999982
"3,4-DCA",0,12,A,2,24.99724999999998
"3,4-DCA",1,13,A,3,-4.0457500000000035
"3,4-DCA",0.1,14,A,3,6.064250000000003
"3,4-DCA",0.01,15,A,3,1.4577499999999919
"3,4-DCA",0.001,16,A,3,15.864749999999995
"3,4-DCA",1e-4,17,A,3,4.473749999999997
"3,4-DCA",0,18,A,3,9.210749999999985
"3,4-DCA",1,19,B,1,-4.53825000000001
"3,4-DCA",0.1,20,B,1,13.364749999999995
"3,4-DCA",0.01,21,B,1,10.710749999999992
"3,4-DCA",0.001,22,B,1,2.925249999999986
"3,4-DCA",1e-4,23,B,1,13.779249999999978
"3,4-DCA",0,24,B,1,10.355249999999993
"3,4-DCA",1,25,B,2,-2.7772500000000075
"3,4-DCA",0.1,26,B,2,11.400250000000002
"3,4-DCA",0.01,27,B,2,3.2267499999999902
"3,4-DCA",0.001,28,B,2,7.003249999999989
"3,4-DCA",1e-4,29,B,2,24.181250000000006
"3,4-DCA",0,30,B,2,8.186249999999996
"3,4-DCA",1,31,B,3,-4.153750000000008
"3,4-DCA",0.1,32,B,3,-1.919750000000013
"3,4-DCA",0.01,33,B,3,4.084249999999985
"3,4-DCA",0.001,34,B,3,53.71924999999999
"3,4-DCA",1e-4,35,B,3,23.91874999999999
"3,4-DCA",0,36,B,3,3.881249999999996
"3,4-DCA",1,37,C,1,-9.578250000000002
"3,4-DCA",0.1,38,C,1,9.402749999999992
"3,4-DCA",0.01,39,C,1,-4.59775000000001
"3,4-DCA",0.001,40,C,1,12.063749999999986
"3,4-DCA",1e-4,41,C,1,8.568249999999994
"3,4-DCA",0,42,C,1,0.8077499999999862
"3,4-DCA",1,43,C,2,-10.070750000000002
"3,4-DCA",0.1,44,C,2,4.149249999999997
"3,4-DCA",0.01,45,C,2,6.4487499999999915
"3,4-DCA",0.001,46,C,2,8.093749999999995
"3,4-DCA",1e-4,47,C,2,-0.24925000000000885
"3,4-DCA",0,48,C,2,4.7412499999999955
"3,4-DCA",1,49,C,3,-7.6052500000000105
"3,4-DCA",0.1,50,C,3,1.630249999999977
"3,4-DCA",0.01,51,C,3,7.441249999999998
"3,4-DCA",0.001,52,C,3,4.024249999999983
"3,4-DCA",1e-4,53,C,3,4.932749999999986
"3,4-DCA",0,54,C,3,6.5767499999999846
4-TOP,0.1,1,A,1,3.0853749999999946
4-TOP,0.01,2,A,1,-0.06362500000000271
4-TOP,0.001,3,A,1,15.746375
4-TOP,1e-4,4,A,1,13.879875000000002
4-TOP,1e-5,5,A,1,10.988374999999998
4-TOP,0,6,A,1,9.598875000000003
4-TOP,0.1,7,A,2,5.9053749999999985
4-TOP,0.01,8,A,2,3.893374999999998
4-TOP,0.001,9,A,2,11.795875000000002
4-TOP,1e-4,10,A,2,15.766874999999999
4-TOP,1e-5,11,A,2,14.938375
4-TOP,0,12,A,2,8.425875000000005
4-TOP,0.1,13,A,3,1.4263749999999993
4-TOP,0.01,14,A,3,4.338875000000001
4-TOP,0.001,15,A,3,21.866875
4-TOP,1e-4,16,A,3,19.208374999999997
4-TOP,1e-5,17,A,3,19.189875
4-TOP,0,18,A,3,13.360875
4-TOP,0.1,19,B,1,1.503375000000001
4-TOP,0.01,20,B,1,9.835875000000001
4-TOP,0.001,21,B,1,75.316875
4-TOP,1e-4,22,B,1,15.356375000000003
4-TOP,1e-5,23,B,1,10.066875000000003
4-TOP,0,24,B,1,27.437375000000003
4-TOP,0.1,25,B,2,6.432375000000007
4-TOP,0.01,26,B,2,15.049375000000005
4-TOP,0.001,27,B,2,16.668375000000005
4-TOP,1e-4,28,B,2,9.627875000000003
4-TOP,1e-5,29,B,2,25.472875000000005
4-TOP,0,30,B,2,15.273874999999997
4-TOP,0.1,31,B,3,5.095874999999999
4-TOP,0.01,32,B,3,24.851875000000007
4-TOP,0.001,33,B,3,16.250875
4-TOP,1e-4,34,B,3,23.142375
4-TOP,1e-5,35,B,3,19.188374999999997
4-TOP,0,36,B,3,15.691875000000003
4-TOP,0.1,37,C,1,4.259375000000005
4-TOP,0.01,38,C,1,27.581875000000007
4-TOP,0.001,39,C,1,14.435375
4-TOP,1e-4,40,C,1,20.883875000000003
4-TOP,1e-5,41,C,1,16.292375
4-TOP,0,42,C,1,22.496875000000003
4-TOP,0.1,43,C,2,67.597875
4-TOP,0.01,44,C,2,10.943875000000002
4-TOP,0.001,45,C,2,9.754875000000002
4-TOP,1e-4,46,C,2,19.188375000000004
4-TOP,1e-5,47,C,2,25.880375000000008
4-TOP,0,48,C,2,17.235375000000005
4-TOP,0.1,49,C,3,10.425874999999998
4-TOP,0.01,50,C,3,16.643375
4-TOP,0.001,51,C,3,5.697375
4-TOP,1e-4,52,C,3,11.866375000000005
4-TOP,1e-5,53,C,3,14.046875
4-TOP,0,54,C,3,15.326875000000008
4-TPP,1,1,A,1,22.511875
4-TPP,0.1,2,A,1,7.1183749999999995
4-TPP,0.01,3,A,1,6.637875
4-TPP,0.001,4,A,1,8.559874999999998
4-TPP,1e-4,5,A,1,6.2548749999999975
4-TPP,0,6,A,1,4.599875
4-TPP,1,7,A,2,7.822375
4-TPP,0.1,8,A,2,10.080375000000004
4-TPP,0.01,9,A,2,8.252874999999996
4-TPP,0.001,10,A,2,5.349874999999996
4-TPP,1e-4,11,A,2,9.301375
4-TPP,0,12,A,2,5.913874999999996
4-TPP,1,13,A,3,24.268875
4-TPP,0.1,14,A,3,6.418374999999997
4-TPP,0.01,15,A,3,7.848874999999995
4-TPP,0.001,16,A,3,4.471875000000003
4-TPP,1e-4,17,A,3,4.8058749999999995
4-TPP,0,18,A,3,9.623375000000003
4-TPP,1,19,B,1,19.392375
4-TPP,0.1,20,B,1,13.314874999999997
4-TPP,0.01,21,B,1,15.961875
4-TPP,0.001,22,B,1,7.254875000000005
4-TPP,1e-4,23,B,1,12.920874999999995
4-TPP,0,24,B,1,11.062375000000003
4-TPP,1,25,B,2,14.302874999999997
4-TPP,0.1,26,B,2,10.059875000000005
4-TPP,0.01,27,B,2,42.928375
