Chemical,Dose(mg/L),Dose,Animal,Group,Baseline_1,Baseline_2,Baseline_Fluorescence,24h_1,24h_2,h24_Fluorescence,Delta_Fluorescence,Baseline_Blank,h24_Blank,Norm_Baseline_Fluorescence,Norm_h24_Fluorescence,Relative_Delta_Fluorescence,Outlier
1-Decanol,1,Dose_1,1,A,50.757,48.869,49.813,53.72,54.291,54.0055,4.815,39.168125,38.546124999999996,10.644874999999999,15.459375000000001,1.4522833758029101,FALSE
1-Decanol,1,Dose_1,2,A,36.288,36.467,36.3775,40.046,38.717,39.3815,3.626,39.168125,38.546124999999996,-2.7906250000000057,0.8353750000000062,-0.2993505039193745,FALSE
1-Decanol,1,Dose_1,3,A,38.207,36.914,37.560500000000005,40.899,40.512,40.7055,3.767,39.168125,38.546124999999996,-1.6076249999999987,2.1593750000000043,-1.3432081486665148,FALSE
1-Decanol,1,Dose_1,4,B,38.08,38.444,38.262,37.75,38.464,38.107,0.467,39.168125,38.546124999999996,-0.906125000000003,-0.4391249999999971,0.48461856807835085,FALSE
1-Decanol,1,Dose_1,5,B,38.316,38.057,38.1865,49.507,46.706,48.1065,10.542,39.168125,38.546124999999996,-0.9816250000000011,9.560375,-9.739335285877997,FALSE
1-Decanol,1,Dose_1,6,B,36.673,37.265,36.969,40.835,41.903,41.369,5.022,39.168125,38.546124999999996,-2.199125000000002,2.8228750000000034,-1.2836355368612518,FALSE
1-Decanol,1,Dose_1,7,C,36.854,36.751,36.802499999999995,40.512,39.695,40.1035,3.923,39.168125,38.546124999999996,-2.3656250000000085,1.5573750000000004,-0.6583355350066028,FALSE
1-Decanol,1,Dose_1,8,C,38.536,36.575,37.5555,38.953,37.82,38.3865,1.453,39.168125,38.546124999999996,-1.6126250000000013,-0.15962499999999835,0.09898457483915865,FALSE
1-Decanol,1,Dose_1,9,C,38.054,37.698,37.876000000000005,39.93,39.743,39.8365,2.583,39.168125,38.546124999999996,-1.2921249999999986,1.2903750000000045,-0.9986456418690187,FALSE
1-Decanol,0.1,Dose_2,10,A,38.42,37.657,38.0385,43.994,41.191,42.5925,5.176,39.168125,38.546124999999996,-1.1296250000000043,4.046375000000005,-3.582051565785096,FALSE
1-Decanol,0.1,Dose_2,11,A,37.748,39.656,38.702,44.725,43.567,44.146,6.066,39.168125,38.546124999999996,-0.46612500000000523,5.599875000000004,-12.013676588897702,FALSE
1-Decanol,0.1,Dose_2,12,A,37.696,37.449,37.5725,43.493,42.392,42.9425,5.992,39.168125,38.546124999999996,-1.5956250000000054,4.396375000000006,-2.7552683117900454,FALSE
1-Decanol,0.1,Dose_2,13,B,37.189,35.316,36.2525,45.357,46.433,45.894999999999996,10.265,39.168125,38.546124999999996,-2.9156250000000057,7.348875,-2.520514469453371,FALSE
1-Decanol,0.1,Dose_2,14,B,34.088,34,34.044,55.402,56.94,56.171,22.749,39.168125,38.546124999999996,-5.1241250000000065,17.624875000000003,-3.439587246603075,TRUE
1-Decanol,0.1,Dose_2,15,B,33.583,36.088,34.835499999999996,43.747,43.67,43.7085,9.495,39.168125,38.546124999999996,-4.332625000000007,5.162375000000004,-1.1915120740890328,FALSE
1-Decanol,0.1,Dose_2,16,C,37.52,35.974,36.747,48.827,48.086,48.4565,12.332,39.168125,38.546124999999996,-2.4211250000000035,9.910375000000002,-4.093293406990547,FALSE
1-Decanol,0.1,Dose_2,17,C,37.218,36.864,37.041,42.48,42.554,42.516999999999996,6.098,39.168125,38.546124999999996,-2.1271250000000066,3.9708749999999995,-1.8667802785449783,FALSE
1-Decanol,0.1,Dose_2,18,C,36.708,36.977,36.8425,40.214,39.461,39.8375,3.617,39.168125,38.546124999999996,-2.3256250000000023,1.2913750000000022,-0.5552808384842788,FALSE
1-Decanol,0.01,Dose_3,19,A,38.491,37.431,37.961,38.697,39.361,39.028999999999996,1.69,39.168125,38.546124999999996,-1.2071250000000049,0.48287499999999994,-0.40002071036553627,FALSE
1-Decanol,0.01,Dose_3,20,A,37.753,38.868,38.310500000000005,36.447,32.556,34.5015,-3.187,39.168125,38.546124999999996,-0.8576249999999987,-4.044624999999996,4.71607637370646,FALSE
1-Decanol,0.01,Dose_3,21,A,37.664,36.554,37.109,38.396,37.919,38.1575,1.671,39.168125,38.546124999999996,-2.0591250000000016,-0.38862499999999756,0.1887330783706658,FALSE
1-Decanol,0.01,Dose_3,22,B,36.718,36.143,36.4305,38.863,37.318,38.0905,2.282,39.168125,38.546124999999996,-2.7376250000000013,-0.4556249999999977,0.16643075658645634,FALSE
1-Decanol,0.01,Dose_3,23,B,35.751,36.636,36.1935,42.707,42.47,42.588499999999996,7.017,39.168125,38.546124999999996,-2.974625000000003,4.042375,-1.358952809177626,FALSE
1-Decanol,0.01,Dose_3,24,B,35.704,37.019,36.3615,43.193,41.426,42.3095,6.57,39.168125,38.546124999999996,-2.806625000000004,3.7633750000000035,-1.3408898588161933,FALSE
1-Decanol,0.01,Dose_3,25,C,38.475,37.772,38.1235,50.592,51.218,50.905,13.404,39.168125,38.546124999999996,-1.0446250000000035,12.358875000000005,-11.830920186669823,FALSE
1-Decanol,0.01,Dose_3,26,C,37.057,37.135,37.096000000000004,43.157,42.998,43.0775,6.604,39.168125,38.546124999999996,-2.0721249999999998,4.531375000000004,-2.186825119140981,FALSE
1-Decanol,0.01,Dose_3,27,C,35.414,35.701,35.557500000000005,40.613,39.109,39.861000000000004,4.926,39.168125,38.546124999999996,-3.610624999999999,1.3148750000000078,-0.3641682534187317,FALSE
1-Decanol,0.001,Dose_4,28,A,40.351,38.86,39.6055,50.807,52.843,51.825,12.842,39.168125,38.546124999999996,0.43737499999999585,13.278875000000006,30.360388682481013,FALSE
