Chemical,Dose(mg/L),Dose,Animal,Group,Baseline_1,Baseline_2,Baseline_Fluorescence,24h_1,24h_2,h24_Fluorescence,Delta_Fluorescence,Norm_factor,Norm_Fluorescence,Outlier
1-Decanol,1,Dose_1,1,A,50.757,48.869,49.813,53.72,54.291,54.0055,4.1924999999999955,-0.622000000000007,4.815,FALSE
1-Decanol,1,Dose_1,2,A,36.288,36.467,36.3775,40.046,38.717,39.3815,3.004000000000005,-0.622000000000007,3.626,FALSE
1-Decanol,1,Dose_1,3,A,38.207,36.914,37.560500000000005,40.899,40.512,40.7055,3.144999999999996,-0.622000000000007,3.767,FALSE
1-Decanol,1,Dose_1,4,B,38.08,38.444,38.262,37.75,38.464,38.107,-0.15500000000000114,-0.622000000000007,0.467,FALSE
1-Decanol,1,Dose_1,5,B,38.316,38.057,38.1865,49.507,46.706,48.1065,9.919999999999996,-0.622000000000007,10.542,FALSE
1-Decanol,1,Dose_1,6,B,36.673,37.265,36.969,40.835,41.903,41.369,4.399999999999999,-0.622000000000007,5.022,FALSE
1-Decanol,1,Dose_1,7,C,36.854,36.751,36.802499999999995,40.512,39.695,40.1035,3.301000000000002,-0.622000000000007,3.923,FALSE
1-Decanol,1,Dose_1,8,C,38.536,36.575,37.5555,38.953,37.82,38.3865,0.830999999999996,-0.622000000000007,1.453,FALSE
1-Decanol,1,Dose_1,9,C,38.054,37.698,37.876000000000005,39.93,39.743,39.8365,1.960499999999996,-0.622000000000007,2.583,FALSE
1-Decanol,0.1,Dose_2,10,A,38.42,37.657,38.0385,43.994,41.191,42.5925,4.554000000000002,-0.622000000000007,5.176,FALSE
1-Decanol,0.1,Dose_2,11,A,37.748,39.656,38.702,44.725,43.567,44.146,5.444000000000003,-0.622000000000007,6.066,FALSE
1-Decanol,0.1,Dose_2,12,A,37.696,37.449,37.5725,43.493,42.392,42.9425,5.3700000000000045,-0.622000000000007,5.992,FALSE
1-Decanol,0.1,Dose_2,13,B,37.189,35.316,36.2525,45.357,46.433,45.895,9.642499999999998,-0.622000000000007,10.265,FALSE
1-Decanol,0.1,Dose_2,14,B,34.088,34,34.044,55.402,56.94,56.171,22.127,-0.622000000000007,NA,TRUE
1-Decanol,0.1,Dose_2,15,B,33.583,36.088,34.835499999999996,43.747,43.67,43.7085,8.873000000000005,-0.622000000000007,9.495,FALSE
1-Decanol,0.1,Dose_2,16,C,37.52,35.974,36.747,48.827,48.086,48.4565,11.709499999999998,-0.622000000000007,12.332,FALSE
1-Decanol,0.1,Dose_2,17,C,37.218,36.864,37.041,42.48,42.554,42.517,5.475999999999999,-0.622000000000007,6.098,FALSE
1-Decanol,0.1,Dose_2,18,C,36.708,36.977,36.8425,40.214,39.461,39.8375,2.9949999999999974,-0.622000000000007,3.617,FALSE
1-Decanol,0.01,Dose_3,19,A,38.491,37.431,37.961,38.697,39.361,39.029,1.0679999999999978,-0.622000000000007,1.69,FALSE
1-Decanol,0.01,Dose_3,20,A,37.753,38.868,38.310500000000005,36.447,32.556,34.5015,-3.8090000000000046,-0.622000000000007,-3.187,FALSE
1-Decanol,0.01,Dose_3,21,A,37.664,36.554,37.109,38.396,37.919,38.1575,1.048499999999997,-0.622000000000007,1.671,FALSE
1-Decanol,0.01,Dose_3,22,B,36.718,36.143,36.4305,38.863,37.318,38.0905,1.6599999999999966,-0.622000000000007,2.282,FALSE
1-Decanol,0.01,Dose_3,23,B,35.751,36.636,36.1935,42.707,42.47,42.5885,6.394999999999996,-0.622000000000007,7.017,FALSE
1-Decanol,0.01,Dose_3,24,B,35.704,37.019,36.3615,43.193,41.426,42.3095,5.948,-0.622000000000007,6.57,FALSE
1-Decanol,0.01,Dose_3,25,C,38.475,37.772,38.1235,50.592,51.218,50.905,12.7815,-0.622000000000007,13.404,FALSE
1-Decanol,0.01,Dose_3,26,C,37.057,37.135,37.096,43.157,42.998,43.0775,5.981499999999997,-0.622000000000007,6.604,FALSE
1-Decanol,0.01,Dose_3,27,C,35.414,35.701,35.557500000000005,40.613,39.109,39.861,4.3035,-0.622000000000007,4.926,FALSE
1-Decanol,0.001,Dose_4,28,A,40.351,38.86,39.6055,50.807,52.843,51.825,12.219500000000004,-0.622000000000007,12.842,FALSE
1-Decanol,0.001,Dose_4,29,A,38.781,36.837,37.809,49.298,46.626,47.962,10.153000000000006,-0.622000000000007,10.775,FALSE
1-Decanol,0.001,Dose_4,30,A,36.915,36.684,36.799499999999995,45.292,48.317,46.8045,10.00500000000001,-0.622000000000007,10.627,FALSE
1-Decanol,0.001,Dose_4,31,B,34.964,34.954,34.959,46.001,45.615,45.808,10.848999999999997,-0.622000000000007,11.471,FALSE
1-Decanol,0.001,Dose_4,32,B,35.889,35.221,35.555,45.378,42.996,44.187,8.631999999999998,-0.622000000000007,9.254,FALSE
1-Decanol,0.001,Dose_4,33,B,36.715,37.13,36.9225,44.234,43.482,43.858,6.935500000000005,-0.622000000000007,7.558,FALSE
1-Decanol,0.001,Dose_4,34,C,37.222,35.228,36.225,39.902,42.3,41.101,4.875999999999998,-0.622000000000007,5.498,FALSE
1-Decanol,0.001,Dose_4,35,C,37.664,36.614,37.139,44.128,43.586,43.857,6.7180000000000035,-0.622000000000007,7.34,FALSE
1-Decanol,0.001,Dose_4,36,C,38.39,35.94,37.165,36.938,37.797,37.3675,0.20250000000000057,-0.622000000000007,0.825,FALSE
1-Decanol,1e-4,Dose_5,37,A,39.653,38.539,39.096,40.701,39.014,39.8575,0.7614999999999981,-0.622000000000007,1.384,FALSE
1-Decanol,1e-4,Dose_5,38,A,38.505,39.292,38.8985,46.621,48.558,47.5895,8.6910000000000025,-0.622000000000007,9.313,FALSE
1-Decanol,1e-4,Dose_5,39,A,38.627,37.029,37.828,51.018,50.201,50.6095,12.781499999999994,-0.622000000000007,13.403,FALSE
1-Decanol,1e-4,Dose_5,40,B,40.219,37.475,38.847,36.211,34.907,35.559,-3.288000000000004,-0.622000000000007,-2.666,FALSE
1-Decanol,1e-4,Dose_5,41,B,38.022,36.851,37.436499999999995,49.181,47.975,48.578,11.141500000000008,-0.622000000000007,11.764,FALSE
1-Decanol,1e-4,Dose_5,42,B,38.378,37.625,38.0015,44.42,41.911,43.1655,5.1640000000000015,-0.622000000000007,5.786,FALSE
1-Decanol,1e-4,Dose_5,43,C,37.526,37.756,37.641000000000005,46.498,43.659,45.0785,7.437499999999993,-0.622000000000007,8.06,FALSE
1-Decanol,1e-4,Dose_5,44,C,37.046,34.939,35.9925,43.712,43.601,43.6565,7.6640000000000015,-0.622000000000007,8.286,FALSE
1-Decanol,1e-4,Dose_5,45,C,38.328,37.686,38.007000000000005,40.42,41.289,40.8545,2.8474999999999966,-0.622000000000007,3.47,FALSE
1-Decanol,0,Dose_6,46,A,39.719,39.33,39.5245,44.118,42.709,43.4135,3.888999999999996,-0.622000000000007,4.511,FALSE
1-Decanol,0,Dose_6,47,A,39.487,37.859,38.673,44.192,42.078,43.135000000000005,4.462000000000003,-0.622000000000007,5.084,FALSE
1-Decanol,0,Dose_6,48,A,37.739,37.263,37.501,49.632,48.279,48.9555,11.454500000000005,-0.622000000000007,12.077,FALSE
1-Decanol,0,Dose_6,49,B,35.833,34.993,35.413,49.115,47.266,48.1905,12.777500000000003,-0.622000000000007,13.4,FALSE
1-Decanol,0,Dose_6,50,B,35.995,35.113,35.554,43.263,41.837,42.55,6.995999999999995,-0.622000000000007,7.618,FALSE
1-Decanol,0,Dose_6,51,B,37.248,35.481,36.3645,44.032,44.333,44.1825,7.817999999999998,-0.622000000000007,8.44,FALSE
1-Decanol,0,Dose_6,52,C,38.293,35.848,37.0705,43.593,43.308,43.450500000000005,6.38000000000001,-0.622000000000007,7.002,FALSE
1-Decanol,0,Dose_6,53,C,36.141,36.673,36.407,39.867,40.943,40.405,3.9980000000000047,-0.622000000000007,4.62,FALSE
1-Decanol,0,Dose_6,54,C,40.248,37.315,38.781499999999994,39.778,39.321,39.549499999999995,0.7680000000000007,-0.622000000000007,1.39,FALSE
1-Octanol,10,Dose_1,1,A,15.595,15.801,15.698,19.144,18.627,18.8855,3.1875,2.356625000000001,0.831,FALSE
1-Octanol,10,Dose_1,2,A,15.327,15.152,15.2395,19.764,20.62,20.192,4.952500000000001,2.356625000000001,2.596,FALSE
1-Octanol,10,Dose_1,3,A,15.423,14.849,15.136,20.363,21.393,20.878,5.742000000000001,2.356625000000001,3.385,FALSE
1-Octanol,10,Dose_1,4,B,14.132,13.052,13.592,19.663,19.942,19.8025,6.210500000000003,2.356625000000001,3.854,FALSE
1-Octanol,10,Dose_1,5,B,15.135,14.787,14.961,20.757,20.789,20.773000000000003,5.812000000000003,2.356625000000001,3.455,FALSE
1-Octanol,10,Dose_1,6,B,14.695,14.036,14.3655,19.965,19.82,19.8925,5.5269999999999975,2.356625000000001,3.17,FALSE
1-Octanol,10,Dose_1,7,C,15.686,14.949,15.3175,16.623,16.817,16.72,1.4025,2.356625000000001,-0.954,FALSE
1-Octanol,10,Dose_1,8,C,15.7,15.589,15.6445,22.639,21.955,22.296999999999997,6.652499999999996,2.356625000000001,4.296,FALSE
1-Octanol,10,Dose_1,9,C,15.499,15.042,15.2705,24.121,23.689,23.905,8.634500000000001,2.356625000000001,6.278,FALSE
1-Octanol,1,Dose_2,10,A,15.577,15.452,15.5145,22.682,23.616,23.149,7.634500000000001,2.356625000000001,5.278,FALSE
1-Octanol,1,Dose_2,11,A,16.587,15.907,16.247,18.337,19.984,19.1605,2.913499999999999,2.356625000000001,0.557,FALSE
1-Octanol,1,Dose_2,12,A,16.133,15.281,15.707,43.907,43.725,43.816,28.109,2.356625000000001,NA,TRUE
1-Octanol,1,Dose_2,13,B,15.029,14.764,14.8965,20.76,19.974,20.367,5.470500000000001,2.356625000000001,3.114,FALSE
1-Octanol,1,Dose_2,14,B,15.683,15.027,15.355,22.574,23.994,23.284,7.9289999999999985,2.356625000000001,5.572,FALSE
1-Octanol,1,Dose_2,15,B,13.985,13.691,13.838,21.375,20.859,21.117,7.279,2.356625000000001,4.922,FALSE
1-Octanol,1,Dose_2,16,C,15.716,16.375,16.0455,25.278,24.956,25.116999999999997,9.071499999999997,2.356625000000001,6.715,FALSE
1-Octanol,1,Dose_2,17,C,15.885,14.434,15.1595,21.219,20.6,20.9095,5.750000000000002,2.356625000000001,3.393,FALSE
1-Octanol,1,Dose_2,18,C,15.239,15.427,15.333,21.691,20.514,21.1025,5.769499999999999,2.356625000000001,3.413,FALSE
1-Octanol,0.1,Dose_3,19,A,16.494,17.538,17.016,19.433,19.082,19.2575,2.241500000000002,2.356625000000001,-0.115,FALSE
1-Octanol,0.1,Dose_3,20,A,16.819,16.7,16.7595,19.494,18.775,19.1345,2.375,2.356625000000001,0.018,FALSE
1-Octanol,0.1,Dose_3,21,A,16.229,16.232,16.2305,22.415,20.903,21.659,5.4285,2.356625000000001,3.072,FALSE
1-Octanol,0.1,Dose_3,22,B,16.806,15.339,16.0725,29.727,31.667,30.697000000000003,14.6245,2.356625000000001,NA,TRUE
