Chemical,Dose(mg/L),Dose,Animal,Group,Baseline_1,Baseline_2,Baseline_Fluorescence,24h_1,24h_2,h24_Fluorescence,Delta_Fluorescence,Norm_factor,Norm_Fluorescence,Baseline_Blank,h24_Blank,Norm_Baseline_Fluorescence,Norm_h24_Fluorescence,Relative_Delta_Fluorescence,Outlier
BPA,1,Dose_1,1,A,39.482,39.44,39.461,63.282,60.555,61.918499999999995,26.634249999999994,-4.176749999999998,26.634249999999994,42.7565,38.579750000000004,-3.295500000000004,23.33874999999999,-7.082,FALSE
BPA,1,Dose_1,2,A,39.455,38.975,39.215,90.826,84.499,87.6625,52.62424999999999,-4.176749999999998,52.62424999999999,42.7565,38.579750000000004,-3.541499999999999,49.08274999999999,-13.859,FALSE
BPA,1,Dose_1,3,A,40.916,40.409,40.662499999999994,71.834,68.781,70.3075,33.82175000000001,-4.176749999999998,33.82175000000001,42.7565,38.579750000000004,-2.0940000000000083,31.72775,-15.152,FALSE
BPA,1,Dose_1,4,B,40.695,38.975,39.835,68.165,61.986,65.0755,29.417250000000003,-4.176749999999998,29.417250000000003,42.7565,38.579750000000004,-2.9215000000000018,26.49575,-9.069,FALSE
BPA,1,Dose_1,5,B,38.547,40.424,39.4855,66.097,65.464,65.78049999999999,30.471749999999986,-4.176749999999998,30.471749999999986,42.7565,38.579750000000004,-3.271000000000001,27.200749999999985,-8.316,FALSE
BPA,1,Dose_1,6,B,40.042,40.069,40.0555,69.292,66.848,68.07,32.19124999999999,-4.176749999999998,32.19124999999999,42.7565,38.579750000000004,-2.7010000000000005,29.49024999999999,-10.918,FALSE
BPA,1,Dose_1,7,C,39.925,37.724,38.8245,82.554,78.54,80.547,45.899249999999995,-4.176749999999998,45.899249999999995,42.7565,38.579750000000004,-3.932000000000002,41.96724999999999,-10.673,FALSE
BPA,1,Dose_1,8,C,38.438,39.299,38.8685,74.374,72.217,73.2955,38.603750000000005,-4.176749999999998,38.603750000000005,42.7565,38.579750000000004,-3.8880000000000052,34.71575,-8.929,FALSE
BPA,1,Dose_1,9,C,38.655,37.854,38.2545,59.595,56,57.7975,23.719749999999998,-4.176749999999998,23.719749999999998,42.7565,38.579750000000004,-4.5020000000000024,19.217749999999995,-4.269,FALSE
BPA,0.1,Dose_2,10,A,39.126,40.441,39.783500000000004,42.876,37.492,40.184,4.577249999999992,-4.176749999999998,4.577249999999992,42.7565,38.579750000000004,-2.972999999999999,1.6042499999999933,-0.54,FALSE
BPA,0.1,Dose_2,11,A,40.703,39.161,39.932,49.494,46.635,48.064499999999995,12.309249999999992,-4.176749999999998,12.309249999999992,42.7565,38.579750000000004,-2.8245000000000005,9.484749999999991,-3.358,FALSE
BPA,0.1,Dose_2,12,A,39.771,38.032,38.9015,45.925,42.121,44.022999999999996,9.298249999999996,-4.176749999999998,9.298249999999996,42.7565,38.579750000000004,-3.855000000000004,5.443249999999992,-1.412,FALSE
BPA,0.1,Dose_2,13,B,39.435,38.572,39.0035,51.438,47.957,49.697500000000005,14.870750000000001,-4.176749999999998,14.870750000000001,42.7565,38.579750000000004,-3.753,11.117750000000001,-2.962,FALSE
BPA,0.1,Dose_2,14,B,37.755,37.655,37.705,55.85,53.588,54.719,21.19075,-4.176749999999998,21.19075,42.7565,38.579750000000004,-5.051500000000004,16.139249999999997,-3.195,FALSE
BPA,0.1,Dose_2,15,B,39.323,37.612,38.4675,58.124,54.632,56.378,22.087249999999997,-4.176749999999998,22.087249999999997,42.7565,38.579750000000004,-4.2890000000000015,17.798249999999996,-4.15,FALSE
BPA,0.1,Dose_2,16,C,37.005,38.706,37.855500000000006,66.082,64.569,65.3255,31.646749999999997,-4.176749999999998,31.646749999999997,42.7565,38.579750000000004,-4.900999999999996,26.74575,-5.457,FALSE
BPA,0.1,Dose_2,17,C,40.001,37.745,38.873,76.165,72.522,74.3435,39.64725000000001,-4.176749999999998,39.64725000000001,42.7565,38.579750000000004,-3.883500000000005,35.76375,-9.209,FALSE
BPA,0.1,Dose_2,18,C,37.833,37.633,37.733000000000004,71.303,67.069,69.186,35.62975,-4.176749999999998,35.62975,42.7565,38.579750000000004,-5.0234999999999985,30.606250000000003,-6.093,FALSE
