Chemical,Dose,Dose(mg/L),Animal,Group,control_mean,control_sd,Norm_Fluorescence,z_score,Outlier
1-Decanol,Dose_1,1,1,A,7.126888888888889,3.808694443127607,4.815,-0.607002983150946,FALSE
1-Decanol,Dose_1,1,2,A,7.126888888888889,3.808694443127607,3.626,-0.9191834475474605,FALSE
1-Decanol,Dose_1,1,3,A,7.126888888888889,3.808694443127607,3.767,-0.8821628878503128,FALSE
1-Decanol,Dose_2,0.1,10,A,7.126888888888889,3.808694443127607,5.176,-0.5122198480398092,FALSE
1-Decanol,Dose_2,0.1,11,A,7.126888888888889,3.808694443127607,6.066,-0.27854397477412574,FALSE
1-Decanol,Dose_2,0.1,12,A,7.126888888888889,3.808694443127607,5.992,-0.2979732046861039,FALSE
1-Decanol,Dose_3,0.01,19,A,7.126888888888889,3.808694443127607,1.69,-1.4274941111905655,FALSE
1-Decanol,Dose_3,0.01,20,A,7.126888888888889,3.808694443127607,-3.187,-2.7079853852543168,FALSE
1-Decanol,Dose_3,0.01,21,A,7.126888888888889,3.808694443127607,1.671,-1.432482697249046,FALSE
1-Decanol,Dose_4,0.001,28,A,7.126888888888889,3.808694443127607,12.842,1.5005433479767418,FALSE
1-Decanol,Dose_4,0.001,29,A,7.126888888888889,3.808694443127607,10.775,0.957837696246216,FALSE
1-Decanol,Dose_4,0.001,30,A,7.126888888888889,3.808694443127607,10.627,0.9189792364222596,FALSE
1-Decanol,Dose_5,1e-4,37,A,7.126888888888889,3.808694443127607,1.384,-1.5078366024482048,FALSE
1-Decanol,Dose_5,1e-4,38,A,7.126888888888889,3.808694443127607,9.313,0.5739791269041605,FALSE
1-Decanol,Dose_5,1e-4,39,A,7.126888888888889,3.808694443127607,13.403,1.6478379152824143,FALSE
1-Decanol,Dose_6,0,46,A,7.126888888888889,3.808694443127607,4.511,-0.6868203600866402,FALSE
1-Decanol,Dose_6,0,47,A,7.126888888888889,3.808694443127607,5.084,-0.5363751068492958,FALSE
1-Decanol,Dose_6,0,48,A,7.126888888888889,3.808694443127607,12.077,1.2996871198326427,FALSE
1-Decanol,Dose_1,1,4,B,7.126888888888889,3.808694443127607,0.467,-1.748601519060151,FALSE
1-Decanol,Dose_1,1,5,B,7.126888888888889,3.808694443127607,10.542,0.8966618777395818,FALSE
1-Decanol,Dose_1,1,6,B,7.126888888888889,3.808694443127607,5.022,-0.5526536508296016,FALSE
1-Decanol,Dose_2,0.1,13,B,7.126888888888889,3.808694443127607,10.265,0.8239335441501502,FALSE
1-Decanol,Dose_2,0.1,14,B,7.126888888888889,3.808694443127607,NA,NA,TRUE
1-Decanol,Dose_2,0.1,15,B,7.126888888888889,3.808694443127607,9.495,0.6217645302011876,FALSE
1-Decanol,Dose_3,0.01,22,B,7.126888888888889,3.808694443127607,2.282,-1.2720602718947398,FALSE
1-Decanol,Dose_3,0.01,23,B,7.126888888888889,3.808694443127607,7.017,-0.02885211468910864,FALSE
1-Decanol,Dose_3,0.01,24,B,7.126888888888889,3.808694443127607,6.57,-0.1462151656438958,FALSE
1-Decanol,Dose_4,0.001,31,B,7.126888888888889,3.808694443127607,11.471,1.1405774802831998,FALSE
1-Decanol,Dose_4,0.001,32,B,7.126888888888889,3.808694443127607,9.254,0.5584882544067722,FALSE
1-Decanol,Dose_4,0.001,33,B,7.126888888888889,3.808694443127607,7.558,0.11319130939711011,FALSE
1-Decanol,Dose_5,1e-4,40,B,7.126888888888889,3.808694443127607,-2.666,-2.5711931043875516,FALSE
1-Decanol,Dose_5,1e-4,41,B,7.126888888888889,3.808694443127607,11.764,1.2175067284481944,FALSE
1-Decanol,Dose_5,1e-4,42,B,7.126888888888889,3.808694443127607,5.786,-0.3520599798464757,FALSE
1-Decanol,Dose_6,0,49,B,7.126888888888889,3.808694443127607,13.4,1.6470502437994963,FALSE
1-Decanol,Dose_6,0,50,B,7.126888888888889,3.808694443127607,7.618,0.12894473905547094,FALSE
1-Decanol,Dose_6,0,51,B,7.126888888888889,3.808694443127607,8.44,0.3447667253750122,FALSE
1-Decanol,Dose_1,1,7,C,7.126888888888889,3.808694443127607,3.923,-0.841203970738575,FALSE
1-Decanol,Dose_1,1,8,C,7.126888888888889,3.808694443127607,1.453,-1.48972015834109,FALSE
1-Decanol,Dose_1,1,9,C,7.126888888888889,3.808694443127607,2.583,-1.1930305664419638,FALSE
1-Decanol,Dose_2,0.1,16,C,7.126888888888889,3.808694443127607,12.332,1.366639195880676,FALSE
1-Decanol,Dose_2,0.1,17,C,7.126888888888889,3.808694443127607,6.098,-0.270142145623,FALSE
1-Decanol,Dose_2,0.1,18,C,7.126888888888889,3.808694443127607,3.617,-0.9215464619962145,FALSE
1-Decanol,Dose_3,0.01,25,C,7.126888888888889,3.808694443127607,13.404,1.6481004724433868,FALSE
1-Decanol,Dose_3,0.01,26,C,7.126888888888889,3.808694443127607,6.604,-0.1372882221708248,FALSE
1-Decanol,Dose_3,0.01,27,C,7.126888888888889,3.808694443127607,4.926,-0.5778591382829787,FALSE
1-Decanol,Dose_4,0.001,34,C,7.126888888888889,3.808694443127607,5.498,-0.42767644220660683,FALSE
1-Decanol,Dose_4,0.001,35,C,7.126888888888889,3.808694443127607,7.34,0.055953848305066285,FALSE
1-Decanol,Dose_4,0.001,36,C,7.126888888888889,3.808694443127607,0.825,-1.654606055431932,FALSE
1-Decanol,Dose_5,1e-4,43,C,7.126888888888889,3.808694443127607,8.06,0.24499500420539475,FALSE
1-Decanol,Dose_5,1e-4,44,C,7.126888888888889,3.808694443127607,8.286,0.30433292258521977,FALSE
1-Decanol,Dose_5,1e-4,45,C,7.126888888888889,3.808694443127607,3.47,-0.9601423646591982,FALSE
1-Decanol,Dose_6,0,52,C,7.126888888888889,3.808694443127607,7.002,-0.03279047210369896,FALSE
1-Decanol,Dose_6,0,53,C,7.126888888888889,3.808694443127607,4.62,-0.6582016295406183,FALSE
1-Decanol,Dose_6,0,54,C,7.126888888888889,3.808694443127607,1.39,-1.506261259482369,FALSE
1-Octanol,Dose_1,10,1,A,2.118875,2.79154388607042,0.831,-0.4613486488342143,FALSE
1-Octanol,Dose_1,10,2,A,2.118875,2.79154388607042,2.596,0.17091796492285702,FALSE
1-Octanol,Dose_1,10,3,A,2.118875,2.79154388607042,3.385,0.45355726138423325,FALSE
1-Octanol,Dose_2,1,10,A,2.118875,2.79154388607042,5.278,1.13167663806533,FALSE
1-Octanol,Dose_2,1,11,A,2.118875,2.79154388607042,0.557,-0.5595022194684565,FALSE
1-Octanol,Dose_2,1,12,A,2.118875,2.79154388607042,NA,NA,TRUE
1-Octanol,Dose_3,0.1,19,A,2.118875,2.79154388607042,-0.115,-0.8002292248195908,FALSE
