#Highest Dose information in mg/L,,,,,,
Chemical,Dose_1,Dose_2,Dose_3,Dose_4,Dose_5,Dose_6
1-Decanal,1,0.1,0.01,0.001,0.0001,0
1-Octanol,10,1,0.1,0.01,0.001,0
"2,4-DMP",1,0.1,0.01,0.001,0.0001,0
"2,4-DNP",10,1,0.1,0.01,0.001,0
"3,4-DCA",1,0.1,0.01,0.001,0.0001,0
4C3MP,1,0.1,0.01,0.001,0.0001,0
4TOP,0.1,0.01,0.001,0.0001,1E-05,0
4-TPP,1,0.1,0.01,0.001,0.0001,0
17beta estradiol,0.1,0.01,0.001,0.0001,1E-05,0
Analine,10,1,0.1,0.01,0.001,0
BPA,1,0.1,0.01,0.001,0.0001,0
BPAF,1,0.1,0.01,0.001,0.0001,0
Clofibric Acid,10,1,0.1,0.01,0.001,0
DES,0.1,0.01,0.001,0.0001,1E-05,0
DMSO,10,1,0.1,0.01,0.001,0
EE2,0.001,0.0001,1E-05,1E-06,1E-07,0
Fadrozole,1,0.1,0.01,0.001,0.0001,0
Fenitrothione,1,0.1,0.01,0.001,0.0001,0
Fluoxetine,0.1,0.01,0.001,0.0001,1E-05,0
Flutamide,1,0.1,0.01,0.001,0.0001,0
Glyphosate,1,0.1,0.01,0.001,0.0001,0
Mathionone,0.1,0.01,0.001,0.0001,1E-05,0
NN-Dimethylformamide,1000,100,10,1,0.1,0
Prochloraz,1,0.1,0.01,0.001,0.0001,0
SDS,0.1,0.01,0.001,0.0001,1E-05,0
TEG,1000,100,10,1,0.1,0
TGSH,1,0.1,0.01,0.001,0.0001,0
Trenbolone,0.01,0.001,0.0001,1E-05,1E-06,0
Vinclozolin,1,0.1,0.01,0.001,0.0001,0
