#Highest Dose information in mg/L,,,,,,
Chemical,Dose_1,Dose_2,Dose_3,Dose_4,Dose_5,Dose_6
1-Decanol_2021_03_14,1,0.1,0.01,0.001,0.0001,0
1-Octanol_2021_02_02,10,1,0.1,0.01,0.001,0
"2,4-DMP_2021_05_02",1,0.1,0.01,0.001,0.0001,0
"2,4-DNP_2021_04_18",10,1,0.1,0.01,0.001,0
"3,4-DCA_2021_03_15",1,0.1,0.01,0.001,0.0001,0
4-TOP_2021_06_27,0.1,0.01,0.001,0.0001,1E-05,0
4-TPP_2021_05_15,1,0.1,0.01,0.001,0.0001,0
17-beta-estradiol_2021_01_18,0.1,0.01,0.001,0.0001,1E-05,0
Analine_2021_04_18,10,1,0.1,0.01,0.001,0
BPA_2021_02_15,1,0.1,0.01,0.001,0.0001,0
BPAF_2021_03_01,1,0.1,0.01,0.001,0.0001,0
Clofibric-acid_2021_05_03,10,1,0.1,0.01,0.001,0
DES_2021_02_01,0.1,0.01,0.001,0.0001,1E-05,0
DMSO_2021_01_31,10,1,0.1,0.01,0.001,0
EE2_2021_02_02,0.001,0.0001,1E-05,1E-06,1E-07,0
Fadrozole_2021_06_27,1,0.1,0.01,0.001,0.0001,0
Fenitrothione_2021_06_27,1,0.1,0.01,0.001,0.0001,0
Fluoxetine_2021_05_02,0.1,0.01,0.001,0.0001,1E-05,0
Flutamide_2021_06_13,1,0.1,0.01,0.001,0.0001,0
Glyphosate_2021_06_13,1,0.1,0.01,0.001,0.0001,0
NN-Dimethylformamide_2021_06_13,1000,100,10,1,0.1,0
Prochloraz_2021_04_18,1,0.1,0.01,0.001,0.0001,0
SDS_2021_06_01,0.1,0.01,0.001,0.0001,1E-05,0
TEG_2021_05_15,1000,100,10,1,0.1,0
TGSH_2021_02_02,1,0.1,0.01,0.001,0.0001,0
Vinclozilin_2021_01_18,1,0.1,0.01,0.001,0.0001,0
