Chemical,Dose,emmean,SE,df,lower.CL,upper.CL,.group,Group,cont_group,adj_factor,Dose(mg/L)
1-Decanol,Dose_1,4.022000000000001,1.3206446912311907,45,1.3620850518837608,6.681914948116241, a,Dose_1, a,1.0055000000000003,1
1-Decanol,Dose_3,4.553,1.320644691231191,45,1.8930850518837588,7.212914948116241, a,Dose_3, a,1.13825,0.01
1-Decanol,Dose_5,6.533444444444445,1.3206446912311913,45,3.8735294963282034,9.193359392560687, a,Dose_5, a,1.6333611111111113,1e-4
1-Decanol,Control,7.12688888888889,1.3206446912311913,45,4.4669739407726485,9.786803837005131, a,Control, a,1.7817222222222224,0
1-Decanol,Dose_2,7.50637198067633,1.4041346153167322,45,4.678299693521996,10.334444267830664, a,Dose_2, a,1.8765929951690825,0.1
1-Decanol,Dose_4,8.465555555555557,1.3206446912311913,45,5.805640607439315,11.1254705036718, a,Dose_4, a,2.1163888888888893,0.001
1-Octanol,Control,2.0244576863354036,0.8273310399866222,42,0.35483605236464655,3.6940793203061606, a,Control, a,0.5061144215838509,0
1-Octanol,Dose_3,2.2771461783988953,0.8273310399866219,42,0.6075245444281387,3.946767812369652, a,Dose_3, a,0.5692865445997238,0.1
1-Octanol,Dose_4,2.557,0.7780043148562504,42,0.9869237274748008,4.1270762725251995, a,Dose_4, a,0.63925,0.01
1-Octanol,Dose_1,2.9901111111111107,0.77800431485625,42,1.4200348385859127,4.5601873836363085, a,Dose_1, a,0.7475277777777777,10
1-Octanol,Dose_5,3.770521178398896,0.827331039986622,42,2.100899544428139,5.440142812369653, a,Dose_5, a,0.942630294599724,0.001
1-Octanol,Dose_2,4.026082686335403,0.8273310399866219,42,2.3564610523646468,5.6957043203061595, a,Dose_2, a,1.0065206715838508,1
17betaestradiol,Dose_1,4.2642222222222115,2.463821971852253,46,-0.6951941814401774,9.2236386258846, a  ,Dose_1, a  ,1.0660555555555529,0.1
17betaestradiol,Dose_2,9.776111111111105,2.4638219718522527,46,4.8166947074487165,14.735527514773493, ab ,Dose_2, ab ,2.444027777777776,0.01
17betaestradiol,Dose_3,18.83722222222222,2.4638219718522523,46,13.877805818559832,23.796638625884608,  bc,Dose_3,  bc,4.709305555555555,0.001
17betaestradiol,Dose_5,23.11966666666667,2.4638219718522527,46,18.160250263004283,28.07908307032906,   c,Dose_5,   c,5.779916666666668,1e-5
17betaestradiol,Dose_4,24.998333333333335,2.463821971852252,46,20.038916929670947,29.957749736995723,   c,Dose_4,   c,6.249583333333334,1e-4
17betaestradiol,Control,26.785555555555568,2.4638219718522527,46,21.82613915189318,31.744971959217956,   c,Control,   c,6.696388888888892,0
24-DMP,Dose_3,2.820888888888889,0.6714778101181926,45,1.4684631559715473,4.17331462180623, a,Dose_3, a,0.7052222222222222,0.01
24-DMP,Dose_2,2.8965555555555556,0.6714778101181925,45,1.5441298226382143,4.248981288472897, a,Dose_2, a,0.7241388888888889,0.1
24-DMP,Dose_1,3.5345555555555586,0.6714778101181924,45,2.1821298226382178,4.886981288472899, a,Dose_1, a,0.8836388888888896,1
24-DMP,Dose_4,4.701490338164251,0.7139280102092016,45,3.2635655133849384,6.139415162943564, a,Dose_4, a,1.1753725845410627,0.001
24-DMP,Control,5.158333333333332,0.6714778101181925,45,3.805907600415991,6.510759066250674, a,Control, a,1.289583333333333,0
24-DMP,Dose_5,5.6417777777777784,0.6714778101181925,45,4.289352044860437,6.99420351069512, a,Dose_5, a,1.4104444444444446,1e-4
24-DNP,Dose_2,6.068333333333335,0.8780438043794351,43,4.297589242461007,7.839077424205663, a,Dose_2, a,1.5170833333333338,1
24-DNP,Dose_1,6.181888888888892,0.8780438043794351,43,4.411144798016564,7.95263297976122, a,Dose_1, a,1.545472222222223,10
24-DNP,Control,6.776923272484789,0.9336707519217354,43,4.893996750437049,8.65984979453253, a,Control, a,1.6942308181211974,0
24-DNP,Dose_5,6.839222222222225,0.8780438043794351,43,5.068478131349897,8.609966313094553, a,Dose_5, a,1.7098055555555562,0.001
24-DNP,Dose_3,7.138111111111113,0.8780438043794349,43,5.367367020238785,8.90885520198344, a,Dose_3, a,1.7845277777777782,0.1
24-DNP,Dose_4,8.022653955155457,0.99833259695838,43,6.009324394634637,10.035983515676277, a,Dose_4, a,2.0056634887888642,0.01
34-DCA,Dose_1,11.341666666666665,2.6129652622129482,46,6.082040390228871,16.60129294310446, a,Dose_1, a,2.8354166666666663,1
34-DCA,Dose_5,13.257111111111112,2.612965262212948,46,7.997484834673318,18.516737387548904, a,Dose_5, a,3.314277777777778,1e-4
34-DCA,Dose_4,15.177999999999999,2.6129652622129473,46,9.918373723562206,20.43762627643779, a,Dose_4, a,3.7944999999999998,0.001
34-DCA,Dose_2,15.620555555555551,2.612965262212948,46,10.360929279117759,20.880181831993344, a,Dose_2, a,3.905138888888888,0.1
34-DCA,Control,17.156666666666666,2.6129652622129482,46,11.897040390228872,22.41629294310446, a,Control, a,4.289166666666667,0
34-DCA,Dose_3,19.954777777777775,2.612965262212948,46,14.695151501339982,25.214404054215567, a,Dose_3, a,4.988694444444444,0.01
4-TPP,Control,5.331222222222229,1.4535712755553223,43,2.3998163697881734,8.262628074656286, a  ,Control, a  ,1.3328055555555574,0
4-TPP,Dose_5,7.023888888888893,1.4535712755553225,43,4.092483036454836,9.955294741322948, ab ,Dose_5, ab ,1.7559722222222232,1e-4
4-TPP,Dose_4,8.994111111111113,1.4535712755553225,43,6.062705258677057,11.92551696354517, ab ,Dose_4, ab ,2.2485277777777783,0.001
4-TPP,Dose_2,10.147111111111112,1.4535712755553223,43,7.2157052586770565,13.078516963545168, ab ,Dose_2, ab ,2.536777777777778,0.1
4-TPP,Dose_3,12.707790947736939,1.652705228544789,43,9.374793205707626,16.040788689766252,  bc,Dose_3,  bc,3.1769477369342347,0.01
4-TPP,Dose_1,17.13109552388098,1.5456597712442786,43,14.01397552055238,20.24821552720958,   c,Dose_1,   c,4.282773880970245,1
4C3MP,Dose_2,5.733777777777775,0.9601061807594193,46,3.801184272031799,7.666371283523752, a ,Dose_2, a ,1.4334444444444439,0.1
4C3MP,Dose_5,6.443888888888886,0.9601061807594193,46,4.51129538314291,8.376482394634863, a ,Dose_5, a ,1.6109722222222216,1e-4
4C3MP,Dose_4,6.991666666666664,0.9601061807594191,46,5.059073160920687,8.92426017241264, a ,Dose_4, a ,1.747916666666666,0.001
4C3MP,Control,7.218444444444442,0.9601061807594193,46,5.285850938698466,9.15103795019042, a ,Control, a ,1.8046111111111105,0
4C3MP,Dose_3,9.42133333333333,0.9601061807594192,46,7.488739827587353,11.353926839079307, ab,Dose_3, ab,2.3553333333333324,0.01
4C3MP,Dose_1,11.73444444444444,0.9601061807594194,46,9.801850938698463,13.667037950190418,  b,Dose_1,  b,2.93361111111111,1
4TOP,Dose_1,4.934135066981866,2.0106846466293082,44,0.8818664277332413,8.98640370623049, a ,Dose_1, a ,1.2335337667454664,0.1
4TOP,Dose_2,12.563777777777773,1.8910776396648326,44,8.75256122204162,16.374994333513925, ab,Dose_2, ab,3.140944444444443,0.01
4TOP,Dose_3,14.218564696611502,2.010684646629308,44,10.166296057362878,18.270833335860125,  b,Dose_3,  b,3.5546411741528754,0.001
4TOP,Control,16.094222222222218,1.8910776396648323,44,12.283005666486067,19.90543877795837,  b,Control,  b,4.023555555555554,0
4TOP,Dose_4,16.54655555555555,1.8910776396648326,44,12.735338999819398,20.357772111291702,  b,Dose_4,  b,4.136638888888887,1e-4
4TOP,Dose_5,17.340333333333326,1.8910776396648323,44,13.529116777597176,21.15154988906948,  b,Dose_5,  b,4.335083333333332,1e-5
