.id,chemical,median_POD,POD_med,cil_POD,mean_POD,ciu_POD,hit_confidence,lowest_conc,highest_conc
fitted_z_score_neg_dir,1-Decanol,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,1-Octanol,10,10,10,10,10,0,0.001,10.0000000
fitted_z_score_neg_dir,17betaestradiol,0.0029057012792602904,0.0029198460636121774,9.034498471970714e-4,0.0020694571873177544,0.0032861671659517,1,9.999999999999999e-6,0.1000000
fitted_z_score_neg_dir,24-DMP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,24-DNP,10,10,10,10,10,0,0.001,10.0000000
fitted_z_score_neg_dir,34-DCA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,4-TPP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,4C3MP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,4TOP,0.0576693435547981,0.05778078778525701,0.05078261229876888,0.05810820318147092,0.06534344858770422,1,9.999999999999999e-6,0.1000000
fitted_z_score_neg_dir,Aniline,10,10,10,10,10,0,0.001,10.0000000
fitted_z_score_neg_dir,BPA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,BPAF,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,Clofibric-acid,1.8414405218033856,5.116547143732036,1.6030135948418245,2.543240854806611,7.153004364413625,0.5,0.001,10.0000000
fitted_z_score_neg_dir,DES,1.314643126107789e-5,0.09999999999999999,1.062827831184727e-5,1.0021194789408697e-4,0.014583128338504682,0.4,9.999999999999999e-6,0.1000000
fitted_z_score_neg_dir,DMSO,10,10,10,10,10,0,0.001,10.0000000
fitted_z_score_neg_dir,EE2,0.001,0.001,0.001,0.001,0.001,0,1e-7,0.0010000
fitted_z_score_neg_dir,Fadrozole,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,Fenitrothione,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,Fluoxetine,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
fitted_z_score_neg_dir,Flutamide,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,Glyphosate,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,Malathion,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,NN-Dimethylformamide,26.988820705894845,1000,0.08587011999150802,4.4445927077092495,65.08419113617794,0.3,0.09999999999999999,1000.0000000
fitted_z_score_neg_dir,Prochloraz,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,SDS,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
fitted_z_score_neg_dir,TEG,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
fitted_z_score_neg_dir,TGSH,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_neg_dir,Trenbolone,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
fitted_z_score_neg_dir,Vinclozolin,0.6937127378628848,1,0.3754259062480744,0.6459854119870887,0.9568339281619515,0.3,9.999999999999999e-5,1.0000000
