.id,chemical,median_POD,POD_med,cil_POD,mean_POD,ciu_POD,hit_confidence,lowest_conc,highest_conc
fitted_z_score_pos_dir,1-Decanol,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,1-Octanol,10,10,10,10,10,0,0.001,10.0000000
fitted_z_score_pos_dir,17betaestradiol,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
fitted_z_score_pos_dir,24-DMP,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,24-DNP,10,10,10,10,10,0,0.001,10.0000000
fitted_z_score_pos_dir,34-DCA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,4-TPP,0.021574918346910655,0.02286396992402293,0.016694817572355213,0.025357422687336848,0.042200414994483106,1,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,4C3MP,0.8766281628485214,1,0.6386891740244497,0.8090090705535712,0.9016377378979464,0.4,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,4TOP,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
fitted_z_score_pos_dir,Aniline,10,10,1.704477551449801,5.603918904058667,10,0.2,0.001,10.0000000
fitted_z_score_pos_dir,BPA,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,BPAF,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,Clofibric-acid,10,10,10,10,10,0,0.001,10.0000000
fitted_z_score_pos_dir,DES,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
fitted_z_score_pos_dir,DMSO,10,10,10,10,10,0,0.001,10.0000000
fitted_z_score_pos_dir,EE2,0.001,0.001,0.001,0.001,0.001,0,1e-7,0.0010000
fitted_z_score_pos_dir,Fadrozole,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,Fenitrothione,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,Fluoxetine,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
fitted_z_score_pos_dir,Flutamide,0.001909146280653719,0.004176851331358293,3.7427818890335517e-4,0.0022744082510569637,0.007899078654739456,0.8,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,Glyphosate,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,Malathion,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,NN-Dimethylformamide,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
fitted_z_score_pos_dir,Prochloraz,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,SDS,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
fitted_z_score_pos_dir,TEG,1000,1000,1000,1000,1000,0,0.09999999999999999,1000.0000000
fitted_z_score_pos_dir,TGSH,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
fitted_z_score_pos_dir,Trenbolone,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0.09999999999999999,0,9.999999999999999e-6,0.1000000
fitted_z_score_pos_dir,Vinclozolin,1,1,1,1,1,0,9.999999999999999e-5,1.0000000
