.id,term,df.residual,rss,df,sumsq,statistic,p.value,adj.p.value
1-Decanol,Delta_Fluorescence ~ Dose * Group,35,464.5454806666668,12,270.0785055416667,1.6956982841939654,0.11040494401678326,0.21344955843244764
1-Octanol,Delta_Fluorescence ~ Dose * Group,32,156.37345849999997,12,86.66154863888889,1.477856058526947,0.18380628564887438,0.2961323491009643
17betaestradiol,Delta_Fluorescence ~ Dose * Group,36,2026.570805999998,12,523.1498322222219,0.7744360532679396,0.6718771011676263,0.7793774373544465
24-DMP,Delta_Fluorescence ~ Dose * Group,35,139.23077449999994,12,94.44841026388889,1.9785462727304064,0.05777657298410966,0.13962671804493168
24-DNP,Delta_Fluorescence ~ Dose * Group,33,196.75650699999994,12,171.932435922619,2.403042247478008,0.023021178814831914,0.07417935395890284
34-DCA,Delta_Fluorescence ~ Dose * Group,36,1703.2943033333327,12,1559.6150813333343,2.746938820169563,0.009467019618282207,0.045757261488363996
4-TPP,Delta_Fluorescence ~ Dose * Group,33,605.4190070000008,12,302.6054100972219,1.3745271756348394,0.22687364444608743,0.32896678444682675
4C3MP,Delta_Fluorescence ~ Dose * Group,36,324.1296713333333,12,76.2168775555557,0.7054295021066551,0.7358386112769579,0.8207430664242993
4TOP,Delta_Fluorescence ~ Dose * Group,34,924.5218216666669,12,710.4171645416666,2.17717806729475,0.03737737600536145,0.1083943904155482
Aniline,Delta_Fluorescence ~ Dose * Group,31,313.24620249999987,11,157.28370795277777,1.4150341887983067,0.21548675662139755,0.32890083905371204
BPA,Delta_Fluorescence ~ Dose * Group,36,3061.482265333333,12,1933.0114780000013,1.8941917448503027,0.0690506932845769,0.1540361619425177
BPAF,Delta_Fluorescence ~ Dose * Group,35,85.47656449999997,12,50.53447293055558,1.7243581743873255,0.1034636158570728,0.21344955843244764
Clofibric-acid,Delta_Fluorescence ~ Dose * Group,32,198.73906366666668,12,38.43281453373018,0.5156887807179003,0.8887971428188004,0.9205398979194719
DES,Delta_Fluorescence ~ Dose * Group,36,545.5548326666668,12,2265.8611764444454,12.4599455862334,1.8574669222587603e-9,5.386654074550405e-8
DMSO,Delta_Fluorescence ~ Dose * Group,36,799.2533533333334,12,250.04370444444487,0.9385398387193103,0.5211904660544067,0.671131207373732
EE2,Delta_Fluorescence ~ Dose * Group,35,173.39682716666675,12,145.33456970833333,2.4446381280967673,0.01966538133821229,0.07298180238230637
Fadrozole,Delta_Fluorescence ~ Dose * Group,35,576.1090739999996,12,713.0028190555553,3.6097184533821527,0.0014697393862280843,0.010655610550153611
Fenitrothione,Delta_Fluorescence ~ Dose * Group,35,226.72593516666672,12,519.2923754444444,6.6803242452151546,4.882768704541399e-6,7.080014621585029e-5
Fluoxetine,Delta_Fluorescence ~ Dose * Group,36,159.8570046666667,12,49.34283844444445,0.9260058115188754,0.5322764748136495,0.671131207373732
Flutamide,Delta_Fluorescence ~ Dose * Group,35,371.3672646666667,12,149.87445600000007,1.1770930601337857,0.33627652455263496,0.46438186723935304
Glyphosate,Delta_Fluorescence ~ Dose * Group,35,411.41777316666673,12,701.8971683749998,4.975964112269295,9.51479635400768e-5,9.197636475540757e-4
Malathion,Delta_Fluorescence ~ Dose * Group,35,1417.5794058333333,12,1183.2049292638887,2.434441670652639,0.02013291100201555,0.07298180238230637
NN-Dimethylformamide,Delta_Fluorescence ~ Dose * Group,35,247.26318733333343,12,289.68212955555555,3.417031950108662,0.002222847796964265,0.012892517222392737
Prochloraz,Delta_Fluorescence ~ Dose * Group,34,252.46322233333342,12,145.45741141666662,1.6324331462547743,0.12871573492619484,0.23329726955372815
SDS,Delta_Fluorescence ~ Dose * Group,34,137.71763249999995,12,72.49329870634924,1.4914406814827406,0.17549391782655827,0.2961323491009643
TEG,Delta_Fluorescence ~ Dose * Group,33,534.4092433333332,12,101.46887916666674,0.5221455676324915,0.8848711878146598,0.9205398979194719
TGSH,Delta_Fluorescence ~ Dose * Group,32,150.14582633333336,12,44.970456541666636,0.7986983079916692,0.6489546000969358,0.7793774373544465
Trenbolone,Delta_Fluorescence ~ Dose * Group,35,1864.504104,12,1282.5809676527779,2.006357158253772,0.054182415998848266,0.13962671804493168
Vinclozolin,Delta_Fluorescence ~ Dose * Group,36,1215.8529486666669,12,187.45108266666625,0.46251748504347395,0.9234693233290019,0.9234693233290019
