Chemical,Dose,estimate,std.error,statistic,adj.p.value
1-Decanol,Dose_5,-0.15581308852834144,0.4903710868130159,-0.31774526010697435,0.999999766539433
1-Decanol,Dose_4,0.35147651948875824,0.49037108681301583,0.7167562055361969,0.999999766539433
1-Decanol,Dose_3,-0.6757929593257876,0.4903710868130159,-1.3781256226133807,0.999999766539433
1-Decanol,Dose_2,0.09963600321684454,0.5061089059705978,0.19686672580038111,0.999999766539433
1-Decanol,Dose_1,-0.81521081180228006,0.49037108681301594,-1.6624365378073955,0.948099877863411
1-Octanol,Dose_5,0.62548308868659,0.4197062077472682,1.4902879136427574,0.999999766539433
1-Octanol,Dose_4,0.1907698160583969,0.40682837112871334,0.46891964670291075,0.999999766539433
1-Octanol,Dose_3,0.09051926187669385,0.41970620774726825,0.21567291644921593,0.999999766539433
1-Octanol,Dose_2,0.7170315358422085,0.41805055550358505,1.715179005033183,0.9426509655700344
1-Octanol,Dose_1,0.34592091838292083,0.40682837112871323,0.8502871061405833,0.999999766539433
17betaestradiol,Dose_5,-0.47804916156762506,0.45437830269273266,-1.052095046648606,0.999999766539433
17betaestradiol,Dose_4,-0.2330621878524319,0.45437830269273266,-0.5129254334356654,0.999999766539433
17betaestradiol,Dose_3,-1.036500068885523,0.45437830269273277,-2.2811390040920205,0.5381394027279379
17betaestradiol,Dose_2,-2.218111596356192,0.4543783026927329,-4.8816406576001485,0.003606265017399024
17betaestradiol,Dose_1,-2.936887844587184,0.45437830269273294,-6.463530118367501,3.048647350289979e-5
24-DMP,Dose_5,0.2642755584179152,0.5191072430038977,0.5090962647499236,0.999999766539433
24-DMP,Dose_4,-0.24973384024789588,0.5357673115386915,-0.4661236974885148,0.999999766539433
24-DMP,Dose_3,-1.2777671621323083,0.5191072430038978,-2.4614704944941677,0.4636329980467935
24-DMP,Dose_2,-1.236403876615737,0.5191072430038977,-2.381788914100075,0.49231609795540116
24-DMP,Dose_1,-0.8876403150354867,0.5191072430038978,-1.709936293508472,0.9426509655700344
24-DNP,Dose_5,0.02910409896760191,0.598760063360104,0.04860728152822416,0.999999766539433
24-DNP,Dose_4,0.5819659758026349,0.6377306783729269,0.9125575976483252,0.999999766539433
24-DNP,Dose_3,0.16873553479759834,0.5987600633601039,0.28180826531865416,0.999999766539433
24-DNP,Dose_2,-0.3310308087604715,0.5987600633601039,-0.5528605346569085,0.999999766539433
24-DNP,Dose_1,-0.27798124466446494,0.5987600633601041,-0.4642614991796513,0.999999766539433
34-DCA,Dose_5,-0.49797212188066003,0.47188758567867184,-1.0552770129870512,0.999999766539433
34-DCA,Dose_4,-0.252675163735206,0.4718875856786718,-0.5354562641689481,0.999999766539433
34-DCA,Dose_3,0.35731798339755694,0.471887585678672,0.7572099674621864,0.999999766539433
34-DCA,Dose_2,-0.19616094668908532,0.4718875856786721,-0.41569423024122415,0.999999766539433
34-DCA,Dose_1,-0.7425738260378497,0.4718875856786722,-1.5736244151663252,0.9481877043200847
4-TPP,Dose_5,0.5233439504280809,0.6355754249489569,0.8234175361171503,0.999999766539433
4-TPP,Dose_4,1.1325033917429521,0.6355754249489569,1.7818552248679274,0.9008842735022969
4-TPP,Dose_3,2.280710486854141,0.6805052219941616,3.3514959373430178,0.09174424493749299
4-TPP,Dose_2,1.4889915218198981,0.6355754249489568,2.342745586709051,0.5203231767194386
4-TPP,Dose_1,3.648321568476334,0.6560173238715687,5.561318940398259,3.790062471220601e-4
4C3MP,Dose_5,-0.23866800861454082,0.4183848013294458,-0.5704509529413048,0.999999766539433
4C3MP,Dose_4,-0.06987826790737006,0.4183848013294458,-0.16701913569835036,0.999999766539433
4C3MP,Dose_3,0.6787881134402357,0.4183848013294459,1.6224014622025962,0.9481877043200847
4C3MP,Dose_2,-0.45747840067529577,0.41838480132944605,-1.093439339148141,0.999999766539433
4C3MP,Dose_1,1.3915395986414283,0.4183848013294461,3.32598027992345,0.09174424493749299
4TOP,Dose_5,0.2103164444898859,0.4513784491422733,0.4659425918307294,0.999999766539433
4TOP,Dose_4,0.0763440254586113,0.45137844914227343,0.169135291247695,0.999999766539433
4TOP,Dose_3,-0.3165701825059555,0.46587159337456047,-0.6795223984636326,0.999999766539433
4TOP,Dose_2,-0.595862211968046,0.45137844914227343,-1.3200945085001867,0.999999766539433
4TOP,Dose_1,-1.8835799069270227,0.4658715933745605,-4.04313105524042,0.02977546819123933
Aniline,Dose_5,-0.03323005249043964,0.574037449424557,-0.05788830070886675,0.999999766539433
Aniline,Dose_4,-1.1953360508151447,0.5925606087606959,-2.0172384615898054,0.7514947355956002
Aniline,Dose_3,0.2430931057841565,0.5925606087606959,0.41024175787278666,0.999999766539433
Aniline,Dose_2,0.5601398268665516,0.574037449424557,0.9757896935610437,0.999999766539433
Aniline,Dose_1,2.313691825821112,0.6925405392127265,3.3408756524943577,0.09174424493749299
BPA,Dose_5,-0.1529678895439635,0.3244365823393311,-0.4714877972175562,0.999999766539433
BPA,Dose_4,-0.7020911881918449,0.32443658233933104,-2.164032129575085,0.6208195884022323
BPA,Dose_3,0.01958787472775919,0.3244365823393312,0.06037504952900796,0.999999766539433
BPA,Dose_2,-0.13536843362813894,0.32443658233933126,-0.41724158432465497,0.999999766539433
BPA,Dose_1,0.8169360205924941,0.3244365823393313,2.518014505953749,0.42264860683643934
BPAF,Dose_5,0.2159428000607448,0.3298962893193371,0.6545778387089216,0.999999766539433
BPAF,Dose_4,0.38478220301067256,0.3298962893193371,1.1663732374940607,0.999999766539433
BPAF,Dose_3,-0.08269454034184992,0.3404838795783947,-0.24287358462975311,0.999999766539433
BPAF,Dose_2,0.3435124917242257,0.3298962893193371,1.0412741908464094,0.999999766539433
BPAF,Dose_1,0.41043113572608136,0.32989628931933707,1.2441217104105926,0.999999766539433
Clofibric-acid,Dose_5,0.3926355350514209,0.41587282080756593,0.9441240576601724,0.999999766539433
Clofibric-acid,Dose_4,0.501369945882855,0.4286914993869998,1.1695355438579504,0.999999766539433
Clofibric-acid,Dose_3,0.31748591682811456,0.42502891704374324,0.7469748624078664,0.999999766539433
Clofibric-acid,Dose_2,-0.39489514772617845,0.4158728208075659,-0.9495574799991695,0.999999766539433
Clofibric-acid,Dose_1,-1.6086582460566585,0.415872820807566,-3.8681495052570942,0.033963779031054936
DES,Dose_5,-0.7708931508175602,0.6704572544046474,-1.149802087684319,0.999999766539433
DES,Dose_4,-0.7149033398820405,0.6704572544046473,-1.066292198623252,0.999999766539433
DES,Dose_3,-0.98807003260403925,0.6704572544046477,-1.473725619512351,0.999999766539433
DES,Dose_2,-0.7151152886931524,0.6704572544046478,-1.066608324386258,0.999999766539433
DES,Dose_1,0.12879422755261716,0.6704572544046478,0.19209908865403177,0.999999766539433
DMSO,Dose_5,-0.671860044391332,0.4895657926900272,-1.3723590463697408,0.999999766539433
DMSO,Dose_4,0.6061343402772854,0.4895657926900272,1.2381059896908782,0.999999766539433
DMSO,Dose_3,1.5957498844544094,0.4895657926900274,3.259520800434624,0.09607219429644245
DMSO,Dose_2,0.8683789245335196,0.4895657926900275,1.7737736939544317,0.9008842735022969
DMSO,Dose_1,-0.11397168647372755,0.4895657926900276,-0.23280157269053642,0.999999766539433
EE2,Dose_5,-0.22497261438857505,0.3263781185183701,-0.6893005432161424,0.999999766539433
EE2,Dose_4,-0.7280575223842652,0.3263781185183702,-2.2307179344294386,0.5832600349369188
EE2,Dose_3,-0.534588737224102,0.3368527976835235,-1.587009936982484,0.9481877043200847
EE2,Dose_2,-0.5400338199371767,0.3263781185183701,-1.6546263039591027,0.948099877863411
EE2,Dose_1,-0.4280745178260486,0.3263781185183701,-1.3115907395058855,0.999999766539433
Fadrozole,Dose_5,1.9197443167675303,0.5398197768684274,3.556268960548731,0.07455911507820753
Fadrozole,Dose_4,0.6535491372526523,0.5398197768684274,1.2106802404387356,0.999999766539433
Fadrozole,Dose_3,0.8236054044446885,0.5571445871080671,1.478261520442515,0.999999766539433
Fadrozole,Dose_2,1.4194210031228751,0.5398197768684274,2.629434978016444,0.38398819076442287
Fadrozole,Dose_1,0.46511192290997594,0.5398197768684273,0.8616059337584064,0.999999766539433
Fenitrothione,Dose_5,0.43083195968707216,0.5132197138689528,0.8394688435469613,0.999999766539433
Fenitrothione,Dose_4,0.818414910532226,0.4972607790434813,1.6458464954877579,0.948099877863411
Fenitrothione,Dose_3,1.0690088957436585,0.49726077904348126,2.14979532027436,0.6241015491611293
Fenitrothione,Dose_2,-0.17798434242089778,0.49726077904348126,-0.3579295812616956,0.999999766539433
Fenitrothione,Dose_1,-0.5330992147066047,0.49726077904348137,-1.072071712014089,0.999999766539433
Fluoxetine,Dose_5,0.9086287262178285,0.4197506459519005,2.1646869039528505,0.6208195884022323
Fluoxetine,Dose_4,0.6625166109900766,0.41975064595190037,1.5783575734294286,0.9481877043200847
Fluoxetine,Dose_3,0.7664606832176226,0.4197506459519006,1.825990479370106,0.8767757043414174
Fluoxetine,Dose_2,0.07688285398141392,0.4197506459519007,0.1831631582294788,0.999999766539433
Fluoxetine,Dose_1,-1.6242046544119288,0.41975064595190076,-3.8694512327160218,0.033963779031054936
