Chemical,model,term,df,sumsq,meansq,statistic,p.value,adj_p.value,is.significant
1-Decanol,,Dose,5,7.1114584289502325,1.4222916857900465,1.537992420298745,0.2069120865230583,0.2666170803832571,FALSE
1-Decanol,,Group,2,2.5522791212855314,1.2761395606427657,1.3799510966146993,0.2666170803832571,0.2666170803832571,FALSE
1-Decanol,,Dose:Group,10,22.926941803325306,2.2926941803325307,2.479200509040304,0.025810292550473377,0.07743087765142014,FALSE
1-Decanol,,Residuals,31,28.667919085665616,0.9247715834085682,NA,NA,NA,NA
1-Octanol,,Dose,5,2.146855281721839,0.42937105634436784,0.695358060748036,0.6313202777459033,0.6313202777459033,FALSE
1-Octanol,,Group,2,1.3642681936446832,0.6821340968223416,1.1047028804756516,0.3453201205391434,0.5179801808087151,FALSE
1-Octanol,,Dose:Group,10,7.631195123085708,0.7631195123085708,1.235857183098726,0.31209137885906885,0.5179801808087151,FALSE
1-Octanol,,Residuals,28,17.289494803165343,0.6174819572559052,NA,NA,NA,NA
17betaestradiol,,Dose,5,32.4427393187606,6.48854786375212,4.298821683258083,0.004562519362617287,0.01368755808785186,TRUE
17betaestradiol,,Group,2,1.3643371170520482,0.6821685585260241,0.4519533573006272,0.6406459100268309,0.6406459100268309,FALSE
17betaestradiol,,Dose:Group,10,23.131736024839455,2.3131736024839453,1.5325340967351586,0.17642357839264408,0.2646353675889661,FALSE
17betaestradiol,,Residuals,30,45.281346902724565,1.5093782300908187,NA,NA,NA,NA
24-DMP,,Dose,5,8.92264095177836,1.784528190355672,1.1257326825683052,0.3674174691412721,0.5511262037119081,FALSE
24-DMP,,Group,2,6.561709396902625,3.2808546984513125,2.06965929749101,0.1433209085146161,0.4299627255438483,FALSE
24-DMP,,Dose:Group,10,13.366396093220262,1.336639609322026,0.8431914391496591,0.5923838869342599,0.5923838869342599,FALSE
24-DMP,,Residuals,31,49.14166103343029,1.5852148720461383,NA,NA,NA,NA
24-DNP,,Dose,5,0.8939626506851057,0.17879253013702115,0.2668540058962504,0.9277591814161263,0.9277591814161263,FALSE
24-DNP,,Group,2,5.569599376479485,2.7847996882397426,4.156409397282362,0.02516670703498737,0.07550012110496211,FALSE
24-DNP,,Dose:Group,10,10.309799732554804,1.0309799732554805,1.538773100034938,0.1726998678585781,0.2590498017878672,FALSE
24-DNP,,Residuals,31,20.77004021593192,0.6700012972881265,NA,NA,NA,NA
34-DCA,,Dose,5,6.805873953555292,1.3611747907110583,3.6351529739939834,0.009661242044085706,0.028983726132257116,TRUE
34-DCA,,Group,2,3.0798483476508323,1.5399241738254161,4.112521021111806,0.025144907859645533,0.0377173617894683,TRUE
34-DCA,,Dose:Group,10,6.055581780933005,0.6055581780933005,1.6172034826418682,0.1436132799664301,0.1436132799664301,FALSE
34-DCA,,Residuals,34,12.731222926590538,0.37444773313501584,NA,NA,NA,NA
4-TPP,,Dose,5,51.17362610793661,10.234725221587322,8.120992347458765,5.4569699548095306e-5,1.637090986442859e-4,TRUE
4-TPP,,Group,2,4.990704643131495,2.4953523215657474,1.9799981600782053,0.15514932539584828,0.23272398809377243,FALSE
4-TPP,,Dose:Group,10,13.617692817386335,1.3617692817386335,1.0805290495418611,0.4059458372087538,0.4059458372087538,FALSE
4-TPP,,Residuals,31,39.06868376356612,1.2602801214053587,NA,NA,NA,NA
4C3MP,,Dose,5,11.229346577626853,2.2458693155253706,4.898010899754821,0.0021495951647039625,0.006448785494111887,TRUE
4C3MP,,Group,2,0.12671421543247827,0.06335710771623913,0.13817536132928834,0.871497024307272,0.871497024307272,FALSE
4C3MP,,Dose:Group,10,4.80488457112621,0.480488457112621,1.0478961014672667,0.4299757612368466,0.6449636418552699,FALSE
4C3MP,,Residuals,30,13.755804314182672,0.45852681047275573,NA,NA,NA,NA
4TOP,,Dose,5,21.468025689179925,4.293605137835985,2.4265332675020326,0.05739821621590973,0.17219464864772918,FALSE
4TOP,,Group,2,1.5120232543045766,0.7560116271522883,0.42726038026588736,0.6560766503714728,0.6560766503714728,FALSE
4TOP,,Dose:Group,10,30.729137259827766,3.072913725982777,1.736658855410954,0.11643251053747926,0.17464876580621888,FALSE
4TOP,,Residuals,31,54.85264144345964,1.769440046563214,NA,NA,NA,NA
Aniline,,Dose,5,7.776795327970782,1.5553590655941565,0.796940675169373,0.5597737566326311,0.8396606349489466,FALSE
Aniline,,Group,2,7.595066599114201,3.7975332995571005,1.9457942662076593,0.15892002766241484,0.4767600829872445,FALSE
Aniline,,Dose:Group,9,6.997020839344661,0.7774467599271846,0.3983510685540184,0.9269499141689588,0.9269499141689588,FALSE
Aniline,,Residuals,33,64.40485567347748,1.9516622931356813,NA,NA,NA,NA
BPA,,Dose,5,7.9054130334554085,1.5810826066910817,5.873198088131512,4.571208168347234e-4,0.00137136245050417,TRUE
BPA,,Group,2,0.2665131903575577,0.13325659517877886,0.4950041046070623,0.6136564667999624,0.6136564667999624,FALSE
BPA,,Dose:Group,10,6.864044199524892,0.6864044199524892,2.549765021694182,0.019285876573320256,0.028928814859980383,TRUE
