"chemical","sample","dose","row_sum","genecount","nCovN","nSig80"
"BPA","Pool-ID-1_S1 B04 expression values.csv",0,1525214,18112,10921,237
"BPA","Pool-ID-1_S1 B05 expression values.csv",0,660496,16204,7986,532
"BPA","Pool-ID-1_S1 B06 expression values.csv",0,1049859,18128,10734,662
"BPA","Pool-ID-1_S1 B01 expression values.csv",0.1,1391411,18502,11587,514
"BPA","Pool-ID-1_S1 B02 expression values.csv",0.1,1141473,17987,10886,646
"BPA","Pool-ID-1_S1 B03 expression values.csv",0.1,1080395,17678,10336,499
"BPA","Pool-ID-1_S1 A10 expression values.csv",1,973574,16645,8609,268
"BPA","Pool-ID-1_S1 A11 expression values.csv",1,90912,8017,1444,469
"BPA","Pool-ID-1_S1 A12 expression values.csv",1,1047893,17552,10113,510
"BPA","Pool-ID-1_S1 A07 expression values.csv",10,1362350,17956,10761,326
"BPA","Pool-ID-1_S1 A08 expression values.csv",10,1245749,18175,11028,520
"BPA","Pool-ID-1_S1 A09 expression values.csv",10,1628469,18061,10692,169
"BPA","Pool-ID-1_S1 A04 expression values.csv",100,579532,15159,6577,331
"BPA","Pool-ID-1_S1 A05 expression values.csv",100,1052653,17609,10173,512
"BPA","Pool-ID-1_S1 A06 expression values.csv",100,750904,16214,7897,332
"BPA","Pool-ID-1_S1 A01 expression values.csv",1000,1325841,18283,11103,412
"BPA","Pool-ID-1_S1 A02 expression values.csv",1000,1494905,19197,12563,757
"BPA","Pool-ID-1_S1 A03 expression values.csv",1000,1328734,18242,11209,437
"BPAF","Pool-ID-2_S2 C10 expression values.csv",0,298681,14705,5272,890
"BPAF","Pool-ID-2_S2 C11 expression values.csv",0,347750,15206,5894,819
"BPAF","Pool-ID-2_S2 C12 expression values.csv",0,277679,14621,5268,1047
"BPAF","Pool-ID-2_S2 C07 expression values.csv",0.1,843553,18441,10567,887
"BPAF","Pool-ID-2_S2 C08 expression values.csv",0.1,1433213,19844,12879,632
"BPAF","Pool-ID-2_S2 C09 expression values.csv",0.1,1575732,20083,13766,881
"BPAF","Pool-ID-2_S2 C04 expression values.csv",1,958896,18815,11182,850
"BPAF","Pool-ID-2_S2 C05 expression values.csv",1,1088802,19188,11916,867
