A2,Counts
ENSDARG00000000001,0
ENSDARG00000000002,104
ENSDARG00000000018,86
ENSDARG00000000019,208
ENSDARG00000000068,96
ENSDARG00000000069,525
ENSDARG00000000086,437
ENSDARG00000000103,793
ENSDARG00000000142,18
ENSDARG00000000151,155
ENSDARG00000000161,81
ENSDARG00000000175,23
ENSDARG00000000183,252
ENSDARG00000000189,435
ENSDARG00000000212,1871
ENSDARG00000000229,100
ENSDARG00000000241,159
ENSDARG00000000349,0
ENSDARG00000000369,7
ENSDARG00000000370,342
ENSDARG00000000380,63
ENSDARG00000000394,320
ENSDARG00000000423,24
ENSDARG00000000442,44
ENSDARG00000000460,2
ENSDARG00000000472,63
ENSDARG00000000474,0
ENSDARG00000000476,28
ENSDARG00000000489,141
ENSDARG00000000503,1151
ENSDARG00000000516,0
ENSDARG00000000529,54
ENSDARG00000000540,106
ENSDARG00000000542,8
ENSDARG00000000551,123
ENSDARG00000000563,37637
ENSDARG00000000567,88
ENSDARG00000000568,77
ENSDARG00000000588,26
ENSDARG00000000606,45
ENSDARG00000000631,129
ENSDARG00000000638,0
ENSDARG00000000651,7
ENSDARG00000000656,0
ENSDARG00000000666,51
ENSDARG00000000690,33
ENSDARG00000000729,205
ENSDARG00000000730,41
ENSDARG00000000747,0
ENSDARG00000000760,33
ENSDARG00000000767,23
ENSDARG00000000779,227
ENSDARG00000000796,69
ENSDARG00000000804,13
ENSDARG00000000830,14
ENSDARG00000000837,112
ENSDARG00000000853,120
ENSDARG00000000857,36
ENSDARG00000000861,600
ENSDARG00000000887,14
ENSDARG00000000906,20
ENSDARG00000000935,53
ENSDARG00000000943,99
ENSDARG00000000966,1095
ENSDARG00000001014,1789
ENSDARG00000001015,199
ENSDARG00000001057,92
ENSDARG00000001127,100
ENSDARG00000001129,275
ENSDARG00000001154,116
ENSDARG00000001162,257
ENSDARG00000001169,26
ENSDARG00000001210,57
ENSDARG00000001220,495
ENSDARG00000001234,96
ENSDARG00000001241,252
ENSDARG00000001244,824
ENSDARG00000001249,18
ENSDARG00000001259,5
ENSDARG00000001303,0
ENSDARG00000001313,6
ENSDARG00000001354,23
ENSDARG00000001414,22
ENSDARG00000001431,2413
ENSDARG00000001437,84
ENSDARG00000001442,55
ENSDARG00000001447,70
ENSDARG00000001452,6
ENSDARG00000001463,93
