B11,Counts
ENSDARG00000000001,0
ENSDARG00000000002,21
ENSDARG00000000018,12
ENSDARG00000000019,82
ENSDARG00000000068,81
ENSDARG00000000069,84
ENSDARG00000000086,204
ENSDARG00000000103,392
ENSDARG00000000142,9
ENSDARG00000000151,48
ENSDARG00000000161,35
ENSDARG00000000175,12
ENSDARG00000000183,133
ENSDARG00000000189,155
ENSDARG00000000212,381
ENSDARG00000000229,22
ENSDARG00000000241,36
ENSDARG00000000349,0
ENSDARG00000000369,6
ENSDARG00000000370,161
ENSDARG00000000380,16
ENSDARG00000000394,114
ENSDARG00000000423,7
ENSDARG00000000442,18
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,1
ENSDARG00000000489,25
ENSDARG00000000503,452
ENSDARG00000000516,0
ENSDARG00000000529,12
ENSDARG00000000540,59
ENSDARG00000000542,4
ENSDARG00000000551,6
ENSDARG00000000563,39478
ENSDARG00000000567,38
ENSDARG00000000568,26
ENSDARG00000000588,12
ENSDARG00000000606,12
ENSDARG00000000631,58
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,22
ENSDARG00000000690,4
ENSDARG00000000729,42
ENSDARG00000000730,6
ENSDARG00000000747,2
ENSDARG00000000760,5
ENSDARG00000000767,3
ENSDARG00000000779,88
ENSDARG00000000796,0
ENSDARG00000000804,14
ENSDARG00000000830,0
ENSDARG00000000837,120
ENSDARG00000000853,23
ENSDARG00000000857,7
ENSDARG00000000861,291
ENSDARG00000000887,0
ENSDARG00000000906,7
ENSDARG00000000935,9
ENSDARG00000000943,44
ENSDARG00000000966,477
ENSDARG00000001014,306
ENSDARG00000001015,36
ENSDARG00000001057,45
ENSDARG00000001127,72
ENSDARG00000001129,199
ENSDARG00000001154,160
ENSDARG00000001162,50
ENSDARG00000001169,2
ENSDARG00000001210,4
ENSDARG00000001220,416
ENSDARG00000001234,85
ENSDARG00000001241,88
ENSDARG00000001244,558
ENSDARG00000001249,0
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,25
ENSDARG00000001354,0
ENSDARG00000001414,6
ENSDARG00000001431,918
ENSDARG00000001437,46
ENSDARG00000001442,22
ENSDARG00000001447,19
ENSDARG00000001452,3
ENSDARG00000001463,31
ENSDARG00000001470,47
ENSDARG00000001498,19
ENSDARG00000001549,36
ENSDARG00000001557,2
ENSDARG00000001558,26
ENSDARG00000001559,141
ENSDARG00000001572,0
ENSDARG00000001578,26
ENSDARG00000001621,2
ENSDARG00000001634,50
ENSDARG00000001656,0
ENSDARG00000001676,93
ENSDARG00000001686,0
ENSDARG00000001710,137
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,155
ENSDARG00000001733,41
ENSDARG00000001734,11
ENSDARG00000001754,69
ENSDARG00000001760,49
ENSDARG00000001767,0
ENSDARG00000001769,16
ENSDARG00000001771,0
ENSDARG00000001776,10
ENSDARG00000001777,84
ENSDARG00000001781,0
ENSDARG00000001782,0
ENSDARG00000001785,41
ENSDARG00000001788,85
ENSDARG00000001803,17
ENSDARG00000001804,0
ENSDARG00000001807,39
ENSDARG00000001817,17
ENSDARG00000001818,129
ENSDARG00000001825,2
ENSDARG00000001829,124
ENSDARG00000001835,26
ENSDARG00000001857,135
ENSDARG00000001859,0
ENSDARG00000001870,1003
ENSDARG00000001873,10
ENSDARG00000001879,92
ENSDARG00000001880,8
ENSDARG00000001881,12
ENSDARG00000001882,15
ENSDARG00000001888,81
ENSDARG00000001889,161
ENSDARG00000001890,99
ENSDARG00000001891,19
ENSDARG00000001897,31
ENSDARG00000001898,4
ENSDARG00000001906,0
ENSDARG00000001909,8
ENSDARG00000001910,192
ENSDARG00000001912,13
ENSDARG00000001913,43
ENSDARG00000001929,32
ENSDARG00000001930,78
ENSDARG00000001933,12
ENSDARG00000001937,9
ENSDARG00000001939,1
ENSDARG00000001940,13
ENSDARG00000001950,703
ENSDARG00000001953,54
ENSDARG00000001968,114
ENSDARG00000001969,29
ENSDARG00000001971,23
