C10,Counts
ENSDARG00000000001,25
ENSDARG00000000002,51
ENSDARG00000000018,65
ENSDARG00000000019,149
ENSDARG00000000068,7
ENSDARG00000000069,123
ENSDARG00000000086,231
ENSDARG00000000103,369
ENSDARG00000000142,18
ENSDARG00000000151,26
ENSDARG00000000161,50
ENSDARG00000000175,8
ENSDARG00000000183,153
ENSDARG00000000189,169
ENSDARG00000000212,169
ENSDARG00000000229,43
ENSDARG00000000241,62
ENSDARG00000000349,0
ENSDARG00000000369,23
ENSDARG00000000370,213
ENSDARG00000000380,43
ENSDARG00000000394,141
ENSDARG00000000423,13
ENSDARG00000000442,9
ENSDARG00000000460,0
ENSDARG00000000472,54
ENSDARG00000000474,4
ENSDARG00000000476,15
ENSDARG00000000489,28
ENSDARG00000000503,944
ENSDARG00000000516,0
ENSDARG00000000529,20
ENSDARG00000000540,70
ENSDARG00000000542,3
ENSDARG00000000551,28
ENSDARG00000000563,39845
ENSDARG00000000567,58
ENSDARG00000000568,41
ENSDARG00000000588,0
ENSDARG00000000606,0
ENSDARG00000000631,77
ENSDARG00000000638,0
ENSDARG00000000651,1
ENSDARG00000000656,0
ENSDARG00000000666,34
ENSDARG00000000690,3
ENSDARG00000000729,46
ENSDARG00000000730,10
ENSDARG00000000747,0
ENSDARG00000000760,32
ENSDARG00000000767,4
ENSDARG00000000779,114
ENSDARG00000000796,1
ENSDARG00000000804,1
ENSDARG00000000830,0
ENSDARG00000000837,50
ENSDARG00000000853,35
ENSDARG00000000857,13
ENSDARG00000000861,370
ENSDARG00000000887,5
ENSDARG00000000906,0
ENSDARG00000000935,7
ENSDARG00000000943,10
ENSDARG00000000966,668
ENSDARG00000001014,365
ENSDARG00000001015,180
ENSDARG00000001057,26
ENSDARG00000001127,80
ENSDARG00000001129,161
ENSDARG00000001154,60
ENSDARG00000001162,107
ENSDARG00000001169,0
ENSDARG00000001210,20
ENSDARG00000001220,403
ENSDARG00000001234,38
ENSDARG00000001241,71
ENSDARG00000001244,321
ENSDARG00000001249,0
ENSDARG00000001259,0
ENSDARG00000001303,0
ENSDARG00000001313,26
ENSDARG00000001354,6
ENSDARG00000001414,0
ENSDARG00000001431,799
ENSDARG00000001437,44
ENSDARG00000001442,30
ENSDARG00000001447,44
ENSDARG00000001452,0
ENSDARG00000001463,70
ENSDARG00000001470,22
ENSDARG00000001498,0
ENSDARG00000001549,73
ENSDARG00000001557,9
ENSDARG00000001558,16
ENSDARG00000001559,167
ENSDARG00000001572,0
ENSDARG00000001578,45
ENSDARG00000001621,3
ENSDARG00000001634,131
ENSDARG00000001656,0
ENSDARG00000001676,81
ENSDARG00000001686,4
ENSDARG00000001710,83
ENSDARG00000001712,76
ENSDARG00000001721,0
ENSDARG00000001729,145
ENSDARG00000001733,79
ENSDARG00000001734,7
ENSDARG00000001754,7
ENSDARG00000001760,31
ENSDARG00000001767,2
ENSDARG00000001769,73
ENSDARG00000001771,0
ENSDARG00000001776,13
ENSDARG00000001777,65
ENSDARG00000001781,0
ENSDARG00000001782,13
ENSDARG00000001785,20
ENSDARG00000001788,52
ENSDARG00000001803,34
ENSDARG00000001804,1
ENSDARG00000001807,38
ENSDARG00000001817,2
ENSDARG00000001818,72
ENSDARG00000001825,0
ENSDARG00000001829,206
ENSDARG00000001835,127
ENSDARG00000001857,301
ENSDARG00000001859,0
ENSDARG00000001870,632
ENSDARG00000001873,6
ENSDARG00000001879,73
ENSDARG00000001880,2
ENSDARG00000001881,28
ENSDARG00000001882,15
ENSDARG00000001888,67
ENSDARG00000001889,133
ENSDARG00000001890,126
ENSDARG00000001891,24
ENSDARG00000001897,71
ENSDARG00000001898,3
ENSDARG00000001906,1
ENSDARG00000001909,0
ENSDARG00000001910,167
ENSDARG00000001912,36
ENSDARG00000001913,37
ENSDARG00000001929,19
ENSDARG00000001930,13
ENSDARG00000001933,6
ENSDARG00000001937,5
ENSDARG00000001939,13
ENSDARG00000001940,40
ENSDARG00000001950,632
ENSDARG00000001953,19
ENSDARG00000001968,152
ENSDARG00000001969,33
ENSDARG00000001971,8
ENSDARG00000001975,20
ENSDARG00000001976,8
ENSDARG00000001993,49
ENSDARG00000001994,442
ENSDARG00000001999,129
ENSDARG00000002002,12
ENSDARG00000002006,143
ENSDARG00000002013,61
ENSDARG00000002016,2
ENSDARG00000002020,74
ENSDARG00000002021,12
ENSDARG00000002026,68
ENSDARG00000002031,0
ENSDARG00000002037,40
ENSDARG00000002060,3
ENSDARG00000002071,69
ENSDARG00000002077,26
ENSDARG00000002082,51
ENSDARG00000002084,70
ENSDARG00000002097,9
ENSDARG00000002127,123
ENSDARG00000002128,22
ENSDARG00000002131,151
ENSDARG00000002165,0
ENSDARG00000002167,68
ENSDARG00000002168,51
ENSDARG00000002172,14
ENSDARG00000002174,4
ENSDARG00000002184,22
ENSDARG00000002190,59
ENSDARG00000002192,12
ENSDARG00000002193,1259
ENSDARG00000002194,0
ENSDARG00000002196,60
ENSDARG00000002197,82
ENSDARG00000002204,20
ENSDARG00000002210,74
ENSDARG00000002213,6
ENSDARG00000002215,12
ENSDARG00000002216,3
ENSDARG00000002217,107
ENSDARG00000002219,2
ENSDARG00000002220,0
ENSDARG00000002230,75
ENSDARG00000002231,17
ENSDARG00000002235,73
ENSDARG00000002240,45
ENSDARG00000002241,12
ENSDARG00000002249,40
ENSDARG00000002255,59
ENSDARG00000002259,0
ENSDARG00000002264,6
ENSDARG00000002267,16
ENSDARG00000002271,158
ENSDARG00000002285,40
ENSDARG00000002293,0
ENSDARG00000002295,12
ENSDARG00000002298,0
ENSDARG00000002299,3
ENSDARG00000002300,11
ENSDARG00000002304,0
ENSDARG00000002305,83
ENSDARG00000002311,0
ENSDARG00000002330,0
ENSDARG00000002332,138
ENSDARG00000002333,36
ENSDARG00000002336,162
ENSDARG00000002339,19
ENSDARG00000002344,334
ENSDARG00000002347,0
ENSDARG00000002353,0
ENSDARG00000002355,0
ENSDARG00000002362,59
ENSDARG00000002365,6
ENSDARG00000002369,114
ENSDARG00000002377,7
ENSDARG00000002385,17
ENSDARG00000002391,21
ENSDARG00000002394,14
ENSDARG00000002396,55
ENSDARG00000002401,0
ENSDARG00000002402,38
ENSDARG00000002403,33
ENSDARG00000002405,48
ENSDARG00000002406,0
ENSDARG00000002411,17
ENSDARG00000002445,13
ENSDARG00000002463,14
ENSDARG00000002467,14
ENSDARG00000002479,26
ENSDARG00000002483,15
ENSDARG00000002487,26
ENSDARG00000002494,19
ENSDARG00000002506,3
ENSDARG00000002507,44
ENSDARG00000002508,63
ENSDARG00000002509,0
ENSDARG00000002510,0
ENSDARG00000002523,16
ENSDARG00000002533,3
ENSDARG00000002536,69
ENSDARG00000002538,53
ENSDARG00000002546,23
ENSDARG00000002549,16
ENSDARG00000002552,84
ENSDARG00000002564,67
ENSDARG00000002571,52
ENSDARG00000002576,10
ENSDARG00000002582,18
ENSDARG00000002587,337
ENSDARG00000002589,267
ENSDARG00000002591,79
ENSDARG00000002593,16
ENSDARG00000002597,0
ENSDARG00000002600,87
ENSDARG00000002601,26
ENSDARG00000002607,14
ENSDARG00000002609,13
ENSDARG00000002613,0
ENSDARG00000002632,72
ENSDARG00000002634,0
ENSDARG00000002635,100
ENSDARG00000002642,12
ENSDARG00000002644,24
ENSDARG00000002656,211
ENSDARG00000002659,68
