G12,Counts
ENSDARG00000000001,0
ENSDARG00000000002,0
ENSDARG00000000018,6
ENSDARG00000000019,14
ENSDARG00000000068,0
ENSDARG00000000069,4
ENSDARG00000000086,40
ENSDARG00000000103,32
ENSDARG00000000142,0
ENSDARG00000000151,1
ENSDARG00000000161,4
ENSDARG00000000175,6
ENSDARG00000000183,66
ENSDARG00000000189,44
ENSDARG00000000212,21
ENSDARG00000000229,16
ENSDARG00000000241,24
ENSDARG00000000349,0
ENSDARG00000000369,0
ENSDARG00000000370,71
ENSDARG00000000380,39
ENSDARG00000000394,45
ENSDARG00000000423,1
ENSDARG00000000442,0
ENSDARG00000000460,0
ENSDARG00000000472,0
ENSDARG00000000474,0
ENSDARG00000000476,0
ENSDARG00000000489,4
ENSDARG00000000503,131
ENSDARG00000000516,0
ENSDARG00000000529,14
ENSDARG00000000540,3
ENSDARG00000000542,0
ENSDARG00000000551,10
ENSDARG00000000563,2344
ENSDARG00000000567,8
ENSDARG00000000568,4
ENSDARG00000000588,1
ENSDARG00000000606,13
ENSDARG00000000631,8
ENSDARG00000000638,0
ENSDARG00000000651,0
ENSDARG00000000656,0
ENSDARG00000000666,7
ENSDARG00000000690,2
ENSDARG00000000729,8
ENSDARG00000000730,0
ENSDARG00000000747,0
ENSDARG00000000760,0
ENSDARG00000000767,0
ENSDARG00000000779,9
ENSDARG00000000796,0
ENSDARG00000000804,0
ENSDARG00000000830,0
ENSDARG00000000837,10
ENSDARG00000000853,16
ENSDARG00000000857,2
ENSDARG00000000861,21
ENSDARG00000000887,4
ENSDARG00000000906,0
ENSDARG00000000935,0
ENSDARG00000000943,7
ENSDARG00000000966,103
ENSDARG00000001014,33
ENSDARG00000001015,9
ENSDARG00000001057,7
ENSDARG00000001127,26
ENSDARG00000001129,57
ENSDARG00000001154,39
ENSDARG00000001162,16
ENSDARG00000001169,0
ENSDARG00000001210,0
ENSDARG00000001220,9
ENSDARG00000001234,7
ENSDARG00000001241,7
ENSDARG00000001244,97
ENSDARG00000001249,0
ENSDARG00000001259,11
ENSDARG00000001303,0
ENSDARG00000001313,6
ENSDARG00000001354,0
ENSDARG00000001414,5
ENSDARG00000001431,46
ENSDARG00000001437,14
ENSDARG00000001442,0
ENSDARG00000001447,0
ENSDARG00000001452,1
ENSDARG00000001463,21
ENSDARG00000001470,12
ENSDARG00000001498,0
ENSDARG00000001549,11
ENSDARG00000001557,0
ENSDARG00000001558,12
ENSDARG00000001559,133
ENSDARG00000001572,0
ENSDARG00000001578,14
ENSDARG00000001621,9
ENSDARG00000001634,40
ENSDARG00000001656,0
ENSDARG00000001676,14
ENSDARG00000001686,5
ENSDARG00000001710,11
ENSDARG00000001712,0
ENSDARG00000001721,0
ENSDARG00000001729,26
ENSDARG00000001733,6
ENSDARG00000001734,4
ENSDARG00000001754,13
