sample,chemical,dose
A01Gene_Counts_Data_UPXome-Salmon.csv,BPA,1000
A02Gene_Counts_Data_UPXome-Salmon.csv,BPA,1000
A03Gene_Counts_Data_UPXome-Salmon.csv,BPA,1000
A04Gene_Counts_Data_UPXome-Salmon.csv,BPA,100
A05Gene_Counts_Data_UPXome-Salmon.csv,BPA,100
A06Gene_Counts_Data_UPXome-Salmon.csv,BPA,100
A07Gene_Counts_Data_UPXome-Salmon.csv,BPA,10
A08Gene_Counts_Data_UPXome-Salmon.csv,BPA,10
A09Gene_Counts_Data_UPXome-Salmon.csv,BPA,10
A10Gene_Counts_Data_UPXome-Salmon.csv,BPA,1
A11Gene_Counts_Data_UPXome-Salmon.csv,BPA,1
A12Gene_Counts_Data_UPXome-Salmon.csv,BPA,1
B01Gene_Counts_Data_UPXome-Salmon.csv,BPA,0.1
B02Gene_Counts_Data_UPXome-Salmon.csv,BPA,0.1
B03Gene_Counts_Data_UPXome-Salmon.csv,BPA,0.1
B04Gene_Counts_Data_UPXome-Salmon.csv,BPA,0
B05Gene_Counts_Data_UPXome-Salmon.csv,BPA,0
B06Gene_Counts_Data_UPXome-Salmon.csv,BPA,0
B07Gene_Counts_Data_UPXome-Salmon.csv,BPAF,1000
B08Gene_Counts_Data_UPXome-Salmon.csv,BPAF,1000
B09Gene_Counts_Data_UPXome-Salmon.csv,BPAF,1000
B10Gene_Counts_Data_UPXome-Salmon.csv,BPAF,100
B11Gene_Counts_Data_UPXome-Salmon.csv,BPAF,100
B12Gene_Counts_Data_UPXome-Salmon.csv,BPAF,100
C01Gene_Counts_Data_UPXome-Salmon.csv,BPAF,10
C02Gene_Counts_Data_UPXome-Salmon.csv,BPAF,10
C03Gene_Counts_Data_UPXome-Salmon.csv,BPAF,10
C04Gene_Counts_Data_UPXome-Salmon.csv,BPAF,1
C05Gene_Counts_Data_UPXome-Salmon.csv,BPAF,1
C06Gene_Counts_Data_UPXome-Salmon.csv,BPAF,1
C07Gene_Counts_Data_UPXome-Salmon.csv,BPAF,0.1
C08Gene_Counts_Data_UPXome-Salmon.csv,BPAF,0.1
C09Gene_Counts_Data_UPXome-Salmon.csv,BPAF,0.1
C10Gene_Counts_Data_UPXome-Salmon.csv,BPAF,0
C11Gene_Counts_Data_UPXome-Salmon.csv,BPAF,0
C12Gene_Counts_Data_UPXome-Salmon.csv,BPAF,0
D01Gene_Counts_Data_UPXome-Salmon.csv,DES,100
D02Gene_Counts_Data_UPXome-Salmon.csv,DES,100
D03Gene_Counts_Data_UPXome-Salmon.csv,DES,100
D04Gene_Counts_Data_UPXome-Salmon.csv,DES,10
D05Gene_Counts_Data_UPXome-Salmon.csv,DES,10
D06Gene_Counts_Data_UPXome-Salmon.csv,DES,10
D07Gene_Counts_Data_UPXome-Salmon.csv,DES,1
D08Gene_Counts_Data_UPXome-Salmon.csv,DES,1
D09Gene_Counts_Data_UPXome-Salmon.csv,DES,1
D10Gene_Counts_Data_UPXome-Salmon.csv,DES,0.1
D11Gene_Counts_Data_UPXome-Salmon.csv,DES,0.1
D12Gene_Counts_Data_UPXome-Salmon.csv,DES,0.1
E01Gene_Counts_Data_UPXome-Salmon.csv,DES,0.01
E02Gene_Counts_Data_UPXome-Salmon.csv,DES,0.01
E03Gene_Counts_Data_UPXome-Salmon.csv,DES,0.01
E04Gene_Counts_Data_UPXome-Salmon.csv,DES,0
E05Gene_Counts_Data_UPXome-Salmon.csv,DES,0
E06Gene_Counts_Data_UPXome-Salmon.csv,DES,0
E07Gene_Counts_Data_UPXome-Salmon.csv,EE2,1
E08Gene_Counts_Data_UPXome-Salmon.csv,EE2,1
E09Gene_Counts_Data_UPXome-Salmon.csv,EE2,1
E10Gene_Counts_Data_UPXome-Salmon.csv,EE2,0.1
E11Gene_Counts_Data_UPXome-Salmon.csv,EE2,0.1
E12Gene_Counts_Data_UPXome-Salmon.csv,EE2,0.1
F01Gene_Counts_Data_UPXome-Salmon.csv,EE2,0.01
F02Gene_Counts_Data_UPXome-Salmon.csv,EE2,0.01
F03Gene_Counts_Data_UPXome-Salmon.csv,EE2,0.01
F04Gene_Counts_Data_UPXome-Salmon.csv,EE2,0.001
F05Gene_Counts_Data_UPXome-Salmon.csv,EE2,0.001
F06Gene_Counts_Data_UPXome-Salmon.csv,EE2,0.001
F07Gene_Counts_Data_UPXome-Salmon.csv,EE2,0.0001
F08Gene_Counts_Data_UPXome-Salmon.csv,EE2,0.0001
F09Gene_Counts_Data_UPXome-Salmon.csv,EE2,0.0001
F10Gene_Counts_Data_UPXome-Salmon.csv,EE2,0
F11Gene_Counts_Data_UPXome-Salmon.csv,EE2,0
F12Gene_Counts_Data_UPXome-Salmon.csv,EE2,0
G01Gene_Counts_Data_UPXome-Salmon.csv,TGSH,1000
G02Gene_Counts_Data_UPXome-Salmon.csv,TGSH,1000
G03Gene_Counts_Data_UPXome-Salmon.csv,TGSH,1000
G04Gene_Counts_Data_UPXome-Salmon.csv,TGSH,100
G05Gene_Counts_Data_UPXome-Salmon.csv,TGSH,100
G06Gene_Counts_Data_UPXome-Salmon.csv,TGSH,100
G07Gene_Counts_Data_UPXome-Salmon.csv,TGSH,10
G08Gene_Counts_Data_UPXome-Salmon.csv,TGSH,10
G09Gene_Counts_Data_UPXome-Salmon.csv,TGSH,10
G10Gene_Counts_Data_UPXome-Salmon.csv,TGSH,1
G11Gene_Counts_Data_UPXome-Salmon.csv,TGSH,1
