"chemical","sample","dose","row_sum","genecount","nCovN","nSig80"
"BPA","Pool-ID-6_S6 A01 expression values.csv","1000",526966,16722,11840,4035
"BPA","Pool-ID-6_S6 A02 expression values.csv","1000",1130595,18796,14945,4098
"BPA","Pool-ID-6_S6 A03 expression values.csv","1000",661595,17261,12832,4035
"BPA","Pool-ID-6_S6 A04 expression values.csv","100",820071,17959,13721,4030
"BPA","Pool-ID-6_S6 A05 expression values.csv","100",1596554,19381,16145,4057
"BPA","Pool-ID-6_S6 A06 expression values.csv","100",324486,14909,9484,3791
"BPA","Pool-ID-6_S6 A07 expression values.csv","10",1135376,18787,14954,3986
"BPA","Pool-ID-6_S6 A08 expression values.csv","10",1497423,19295,15963,4194
"BPA","Pool-ID-6_S6 A09 expression values.csv","10",2111930,20033,17108,4169
"BPA","Pool-ID-6_S6 A10 expression values.csv","1",642667,17229,12592,4054
"BPA","Pool-ID-6_S6 A11 expression values.csv","1",155519,12029,6349,3526
"BPA","Pool-ID-6_S6 A12 expression values.csv","1",467755,16033,11227,3937
"BPA","Pool-ID-6_S6 B01 expression values.csv","0.1",1189298,18706,15074,4121
"BPA","Pool-ID-6_S6 B02 expression values.csv","0.1",931300,18050,14095,4077
"BPA","Pool-ID-6_S6 B03 expression values.csv","0.1",1051295,18393,14591,4112
"BPA","Pool-ID-6_S6 B04 expression values.csv","0",2064253,19916,16942,4126
"BPA","Pool-ID-6_S6 B05 expression values.csv","0",735404,17379,13075,3919
"BPA","Pool-ID-6_S6 B06 expression values.csv","0",1750243,19714,16446,4131
"BPAF","Pool-ID-7_S7 B07 expression values.csv","1000",1868765,18521,15990,3964
"BPAF","Pool-ID-7_S7 B08 expression values.csv","1000",576138,14895,11509,3738
"BPAF","Pool-ID-7_S7 B09 expression values.csv","1000",1045674,16966,13874,3863
"BPAF","Pool-ID-7_S7 B10 expression values.csv","100",102388,8190,4634,2723
"BPAF","Pool-ID-7_S7 B11 expression values.csv","100",761352,15808,12533,3733
"BPAF","Pool-ID-7_S7 B12 expression values.csv","100",561455,14808,11324,3696
"BPAF","Pool-ID-7_S7 C01 expression values.csv","10",1756089,18553,15828,3940
"BPAF","Pool-ID-7_S7 C02 expression values.csv","10",539070,14712,11100,3681
"BPAF","Pool-ID-7_S7 C03 expression values.csv","10",842310,16374,13082,3837
"BPAF","Pool-ID-7_S7 C04 expression values.csv","1",508083,14602,10966,3709
"BPAF","Pool-ID-7_S7 C05 expression values.csv","1",455457,14225,10442,3666
"BPAF","Pool-ID-7_S7 C06 expression values.csv","1",869351,16491,13297,3941
"BPAF","Pool-ID-7_S7 C07 expression values.csv","0.1",1158056,17382,14503,4030
"BPAF","Pool-ID-7_S7 C08 expression values.csv","0.1",1175555,17341,14368,4064
"BPAF","Pool-ID-7_S7 C09 expression values.csv","0.1",332934,12783,9089,3533
"BPAF","Pool-ID-7_S7 C10 expression values.csv","0",567471,14938,11455,3774
"BPAF","Pool-ID-7_S7 C11 expression values.csv","0",16794,3091,1108,1326
"BPAF","Pool-ID-7_S7 C12 expression values.csv","0",54315,5794,2990,2140
"DES","Pool-ID-8_S8 D01 expression values.csv","100",608,184,44,94
"DES","Pool-ID-8_S8 D02 expression values.csv","100",1327498,18363,15190,3820
"DES","Pool-ID-8_S8 D03 expression values.csv","100",762869,16790,13091,3914
"DES","Pool-ID-8_S8 D04 expression values.csv","10",383955,14380,9962,3532
"DES","Pool-ID-8_S8 D05 expression values.csv","10",1945178,19266,16595,4043
"DES","Pool-ID-8_S8 D06 expression values.csv","10",1078112,17782,14484,3824
"DES","Pool-ID-8_S8 D07 expression values.csv","1",1148950,18017,14768,3810
"DES","Pool-ID-8_S8 D08 expression values.csv","1",924706,17495,14009,3933
"DES","Pool-ID-8_S8 D09 expression values.csv","1",212911,11850,7490,3373
"DES","Pool-ID-8_S8 D10 expression values.csv","0.1",543741,15740,11697,3864
"DES","Pool-ID-8_S8 D11 expression values.csv","0.1",668088,16524,12688,3901
"DES","Pool-ID-8_S8 D12 expression values.csv","0.1",57178,6982,2871,2389
"DES","Pool-ID-8_S8 E01 expression values.csv","0.01",918970,17342,13836,3830
"DES","Pool-ID-8_S8 E02 expression values.csv","0.01",427502,14789,10465,3670
"DES","Pool-ID-8_S8 E03 expression values.csv","0.01",667673,16626,12748,4020
"DES","Pool-ID-8_S8 E04 expression values.csv","0",2303909,20038,17403,4056
"DES","Pool-ID-8_S8 E05 expression values.csv","0",577430,16061,11995,3878
"DES","Pool-ID-8_S8 E06 expression values.csv","0",1488285,18630,15757,4006
"EE2","Pool-ID-9_S9 E07 expression values.csv","1",1087965,16934,13979,3847
"EE2","Pool-ID-9_S9 E08 expression values.csv","1",1105842,16680,13807,3593
"EE2","Pool-ID-9_S9 E09 expression values.csv","1",1377815,17240,14753,3905
"EE2","Pool-ID-9_S9 E10 expression values.csv","0.1",33398,4048,1890,1506
"EE2","Pool-ID-9_S9 E11 expression values.csv","0.1",1412335,17287,14688,3732
"EE2","Pool-ID-9_S9 E12 expression values.csv","0.1",249058,11395,7794,3229
