Name,Ensembl ID,Biotype,Total exon reads,RPKM,TPM,CPM
rpl24,ENSDARG00000099104,protein_coding,88,106.1746206569,368.5106142905,240.8816026223
cep97,ENSDARG00000102407,protein_coding,0,0,0,0
nfkbiz,ENSDARG00000102097,protein_coding,0,0,0,0
CU651657.1,ENSDARG00000099319,protein_coding,0,0,0,0
eed,ENSDARG00000099640,protein_coding,1,1.1738288037,4.0741221474,2.7372909389
hikeshi,ENSDARG00000104071,protein_coding,0,0,0,0
tmem39a,ENSDARG00000102746,protein_coding,0,0,0,0
ildr1a,ENSDARG00000103929,protein_coding,2,1.498270855,5.2001948274,5.4745818778
si:zfos-1011f11.2,ENSDARG00000101073,protein_coding,0,0,0,0
gpa33a,ENSDARG00000100223,protein_coding,42,22.3018477838,77.4051988673,114.9662194334
FP067451.1,ENSDARG00000096573,antisense,0,0,0,0
f7l,ENSDARG00000100782,protein_coding,9,6.5190443559,22.6262832428,24.63561845
f7,ENSDARG00000034862,protein_coding,2,2.2983425221,7.9770816174,5.4745818778
f7i,ENSDARG00000075827,protein_coding,0,0,0,0
f10,ENSDARG00000088581,protein_coding,17,12.9594660035,44.9796829816,46.5339459611
prozb,ENSDARG00000076900,protein_coding,0,0,0,0
pcid2,ENSDARG00000013802,protein_coding,0,0,0,0
cul4a,ENSDARG00000096578,protein_coding,9,8.7183864406,30.2597543834,24.63561845
FO681286.1,ENSDARG00000109848,protein_coding,0,0,0,0
lamp1a,ENSDARG00000100181,protein_coding,6,10.4464864888,36.257639814,16.4237456333
grtp1a,ENSDARG00000029936,protein_coding,2,2.4130595604,8.3752412339,5.4745818778
adprhl1,ENSDARG00000041589,protein_coding,6,8.1099511493,28.1479986592,16.4237456333
dcun1d2b,ENSDARG00000041592,protein_coding,0,0,0,0
tmco3,ENSDARG00000075108,protein_coding,0,0,0,0
tfdp1b,ENSDARG00000016304,protein_coding,3,1.6529426011,5.7370291463,8.2118728167
grk1a,ENSDARG00000058803,protein_coding,6,3.0752230936,10.6734768091,16.4237456333
cenpe,ENSDARG00000063385,protein_coding,3,0.7363977369,2.5558874683,8.2118728167
gas6,ENSDARG00000007804,protein_coding,6,4.7300359756,16.4169973219,16.4237456333
pros1,ENSDARG00000068261,protein_coding,8,6.210159257,21.5542055952,21.8983275111
rasa3,ENSDARG00000063371,protein_coding,9,6.4649817904,22.4386430224,24.63561845
tpp2,ENSDARG00000078751,protein_coding,27,10.2126950335,35.4461970016,73.90685535
ENSDARG00000078878,ENSDARG00000078878,protein_coding,2,4.1247039906,14.3160125456,5.4745818778
zgc:92518,ENSDARG00000016343,protein_coding,0,0,0,0
ercc5,ENSDARG00000023678,protein_coding,0,0,0,0
blzf1,ENSDARG00000011299,protein_coding,10,6.8293390646,23.7032533607,27.3729093889
trmt10c,ENSDARG00000041575,protein_coding,0,0,0,0
txnl4b,ENSDARG00000058962,protein_coding,0,0,0,0
si:ch73-41e3.7,ENSDARG00000089799,protein_coding,0,0,0,0
mrpl16,ENSDARG00000075325,protein_coding,4,2.6669029009,9.2562800808,10.9491637556
mrpl39,ENSDARG00000041570,protein_coding,11,8.6357095634,29.9727996801,30.1102003278
CU571081.1,ENSDARG00000113329,protein_coding,4,7.4913542749,26.0009741369,10.9491637556
dre-mir-155,ENSDARG00000081781,miRNA,0,0,0,
jam2a,ENSDARG00000058996,protein_coding,1,1.6330328447,5.6679264124,2.7372909389
atp5pf,ENSDARG00000014313,protein_coding,4,5.3926091084,18.7166545343,10.9491637556
appa,ENSDARG00000104279,protein_coding,167,57.062472959,198.0522919031,457.1275867946
cyyr1,ENSDARG00000103783,protein_coding,4,2.8399601247,9.8569266707,10.9491637556
adamts1,ENSDARG00000103519,protein_coding,2,1.519627786,5.2743204115,5.4745818778
adamts5,ENSDARG00000100307,protein_coding,5,3.6937647677,12.8203097423,13.6864546944
gart,ENSDARG00000101089,protein_coding,0,0,0,0
n6amt1,ENSDARG00000115421,protein_coding,4,7.1746361045,24.901709484,10.9491637556
CU611053.1,ENSDARG00000115673,rRNA,0,0,0,
CR450787.2,ENSDARG00000116514,rRNA,0,0,0,
CR450787.1,ENSDARG00000103469,processed_transcript,0,0,0,
CZQB01066256.1,ENSDARG00000117321,lincRNA,0,0,0,0
runx1,ENSDARG00000087646,protein_coding,8,7.4913542749,26.0009741369,21.8983275111
dre-mir-459,ENSDARG00000080051,miRNA,0,0,0,
urp2,ENSDARG00000067781,protein_coding,8,15.6894400851,54.4548703621,21.8983275111
clic6,ENSDARG00000099108,protein_coding,0,0,0,0
atp1a1a.4,ENSDARG00000001870,protein_coding,401,186.4502740595,647.1311562327,1097.6536664947
atp1a1a.1,ENSDARG00000002791,protein_coding,203,98.4846475352,341.8202743444,555.6700605946
atp1a1a.2,ENSDARG00000007739,protein_coding,36,22.6030290564,78.4505380934,98.5424738
atp1a1a.3,ENSDARG00000039131,protein_coding,15,9.5447695651,33.1279629154,41.0593640833
atp1a1a.5,ENSDARG00000040252,protein_coding,7,3.8094124814,13.2216995447,19.1610365722
si:ch211-132g1.3,ENSDARG00000089477,protein_coding,7,4.6065070209,15.9882533273,19.1610365722
si:ch211-132g1.6,ENSDARG00000093102,protein_coding,0,0,0,0
si:ch211-132g1.4,ENSDARG00000095102,protein_coding,0,0,0,0
si:ch211-132g1.1,ENSDARG00000040250,protein_coding,0,0,0,0
si:ch211-132g1.7,ENSDARG00000075505,protein_coding,0,0,0,0
slc5a3a,ENSDARG00000010376,protein_coding,2,2.0623519953,7.1580062728,5.4745818778
oxgr1a.1,ENSDARG00000033684,protein_coding,0,0,0,0
oxgr1a.3,ENSDARG00000040247,protein_coding,0,0,0,0
oxgr1a.2,ENSDARG00000078743,protein_coding,0,0,0,0
mbnl2,ENSDARG00000018460,protein_coding,37,13.298319505,46.1557748877,101.2797647389
rap2ab,ENSDARG00000040246,protein_coding,0,0,0,0
kpnb3,ENSDARG00000040245,protein_coding,53,25.9733835449,90.1483562278,145.0764197612
CR352215.1,ENSDARG00000082290,snoRNA,0,0,0,
farp1,ENSDARG00000074381,protein_coding,89,33.7254324103,117.0541485136,243.6188935612
si:ch211-235f1.3,ENSDARG00000095179,protein_coding,0,0,0,0
CR352215.2,ENSDARG00000084484,rRNA,0,0,0,
ggact.3,ENSDARG00000070579,protein_coding,0,0,0,0
ggact.2,ENSDARG00000038248,protein_coding,1,0.9280583979,3.2211028228,2.7372909389
ggact.1,ENSDARG00000070581,protein_coding,2,2.3227383366,8.0617545508,5.4745818778
CU986306.1,ENSDARG00000096559,antisense,0,0,0,0
gpc6a,ENSDARG00000103156,protein_coding,10,10.2862484477,35.7014860118,27.3729093889
gpc5a,ENSDARG00000103647,protein_coding,0,0,0,0
dre-mir-92a-1,ENSDARG00000104805,miRNA,0,0,0,
dre-mir-19b,ENSDARG00000100273,miRNA,0,0,0,
dre-mir-20a,ENSDARG00000104910,miRNA,0,0,0,
dre-mir-19a,ENSDARG00000099103,miRNA,0,0,0,
dre-mir-18a,ENSDARG00000098078,miRNA,0,0,0,
dre-mir-17a-1,ENSDARG00000104155,miRNA,0,0,0,
CABZ01113467.1,ENSDARG00000117575,lincRNA,0,0,0,0
CABZ01063288.1,ENSDARG00000088916,rRNA,0,0,0,
slitrk6,ENSDARG00000098769,protein_coding,12,6.412907387,22.25790331,32.8474912667
FP009765.2,ENSDARG00000104115,rRNA,0,0,0,
FP009765.1,ENSDARG00000102013,lincRNA,0,0,0,0
FO744838.1,ENSDARG00000117775,lincRNA,0,0,0,0
FQ790365.1,ENSDARG00000082581,rRNA,0,0,0,
spry2,ENSDARG00000078308,protein_coding,23,20.8156589722,72.2469383668,62.9576915945
ndfip2,ENSDARG00000033928,protein_coding,21,7.9736743446,27.675009458,57.4831097167
tuba8l2,ENSDARG00000031164,protein_coding,16,20.5826812997,71.4383200295,43.7966550222
stk16,ENSDARG00000037777,protein_coding,1,1.0715725831,3.7192115067,2.7372909389
atic,ENSDARG00000016706,protein_coding,0,0,0,0
mnx2b,ENSDARG00000030350,protein_coding,0,0,0,0
fn1b,ENSDARG00000006526,protein_coding,255,57.8908984246,200.9275889877,698.0091894169
cpo,ENSDARG00000077688,protein_coding,1,1.2936221601,4.4899006366,2.7372909389
nrp2a,ENSDARG00000096546,protein_coding,49,18.7352749223,65.0263464827,134.1272560056
pard3ba_1,ENSDARG00000092671,protein_coding,24,13.8628562019,48.1151674775,65.6949825334
pard3ba_2,ENSDARG00000113935,protein_coding,1,3.835518102,13.312306869,2.7372909389
abcb6a,ENSDARG00000063297,protein_coding,4,2.8178255659,9.7801020982,10.9491637556
cnppd1,ENSDARG00000027078,protein_coding,20,8.1427763857,28.2619284096,54.7458187778
prkag3a,ENSDARG00000017537,protein_coding,0,0,0,0
retreg2,ENSDARG00000063270,protein_coding,3,2.2686622167,7.8740672859,8.2118728167
mdh1b,ENSDARG00000018008,protein_coding,0,0,0,0
fastkd2,ENSDARG00000074031,protein_coding,0,0,0,0
gtf3c3,ENSDARG00000043247,protein_coding,5,3.5451071134,12.3043491183,13.6864546944
LO018629.1,ENSDARG00000113848,protein_coding,0,0,0,0
hecw2b,ENSDARG00000063253,protein_coding,0,0,0,0
klf7a,ENSDARG00000073857,protein_coding,2,1.4046289265,4.8751826507,5.4745818778
CU571320.1,ENSDARG00000107682,rRNA,0,0,0,
si:ch211-93g23.2,ENSDARG00000070558,protein_coding,0,0,0,0
ube2f,ENSDARG00000025754,protein_coding,3,2.6370200566,9.1525627776,8.2118728167
AL929396.1,ENSDARG00000096530,lincRNA,0,0,0,0
CU302223.1,ENSDARG00000116636,rRNA,0,0,0,
erbb4a,ENSDARG00000063207,protein_coding,3,1.3519515356,4.6923500908,8.2118728167
CU928069.1,ENSDARG00000095087,processed_transcript,0,0,0,
CU929161.1,ENSDARG00000096610,processed_transcript,0,0,0,
CABZ01075319.1,ENSDARG00000117465,lincRNA,0,0,0,0
CABZ01075316.1,ENSDARG00000102217,snRNA,0,0,0,
ENSDARG00000090408,ENSDARG00000090408,protein_coding,17,6.6592168441,23.1127935728,46.5339459611
lancl1,ENSDARG00000013741,protein_coding,2,1.3343073243,4.6311106053,5.4745818778
mylz3,ENSDARG00000017441,protein_coding,1136,1649.1442189975,5723.8457310818,3109.5625065786
pcnp,ENSDARG00000037713,protein_coding,5,7.5981389301,26.3716020577,13.6864546944
mxa,ENSDARG00000021688,protein_coding,0,0,0,0
mxb,ENSDARG00000004953,protein_coding,0,0,0,0
efnb2b,ENSDARG00000074050,protein_coding,10,10.1954429194,35.386318406,27.3729093889
arglu1b,ENSDARG00000018319,protein_coding,27,24.5104680805,85.0708728037,73.90685535
en1b,ENSDARG00000098730,protein_coding,4,5.2762710946,18.3128688401,10.9491637556
BX908756.1,ENSDARG00000096630,lincRNA,0,0,0,0
BX908756.3,ENSDARG00000117359,lincRNA,0,0,0,0
BX908756.2,ENSDARG00000106375,rRNA,0,0,0,
radil,ENSDARG00000079779,protein_coding,1,0.5155879988,1.7895015682,2.7372909389
mmd2b,ENSDARG00000089090,protein_coding,0,0,0,0
CR855320.4,ENSDARG00000109652,snoRNA,0,0,0,
CR855320.5,ENSDARG00000115102,snoRNA,0,0,0,
CR855320.6,ENSDARG00000115288,snoRNA,0,0,0,
si:dkey-79f11.10,ENSDARG00000093857,protein_coding,0,0,0,0
si:dkey-79f11.9,ENSDARG00000095309,protein_coding,0,0,0,0
si:dkey-79f11.8,ENSDARG00000095673,protein_coding,0,0,0,0
CR855320.1,ENSDARG00000099359,protein_coding,0,0,0,0
si:dkey-79f11.7,ENSDARG00000092361,protein_coding,0,0,0,0
CR855320.2,ENSDARG00000103767,protein_coding,0,0,0,0
si:dkey-79f11.5,ENSDARG00000075791,protein_coding,0,0,0,0
CR855320.3,ENSDARG00000107486,protein_coding,1,0.5452008422,1.8922817527,2.7372909389
si:dkeyp-9d4.2,ENSDARG00000029720,protein_coding,0,0,0,0
si:dkeyp-9d4.3,ENSDARG00000100166,protein_coding,33,10.6277423349,36.8867421624,90.3306009834
ENSDARG00000074212,ENSDARG00000074212,protein_coding,1,1.0861289505,3.7697337111,2.7372909389
ENSDARG00000062929,ENSDARG00000062929,protein_coding,7,2.3271958546,8.0772256934,19.1610365722
grapb,ENSDARG00000022668,protein_coding,0,0,0,0
cacna1hb,ENSDARG00000099708,protein_coding,11,3.7062170055,12.8635289389,30.1102003278
syngr3b,ENSDARG00000025034,protein_coding,11,5.9752701657,20.7389531102,30.1102003278
myo15ab,ENSDARG00000078474,protein_coding,0,0,0,0
AL928835.1,ENSDARG00000096583,antisense,0,0,0,0
alkbh5,ENSDARG00000063003,protein_coding,3,4.0080671168,13.9111895687,8.2118728167
