Name,Ensembl ID,Biotype,Total exon reads,RPKM,TPM,CPM
rpl24,ENSDARG00000099104,protein_coding,414,105.6447294125,337.7115020042,235.4957251461
cep97,ENSDARG00000102407,protein_coding,3,0.496622001,1.5875374268,1.7064907619
nfkbiz,ENSDARG00000102097,protein_coding,20,4.4659828496,14.2762803638,11.3766050795
CU651657.1,ENSDARG00000099319,protein_coding,0,0,0,0
eed,ENSDARG00000099640,protein_coding,11,2.730906904,8.7298124337,6.2571327937
hikeshi,ENSDARG00000104071,protein_coding,2,0.6913144836,2.2099053488,1.137660508
tmem39a,ENSDARG00000102746,protein_coding,1,0.1413294798,0.4517839286,0.568830254
ildr1a,ENSDARG00000103929,protein_coding,11,1.7428598656,5.5713505658,6.2571327937
si:zfos-1011f11.2,ENSDARG00000101073,protein_coding,1,0.596575321,1.907055362,0.568830254
gpa33a,ENSDARG00000100223,protein_coding,147,16.508907713,52.7735557771,83.6180473345
FP067451.1,ENSDARG00000096573,antisense,0,0,0,0
f7l,ENSDARG00000100782,protein_coding,8,1.2255777325,3.9177694824,4.5506420318
f7,ENSDARG00000034862,protein_coding,0,0,0,0
f7i,ENSDARG00000075827,protein_coding,4,0.7128917901,2.2788809109,2.2753210159
f10,ENSDARG00000088581,protein_coding,97,15.6393740812,49.9939423456,55.1765346357
prozb,ENSDARG00000076900,protein_coding,4,1.1578038487,3.7011186355,2.2753210159
pcid2,ENSDARG00000013802,protein_coding,5,1.001083815,3.2001361608,2.8441512699
cul4a,ENSDARG00000096578,protein_coding,70,14.3417151947,45.8457530882,39.8181177783
FO681286.1,ENSDARG00000109848,protein_coding,0,0,0,0
lamp1a,ENSDARG00000100181,protein_coding,9,3.3141407905,10.5942196117,5.1194722858
grtp1a,ENSDARG00000029936,protein_coding,28,7.1450541632,22.8403914399,15.9272471113
adprhl1,ENSDARG00000041589,protein_coding,1,0.2858751701,0.9138490259,0.568830254
dcun1d2b,ENSDARG00000041592,protein_coding,25,7.3820686961,23.5980490567,14.2207563494
tmco3,ENSDARG00000075108,protein_coding,2,0.4401161277,1.4069067085,1.137660508
tfdp1b,ENSDARG00000016304,protein_coding,15,1.7479830833,5.58772781,8.5324538096
grk1a,ENSDARG00000058803,protein_coding,40,4.3360553406,13.8609447911,22.753210159
cenpe,ENSDARG00000063385,protein_coding,75,3.8936947533,12.4468632821,42.6622690482
gas6,ENSDARG00000007804,protein_coding,30,5.0020024066,15.9897588375,17.0649076193
pros1,ENSDARG00000068261,protein_coding,24,3.9403376688,12.5959653636,13.6519260954
rasa3,ENSDARG00000063371,protein_coding,41,6.2289967081,19.9120566256,23.322040413
tpp2,ENSDARG00000078751,protein_coding,83,6.6399397667,21.2257066141,47.21291108
ENSDARG00000078878,ENSDARG00000078878,protein_coding,22,9.5961034265,30.6755909127,12.5142655875
zgc:92518,ENSDARG00000016343,protein_coding,4,1.0910074728,3.4875925603,2.2753210159
ercc5,ENSDARG00000023678,protein_coding,25,3.2196544489,10.2921778106,14.2207563494
blzf1,ENSDARG00000011299,protein_coding,28,4.0443259931,12.9283818827,15.9272471113
trmt10c,ENSDARG00000041575,protein_coding,15,3.6237033918,11.5837895754,8.5324538096
txnl4b,ENSDARG00000058962,protein_coding,4,1.0991900289,3.5137495045,2.2753210159
si:ch73-41e3.7,ENSDARG00000089799,protein_coding,0,0,0,0
mrpl16,ENSDARG00000075325,protein_coding,57,8.037694887,25.6938706555,32.4233244766
mrpl39,ENSDARG00000041570,protein_coding,34,5.6453868551,18.0464476064,19.3402286352
CU571081.1,ENSDARG00000113329,protein_coding,3,1.1883135447,3.798648113,1.7064907619
dre-mir-155,ENSDARG00000081781,miRNA,0,0,0,
jam2a,ENSDARG00000058996,protein_coding,1,0.3453857121,1.1040846833,0.568830254
atp5pf,ENSDARG00000014313,protein_coding,57,16.2526152126,51.9542728299,32.4233244766
appa,ENSDARG00000104279,protein_coding,925,66.8475198348,213.6895655297,526.167984928
cyyr1,ENSDARG00000103783,protein_coding,18,2.7029263005,8.6403676341,10.2389445716
adamts1,ENSDARG00000103519,protein_coding,9,1.4463026695,4.6233546112,5.1194722858
adamts5,ENSDARG00000100307,protein_coding,28,4.374885687,13.9850726549,15.9272471113
gart,ENSDARG00000101089,protein_coding,1,0.1420601007,0.4541194836,0.568830254
n6amt1,ENSDARG00000115421,protein_coding,10,3.7935807726,12.1268317672,5.6883025398
CU611053.1,ENSDARG00000115673,rRNA,0,0,0,
CR450787.2,ENSDARG00000116514,rRNA,0,0,0,
CR450787.1,ENSDARG00000103469,processed_transcript,0,0,0,
CZQB01066256.1,ENSDARG00000117321,lincRNA,0,0,0,0
runx1,ENSDARG00000087646,protein_coding,1,0.1980522575,0.6331080188,0.568830254
dre-mir-459,ENSDARG00000080051,miRNA,0,0,0,
urp2,ENSDARG00000067781,protein_coding,8,3.3183095211,10.6075456741,4.5506420318
clic6,ENSDARG00000099108,protein_coding,1,0.4779087082,1.5277171759,0.568830254
