Name,Ensembl ID,Biotype,Total exon reads,RPKM,TPM,CPM
rpl24,ENSDARG00000099104,protein_coding,416,72.7020019817,351.6712630031,242.747416297
cep97,ENSDARG00000102407,protein_coding,10,1.1337315857,5.4840418117,5.8352744302
nfkbiz,ENSDARG00000102097,protein_coding,14,2.1410195675,10.356455598,8.1693842023
CU651657.1,ENSDARG00000099319,protein_coding,0,0,0,0
eed,ENSDARG00000099640,protein_coding,31,5.2708596184,25.4959947265,18.0893507337
hikeshi,ENSDARG00000104071,protein_coding,29,6.8651369229,33.2077701652,16.9222958476
tmem39a,ENSDARG00000102746,protein_coding,10,0.9679174194,4.6819720514,5.8352744302
ildr1a,ENSDARG00000103929,protein_coding,12,1.3021366883,6.2986443467,7.0023293163
si:zfos-1011f11.2,ENSDARG00000101073,protein_coding,0,0,0,0
gpa33a,ENSDARG00000100223,protein_coding,79,6.0762221263,29.3916625566,46.0986679987
FP067451.1,ENSDARG00000096573,antisense,0,0,0,0
f7l,ENSDARG00000100782,protein_coding,0,0,0,0
f7,ENSDARG00000034862,protein_coding,1,0.1664561134,0.8051749614,0.583527443
f7i,ENSDARG00000075827,protein_coding,16,1.9529411215,9.4466899404,9.3364390883
f10,ENSDARG00000088581,protein_coding,104,11.4838237454,55.5491003075,60.6868540743
prozb,ENSDARG00000076900,protein_coding,0,0,0,0
pcid2,ENSDARG00000013802,protein_coding,14,1.9197028818,9.2859112352,8.1693842023
cul4a,ENSDARG00000096578,protein_coding,114,15.9960756968,77.37558788,66.5221285045
FO681286.1,ENSDARG00000109848,protein_coding,0,0,0,0
lamp1a,ENSDARG00000100181,protein_coding,3,0.7565806763,3.6597022743,1.7505823291
grtp1a,ENSDARG00000029936,protein_coding,27,4.7186395517,22.8248175507,15.7552409616
adprhl1,ENSDARG00000041589,protein_coding,0,0,0,0
dcun1d2b,ENSDARG00000041592,protein_coding,20,4.0445817215,19.5642915403,11.6705488604
tmco3,ENSDARG00000075108,protein_coding,0,0,0,0
tfdp1b,ENSDARG00000016304,protein_coding,22,1.7557965549,8.493070001,12.8376037465
grk1a,ENSDARG00000058803,protein_coding,72,5.3453096302,25.8561213937,42.0139758976
cenpe,ENSDARG00000063385,protein_coding,156,5.5466502575,26.8300383526,91.0302811114
gas6,ENSDARG00000007804,protein_coding,24,2.7405607205,13.2565324703,14.0046586325
pros1,ENSDARG00000068261,protein_coding,11,1.2368596717,5.9828889309,6.4188018732
rasa3,ENSDARG00000063371,protein_coding,98,10.1968461294,49.3237828291,57.1856894161
tpp2,ENSDARG00000078751,protein_coding,168,9.2045142541,44.5237141321,98.0326104276
ENSDARG00000078878,ENSDARG00000078878,protein_coding,0,0,0,0
zgc:92518,ENSDARG00000016343,protein_coding,8,1.4943876386,7.2285930778,4.6682195442
ercc5,ENSDARG00000023678,protein_coding,42,3.7044530126,17.9190343344,24.5081526069
blzf1,ENSDARG00000011299,protein_coding,17,1.6816770223,8.1345419146,9.9199665314
trmt10c,ENSDARG00000041575,protein_coding,22,3.6399013196,17.6067874252,12.8376037465
txnl4b,ENSDARG00000058962,protein_coding,0,0,0,0
si:ch73-41e3.7,ENSDARG00000089799,protein_coding,0,0,0,0
mrpl16,ENSDARG00000075325,protein_coding,43,4.1527009924,20.0872818225,25.0916800499
mrpl39,ENSDARG00000041570,protein_coding,30,3.41147027,16.5018297415,17.5058232907
CU571081.1,ENSDARG00000113329,protein_coding,0,0,0,0
dre-mir-155,ENSDARG00000081781,miRNA,0,0,0,
jam2a,ENSDARG00000058996,protein_coding,0,0,0,0
atp5pf,ENSDARG00000014313,protein_coding,29,5.6630701465,27.3931800585,16.9222958476
appa,ENSDARG00000104279,protein_coding,1455,72.0131991849,348.3394132208,849.0324295966
cyyr1,ENSDARG00000103783,protein_coding,23,2.3653481936,11.4415692005,13.4211311895
adamts1,ENSDARG00000103519,protein_coding,50,5.5029076968,26.6184485596,29.1763721511
adamts5,ENSDARG00000100307,protein_coding,57,6.0994275845,29.5039110857,33.2610642522
gart,ENSDARG00000101089,protein_coding,22,2.1404266241,10.3535874358,12.8376037465
n6amt1,ENSDARG00000115421,protein_coding,8,2.0784753006,10.0539189313,4.6682195442
CU611053.1,ENSDARG00000115673,rRNA,0,0,0,
CR450787.2,ENSDARG00000116514,rRNA,0,0,0,
CR450787.1,ENSDARG00000103469,processed_transcript,0,0,0,
CZQB01066256.1,ENSDARG00000117321,lincRNA,6,1.3245708614,6.4071620462,3.5011646581
runx1,ENSDARG00000087646,protein_coding,3,0.4069177151,1.9683263583,1.7505823291
dre-mir-459,ENSDARG00000080051,miRNA,0,0,0,
urp2,ENSDARG00000067781,protein_coding,0,0,0,0
clic6,ENSDARG00000099108,protein_coding,10,3.2730337953,15.8321902737,5.8352744302
atp1a1a.4,ENSDARG00000001870,protein_coding,677,45.5955349827,220.5529275344,395.0480789257
atp1a1a.1,ENSDARG00000002791,protein_coding,1415,99.4360652216,480.9882216635,825.6913318757
atp1a1a.2,ENSDARG00000007739,protein_coding,67,6.0933193338,29.4743644962,39.0963386825
atp1a1a.3,ENSDARG00000039131,protein_coding,67,6.1753842407,29.8713256342,39.0963386825
atp1a1a.5,ENSDARG00000040252,protein_coding,47,3.7048686207,17.9210446972,27.425789822
si:ch211-132g1.3,ENSDARG00000089477,protein_coding,43,4.0988039551,19.8265731949,25.0916800499
si:ch211-132g1.6,ENSDARG00000093102,protein_coding,0,0,0,0
si:ch211-132g1.4,ENSDARG00000095102,protein_coding,0,0,0,0
si:ch211-132g1.1,ENSDARG00000040250,protein_coding,0,0,0,0
si:ch211-132g1.7,ENSDARG00000075505,protein_coding,17,1.6916803886,8.1829298044,9.9199665314
slc5a3a,ENSDARG00000010376,protein_coding,0,0,0,0
oxgr1a.1,ENSDARG00000033684,protein_coding,0,0,0,0
oxgr1a.3,ENSDARG00000040247,protein_coding,0,0,0,0
oxgr1a.2,ENSDARG00000078743,protein_coding,0,0,0,0
mbnl2,ENSDARG00000018460,protein_coding,329,17.1279714586,82.8507495166,191.9805287541
rap2ab,ENSDARG00000040246,protein_coding,6,3.2553417207,15.7466108668,3.5011646581
kpnb3,ENSDARG00000040245,protein_coding,370,26.2645144726,127.0456758407,215.905153918
CR352215.1,ENSDARG00000082290,snoRNA,0,0,0,
farp1,ENSDARG00000074381,protein_coding,320,17.5643665574,84.9616627155,186.7287817669
si:ch211-235f1.3,ENSDARG00000095179,protein_coding,0,0,0,0
CR352215.2,ENSDARG00000084484,rRNA,0,0,0,
ggact.3,ENSDARG00000070579,protein_coding,0,0,0,0
ggact.2,ENSDARG00000038248,protein_coding,0,0,0,0
ggact.1,ENSDARG00000070581,protein_coding,0,0,0,0
CU986306.1,ENSDARG00000096559,antisense,0,0,0,0
gpc6a,ENSDARG00000103156,protein_coding,62,9.2376965703,44.6842223261,36.1787014673
gpc5a,ENSDARG00000103647,protein_coding,8,1.4733656718,7.1269064474,4.6682195442
dre-mir-92a-1,ENSDARG00000104805,miRNA,0,0,0,
dre-mir-19b,ENSDARG00000100273,miRNA,0,0,0,
dre-mir-20a,ENSDARG00000104910,miRNA,0,0,0,
dre-mir-19a,ENSDARG00000099103,miRNA,0,0,0,
dre-mir-18a,ENSDARG00000098078,miRNA,0,0,0,
dre-mir-17a-1,ENSDARG00000104155,miRNA,0,0,0,
CABZ01113467.1,ENSDARG00000117575,lincRNA,0,0,0,0
CABZ01063288.1,ENSDARG00000088916,rRNA,0,0,0,
slitrk6,ENSDARG00000098769,protein_coding,76,5.8830468629,28.4572427747,44.3480856696
FP009765.2,ENSDARG00000104115,rRNA,0,0,0,
FP009765.1,ENSDARG00000102013,lincRNA,0,0,0,0
FO744838.1,ENSDARG00000117775,lincRNA,0,0,0,0
FQ790365.1,ENSDARG00000082581,rRNA,0,0,0,
spry2,ENSDARG00000078308,protein_coding,107,14.0268805751,67.8502747297,62.4374364033
ndfip2,ENSDARG00000033928,protein_coding,262,14.4097181009,69.7021213437,152.8841900717
tuba8l2,ENSDARG00000031164,protein_coding,113,21.055977312,101.8511448547,65.9386010615
stk16,ENSDARG00000037777,protein_coding,0,0,0,0
atic,ENSDARG00000016706,protein_coding,51,4.6734858696,22.6064019367,29.7598995941
mnx2b,ENSDARG00000030350,protein_coding,0,0,0,0
fn1b,ENSDARG00000006526,protein_coding,378,12.4301652578,60.126706231,220.5733734622
cpo,ENSDARG00000077688,protein_coding,0,0,0,0
nrp2a,ENSDARG00000096546,protein_coding,229,12.6827802096,61.3486453349,133.627784452
pard3ba_1,ENSDARG00000092671,protein_coding,7,0.5856720656,2.8329898684,4.0846921012
pard3ba_2,ENSDARG00000113935,protein_coding,2,1.1111406242,5.3747657018,1.167054886
abcb6a,ENSDARG00000063297,protein_coding,10,1.0203968457,4.9358234672,5.8352744302
cnppd1,ENSDARG00000027078,protein_coding,134,7.9024599743,38.2254684085,78.1926773649
prkag3a,ENSDARG00000017537,protein_coding,0,0,0,0
retreg2,ENSDARG00000063270,protein_coding,99,10.8442312869,52.4552888369,57.7692168591
mdh1b,ENSDARG00000018008,protein_coding,0,0,0,0
fastkd2,ENSDARG00000074031,protein_coding,49,6.8659080267,33.2115001181,28.5928447081
gtf3c3,ENSDARG00000043247,protein_coding,13,1.335112012,6.4581512849,7.5858567593
LO018629.1,ENSDARG00000113848,protein_coding,21,2.8940509348,13.9989892946,12.2540763035
hecw2b,ENSDARG00000063253,protein_coding,27,6.0223821834,29.1312301036,15.7552409616
klf7a,ENSDARG00000073857,protein_coding,67,6.8158717278,32.9694665024,39.0963386825
CU571320.1,ENSDARG00000107682,rRNA,0,0,0,
si:ch211-93g23.2,ENSDARG00000070558,protein_coding,0,0,0,0
