Name,Ensembl ID,Biotype,Total exon reads,RPKM,TPM,CPM
rpl24,ENSDARG00000099104,protein_coding,68,43.7166623925,202.2992568431,136.1479005483
cep97,ENSDARG00000102407,protein_coding,0,0,0,0
nfkbiz,ENSDARG00000102097,protein_coding,3,1.6877141869,7.8099129046,6.0065250242
CU651657.1,ENSDARG00000099319,protein_coding,0,0,0,0
eed,ENSDARG00000099640,protein_coding,0,0,0,0
hikeshi,ENSDARG00000104071,protein_coding,0,0,0,0
tmem39a,ENSDARG00000102746,protein_coding,0,0,0,0
ildr1a,ENSDARG00000103929,protein_coding,0,0,0,0
si:zfos-1011f11.2,ENSDARG00000101073,protein_coding,0,0,0,0
gpa33a,ENSDARG00000100223,protein_coding,46,13.0151574934,60.2277608702,92.1000503709
FP067451.1,ENSDARG00000096573,antisense,0,0,0,0
f7l,ENSDARG00000100782,protein_coding,0,0,0,0
f7,ENSDARG00000034862,protein_coding,0,0,0,0
f7i,ENSDARG00000075827,protein_coding,0,0,0,0
f10,ENSDARG00000088581,protein_coding,40,16.247936604,75.1874759034,80.0870003225
prozb,ENSDARG00000076900,protein_coding,0,0,0,0
pcid2,ENSDARG00000013802,protein_coding,0,0,0,0
cul4a,ENSDARG00000096578,protein_coding,33,17.0336447219,78.8233474374,66.0717752661
FO681286.1,ENSDARG00000109848,protein_coding,0,0,0,0
lamp1a,ENSDARG00000100181,protein_coding,5,4.6386226046,21.4652687174,10.0108750403
grtp1a,ENSDARG00000029936,protein_coding,0,0,0,0
adprhl1,ENSDARG00000041589,protein_coding,5,3.601115338,16.6641943099,10.0108750403
dcun1d2b,ENSDARG00000041592,protein_coding,20,14.8784832502,68.8503179277,40.0435001613
tmco3,ENSDARG00000075108,protein_coding,0,0,0,0
tfdp1b,ENSDARG00000016304,protein_coding,0,0,0,0
grk1a,ENSDARG00000058803,protein_coding,47,12.8358098286,59.3978279035,94.102225379
cenpe,ENSDARG00000063385,protein_coding,97,12.6871175538,58.7097530361,194.2109757821
gas6,ENSDARG00000007804,protein_coding,0,0,0,0
pros1,ENSDARG00000068261,protein_coding,12,4.963568684,22.9689596851,24.0261000968
rasa3,ENSDARG00000063371,protein_coding,41,15.6930982021,72.6199561017,82.0891753306
tpp2,ENSDARG00000078751,protein_coding,32,6.4495084598,29.845159649,64.069600258
ENSDARG00000078878,ENSDARG00000078878,protein_coding,0,0,0,0
zgc:92518,ENSDARG00000016343,protein_coding,0,0,0,0
ercc5,ENSDARG00000023678,protein_coding,26,8.4359343958,39.037363917,52.0565502096
blzf1,ENSDARG00000011299,protein_coding,25,9.0974300096,42.0984409471,50.0543752016
trmt10c,ENSDARG00000041575,protein_coding,4,2.4345122593,11.2657278455,8.0087000323
txnl4b,ENSDARG00000058962,protein_coding,0,0,0,0
si:ch73-41e3.7,ENSDARG00000089799,protein_coding,0,0,0,0
mrpl16,ENSDARG00000075325,protein_coding,1,0.3552607691,1.6439724726,2.0021750081
mrpl39,ENSDARG00000041570,protein_coding,2,0.8366337447,3.8715303397,4.0043500161
CU571081.1,ENSDARG00000113329,protein_coding,0,0,0,0
dre-mir-155,ENSDARG00000081781,miRNA,0,0,0,
jam2a,ENSDARG00000058996,protein_coding,0,0,0,0
atp5pf,ENSDARG00000014313,protein_coding,7,5.0284834928,23.269353559,14.0152250564
appa,ENSDARG00000104279,protein_coding,369,67.1831748476,310.8907588141,738.8025779753
cyyr1,ENSDARG00000103783,protein_coding,0,0,0,0
adamts1,ENSDARG00000103519,protein_coding,0,0,0,0
adamts5,ENSDARG00000100307,protein_coding,0,0,0,0
gart,ENSDARG00000101089,protein_coding,4,1.4316033318,6.6247575699,8.0087000323
n6amt1,ENSDARG00000115421,protein_coding,13,12.4246246882,57.4950648889,26.0282751048
CU611053.1,ENSDARG00000115673,rRNA,0,0,0,
CR450787.2,ENSDARG00000116514,rRNA,0,0,0,
CR450787.1,ENSDARG00000103469,processed_transcript,0,0,0,
CZQB01066256.1,ENSDARG00000117321,lincRNA,0,0,0,0
runx1,ENSDARG00000087646,protein_coding,3,1.4968960513,6.9269002293,6.0065250242
dre-mir-459,ENSDARG00000080051,miRNA,0,0,0,
urp2,ENSDARG00000067781,protein_coding,0,0,0,0
clic6,ENSDARG00000099108,protein_coding,8,9.632200678,44.573097128,16.0174000645
atp1a1a.4,ENSDARG00000001870,protein_coding,295,73.0870963996,338.2112100349,590.6416273786
atp1a1a.1,ENSDARG00000002791,protein_coding,407,105.2124043724,486.8713678119,814.8852282817
atp1a1a.2,ENSDARG00000007739,protein_coding,21,7.0256009174,32.5110327889,42.0456751693
atp1a1a.3,ENSDARG00000039131,protein_coding,29,9.8326872547,45.5008506035,58.0630752338
atp1a1a.5,ENSDARG00000040252,protein_coding,0,0,0,0
si:ch211-132g1.3,ENSDARG00000089477,protein_coding,12,4.2077989667,19.471628375,24.0261000968
si:ch211-132g1.6,ENSDARG00000093102,protein_coding,0,0,0,0
si:ch211-132g1.4,ENSDARG00000095102,protein_coding,0,0,0,0
si:ch211-132g1.1,ENSDARG00000040250,protein_coding,0,0,0,0
si:ch211-132g1.7,ENSDARG00000075505,protein_coding,20,7.3212364704,33.8790890265,40.0435001613
slc5a3a,ENSDARG00000010376,protein_coding,0,0,0,0
oxgr1a.1,ENSDARG00000033684,protein_coding,0,0,0,0
oxgr1a.3,ENSDARG00000040247,protein_coding,0,0,0,0
oxgr1a.2,ENSDARG00000078743,protein_coding,0,0,0,0
mbnl2,ENSDARG00000018460,protein_coding,129,24.7049960337,114.3225961088,258.2805760401
rap2ab,ENSDARG00000040246,protein_coding,0,0,0,0
kpnb3,ENSDARG00000040245,protein_coding,53,13.8397602859,64.0436178677,106.1152754273
CR352215.1,ENSDARG00000082290,snoRNA,0,0,0,
farp1,ENSDARG00000074381,protein_coding,151,30.489093105,141.0885584446,302.3284262175
si:ch211-235f1.3,ENSDARG00000095179,protein_coding,0,0,0,0
CR352215.2,ENSDARG00000084484,rRNA,0,0,0,
ggact.3,ENSDARG00000070579,protein_coding,0,0,0,0
ggact.2,ENSDARG00000038248,protein_coding,10,4.9451030267,22.8835096862,20.0217500806
ggact.1,ENSDARG00000070581,protein_coding,3,1.8564856055,8.5909041951,6.0065250242
CU986306.1,ENSDARG00000096559,antisense,0,0,0,0
gpc6a,ENSDARG00000103156,protein_coding,13,7.1252548311,32.9721821901,26.0282751048
gpc5a,ENSDARG00000103647,protein_coding,0,0,0,0
dre-mir-92a-1,ENSDARG00000104805,miRNA,0,0,0,
dre-mir-19b,ENSDARG00000100273,miRNA,0,0,0,
dre-mir-20a,ENSDARG00000104910,miRNA,0,0,0,
dre-mir-19a,ENSDARG00000099103,miRNA,0,0,0,
dre-mir-18a,ENSDARG00000098078,miRNA,0,0,0,
dre-mir-17a-1,ENSDARG00000104155,miRNA,0,0,0,
CABZ01113467.1,ENSDARG00000117575,lincRNA,0,0,0,0
CABZ01063288.1,ENSDARG00000088916,rRNA,0,0,0,
slitrk6,ENSDARG00000098769,protein_coding,3,0.8542697259,3.9531410049,6.0065250242
FP009765.2,ENSDARG00000104115,rRNA,0,0,0,
FP009765.1,ENSDARG00000102013,lincRNA,0,0,0,0
FO744838.1,ENSDARG00000117775,lincRNA,0,0,0,0
FQ790365.1,ENSDARG00000082581,rRNA,0,0,0,
spry2,ENSDARG00000078308,protein_coding,0,0,0,0
ndfip2,ENSDARG00000033928,protein_coding,42,8.4974482694,39.3220199321,84.0913503387
tuba8l2,ENSDARG00000031164,protein_coding,43,29.4747724956,136.394780506,86.0935253467
stk16,ENSDARG00000037777,protein_coding,0,0,0,0
atic,ENSDARG00000016706,protein_coding,13,4.3822702415,20.2789958023,26.0282751048
mnx2b,ENSDARG00000030350,protein_coding,0,0,0,0
fn1b,ENSDARG00000006526,protein_coding,139,16.8145383683,77.8094307732,278.3023261208
cpo,ENSDARG00000077688,protein_coding,0,0,0,0
nrp2a,ENSDARG00000096546,protein_coding,105,21.3920954915,98.9921184146,210.2283758466
pard3ba_1,ENSDARG00000092671,protein_coding,8,2.4622463528,11.3940676181,16.0174000645
pard3ba_2,ENSDARG00000113935,protein_coding,0,0,0,0
abcb6a,ENSDARG00000063297,protein_coding,0,0,0,0
cnppd1,ENSDARG00000027078,protein_coding,37,8.0268338984,37.1442476066,74.0804752983
prkag3a,ENSDARG00000017537,protein_coding,0,0,0,0
retreg2,ENSDARG00000063270,protein_coding,1,0.4029476457,1.8646439322,2.0021750081
mdh1b,ENSDARG00000018008,protein_coding,0,0,0,0
fastkd2,ENSDARG00000074031,protein_coding,10,5.1545047835,23.8525182397,20.0217500806
gtf3c3,ENSDARG00000043247,protein_coding,0,0,0,0
LO018629.1,ENSDARG00000113848,protein_coding,0,0,0,0
hecw2b,ENSDARG00000063253,protein_coding,0,0,0,0
klf7a,ENSDARG00000073857,protein_coding,16,5.9875842053,27.7076009174,32.034800129
CU571320.1,ENSDARG00000107682,rRNA,0,0,0,
si:ch211-93g23.2,ENSDARG00000070558,protein_coding,0,0,0,0
ube2f,ENSDARG00000025754,protein_coding,3,1.4051201835,6.5022065578,6.0065250242
AL929396.1,ENSDARG00000096530,lincRNA,0,0,0,0
CU302223.1,ENSDARG00000116636,rRNA,0,0,0,
erbb4a,ENSDARG00000063207,protein_coding,8,1.9210111909,8.8894969343,16.0174000645
CU928069.1,ENSDARG00000095087,processed_transcript,0,0,0,
CU929161.1,ENSDARG00000096610,processed_transcript,0,0,0,
CABZ01075319.1,ENSDARG00000117465,lincRNA,0,0,0,0
CABZ01075316.1,ENSDARG00000102217,snRNA,0,0,0,
ENSDARG00000090408,ENSDARG00000090408,protein_coding,11,2.2959739698,10.6246406382,22.0239250887
lancl1,ENSDARG00000013741,protein_coding,7,2.4884215487,11.5151935777,14.0152250564
mylz3,ENSDARG00000017441,protein_coding,1605,1241.5247487075,5745.1671804414,3213.4908879413
pcnp,ENSDARG00000037713,protein_coding,9,7.2875202498,33.723066906,18.0195750726
mxa,ENSDARG00000021688,protein_coding,0,0,0,0
mxb,ENSDARG00000004953,protein_coding,0,0,0,0
efnb2b,ENSDARG00000074050,protein_coding,0,0,0,0
arglu1b,ENSDARG00000018319,protein_coding,0,0,0,0
en1b,ENSDARG00000098730,protein_coding,3,2.1085718489,9.7574356022,6.0065250242
BX908756.1,ENSDARG00000096630,lincRNA,0,0,0,0
BX908756.3,ENSDARG00000117359,lincRNA,0,0,0,0
BX908756.2,ENSDARG00000106375,rRNA,0,0,0,
radil,ENSDARG00000079779,protein_coding,0,0,0,0
mmd2b,ENSDARG00000089090,protein_coding,0,0,0,0
CR855320.4,ENSDARG00000109652,snoRNA,0,0,0,
CR855320.5,ENSDARG00000115102,snoRNA,0,0,0,
CR855320.6,ENSDARG00000115288,snoRNA,0,0,0,
si:dkey-79f11.10,ENSDARG00000093857,protein_coding,0,0,0,0
si:dkey-79f11.9,ENSDARG00000095309,protein_coding,0,0,0,0
si:dkey-79f11.8,ENSDARG00000095673,protein_coding,1,0.9072097281,4.1981213511,2.0021750081
CR855320.1,ENSDARG00000099359,protein_coding,20,3.9093103158,18.0903694008,40.0435001613
si:dkey-79f11.7,ENSDARG00000092361,protein_coding,0,0,0,0
CR855320.2,ENSDARG00000103767,protein_coding,0,0,0,0
si:dkey-79f11.5,ENSDARG00000075791,protein_coding,0,0,0,0
CR855320.3,ENSDARG00000107486,protein_coding,0,0,0,0
si:dkeyp-9d4.2,ENSDARG00000029720,protein_coding,0,0,0,0
si:dkeyp-9d4.3,ENSDARG00000100166,protein_coding,24,4.1184932411,19.0583653096,48.0522001935
ENSDARG00000074212,ENSDARG00000074212,protein_coding,0,0,0,0
ENSDARG00000062929,ENSDARG00000062929,protein_coding,10,1.7714746169,8.1975150643,20.0217500806
grapb,ENSDARG00000022668,protein_coding,10,3.4550938178,15.9884783834,20.0217500806
cacna1hb,ENSDARG00000099708,protein_coding,2,0.3590609653,1.6615579156,4.0043500161
syngr3b,ENSDARG00000025034,protein_coding,9,2.604998093,12.0546526071,18.0195750726
myo15ab,ENSDARG00000078474,protein_coding,0,0,0,0
AL928835.1,ENSDARG00000096583,antisense,0,0,0,0
alkbh5,ENSDARG00000063003,protein_coding,10,7.1189143829,32.9428417077,20.0217500806
mief2,ENSDARG00000002377,protein_coding,21,7.700021396,35.6319197498,42.0456751693
smcr8b,ENSDARG00000015803,protein_coding,0,0,0,0
zgc:112980,ENSDARG00000037739,protein_coding,0,0,0,0
ptcd1,ENSDARG00000076176,protein_coding,11,5.1982652977,24.055020421,22.0239250887
AL928650.2,ENSDARG00000096526,lincRNA,0,0,0,0
AL928650.4,ENSDARG00000113858,protein_coding,7,1.1286639805,5.2229029386,14.0152250564
AL928650.3,ENSDARG00000096599,lincRNA,0,0,0,0
si:ch211-160d14.15,ENSDARG00000100771,protein_coding,0,0,0,0
ENSDARG00000079873,ENSDARG00000079873,protein_coding,0,0,0,0
AL928650.1,ENSDARG00000079332,lincRNA,0,0,0,0
fbxl18,ENSDARG00000007443,protein_coding,0,0,0,0
actb1,ENSDARG00000037746,protein_coding,365,139.9002157303,647.3895335453,730.793877943
fscn1b,ENSDARG00000037747,protein_coding,21,6.1522784019,28.4697248252,42.0456751693
abcg2b,ENSDARG00000079361,protein_coding,0,0,0,0
ENSDARG00000012458,ENSDARG00000012458,protein_coding,4,2.0646842087,9.5543451439,8.0087000323
grin2ab,ENSDARG00000070543,protein_coding,36,5.0605724374,23.4178454454,72.0783002903
CT573178.1,ENSDARG00000094298,antisense,0,0,0,0
socs1b,ENSDARG00000089873,protein_coding,0,0,0,0
CU467110.1,ENSDARG00000093438,lincRNA,0,0,0,0
si:ch73-191k20.3,ENSDARG00000094206,protein_coding,0,0,0,0
tlr2,ENSDARG00000037758,protein_coding,0,0,0,0
prkcba,ENSDARG00000008723,protein_coding,16,5.8608628464,27.1211966652,32.034800129
BX004779.3,ENSDARG00000110570,protein_coding,0,0,0,0
cacng3a,ENSDARG00000058460,protein_coding,0,0,0,0
si:ch211-14k19.8,ENSDARG00000088975,protein_coding,12,3.4842560775,16.1234270083,24.0261000968
vap_1,ENSDARG00000100949,protein_coding,0,0,0,0
vap_2,ENSDARG00000093053,protein_coding,0,0,0,0
ndufab1a,ENSDARG00000058463,protein_coding,10,12.0664823309,55.83775784,20.0217500806
