Name,Ensembl ID,Biotype,Total exon reads,RPKM,TPM,CPM
rpl24,ENSDARG00000099104,protein_coding,240,76.5396222227,312.3574744231,214.8867003108
cep97,ENSDARG00000102407,protein_coding,0,0,0,0
nfkbiz,ENSDARG00000102097,protein_coding,0,0,0,0
CU651657.1,ENSDARG00000099319,protein_coding,0,0,0,0
eed,ENSDARG00000099640,protein_coding,21,6.5157000538,26.590510298,18.8025862772
hikeshi,ENSDARG00000104071,protein_coding,6,2.5919372856,10.5776715494,5.3721675078
tmem39a,ENSDARG00000102746,protein_coding,0,0,0,0
ildr1a,ENSDARG00000103929,protein_coding,13,2.5741906879,10.5052478523,11.6396962668
si:zfos-1011f11.2,ENSDARG00000101073,protein_coding,0,0,0,0
gpa33a,ENSDARG00000100223,protein_coding,45,6.3159851097,25.7754754996,40.2912563083
FP067451.1,ENSDARG00000096573,antisense,0,0,0,0
f7l,ENSDARG00000100782,protein_coding,0,0,0,0
f7,ENSDARG00000034862,protein_coding,13,3.9487999774,16.1150153621,11.6396962668
f7i,ENSDARG00000075827,protein_coding,1,0.2227364023,0.9089851514,0.8953612513
f10,ENSDARG00000088581,protein_coding,80,16.1200060005,65.7855920341,71.6289001036
prozb,ENSDARG00000076900,protein_coding,21,7.5966456849,31.0018391953,18.8025862772
pcid2,ENSDARG00000013802,protein_coding,0,0,0,0
cul4a,ENSDARG00000096578,protein_coding,47,12.0345121684,49.1127303438,42.0819788109
FO681286.1,ENSDARG00000109848,protein_coding,0,0,0,0
lamp1a,ENSDARG00000100181,protein_coding,6,2.7612598218,11.2686752184,5.3721675078
grtp1a,ENSDARG00000029936,protein_coding,0,0,0,0
adprhl1,ENSDARG00000041589,protein_coding,0,0,0,0
dcun1d2b,ENSDARG00000041592,protein_coding,28,10.3329346724,42.1686086749,25.0701150363
tmco3,ENSDARG00000075108,protein_coding,0,0,0,0
tfdp1b,ENSDARG00000016304,protein_coding,6,0.8738256632,3.5660742674,5.3721675078
grk1a,ENSDARG00000058803,protein_coding,44,5.9609445266,24.3265582378,39.395895057
cenpe,ENSDARG00000063385,protein_coding,64,4.1524861366,16.9462566515,57.3031200829
gas6,ENSDARG00000007804,protein_coding,1,0.2083772107,0.850385426,0.8953612513
pros1,ENSDARG00000068261,protein_coding,7,1.4363087871,5.8615625763,6.2675287591
rasa3,ENSDARG00000063371,protein_coding,47,8.924002458,36.4187696329,42.0819788109
tpp2,ENSDARG00000078751,protein_coding,40,3.9992045454,16.3207159277,35.8144500518
ENSDARG00000078878,ENSDARG00000078878,protein_coding,2,1.0902593344,4.4493380327,1.7907225026
zgc:92518,ENSDARG00000016343,protein_coding,0,0,0,0
ercc5,ENSDARG00000023678,protein_coding,22,3.5409477153,14.4505741377,19.6979475285
blzf1,ENSDARG00000011299,protein_coding,32,5.7765120057,23.5738908643,28.6515600414
trmt10c,ENSDARG00000041575,protein_coding,23,6.9441132991,28.3388607004,20.5933087798
txnl4b,ENSDARG00000058962,protein_coding,6,2.060590142,8.4092488817,5.3721675078
si:ch73-41e3.7,ENSDARG00000089799,protein_coding,0,0,0,0
mrpl16,ENSDARG00000075325,protein_coding,17,2.9959403391,12.2264041898,15.221141272
mrpl39,ENSDARG00000041570,protein_coding,16,3.3201855259,13.5496457309,14.3257800207
CU571081.1,ENSDARG00000113329,protein_coding,0,0,0,0
dre-mir-155,ENSDARG00000081781,miRNA,0,0,0,
jam2a,ENSDARG00000058996,protein_coding,5,2.1582509998,8.8078019185,4.4768062565
atp5pf,ENSDARG00000014313,protein_coding,25,8.9087338609,36.3564586327,22.3840312824
appa,ENSDARG00000104279,protein_coding,705,63.6737256248,259.8518720852,631.2296821628
cyyr1,ENSDARG00000103783,protein_coding,2,0.3753351807,1.5317393227,1.7907225026
adamts1,ENSDARG00000103519,protein_coding,3,0.6025117374,2.4588447023,2.6860837539
adamts5,ENSDARG00000100307,protein_coding,15,2.9290549283,11.9534454609,13.4304187694
gart,ENSDARG00000101089,protein_coding,17,3.018204193,12.317262767,15.221141272
n6amt1,ENSDARG00000115421,protein_coding,15,7.11161395,29.0224292726,13.4304187694
CU611053.1,ENSDARG00000115673,rRNA,0,0,0,
CR450787.2,ENSDARG00000116514,rRNA,0,0,0,
CR450787.1,ENSDARG00000103469,processed_transcript,0,0,0,
CZQB01066256.1,ENSDARG00000117321,lincRNA,0,0,0,0
