Name,Ensembl ID,Biotype,Total exon reads,RPKM,TPM,CPM
rpl24,ENSDARG00000099104,protein_coding,55,54.6685366805,250.6075368139,153.6008003299
cep97,ENSDARG00000102407,protein_coding,0,0,0,0
nfkbiz,ENSDARG00000102097,protein_coding,0,0,0,0
CU651657.1,ENSDARG00000099319,protein_coding,0,0,0,0
eed,ENSDARG00000099640,protein_coding,6,5.802200423,26.5980259287,16.7564509451
hikeshi,ENSDARG00000104071,protein_coding,0,0,0,0
tmem39a,ENSDARG00000102746,protein_coding,0,0,0,0
ildr1a,ENSDARG00000103929,protein_coding,3,1.8514769278,8.4874061117,8.3782254725
si:zfos-1011f11.2,ENSDARG00000101073,protein_coding,0,0,0,0
gpa33a,ENSDARG00000100223,protein_coding,4,1.7497993953,8.0213033495,11.1709672967
FP067451.1,ENSDARG00000096573,antisense,0,0,0,0
f7l,ENSDARG00000100782,protein_coding,1,0.5967303687,2.7354880325,2.7927418242
f7,ENSDARG00000034862,protein_coding,0,0,0,0
f7i,ENSDARG00000075827,protein_coding,0,0,0,0
f10,ENSDARG00000088581,protein_coding,13,8.1642867827,37.426130727,36.3056437143
prozb,ENSDARG00000076900,protein_coding,0,0,0,0
pcid2,ENSDARG00000013802,protein_coding,0,0,0,0
cul4a,ENSDARG00000096578,protein_coding,11,8.7785543989,40.2420117363,30.720160066
FO681286.1,ENSDARG00000109848,protein_coding,0,0,0,0
lamp1a,ENSDARG00000100181,protein_coding,3,4.3030556738,19.7257554103,8.3782254725
grtp1a,ENSDARG00000029936,protein_coding,4,3.9758935768,18.2260026774,11.1709672967
adprhl1,ENSDARG00000041589,protein_coding,0,0,0,0
dcun1d2b,ENSDARG00000041592,protein_coding,0,0,0,0
tmco3,ENSDARG00000075108,protein_coding,2,1.7143304887,7.8587093626,5.5854836484
tfdp1b,ENSDARG00000016304,protein_coding,11,4.9930500239,22.8887774148,30.720160066
grk1a,ENSDARG00000058803,protein_coding,8,3.3779411404,15.4849125311,22.3419345934
cenpe,ENSDARG00000063385,protein_coding,21,4.2466571404,19.4672173478,58.6475783078
gas6,ENSDARG00000007804,protein_coding,0,0,0,0
pros1,ENSDARG00000068261,protein_coding,0,0,0,0
rasa3,ENSDARG00000063371,protein_coding,20,11.835633436,54.2560515085,55.8548364836
tpp2,ENSDARG00000078751,protein_coding,3,0.9348341475,4.2853988282,8.3782254725
ENSDARG00000078878,ENSDARG00000078878,protein_coding,0,0,0,0
zgc:92518,ENSDARG00000016343,protein_coding,0,0,0,0
ercc5,ENSDARG00000023678,protein_coding,16,8.0263206008,36.7936761724,44.6838691869
blzf1,ENSDARG00000011299,protein_coding,4,2.250481154,10.3164923171,11.1709672967
trmt10c,ENSDARG00000041575,protein_coding,0,0,0,0
txnl4b,ENSDARG00000058962,protein_coding,0,0,0,0
si:ch73-41e3.7,ENSDARG00000089799,protein_coding,0,0,0,0
mrpl16,ENSDARG00000075325,protein_coding,8,4.3941402391,20.1432986614,22.3419345934
mrpl39,ENSDARG00000041570,protein_coding,0,0,0,0
CU571081.1,ENSDARG00000113329,protein_coding,0,0,0,0
dre-mir-155,ENSDARG00000081781,miRNA,0,0,0,
jam2a,ENSDARG00000058996,protein_coding,0,0,0,0
atp5pf,ENSDARG00000014313,protein_coding,2,2.221292034,10.1826856722,5.5854836484
appa,ENSDARG00000104279,protein_coding,200,56.2990190069,258.0818755187,558.548364836
cyyr1,ENSDARG00000103783,protein_coding,0,0,0,0
adamts1,ENSDARG00000103519,protein_coding,0,0,0,0
adamts5,ENSDARG00000100307,protein_coding,4,2.4344223997,11.1597024212,11.1709672967
gart,ENSDARG00000101089,protein_coding,0,0,0,0
n6amt1,ENSDARG00000115421,protein_coding,8,11.8213367261,54.1905135688,22.3419345934
CU611053.1,ENSDARG00000115673,rRNA,0,0,0,
CR450787.2,ENSDARG00000116514,rRNA,0,0,0,
CR450787.1,ENSDARG00000103469,processed_transcript,0,0,0,
CZQB01066256.1,ENSDARG00000117321,lincRNA,0,0,0,0
runx1,ENSDARG00000087646,protein_coding,0,0,0,0
dre-mir-459,ENSDARG00000080051,miRNA,0,0,0,
urp2,ENSDARG00000067781,protein_coding,0,0,0,0
clic6,ENSDARG00000099108,protein_coding,0,0,0,0
atp1a1a.4,ENSDARG00000001870,protein_coding,132,50.5625884324,231.7853469543,368.6419207918
atp1a1a.1,ENSDARG00000002791,protein_coding,178,71.142514856,326.1263515248,497.108044704
atp1a1a.2,ENSDARG00000007739,protein_coding,5,2.5862521265,11.8557092318,13.9637091209
