Name,Ensembl ID,Biotype,Total exon reads,RPKM,TPM,CPM
rpl24,ENSDARG00000099104,protein_coding,108,40.9430074451,298.0221077811,173.1391316186
cep97,ENSDARG00000102407,protein_coding,1,0.2459309524,1.7901191283,1.6031401076
nfkbiz,ENSDARG00000102097,protein_coding,0,0,0,0
CU651657.1,ENSDARG00000099319,protein_coding,0,0,0,0
eed,ENSDARG00000099640,protein_coding,8,2.9506159662,21.4773863566,12.8251208606
hikeshi,ENSDARG00000104071,protein_coding,5,2.5675810123,18.6892940436,8.0157005379
tmem39a,ENSDARG00000102746,protein_coding,1,0.209962266,1.5283048553,1.6031401076
ildr1a,ENSDARG00000103929,protein_coding,0,0,0,0
si:zfos-1011f11.2,ENSDARG00000101073,protein_coding,0,0,0,0
gpa33a,ENSDARG00000100223,protein_coding,14,2.3358100979,17.0022451253,22.4439615061
FP067451.1,ENSDARG00000096573,antisense,0,0,0,0
f7l,ENSDARG00000100782,protein_coding,4,0.9103729749,6.6265594491,6.4125604303
f7,ENSDARG00000034862,protein_coding,1,0.3610793861,2.6282788307,1.6031401076
f7i,ENSDARG00000075827,protein_coding,2,0.5295440693,3.8545248518,3.2062802152
f10,ENSDARG00000088581,protein_coding,5,1.1976395481,8.7175584978,8.0157005379
prozb,ENSDARG00000076900,protein_coding,0,0,0,0
pcid2,ENSDARG00000013802,protein_coding,9,2.6770188915,19.4858869045,14.4282609682
cul4a,ENSDARG00000096578,protein_coding,1,0.3043767985,2.215543525,1.6031401076
FO681286.1,ENSDARG00000109848,protein_coding,0,0,0,0
lamp1a,ENSDARG00000100181,protein_coding,1,0.547062487,3.9820405399,1.6031401076
grtp1a,ENSDARG00000029936,protein_coding,0,0,0,0
adprhl1,ENSDARG00000041589,protein_coding,0,0,0,0
dcun1d2b,ENSDARG00000041592,protein_coding,0,0,0,0
tmco3,ENSDARG00000075108,protein_coding,0,0,0,0
tfdp1b,ENSDARG00000016304,protein_coding,4,0.6924915023,5.0406110837,6.4125604303
