Name,Ensembl ID,Biotype,Total exon reads,RPKM,TPM,CPM
rpl24,ENSDARG00000099104,protein_coding,137,78.8077790751,265.3552746883,226.6159881645
cep97,ENSDARG00000102407,protein_coding,5,1.865845728,6.2825270739,8.2706565024
nfkbiz,ENSDARG00000102097,protein_coding,0,0,0,0
CU651657.1,ENSDARG00000099319,protein_coding,0,0,0,0
eed,ENSDARG00000099640,protein_coding,1,0.5596483629,1.8844033776,1.6541313005
hikeshi,ENSDARG00000104071,protein_coding,5,3.8959797591,13.1182326323,8.2706565024
tmem39a,ENSDARG00000102746,protein_coding,0,0,0,0
ildr1a,ENSDARG00000103929,protein_coding,8,2.8573326146,9.6209827219,13.2330504038
si:zfos-1011f11.2,ENSDARG00000101073,protein_coding,6,8.0689599786,27.1691591452,9.9247878028
gpa33a,ENSDARG00000100223,protein_coding,115,29.1138656018,98.0298886057,190.2250995541
FP067451.1,ENSDARG00000096573,antisense,0,0,0,0
f7l,ENSDARG00000100782,protein_coding,15,5.1801598469,17.442221507,24.8119695071
f7,ENSDARG00000034862,protein_coding,0,0,0,0
f7i,ENSDARG00000075827,protein_coding,0,0,0,0
f10,ENSDARG00000088581,protein_coding,16,5.8152533961,19.5806579049,26.4661008075
prozb,ENSDARG00000076900,protein_coding,10,6.524932526,21.9702329273,16.5413130047
pcid2,ENSDARG00000013802,protein_coding,5,2.2566877293,7.5985391204,8.2706565024
cul4a,ENSDARG00000096578,protein_coding,32,14.7793066275,49.763703734,52.9322016151
FO681286.1,ENSDARG00000109848,protein_coding,0,0,0,0
lamp1a,ENSDARG00000100181,protein_coding,5,4.1504909996,13.9752026033,8.2706565024
grtp1a,ENSDARG00000029936,protein_coding,15,8.6285889498,29.0534972286,24.8119695071
adprhl1,ENSDARG00000041589,protein_coding,0,0,0,0
dcun1d2b,ENSDARG00000041592,protein_coding,0,0,0,0
tmco3,ENSDARG00000075108,protein_coding,0,0,0,0
tfdp1b,ENSDARG00000016304,protein_coding,2,0.5253841774,1.7690317422,3.3082626009
grk1a,ENSDARG00000058803,protein_coding,4,0.97745291,3.2912015598,6.6165252019
cenpe,ENSDARG00000063385,protein_coding,29,3.3939048613,11.4276860395,47.9698077136
