Name,Ensembl ID,Biotype,Total exon reads,RPKM,TPM,CPM
rpl24,ENSDARG00000099104,protein_coding,146,105.3933356853,388.2653276905,307.600891616
cep97,ENSDARG00000102407,protein_coding,7,3.2780497548,12.076219563,14.7479879542
nfkbiz,ENSDARG00000102097,protein_coding,4,2.5267358771,9.3084057635,8.4274216881
CU651657.1,ENSDARG00000099319,protein_coding,0,0,0,0
eed,ENSDARG00000099640,protein_coding,0,0,0,0
hikeshi,ENSDARG00000104071,protein_coding,0,0,0,0
tmem39a,ENSDARG00000102746,protein_coding,1,0.3998025508,1.4728584819,2.106855422
ildr1a,ENSDARG00000103929,protein_coding,0,0,0,0
si:zfos-1011f11.2,ENSDARG00000101073,protein_coding,0,0,0,0
gpa33a,ENSDARG00000100223,protein_coding,24,7.6247401411,28.0892734839,50.5645301287
FP067451.1,ENSDARG00000096573,antisense,0,0,0,0
f7l,ENSDARG00000100782,protein_coding,11,4.7671230281,17.5619129295,23.1754096423
f7,ENSDARG00000034862,protein_coding,4,2.7502172151,10.1317031223,8.4274216881
f7i,ENSDARG00000075827,protein_coding,0,0,0,0
f10,ENSDARG00000088581,protein_coding,27,12.3147102527,45.3669577927,56.8850963947
prozb,ENSDARG00000076900,protein_coding,0,0,0,0
pcid2,ENSDARG00000013802,protein_coding,0,0,0,0
cul4a,ENSDARG00000096578,protein_coding,16,9.2733326041,34.1626299128,33.7096867524
FO681286.1,ENSDARG00000109848,protein_coding,0,0,0,0
lamp1a,ENSDARG00000100181,protein_coding,1,1.0416965959,3.8375734816,2.106855422
grtp1a,ENSDARG00000029936,protein_coding,12,8.6624659467,31.9122187143,25.2822650643
adprhl1,ENSDARG00000041589,protein_coding,3,2.4261100173,8.9377036484,6.3205662661
dcun1d2b,ENSDARG00000041592,protein_coding,2,1.6706322841,6.154550352,4.2137108441
tmco3,ENSDARG00000075108,protein_coding,0,0,0,0
tfdp1b,ENSDARG00000016304,protein_coding,0,0,0,0
grk1a,ENSDARG00000058803,protein_coding,7,2.1465730149,7.907899201,14.7479879542
cenpe,ENSDARG00000063385,protein_coding,44,6.4619875266,23.8057339037,92.7016385692
gas6,ENSDARG00000007804,protein_coding,1,0.4716669456,1.7376043751,2.106855422
pros1,ENSDARG00000068261,protein_coding,23,10.6822523962,39.3530406842,48.4576747066
rasa3,ENSDARG00000063371,protein_coding,7,3.0084658427,11.0830819487,14.7479879542
