Name,Ensembl ID,Biotype,Total exon reads,RPKM,TPM,CPM
rpl24,ENSDARG00000099104,protein_coding,72,116.370445939,495.9866053205,303.5198099452
cep97,ENSDARG00000102407,protein_coding,0,0,0,0
nfkbiz,ENSDARG00000102097,protein_coding,0,0,0,0
CU651657.1,ENSDARG00000099319,protein_coding,0,0,0,0
eed,ENSDARG00000099640,protein_coding,1,1.5724502663,6.701996055,4.2155529159
hikeshi,ENSDARG00000104071,protein_coding,8,17.5145246639,74.649276814,33.7244233272
tmem39a,ENSDARG00000102746,protein_coding,0,0,0,0
ildr1a,ENSDARG00000103929,protein_coding,0,0,0,0
si:zfos-1011f11.2,ENSDARG00000101073,protein_coding,1,3.7785745204,16.1047964904,4.2155529159
gpa33a,ENSDARG00000100223,protein_coding,3,2.1339535797,9.095199244,12.6466587477
FP067451.1,ENSDARG00000096573,antisense,0,0,0,0
f7l,ENSDARG00000100782,protein_coding,0,0,0,0
f7,ENSDARG00000034862,protein_coding,0,0,0,0
f7i,ENSDARG00000075827,protein_coding,0,0,0,0
f10,ENSDARG00000088581,protein_coding,32,32.6783650496,139.2796187862,134.897693309
prozb,ENSDARG00000076900,protein_coding,0,0,0,0
pcid2,ENSDARG00000013802,protein_coding,0,0,0,0
cul4a,ENSDARG00000096578,protein_coding,4,5.1906978967,22.1234576206,16.8622116636
FO681286.1,ENSDARG00000109848,protein_coding,0,0,0,0
lamp1a,ENSDARG00000100181,protein_coding,16,37.3173791835,159.0517254731,67.4488466545
grtp1a,ENSDARG00000029936,protein_coding,15,24.243842904,103.3305427751,63.2332937386
adprhl1,ENSDARG00000041589,protein_coding,0,0,0,0
dcun1d2b,ENSDARG00000041592,protein_coding,10,18.7025481636,79.7127939116,42.1555291591
tmco3,ENSDARG00000075108,protein_coding,0,0,0,0
tfdp1b,ENSDARG00000016304,protein_coding,2,1.476177801,6.2916697659,8.4311058318
grk1a,ENSDARG00000058803,protein_coding,3,2.0597702822,8.7790199803,12.6466587477
cenpe,ENSDARG00000063385,protein_coding,7,2.301767145,9.8104433928,29.5088704113
gas6,ENSDARG00000007804,protein_coding,7,7.3923647899,31.5072601798,29.5088704113
pros1,ENSDARG00000068261,protein_coding,0,0,0,0
rasa3,ENSDARG00000063371,protein_coding,0,0,0,0
tpp2,ENSDARG00000078751,protein_coding,1,0.506697493,2.1596133576,4.2155529159
ENSDARG00000078878,ENSDARG00000078878,protein_coding,0,0,0,0
zgc:92518,ENSDARG00000016343,protein_coding,0,0,0,0
ercc5,ENSDARG00000023678,protein_coding,3,2.4471084548,10.4299077447,12.6466587477
blzf1,ENSDARG00000011299,protein_coding,0,0,0,0
trmt10c,ENSDARG00000041575,protein_coding,0,0,0,0
txnl4b,ENSDARG00000058962,protein_coding,0,0,0,0
