"gene","genecount"
"ENSDARG00000099104",679
"ENSDARG00000102407",5
"ENSDARG00000102097",21
"ENSDARG00000099319",0
"ENSDARG00000099640",14
"ENSDARG00000104071",53
"ENSDARG00000102746",13
"ENSDARG00000103929",52
"ENSDARG00000101073",0
"ENSDARG00000100223",273
"ENSDARG00000096573",0
"ENSDARG00000100782",38
"ENSDARG00000034862",26
"ENSDARG00000075827",25
"ENSDARG00000088581",191
"ENSDARG00000076900",15
"ENSDARG00000013802",21
"ENSDARG00000096578",121
"ENSDARG00000109848",0
"ENSDARG00000100181",18
"ENSDARG00000029936",46
"ENSDARG00000041589",4
"ENSDARG00000041592",27
"ENSDARG00000075108",1
"ENSDARG00000016304",47
"ENSDARG00000058803",83
"ENSDARG00000063385",189
"ENSDARG00000007804",32
"ENSDARG00000068261",39
"ENSDARG00000063371",73
"ENSDARG00000078751",183
"ENSDARG00000078878",3
"ENSDARG00000016343",15
"ENSDARG00000023678",63
"ENSDARG00000011299",56
"ENSDARG00000041575",12
"ENSDARG00000058962",24
"ENSDARG00000089799",0
"ENSDARG00000075325",126
"ENSDARG00000041570",31
"ENSDARG00000113329",7
"ENSDARG00000081781",0
"ENSDARG00000058996",12
"ENSDARG00000014313",151
"ENSDARG00000104279",1788
"ENSDARG00000103783",21
"ENSDARG00000103519",24
"ENSDARG00000100307",74
"ENSDARG00000101089",24
"ENSDARG00000115421",28
"ENSDARG00000115673",0
"ENSDARG00000116514",0
"ENSDARG00000103469",0
"ENSDARG00000117321",0
"ENSDARG00000087646",7
"ENSDARG00000080051",0
"ENSDARG00000067781",8
"ENSDARG00000099108",14
"ENSDARG00000001870",4219
"ENSDARG00000002791",2107
"ENSDARG00000007739",162
"ENSDARG00000039131",191
"ENSDARG00000040252",60
"ENSDARG00000089477",93
"ENSDARG00000093102",0
"ENSDARG00000095102",0
"ENSDARG00000040250",0
"ENSDARG00000075505",15
"ENSDARG00000010376",0
"ENSDARG00000033684",0
"ENSDARG00000040247",0
"ENSDARG00000078743",0
"ENSDARG00000018460",527
"ENSDARG00000040246",15
"ENSDARG00000040245",467
"ENSDARG00000082290",0
"ENSDARG00000074381",558
"ENSDARG00000095179",0
"ENSDARG00000084484",0
"ENSDARG00000070579",0
"ENSDARG00000038248",37
"ENSDARG00000070581",13
"ENSDARG00000096559",0
"ENSDARG00000103156",99
"ENSDARG00000103647",21
"ENSDARG00000104805",0
"ENSDARG00000100273",0
"ENSDARG00000104910",0
"ENSDARG00000099103",0
"ENSDARG00000098078",0
"ENSDARG00000104155",0
"ENSDARG00000117575",0
"ENSDARG00000088916",0
"ENSDARG00000098769",107
"ENSDARG00000104115",0
"ENSDARG00000102013",0
"ENSDARG00000117775",0
"ENSDARG00000082581",0
"ENSDARG00000078308",145
"ENSDARG00000033928",269
"ENSDARG00000031164",432
"ENSDARG00000037777",33
"ENSDARG00000016706",85
"ENSDARG00000030350",4
"ENSDARG00000006526",2649
"ENSDARG00000077688",15
"ENSDARG00000096546",349
