"gene","genecount"
"ENSDARG00000099104",420
"ENSDARG00000102407",1
"ENSDARG00000102097",1
"ENSDARG00000099319",0
"ENSDARG00000099640",19
"ENSDARG00000104071",20
"ENSDARG00000102746",2
"ENSDARG00000103929",47
"ENSDARG00000101073",0
"ENSDARG00000100223",118
"ENSDARG00000096573",0
"ENSDARG00000100782",40
"ENSDARG00000034862",1
"ENSDARG00000075827",5
"ENSDARG00000088581",102
"ENSDARG00000076900",10
"ENSDARG00000013802",8
"ENSDARG00000096578",91
"ENSDARG00000109848",0
"ENSDARG00000100181",14
"ENSDARG00000029936",17
"ENSDARG00000041589",2
"ENSDARG00000041592",13
"ENSDARG00000075108",9
"ENSDARG00000016304",12
"ENSDARG00000058803",36
"ENSDARG00000063385",82
"ENSDARG00000007804",17
"ENSDARG00000068261",20
"ENSDARG00000063371",42
"ENSDARG00000078751",87
"ENSDARG00000078878",14
"ENSDARG00000016343",6
"ENSDARG00000023678",48
"ENSDARG00000011299",31
"ENSDARG00000041575",8
"ENSDARG00000058962",8
"ENSDARG00000089799",0
"ENSDARG00000075325",52
"ENSDARG00000041570",31
"ENSDARG00000113329",0
"ENSDARG00000081781",0
"ENSDARG00000058996",1
"ENSDARG00000014313",65
"ENSDARG00000104279",885
"ENSDARG00000103783",26
"ENSDARG00000103519",27
"ENSDARG00000100307",14
"ENSDARG00000101089",7
"ENSDARG00000115421",7
"ENSDARG00000115673",0
"ENSDARG00000116514",0
"ENSDARG00000103469",0
"ENSDARG00000117321",0
"ENSDARG00000087646",0
"ENSDARG00000080051",0
"ENSDARG00000067781",1
"ENSDARG00000099108",18
"ENSDARG00000001870",2185
"ENSDARG00000002791",1160
"ENSDARG00000007739",88
"ENSDARG00000039131",100
"ENSDARG00000040252",9
"ENSDARG00000089477",56
"ENSDARG00000093102",0
"ENSDARG00000095102",0
"ENSDARG00000040250",0
"ENSDARG00000075505",17
"ENSDARG00000010376",0
"ENSDARG00000033684",0
"ENSDARG00000040247",0
"ENSDARG00000078743",0
"ENSDARG00000018460",265
"ENSDARG00000040246",10
"ENSDARG00000040245",302
"ENSDARG00000082290",0
"ENSDARG00000074381",321
"ENSDARG00000095179",0
"ENSDARG00000084484",0
"ENSDARG00000070579",0
"ENSDARG00000038248",38
"ENSDARG00000070581",1
"ENSDARG00000096559",0
"ENSDARG00000103156",27
"ENSDARG00000103647",8
"ENSDARG00000104805",0
"ENSDARG00000100273",0
"ENSDARG00000104910",0
"ENSDARG00000099103",0
"ENSDARG00000098078",0
"ENSDARG00000104155",0
"ENSDARG00000117575",0
"ENSDARG00000088916",0
"ENSDARG00000098769",51
"ENSDARG00000104115",0
"ENSDARG00000102013",0
"ENSDARG00000117775",0
"ENSDARG00000082581",0
"ENSDARG00000078308",82
"ENSDARG00000033928",131
"ENSDARG00000031164",152
"ENSDARG00000037777",15
"ENSDARG00000016706",29
"ENSDARG00000030350",1
"ENSDARG00000006526",1507
"ENSDARG00000077688",13
"ENSDARG00000096546",162
"ENSDARG00000092671",30
"ENSDARG00000113935",4
"ENSDARG00000063297",22
"ENSDARG00000027078",61
"ENSDARG00000017537",3
"ENSDARG00000063270",68
"ENSDARG00000018008",0
"ENSDARG00000074031",31
"ENSDARG00000043247",24
"ENSDARG00000113848",12
"ENSDARG00000063253",16
"ENSDARG00000073857",25
"ENSDARG00000107682",0
"ENSDARG00000070558",7
"ENSDARG00000025754",11
"ENSDARG00000096530",0
"ENSDARG00000116636",0
"ENSDARG00000063207",9
"ENSDARG00000095087",0
"ENSDARG00000096610",0
"ENSDARG00000117465",0
"ENSDARG00000102217",0
"ENSDARG00000090408",60
"ENSDARG00000013741",5
"ENSDARG00000017441",5290
"ENSDARG00000037713",11
"ENSDARG00000021688",0
"ENSDARG00000004953",0
"ENSDARG00000074050",8
"ENSDARG00000018319",51
"ENSDARG00000098730",20
"ENSDARG00000096630",0
"ENSDARG00000117359",0
"ENSDARG00000106375",0
"ENSDARG00000079779",15
"ENSDARG00000089090",0
"ENSDARG00000109652",0
"ENSDARG00000115102",0
"ENSDARG00000115288",0
"ENSDARG00000093857",0
"ENSDARG00000095309",0
"ENSDARG00000095673",0
"ENSDARG00000099359",3
"ENSDARG00000092361",7
"ENSDARG00000103767",0
"ENSDARG00000075791",0
"ENSDARG00000107486",3
"ENSDARG00000029720",0
"ENSDARG00000100166",174
"ENSDARG00000074212",6
"ENSDARG00000062929",26
"ENSDARG00000022668",0
"ENSDARG00000099708",8
"ENSDARG00000025034",58
"ENSDARG00000078474",1
"ENSDARG00000096583",0
"ENSDARG00000063003",68
"ENSDARG00000002377",10
"ENSDARG00000015803",14
"ENSDARG00000037739",10
"ENSDARG00000076176",50
"ENSDARG00000096526",0
"ENSDARG00000113858",25
"ENSDARG00000096599",0
"ENSDARG00000100771",0
"ENSDARG00000079873",10
"ENSDARG00000079332",0
"ENSDARG00000007443",3
"ENSDARG00000037746",2013
"ENSDARG00000037747",45
"ENSDARG00000079361",18
"ENSDARG00000012458",88
"ENSDARG00000070543",41
"ENSDARG00000094298",0
"ENSDARG00000089873",0
"ENSDARG00000093438",2
"ENSDARG00000094206",1
"ENSDARG00000037758",0
"ENSDARG00000008723",74
"ENSDARG00000110570",0
"ENSDARG00000058460",0
"ENSDARG00000088975",14
"ENSDARG00000100949",0
"ENSDARG00000093053",0
"ENSDARG00000058463",164
"ENSDARG00000076716",2
"ENSDARG00000058464",6
"ENSDARG00000058471",95
"ENSDARG00000096584",0
"ENSDARG00000058475",85
"ENSDARG00000080404",0
"ENSDARG00000058480",42
"ENSDARG00000024740",12
"ENSDARG00000101597",27
"ENSDARG00000058445",23
"ENSDARG00000063169",11
"ENSDARG00000092791",0
"ENSDARG00000037760",7
"ENSDARG00000117314",0
"ENSDARG00000017834",17
"ENSDARG00000074282",15
"ENSDARG00000074372",17
"ENSDARG00000104203",1
"ENSDARG00000101495",64
"ENSDARG00000091916",112
"ENSDARG00000099276",63
"ENSDARG00000104995",6
"ENSDARG00000033852",34
"ENSDARG00000037654",30
"ENSDARG00000037652",22
"ENSDARG00000037646",6
"ENSDARG00000032795",9
"ENSDARG00000018263",248
"ENSDARG00000077542",0
"ENSDARG00000070490",3
"ENSDARG00000015678",0
"ENSDARG00000079043",0
"ENSDARG00000076174",70
"ENSDARG00000037647",9
"ENSDARG00000008969",190
"ENSDARG00000020741",419
"ENSDARG00000104660",24
"ENSDARG00000096594",1
"ENSDARG00000077652",18
"ENSDARG00000079452",0
"ENSDARG00000089943",0
"ENSDARG00000096536",0
"ENSDARG00000077533",163
"ENSDARG00000030563",20
"ENSDARG00000026387",2
"ENSDARG00000070495",6
"ENSDARG00000084766",0
"ENSDARG00000034785",10
"ENSDARG00000070512",56
"ENSDARG00000070504",0
"ENSDARG00000062057",0
"ENSDARG00000067992",0
"ENSDARG00000103508",0
"ENSDARG00000070502",0
"ENSDARG00000037679",15
"ENSDARG00000076833",94
"ENSDARG00000012297",18
"ENSDARG00000087107",5
"ENSDARG00000099342",0
"ENSDARG00000008487",485
"ENSDARG00000084839",0
"ENSDARG00000100507",0
"ENSDARG00000070239",35
"ENSDARG00000074379",0
"ENSDARG00000062854",41
"ENSDARG00000112849",0
"ENSDARG00000113410",0
"ENSDARG00000092242",0
"ENSDARG00000092200",0
"ENSDARG00000093636",0
"ENSDARG00000095482",0
"ENSDARG00000094981",0
"ENSDARG00000037619",2
"ENSDARG00000062585",14
"ENSDARG00000074213",9
"ENSDARG00000062606",19
"ENSDARG00000077198",0
"ENSDARG00000007678",166
"ENSDARG00000089930",30
"ENSDARG00000078057",34
"ENSDARG00000070448",102
"ENSDARG00000070449",64
"ENSDARG00000042988",105
"ENSDARG00000096506",0
"ENSDARG00000070452",14
"ENSDARG00000070454",8
"ENSDARG00000096515",0
"ENSDARG00000038114",4
"ENSDARG00000008637",394
"ENSDARG00000091609",27
"ENSDARG00000002634",9
"ENSDARG00000062467",2
"ENSDARG00000032808",0
"ENSDARG00000078318",21
"ENSDARG00000018997",62
"ENSDARG00000099771",39
"ENSDARG00000045620",79
"ENSDARG00000045618",130
"ENSDARG00000057248",49
"ENSDARG00000017985",29
"ENSDARG00000113585",0
"ENSDARG00000106508",0
"ENSDARG00000117227",0
"ENSDARG00000104707",0
"ENSDARG00000102049",0
"ENSDARG00000116228",0
"ENSDARG00000099729",140
"ENSDARG00000105122",0
"ENSDARG00000098668",0
"ENSDARG00000098053",0
"ENSDARG00000102604",0
"ENSDARG00000102339",0
"ENSDARG00000089805",55
"ENSDARG00000117726",0
"ENSDARG00000117541",10
"ENSDARG00000112668",0
"ENSDARG00000110084",0
"ENSDARG00000078525",12
"ENSDARG00000079626",117
"ENSDARG00000057114",27
"ENSDARG00000009026",172
"ENSDARG00000085400",0
"ENSDARG00000014273",123
"ENSDARG00000104795",0
"ENSDARG00000056806",9
"ENSDARG00000056797",25
"ENSDARG00000062341",40
"ENSDARG00000107022",0
"ENSDARG00000056742",70
"ENSDARG00000037576",0
"ENSDARG00000070431",99
"ENSDARG00000022690",49
"ENSDARG00000056677",1
"ENSDARG00000012903",62
"ENSDARG00000003398",49
"ENSDARG00000074867",23
"ENSDARG00000109597",6
"ENSDARG00000111274",0
"ENSDARG00000110922",17
"ENSDARG00000116310",0
"ENSDARG00000109592",0
"ENSDARG00000117482",0
"ENSDARG00000103921",0
"ENSDARG00000114198",0
"ENSDARG00000106947",0
"ENSDARG00000039063",1
"ENSDARG00000113383",0
"ENSDARG00000109748",0
"ENSDARG00000116279",0
"ENSDARG00000109910",0
"ENSDARG00000116174",0
"ENSDARG00000116266",0
"ENSDARG00000111171",0
"ENSDARG00000111710",0
"ENSDARG00000111723",0
"ENSDARG00000115042",0
"ENSDARG00000114262",0
"ENSDARG00000078898",195
"ENSDARG00000007534",0
"ENSDARG00000077804",25
"ENSDARG00000013881",60
"ENSDARG00000079317",77
"ENSDARG00000117428",15
"ENSDARG00000106258",0
"ENSDARG00000078854",40
"ENSDARG00000108223",0
"ENSDARG00000007356",0
"ENSDARG00000078599",9
"ENSDARG00000115704",8
"ENSDARG00000109375",0
"ENSDARG00000017119",55
"ENSDARG00000070412",56
"ENSDARG00000034105",94
"ENSDARG00000062198",150
"ENSDARG00000034817",19
"ENSDARG00000056504",5
"ENSDARG00000108673",0
"ENSDARG00000110937",0
"ENSDARG00000117129",0
"ENSDARG00000116147",0
"ENSDARG00000116406",0
"ENSDARG00000111254",0
"ENSDARG00000113731",0
"ENSDARG00000115569",0
"ENSDARG00000113149",0
"ENSDARG00000116958",0
"ENSDARG00000092109",0
"ENSDARG00000017591",1172
"ENSDARG00000092708",0
"ENSDARG00000017905",76
"ENSDARG00000030514",40
"ENSDARG00000056400",5
"ENSDARG00000042937",0
"ENSDARG00000092600",1
"ENSDARG00000027355",666
"ENSDARG00000092022",0
"ENSDARG00000056381",42
"ENSDARG00000056376",1
"ENSDARG00000056369",11
"ENSDARG00000011023",0
"ENSDARG00000003046",69
"ENSDARG00000095697",0
"ENSDARG00000016065",0
"ENSDARG00000062132",182
"ENSDARG00000117687",0
"ENSDARG00000117295",0
"ENSDARG00000094943",0
"ENSDARG00000115616",0
"ENSDARG00000037545",0
"ENSDARG00000062122",10
"ENSDARG00000095111",0
"ENSDARG00000008287",7
"ENSDARG00000015495",53
"ENSDARG00000062081",74
"ENSDARG00000018178",85
"ENSDARG00000093886",0
"ENSDARG00000056163",4
"ENSDARG00000079488",4
"ENSDARG00000062055",22
"ENSDARG00000074275",78
"ENSDARG00000075330",0
"ENSDARG00000006392",23
"ENSDARG00000073902",40
"ENSDARG00000019945",122
"ENSDARG00000086957",33
"ENSDARG00000056151",184
"ENSDARG00000061985",215
"ENSDARG00000061981",24
