"gene","genecount"
"ENSDARG00000099104",405
"ENSDARG00000102407",4
"ENSDARG00000102097",15
"ENSDARG00000099319",0
"ENSDARG00000099640",36
"ENSDARG00000104071",48
"ENSDARG00000102746",10
"ENSDARG00000103929",25
"ENSDARG00000101073",2
"ENSDARG00000100223",109
"ENSDARG00000096573",0
"ENSDARG00000100782",0
"ENSDARG00000034862",0
"ENSDARG00000075827",25
"ENSDARG00000088581",98
"ENSDARG00000076900",11
"ENSDARG00000013802",11
"ENSDARG00000096578",123
"ENSDARG00000109848",0
"ENSDARG00000100181",29
"ENSDARG00000029936",33
"ENSDARG00000041589",0
"ENSDARG00000041592",4
"ENSDARG00000075108",1
"ENSDARG00000016304",6
"ENSDARG00000058803",120
"ENSDARG00000063385",201
"ENSDARG00000007804",63
"ENSDARG00000068261",16
"ENSDARG00000063371",104
"ENSDARG00000078751",73
"ENSDARG00000078878",11
"ENSDARG00000016343",13
"ENSDARG00000023678",60
"ENSDARG00000011299",56
"ENSDARG00000041575",17
"ENSDARG00000058962",18
"ENSDARG00000089799",0
"ENSDARG00000075325",91
"ENSDARG00000041570",24
"ENSDARG00000113329",0
"ENSDARG00000081781",0
"ENSDARG00000058996",7
"ENSDARG00000014313",35
"ENSDARG00000104279",1689
"ENSDARG00000103783",10
"ENSDARG00000103519",9
"ENSDARG00000100307",45
"ENSDARG00000101089",43
"ENSDARG00000115421",1
"ENSDARG00000115673",0
"ENSDARG00000116514",0
"ENSDARG00000103469",0
"ENSDARG00000117321",5
"ENSDARG00000087646",1
"ENSDARG00000080051",0
"ENSDARG00000067781",0
"ENSDARG00000099108",69
"ENSDARG00000001870",1076
"ENSDARG00000002791",1767
"ENSDARG00000007739",74
"ENSDARG00000039131",114
"ENSDARG00000040252",12
"ENSDARG00000089477",68
"ENSDARG00000093102",0
"ENSDARG00000095102",0
"ENSDARG00000040250",0
"ENSDARG00000075505",24
"ENSDARG00000010376",3
"ENSDARG00000033684",0
"ENSDARG00000040247",0
"ENSDARG00000078743",0
"ENSDARG00000018460",377
"ENSDARG00000040246",16
"ENSDARG00000040245",390
"ENSDARG00000082290",0
"ENSDARG00000074381",632
"ENSDARG00000095179",0
"ENSDARG00000084484",0
"ENSDARG00000070579",0
"ENSDARG00000038248",0
"ENSDARG00000070581",4
"ENSDARG00000096559",0
