"gene","genecount"
"ENSDARG00000099104",599
"ENSDARG00000102407",1
"ENSDARG00000102097",9
"ENSDARG00000099319",0
"ENSDARG00000099640",19
"ENSDARG00000104071",16
"ENSDARG00000102746",7
"ENSDARG00000103929",55
"ENSDARG00000101073",0
"ENSDARG00000100223",161
"ENSDARG00000096573",0
"ENSDARG00000100782",55
"ENSDARG00000034862",35
"ENSDARG00000075827",14
"ENSDARG00000088581",180
"ENSDARG00000076900",27
"ENSDARG00000013802",12
"ENSDARG00000096578",118
"ENSDARG00000109848",0
"ENSDARG00000100181",15
"ENSDARG00000029936",28
"ENSDARG00000041589",0
"ENSDARG00000041592",21
"ENSDARG00000075108",2
"ENSDARG00000016304",6
"ENSDARG00000058803",47
"ENSDARG00000063385",148
"ENSDARG00000007804",16
"ENSDARG00000068261",42
"ENSDARG00000063371",61
"ENSDARG00000078751",126
"ENSDARG00000078878",30
"ENSDARG00000016343",13
"ENSDARG00000023678",32
"ENSDARG00000011299",63
"ENSDARG00000041575",5
"ENSDARG00000058962",29
"ENSDARG00000089799",0
"ENSDARG00000075325",62
"ENSDARG00000041570",55
"ENSDARG00000113329",0
"ENSDARG00000081781",0
"ENSDARG00000058996",9
"ENSDARG00000014313",85
"ENSDARG00000104279",1317
"ENSDARG00000103783",41
"ENSDARG00000103519",23
"ENSDARG00000100307",14
"ENSDARG00000101089",10
"ENSDARG00000115421",6
"ENSDARG00000115673",0
"ENSDARG00000116514",0
"ENSDARG00000103469",0
"ENSDARG00000117321",2
"ENSDARG00000087646",3
"ENSDARG00000080051",0
"ENSDARG00000067781",1
"ENSDARG00000099108",5
"ENSDARG00000001870",3102
"ENSDARG00000002791",1549
"ENSDARG00000007739",152
"ENSDARG00000039131",214
"ENSDARG00000040252",66
"ENSDARG00000089477",97
"ENSDARG00000093102",0
"ENSDARG00000095102",0
"ENSDARG00000040250",0
"ENSDARG00000075505",26
"ENSDARG00000010376",0
"ENSDARG00000033684",0
"ENSDARG00000040247",0
"ENSDARG00000078743",0
"ENSDARG00000018460",324
"ENSDARG00000040246",2
"ENSDARG00000040245",411
"ENSDARG00000082290",0
"ENSDARG00000074381",411
"ENSDARG00000095179",0
"ENSDARG00000084484",0
"ENSDARG00000070579",0
"ENSDARG00000038248",12
"ENSDARG00000070581",0
"ENSDARG00000096559",0
"ENSDARG00000103156",57
"ENSDARG00000103647",6
"ENSDARG00000104805",0
"ENSDARG00000100273",0
"ENSDARG00000104910",0
"ENSDARG00000099103",0
"ENSDARG00000098078",0
"ENSDARG00000104155",0
"ENSDARG00000117575",0
"ENSDARG00000088916",0
"ENSDARG00000098769",61
"ENSDARG00000104115",0
"ENSDARG00000102013",0
"ENSDARG00000117775",0
"ENSDARG00000082581",0
"ENSDARG00000078308",103
"ENSDARG00000033928",228
"ENSDARG00000031164",220
"ENSDARG00000037777",26
"ENSDARG00000016706",126
"ENSDARG00000030350",4
"ENSDARG00000006526",2292
"ENSDARG00000077688",4
"ENSDARG00000096546",211
"ENSDARG00000092671",69
"ENSDARG00000113935",8
"ENSDARG00000063297",56
"ENSDARG00000027078",183
"ENSDARG00000017537",5
"ENSDARG00000063270",74
"ENSDARG00000018008",4
"ENSDARG00000074031",26
"ENSDARG00000043247",18
"ENSDARG00000113848",7
"ENSDARG00000063253",2
"ENSDARG00000073857",57
"ENSDARG00000107682",0
"ENSDARG00000070558",12
"ENSDARG00000025754",21
"ENSDARG00000096530",0
"ENSDARG00000116636",0
"ENSDARG00000063207",18
