"gene","genecount"
"ENSDARG00000099104",254
"ENSDARG00000102407",2
"ENSDARG00000102097",0
"ENSDARG00000099319",0
"ENSDARG00000099640",5
"ENSDARG00000104071",16
"ENSDARG00000102746",4
"ENSDARG00000103929",29
"ENSDARG00000101073",0
"ENSDARG00000100223",100
"ENSDARG00000096573",0
"ENSDARG00000100782",8
"ENSDARG00000034862",20
"ENSDARG00000075827",10
"ENSDARG00000088581",32
"ENSDARG00000076900",7
"ENSDARG00000013802",5
"ENSDARG00000096578",82
"ENSDARG00000109848",0
"ENSDARG00000100181",12
"ENSDARG00000029936",9
"ENSDARG00000041589",0
"ENSDARG00000041592",9
"ENSDARG00000075108",0
"ENSDARG00000016304",11
"ENSDARG00000058803",33
"ENSDARG00000063385",143
"ENSDARG00000007804",10
"ENSDARG00000068261",8
"ENSDARG00000063371",66
"ENSDARG00000078751",94
"ENSDARG00000078878",8
"ENSDARG00000016343",4
"ENSDARG00000023678",20
"ENSDARG00000011299",55
"ENSDARG00000041575",5
"ENSDARG00000058962",0
"ENSDARG00000089799",0
"ENSDARG00000075325",40
"ENSDARG00000041570",5
"ENSDARG00000113329",1
"ENSDARG00000081781",0
"ENSDARG00000058996",1
"ENSDARG00000014313",17
"ENSDARG00000104279",669
"ENSDARG00000103783",29
"ENSDARG00000103519",1
"ENSDARG00000100307",18
"ENSDARG00000101089",9
"ENSDARG00000115421",13
"ENSDARG00000115673",0
"ENSDARG00000116514",0
"ENSDARG00000103469",0
"ENSDARG00000117321",1
"ENSDARG00000087646",4
"ENSDARG00000080051",0
"ENSDARG00000067781",0
"ENSDARG00000099108",6
"ENSDARG00000001870",1208
"ENSDARG00000002791",782
"ENSDARG00000007739",61
"ENSDARG00000039131",52
"ENSDARG00000040252",35
"ENSDARG00000089477",38
"ENSDARG00000093102",0
"ENSDARG00000095102",0
"ENSDARG00000040250",0
"ENSDARG00000075505",23
"ENSDARG00000010376",0
"ENSDARG00000033684",0
"ENSDARG00000040247",0
"ENSDARG00000078743",0
"ENSDARG00000018460",199
"ENSDARG00000040246",1
"ENSDARG00000040245",187
"ENSDARG00000082290",0
"ENSDARG00000074381",329
"ENSDARG00000095179",0
"ENSDARG00000084484",0
"ENSDARG00000070579",0
"ENSDARG00000038248",0
"ENSDARG00000070581",3
"ENSDARG00000096559",0
"ENSDARG00000103156",63
"ENSDARG00000103647",17
"ENSDARG00000104805",0
"ENSDARG00000100273",0
"ENSDARG00000104910",0
"ENSDARG00000099103",0
"ENSDARG00000098078",0
"ENSDARG00000104155",0
"ENSDARG00000117575",0
"ENSDARG00000088916",0
"ENSDARG00000098769",32
