"gene","genecount"
"ENSDARG00000099104",50
"ENSDARG00000102407",0
"ENSDARG00000102097",0
"ENSDARG00000099319",0
"ENSDARG00000099640",0
"ENSDARG00000104071",0
"ENSDARG00000102746",0
"ENSDARG00000103929",0
"ENSDARG00000101073",0
"ENSDARG00000100223",26
"ENSDARG00000096573",0
"ENSDARG00000100782",0
"ENSDARG00000034862",0
"ENSDARG00000075827",0
"ENSDARG00000088581",6
"ENSDARG00000076900",4
"ENSDARG00000013802",3
"ENSDARG00000096578",9
"ENSDARG00000109848",0
"ENSDARG00000100181",0
"ENSDARG00000029936",2
"ENSDARG00000041589",0
"ENSDARG00000041592",11
"ENSDARG00000075108",2
"ENSDARG00000016304",1
"ENSDARG00000058803",0
"ENSDARG00000063385",59
"ENSDARG00000007804",5
"ENSDARG00000068261",1
"ENSDARG00000063371",10
"ENSDARG00000078751",4
"ENSDARG00000078878",0
"ENSDARG00000016343",0
"ENSDARG00000023678",8
"ENSDARG00000011299",6
"ENSDARG00000041575",4
"ENSDARG00000058962",1
"ENSDARG00000089799",0
"ENSDARG00000075325",14
"ENSDARG00000041570",1
"ENSDARG00000113329",0
"ENSDARG00000081781",0
"ENSDARG00000058996",0
"ENSDARG00000014313",3
"ENSDARG00000104279",333
"ENSDARG00000103783",7
"ENSDARG00000103519",0
"ENSDARG00000100307",0
"ENSDARG00000101089",0
"ENSDARG00000115421",1
"ENSDARG00000115673",0
"ENSDARG00000116514",0
"ENSDARG00000103469",0
"ENSDARG00000117321",1
"ENSDARG00000087646",0
"ENSDARG00000080051",0
"ENSDARG00000067781",0
"ENSDARG00000099108",0
"ENSDARG00000001870",342
"ENSDARG00000002791",259
"ENSDARG00000007739",6
"ENSDARG00000039131",163
"ENSDARG00000040252",1
"ENSDARG00000089477",5
"ENSDARG00000093102",0
"ENSDARG00000095102",0
"ENSDARG00000040250",0
"ENSDARG00000075505",0
"ENSDARG00000010376",0
"ENSDARG00000033684",0
"ENSDARG00000040247",0
"ENSDARG00000078743",0
"ENSDARG00000018460",51
"ENSDARG00000040246",0
"ENSDARG00000040245",55
"ENSDARG00000082290",0
"ENSDARG00000074381",84
"ENSDARG00000095179",0
"ENSDARG00000084484",0
"ENSDARG00000070579",0
"ENSDARG00000038248",0
"ENSDARG00000070581",0
"ENSDARG00000096559",0
"ENSDARG00000103156",5
"ENSDARG00000103647",0
"ENSDARG00000104805",0
"ENSDARG00000100273",0
