"gene","genecount"
"ENSDARG00000099104",87
"ENSDARG00000102407",0
"ENSDARG00000102097",2
"ENSDARG00000099319",0
"ENSDARG00000099640",6
"ENSDARG00000104071",5
"ENSDARG00000102746",1
"ENSDARG00000103929",3
"ENSDARG00000101073",0
"ENSDARG00000100223",33
"ENSDARG00000096573",0
"ENSDARG00000100782",2
"ENSDARG00000034862",5
"ENSDARG00000075827",3
"ENSDARG00000088581",23
"ENSDARG00000076900",0
"ENSDARG00000013802",4
"ENSDARG00000096578",27
"ENSDARG00000109848",0
"ENSDARG00000100181",20
"ENSDARG00000029936",4
"ENSDARG00000041589",0
"ENSDARG00000041592",0
"ENSDARG00000075108",2
"ENSDARG00000016304",19
"ENSDARG00000058803",36
"ENSDARG00000063385",48
"ENSDARG00000007804",3
"ENSDARG00000068261",0
"ENSDARG00000063371",31
"ENSDARG00000078751",19
"ENSDARG00000078878",0
"ENSDARG00000016343",7
"ENSDARG00000023678",27
"ENSDARG00000011299",18
"ENSDARG00000041575",0
"ENSDARG00000058962",10
"ENSDARG00000089799",0
"ENSDARG00000075325",8
"ENSDARG00000041570",2
"ENSDARG00000113329",0
"ENSDARG00000081781",0
"ENSDARG00000058996",0
"ENSDARG00000014313",6
"ENSDARG00000104279",515
"ENSDARG00000103783",4
"ENSDARG00000103519",0
"ENSDARG00000100307",7
"ENSDARG00000101089",0
"ENSDARG00000115421",8
"ENSDARG00000115673",0
"ENSDARG00000116514",0
"ENSDARG00000103469",0
"ENSDARG00000117321",0
"ENSDARG00000087646",0
"ENSDARG00000080051",0
"ENSDARG00000067781",0
"ENSDARG00000099108",0
"ENSDARG00000001870",280
"ENSDARG00000002791",406
"ENSDARG00000007739",13
"ENSDARG00000039131",16
"ENSDARG00000040252",0
"ENSDARG00000089477",19
"ENSDARG00000093102",0
"ENSDARG00000095102",0
"ENSDARG00000040250",0
"ENSDARG00000075505",2
"ENSDARG00000010376",0
"ENSDARG00000033684",0
"ENSDARG00000040247",0
"ENSDARG00000078743",0
"ENSDARG00000018460",128
"ENSDARG00000040246",0
"ENSDARG00000040245",130
"ENSDARG00000082290",0
"ENSDARG00000074381",125
"ENSDARG00000095179",0
"ENSDARG00000084484",0
"ENSDARG00000070579",0
"ENSDARG00000038248",0
"ENSDARG00000070581",9
"ENSDARG00000096559",0
"ENSDARG00000103156",13
"ENSDARG00000103647",13
"ENSDARG00000104805",0
"ENSDARG00000100273",0
"ENSDARG00000104910",0
"ENSDARG00000099103",0
"ENSDARG00000098078",0
"ENSDARG00000104155",0
"ENSDARG00000117575",0
"ENSDARG00000088916",0
"ENSDARG00000098769",20
"ENSDARG00000104115",0
"ENSDARG00000102013",0
"ENSDARG00000117775",0
"ENSDARG00000082581",0
"ENSDARG00000078308",82
"ENSDARG00000033928",61
"ENSDARG00000031164",48
"ENSDARG00000037777",1
"ENSDARG00000016706",34
"ENSDARG00000030350",0
"ENSDARG00000006526",320
"ENSDARG00000077688",0
"ENSDARG00000096546",67
"ENSDARG00000092671",2
"ENSDARG00000113935",17
"ENSDARG00000063297",0
"ENSDARG00000027078",27
"ENSDARG00000017537",1
"ENSDARG00000063270",24
"ENSDARG00000018008",0
"ENSDARG00000074031",14
"ENSDARG00000043247",3
"ENSDARG00000113848",0
"ENSDARG00000063253",12
"ENSDARG00000073857",17
"ENSDARG00000107682",0
"ENSDARG00000070558",3
"ENSDARG00000025754",0
"ENSDARG00000096530",0
"ENSDARG00000116636",0
"ENSDARG00000063207",12
"ENSDARG00000095087",0
"ENSDARG00000096610",0
"ENSDARG00000117465",0
"ENSDARG00000102217",0
"ENSDARG00000090408",29
"ENSDARG00000013741",1
"ENSDARG00000017441",2629
"ENSDARG00000037713",0
"ENSDARG00000021688",0
"ENSDARG00000004953",0
"ENSDARG00000074050",3
"ENSDARG00000018319",33
"ENSDARG00000098730",7
"ENSDARG00000096630",0
"ENSDARG00000117359",0
"ENSDARG00000106375",0
"ENSDARG00000079779",0
"ENSDARG00000089090",3
"ENSDARG00000109652",0
"ENSDARG00000115102",0
"ENSDARG00000115288",0
"ENSDARG00000093857",0
"ENSDARG00000095309",0
"ENSDARG00000095673",0
"ENSDARG00000099359",0
"ENSDARG00000092361",0
"ENSDARG00000103767",0
"ENSDARG00000075791",0
"ENSDARG00000107486",1
"ENSDARG00000029720",0
"ENSDARG00000100166",130
"ENSDARG00000074212",0
"ENSDARG00000062929",10
"ENSDARG00000022668",0
"ENSDARG00000099708",2
"ENSDARG00000025034",27
"ENSDARG00000078474",9
"ENSDARG00000096583",0
"ENSDARG00000063003",21
"ENSDARG00000002377",3
"ENSDARG00000015803",0
"ENSDARG00000037739",5
"ENSDARG00000076176",9
"ENSDARG00000096526",0
"ENSDARG00000113858",7
"ENSDARG00000096599",0
"ENSDARG00000100771",0
"ENSDARG00000079873",2
"ENSDARG00000079332",0
"ENSDARG00000007443",0
"ENSDARG00000037746",606
"ENSDARG00000037747",46
"ENSDARG00000079361",5
"ENSDARG00000012458",33
"ENSDARG00000070543",41
"ENSDARG00000094298",0
"ENSDARG00000089873",0
"ENSDARG00000093438",7
"ENSDARG00000094206",1
"ENSDARG00000037758",0
"ENSDARG00000008723",43
"ENSDARG00000110570",0
"ENSDARG00000058460",0
"ENSDARG00000088975",10
"ENSDARG00000100949",0
"ENSDARG00000093053",0
"ENSDARG00000058463",15
"ENSDARG00000076716",0
"ENSDARG00000058464",0
"ENSDARG00000058471",53
"ENSDARG00000096584",0
"ENSDARG00000058475",16
"ENSDARG00000080404",0
"ENSDARG00000058480",12
"ENSDARG00000024740",0
"ENSDARG00000101597",5
"ENSDARG00000058445",1
"ENSDARG00000063169",0
"ENSDARG00000092791",0
