"gene","genecount"
"ENSDARG00000099104",28
"ENSDARG00000102407",0
"ENSDARG00000102097",0
"ENSDARG00000099319",0
"ENSDARG00000099640",0
"ENSDARG00000104071",0
"ENSDARG00000102746",0
"ENSDARG00000103929",0
"ENSDARG00000101073",0
"ENSDARG00000100223",6
"ENSDARG00000096573",0
"ENSDARG00000100782",0
"ENSDARG00000034862",0
"ENSDARG00000075827",0
"ENSDARG00000088581",5
"ENSDARG00000076900",6
"ENSDARG00000013802",0
"ENSDARG00000096578",5
"ENSDARG00000109848",0
"ENSDARG00000100181",0
"ENSDARG00000029936",2
"ENSDARG00000041589",0
"ENSDARG00000041592",0
"ENSDARG00000075108",0
"ENSDARG00000016304",0
"ENSDARG00000058803",21
"ENSDARG00000063385",16
"ENSDARG00000007804",0
"ENSDARG00000068261",4
"ENSDARG00000063371",9
"ENSDARG00000078751",24
"ENSDARG00000078878",0
"ENSDARG00000016343",0
"ENSDARG00000023678",13
"ENSDARG00000011299",0
"ENSDARG00000041575",1
"ENSDARG00000058962",0
"ENSDARG00000089799",0
"ENSDARG00000075325",1
"ENSDARG00000041570",3
"ENSDARG00000113329",0
"ENSDARG00000081781",0
"ENSDARG00000058996",0
"ENSDARG00000014313",4
"ENSDARG00000104279",200
"ENSDARG00000103783",2
"ENSDARG00000103519",0
"ENSDARG00000100307",0
"ENSDARG00000101089",0
"ENSDARG00000115421",0
"ENSDARG00000115673",0
"ENSDARG00000116514",0
"ENSDARG00000103469",0
"ENSDARG00000117321",0
"ENSDARG00000087646",0
"ENSDARG00000080051",0
"ENSDARG00000067781",0
"ENSDARG00000099108",9
"ENSDARG00000001870",45
"ENSDARG00000002791",140
"ENSDARG00000007739",0
"ENSDARG00000039131",0
"ENSDARG00000040252",0
"ENSDARG00000089477",0
"ENSDARG00000093102",0
"ENSDARG00000095102",0
"ENSDARG00000040250",0
"ENSDARG00000075505",9
"ENSDARG00000010376",0
"ENSDARG00000033684",0
"ENSDARG00000040247",0
"ENSDARG00000078743",0
"ENSDARG00000018460",39
"ENSDARG00000040246",0
"ENSDARG00000040245",2
"ENSDARG00000082290",0
"ENSDARG00000074381",52
"ENSDARG00000095179",0
"ENSDARG00000084484",0
"ENSDARG00000070579",0
"ENSDARG00000038248",0
"ENSDARG00000070581",0
"ENSDARG00000096559",0
"ENSDARG00000103156",15
"ENSDARG00000103647",0
"ENSDARG00000104805",0
"ENSDARG00000100273",0
"ENSDARG00000104910",0
"ENSDARG00000099103",0
"ENSDARG00000098078",0
"ENSDARG00000104155",0
"ENSDARG00000117575",0
"ENSDARG00000088916",0
"ENSDARG00000098769",25
"ENSDARG00000104115",0
"ENSDARG00000102013",0
"ENSDARG00000117775",0
"ENSDARG00000082581",0
