"gene","genecount"
"ENSDARG00000099104",141
"ENSDARG00000102407",0
"ENSDARG00000102097",3
"ENSDARG00000099319",0
"ENSDARG00000099640",1
"ENSDARG00000104071",0
"ENSDARG00000102746",0
"ENSDARG00000103929",1
"ENSDARG00000101073",4
"ENSDARG00000100223",29
"ENSDARG00000096573",0
"ENSDARG00000100782",1
"ENSDARG00000034862",0
"ENSDARG00000075827",6
"ENSDARG00000088581",11
"ENSDARG00000076900",0
"ENSDARG00000013802",10
"ENSDARG00000096578",32
"ENSDARG00000109848",0
"ENSDARG00000100181",0
"ENSDARG00000029936",8
"ENSDARG00000041589",0
"ENSDARG00000041592",1
"ENSDARG00000075108",0
"ENSDARG00000016304",0
"ENSDARG00000058803",51
"ENSDARG00000063385",59
"ENSDARG00000007804",0
"ENSDARG00000068261",11
"ENSDARG00000063371",30
"ENSDARG00000078751",37
"ENSDARG00000078878",9
"ENSDARG00000016343",1
"ENSDARG00000023678",40
"ENSDARG00000011299",37
"ENSDARG00000041575",15
"ENSDARG00000058962",18
"ENSDARG00000089799",0
"ENSDARG00000075325",8
"ENSDARG00000041570",0
"ENSDARG00000113329",0
"ENSDARG00000081781",0
"ENSDARG00000058996",0
"ENSDARG00000014313",11
"ENSDARG00000104279",668
"ENSDARG00000103783",10
"ENSDARG00000103519",0
"ENSDARG00000100307",29
"ENSDARG00000101089",0
"ENSDARG00000115421",10
"ENSDARG00000115673",0
"ENSDARG00000116514",0
"ENSDARG00000103469",0
"ENSDARG00000117321",0
"ENSDARG00000087646",0
"ENSDARG00000080051",0
"ENSDARG00000067781",0
"ENSDARG00000099108",4
"ENSDARG00000001870",371
"ENSDARG00000002791",664
"ENSDARG00000007739",22
"ENSDARG00000039131",0
"ENSDARG00000040252",6
"ENSDARG00000089477",15
"ENSDARG00000093102",0
"ENSDARG00000095102",0
"ENSDARG00000040250",0
"ENSDARG00000075505",16
"ENSDARG00000010376",0
"ENSDARG00000033684",0
"ENSDARG00000040247",0
"ENSDARG00000078743",0
"ENSDARG00000018460",175
"ENSDARG00000040246",1
"ENSDARG00000040245",107
"ENSDARG00000082290",0
"ENSDARG00000074381",195
"ENSDARG00000095179",0
"ENSDARG00000084484",0
"ENSDARG00000070579",0
"ENSDARG00000038248",0
"ENSDARG00000070581",0
"ENSDARG00000096559",0
"ENSDARG00000103156",33
"ENSDARG00000103647",5
"ENSDARG00000104805",0
"ENSDARG00000100273",0
"ENSDARG00000104910",0
"ENSDARG00000099103",0
"ENSDARG00000098078",0
"ENSDARG00000104155",0
"ENSDARG00000117575",0
"ENSDARG00000088916",0
"ENSDARG00000098769",49
"ENSDARG00000104115",0
"ENSDARG00000102013",0
"ENSDARG00000117775",0
"ENSDARG00000082581",0
"ENSDARG00000078308",59
"ENSDARG00000033928",94
"ENSDARG00000031164",44
"ENSDARG00000037777",9
"ENSDARG00000016706",10
"ENSDARG00000030350",0
"ENSDARG00000006526",308
