sample,chemical,dose
A01 expression values.csv,BPA,1000
A02 expression values.csv,BPA,1000
A03 expression values.csv,BPA,1000
A04 expression values.csv,BPA,100
A05 expression values.csv,BPA,100
A06 expression values.csv,BPA,100
A07 expression values.csv,BPA,10
A08 expression values.csv,BPA,10
A09 expression values.csv,BPA,10
A10 expression values.csv,BPA,1
A11 expression values.csv,BPA,1
A12 expression values.csv,BPA,1
B01 expression values.csv,BPA,0.1
B02 expression values.csv,BPA,0.1
B03 expression values.csv,BPA,0.1
B04 expression values.csv,BPA,0
B05 expression values.csv,BPA,0
B06 expression values.csv,BPA,0
B07 expression values.csv,BPAF,1000
B08 expression values.csv,BPAF,1000
B09 expression values.csv,BPAF,1000
B10 expression values.csv,BPAF,100
B11 expression values.csv,BPAF,100
B12 expression values.csv,BPAF,100
C01 expression values.csv,BPAF,10
C02 expression values.csv,BPAF,10
C03 expression values.csv,BPAF,10
C04 expression values.csv,BPAF,1
C05 expression values.csv,BPAF,1
C06 expression values.csv,BPAF,1
C07 expression values.csv,BPAF,0.1
C08 expression values.csv,BPAF,0.1
C09 expression values.csv,BPAF,0.1
C10 expression values.csv,BPAF,0
C11 expression values.csv,BPAF,0
C12 expression values.csv,BPAF,0
D01 expression values.csv,DES,100
D02 expression values.csv,DES,100
D03 expression values.csv,DES,100
D04 expression values.csv,DES,10
D05 expression values.csv,DES,10
D06 expression values.csv,DES,10
D07 expression values.csv,DES,1
D08 expression values.csv,DES,1
D09 expression values.csv,DES,1
D10 expression values.csv,DES,0.1
D11 expression values.csv,DES,0.1
D12 expression values.csv,DES,0.1
E01 expression values.csv,DES,0.01
E02 expression values.csv,DES,0.01
E03 expression values.csv,DES,0.01
E04 expression values.csv,DES,0
E05 expression values.csv,DES,0
E06 expression values.csv,DES,0
E07 expression values.csv,EE2,1
E08 expression values.csv,EE2,1
E09 expression values.csv,EE2,1
E10 expression values.csv,EE2,0.1
E11 expression values.csv,EE2,0.1
E12 expression values.csv,EE2,0.1
F01 expression values.csv,EE2,0.01
F02 expression values.csv,EE2,0.01
F03 expression values.csv,EE2,0.01
F04 expression values.csv,EE2,0.001
F05 expression values.csv,EE2,0.001
F06 expression values.csv,EE2,0.001
F07 expression values.csv,EE2,0.0001
F08 expression values.csv,EE2,0.0001
F09 expression values.csv,EE2,0.0001
F10 expression values.csv,EE2,0
F11 expression values.csv,EE2,0
F12 expression values.csv,EE2,0
G01 expression values.csv,TGSH,1000
G02 expression values.csv,TGSH,1000
G03 expression values.csv,TGSH,1000
G04 expression values.csv,TGSH,100
G05 expression values.csv,TGSH,100
G06 expression values.csv,TGSH,100
G07 expression values.csv,TGSH,10
G08 expression values.csv,TGSH,10
G09 expression values.csv,TGSH,10
G10 expression values.csv,TGSH,1
G11 expression values.csv,TGSH,1
G12 expression values.csv,TGSH,1
H01 expression values.csv,TGSH,0.1
H02 expression values.csv,TGSH,0.1
H03 expression values.csv,TGSH,0.1
H04 expression values.csv,TGSH,0
H05 expression values.csv,TGSH,0
H06 expression values.csv,TGSH,0
