Gene Ontology Analyses
GO Category: ALL
GO File Creation Date: 03/16/22
Deduplicate Gene Sets: false
Data Source: BPA_DeSeq_normDataF2
Work Source: BPA_DeSeq_normDataF2_williams_0.05_NOMTC_foldfilter1.5_BMD
BMDExpress3 Version: BMDExpress 3.00.0020 BETA
Timestamp (Start Time): 04/27/2022 18:35.36
Remove Promiscuous Probes: true
Remove BMD > Highest Dose from Category Descriptive Statistics: true
Remove BMD with p-Value < Cutoff: 0.1
Remove genes with BMD/BMDL >: 20.0
Remove genes with BMDU/BMDL >: 40.0
Remove genes with BMDU/BMD >: 20.0
Remove genes with BMD values > N fold below the lowest positive does: 10.0
Identify conflicting probe sets: 0.5
Category Count: 2687
Total Run Time: 2 seconds

GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	6873	18951	282	179	138	142	142	103	282	38	38	0	18913	0	1.0	1.0	1.0	0.2	100538040;100151256;100007431;100006523;100000085;799354;793926;791762;767682;641325;641319;573619;569807;567630;565869;562682;561896;559160;556710;555815;492331;449778;447915;436757;415166;406600;393748;393639;337089;336597;324944;323364;321947;266799;58013;30678;30513;30164	lypc;cmbl;zgc:172051;fthl28;si:ch211-212k18.7;cxcl12b;tkfc;ecrg4a;zgc:152830;zgc:123103;apooa;ndufab1a;mia;si:ch1073-459j12.1;klf9;si:dkey-251i10.2;chst2a;si:ch211-214j24.14;taf10;c1qtnf5;ace2;dtwd1;mrpl53;tmem147;fabp6;stk25b;mrpl57;ilvbl;prrx1b;capgb;magt1;cd248a;psmc3;gatm;noc2l;pcna;myod1;pitx2	ENSDARG00000097804;ENSDARG00000073786;ENSDARG00000086569;ENSDARG00000076221;ENSDARG00000055504;ENSDARG00000055100;ENSDARG00000062085;ENSDARG00000056087;ENSDARG00000079932;ENSDARG00000099200;ENSDARG00000104696;ENSDARG00000058463;ENSDARG00000052437;ENSDARG00000006901;ENSDARG00000068194;ENSDARG00000093957;ENSDARG00000075007;ENSDARG00000096037;ENSDARG00000068641;ENSDARG00000056134;ENSDARG00000016918;ENSDARG00000111509;ENSDARG00000008920;ENSDARG00000039913;ENSDARG00000044566;ENSDARG00000039022;ENSDARG00000007285;ENSDARG00000017126;ENSDARG00000042027;ENSDARG00000099672;ENSDARG00000058062;ENSDARG00000103713;ENSDARG00000007141;ENSDARG00000036239;ENSDARG00000001754;ENSDARG00000054155;ENSDARG00000030110;ENSDARG00000036194		472.4414236842106	478.494	1.01952	245.15236154995583	400.2047288132783	242.86566894970528	239.11811576315785	269.4165	0.450419	101.66101253576356	212.26119788048237	112.65343755265661	961.554552368421	850.996	2.30769	640.9002177069899	775.0645413766294	574.1616291040459					616.461;342.201;638.499;359.614;534.307;619.859;10.0415;478.394;572.366;10.1573;855.056;762.544;445.295;594.652;939.716;396.175;406.312;273.782;1.01952;284.547;477.476;373.328;478.594;734.392;445.962;751.77;639.992;417.667;493.184;6.15538;562.118;866.798;530.492;396.638;755.821;10.5824;568.85;301.956	303.819;216.374;323.527;225.931;280.591;303.526;5.66789;268.383;294.447;3.29909;329.999;324.623;258.692;300.21;335.561;240.099;246.599;182.849;0.450419;187.669;268.452;229.392;270.381;323.008;258.251;321.805;309.388;247.566;271.567;1.11487;282.733;330.585;285.643;240.261;323.907;3.01113;290.383;196.724	1250.83;541.199;1260.11;572.398;1017.44;1265.88;17.7901;852.741;1112.61;31.2726;2215.53;1791.22;766.503;1177.88;2631.61;653.709;669.465;409.936;2.30769;431.436;849.251;607.579;847.148;1669.71;770.113;1756.21;1323.87;704.644;895.653;33.9848;1117.58;2272.75;985.219;654.795;1763.67;37.1908;1114.36;463.478	36	2	36	100538040;100151256;100007431;100006523;100000085;799354;793926;791762;767682;641325;641319;573619;569807;567630;562682;561896;559160;556710;555815;492331;449778;447915;436757;415166;406600;393748;393639;337089;336597;324944;323364;321947;266799;30678;30513;30164	ENSDARG00000097804;ENSDARG00000073786;ENSDARG00000086569;ENSDARG00000076221;ENSDARG00000055504;ENSDARG00000055100;ENSDARG00000062085;ENSDARG00000056087;ENSDARG00000079932;ENSDARG00000099200;ENSDARG00000104696;ENSDARG00000058463;ENSDARG00000052437;ENSDARG00000006901;ENSDARG00000093957;ENSDARG00000075007;ENSDARG00000096037;ENSDARG00000068641;ENSDARG00000056134;ENSDARG00000016918;ENSDARG00000111509;ENSDARG00000008920;ENSDARG00000039913;ENSDARG00000044566;ENSDARG00000039022;ENSDARG00000007285;ENSDARG00000017126;ENSDARG00000042027;ENSDARG00000099672;ENSDARG00000058062;ENSDARG00000103713;ENSDARG00000007141;ENSDARG00000036239;ENSDARG00000054155;ENSDARG00000030110;ENSDARG00000036194	451.5899194444445	477.935	233.5677565583815	234.08389997222218	268.4175	102.11909430264777	892.8831386111111	848.1995	575.5896960058454	616.461;342.201;638.499;359.614;534.307;619.859;10.0415;478.394;572.366;10.1573;855.056;762.544;445.295;594.652;396.175;406.312;273.782;1.01952;284.547;477.476;373.328;478.594;734.392;445.962;751.77;639.992;417.667;493.184;6.15538;562.118;866.798;530.492;396.638;10.5824;568.85;301.956	303.819;216.374;323.527;225.931;280.591;303.526;5.66789;268.383;294.447;3.29909;329.999;324.623;258.692;300.21;240.099;246.599;182.849;0.450419;187.669;268.452;229.392;270.381;323.008;258.251;321.805;309.388;247.566;271.567;1.11487;282.733;330.585;285.643;240.261;3.01113;290.383;196.724	1250.83;541.199;1260.11;572.398;1017.44;1265.88;17.7901;852.741;1112.61;31.2726;2215.53;1791.22;766.503;1177.88;653.709;669.465;409.936;2.30769;431.436;849.251;607.579;847.148;1669.71;770.113;1756.21;1323.87;704.644;895.653;33.9848;1117.58;2272.75;985.219;654.795;37.1908;1114.36;463.478	2	565869;58013	ENSDARG00000068194;ENSDARG00000001754	847.7685	847.7685	130.0334015263006	329.734	329.734	8.240622427947503	2197.6400000000003	2197.6400000000003	613.726259663051	939.716;755.821	335.561;323.907	2631.61;1763.67	0						Exp 5,2(0.06);Hill,3(0.08);Linear,33(0.87)	Infinity	Infinity	1.6338356733322144	Infinity	NaN	6.1753315925598145	394.4942532951857	550.3885940732355	206.79459166595598	271.44163986035977	757.7777738943128	1165.3313308425293	UP	0.9473684210526315	0.05263157894736842	0.0	
GO:0000027	8	ribosomal large subunit assembly	14	16	2	1	1	1	1	0	2	0	0	38	16	18897	0.96838	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000035	3	acyl binding	2	3	1	1	1	1	1	1	1	1	1	37	2	18911	0.99999	0.0060038	0.0060038	33.33	573619	ndufab1a	ENSDARG00000058463		762.544	762.544	762.544		762.544		324.623	324.623	324.623		324.623		1791.22	1791.22	1791.22		1791.22		0.0	762.544	0.0	762.544	762.544	324.623	1791.22	1	0	1	573619	ENSDARG00000058463	762.544	762.544		324.623	324.623		1791.22	1791.22		762.544	324.623	1791.22	0															0						Linear,1(1)	2.376119613647461	2.376119613647461	2.376119613647461	2.376119613647461	0.0	2.376119613647461	762.544	762.544	324.623	324.623	1791.22	1791.22	UP	1.0	0.0	0.0	
GO:0000036	4	acyl carrier activity	2	2	1	1	1	1	1	1	1	1	1	37	1	18912	1.0	0.0040064	0.0040064	50.0	573619	ndufab1a	ENSDARG00000058463		762.544	762.544	762.544		762.544		324.623	324.623	324.623		324.623		1791.22	1791.22	1791.22		1791.22		0.0	762.544	0.0	762.544	762.544	324.623	1791.22	1	0	1	573619	ENSDARG00000058463	762.544	762.544		324.623	324.623		1791.22	1791.22		762.544	324.623	1791.22	0															0						Linear,1(1)	2.376119613647461	2.376119613647461	2.376119613647461	2.376119613647461	0.0	2.376119613647461	762.544	762.544	324.623	324.623	1791.22	1791.22	UP	1.0	0.0	0.0	
GO:0000041	8	transition metal ion transport	25	69	2	1	1	2	2	2	2	1	1	37	68	18845	0.99156	0.12955	0.12955	1.45	100006523	fthl28	ENSDARG00000076221		359.614	359.614	359.614		359.614		225.931	225.931	225.931		225.931		572.398	572.398	572.398		572.398						359.614	225.931	572.398	1	0	1	100006523	ENSDARG00000076221	359.614	359.614		225.931	225.931		572.398	572.398		359.614	225.931	572.398	0															0						Linear,1(1)	17.8858642578125	17.8858642578125	17.8858642578125	17.8858642578125	0.0	17.8858642578125	359.614	359.614	225.931	225.931	572.398	572.398	UP	1.0	0.0	0.0	
GO:0000045	7	autophagosome assembly	22	42	1	0	0	0	0	0	1	0	0	38	42	18871	0.91907	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000064	6	L-ornithine transmembrane transporter activity	3	6	1	0	0	1	1	0	1	0	0	38	6	18907	0.98803	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000095	5	S-adenosyl-L-methionine transmembrane transporter activity	1	1	1	0	0	0	0	0	1	0	0	38	1	18912	0.99799	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000104	5	succinate dehydrogenase activity	3	3	1	1	1	0	0	0	1	0	0	38	3	18910	0.994	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000118	4	histone deacetylase complex	28	50	1	1	1	0	0	0	1	0	0	38	50	18863	0.90439	1.0	1.0	0.0																														0	0	0															0															0																							
