GO/Pathway/Gene Set/Gene ID	GO Level	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
all	0	all	912	18951	38	29	22	24	24	21	38	10	10	0	18941	0	1.0	1.0	1.0	0.053	793447;641325;573619;567771;415166;337731;336165;266799;58013;30678	hbbe1.2;zgc:123103;ndufab1a;col6a2;fabp6;pvalb4;myl1;gatm;noc2l;pcna	ENSDARG00000115405;ENSDARG00000099200;ENSDARG00000058463;ENSDARG00000061436;ENSDARG00000044566;ENSDARG00000024433;ENSDARG00000014196;ENSDARG00000036239;ENSDARG00000001754;ENSDARG00000054155		366.88473799999997	410.8775	8.42385	338.6949942347896	240.28061555424608	322.1825054010298	174.913407	245.6975	2.70178	149.0266227960369	111.62743247531763	146.83777113839693	800.68331	687.1085	11.8031	804.054738100421	558.7914137874839	728.2009043869255					432.901;10.0462;797.324;8.42385;412.941;28.5338;777.365;408.814;782.504;9.99453	253.739;7.57456;327.486;2.70178;246.554;4.62368;326.391;244.841;326.76;8.46305	738.565;13.3243;1941.23;26.2647;691.615;176.089;1851.45;682.602;1873.89;11.8031	9	1	9	793447;641325;573619;567771;415166;337731;336165;266799;30678	ENSDARG00000115405;ENSDARG00000099200;ENSDARG00000058463;ENSDARG00000061436;ENSDARG00000044566;ENSDARG00000024433;ENSDARG00000014196;ENSDARG00000036239;ENSDARG00000054155	320.70482	408.814	324.13270000370443	158.04156333333333	244.841	147.58941736021035	681.4381222222223	682.602	753.2254695658411	432.901;10.0462;797.324;8.42385;412.941;28.5338;777.365;408.814;9.99453	253.739;7.57456;327.486;2.70178;246.554;4.62368;326.391;244.841;8.46305	738.565;13.3243;1941.23;26.2647;691.615;176.089;1851.45;682.602;11.8031	1	58013	ENSDARG00000001754	782.504	782.504		326.76	326.76		1873.89	1873.89		782.504	326.76	1873.89	0						Exp 5,1(0.1);Hill,3(0.3);Linear,6(0.6)	2.0947409040870824	22.031644225120544	1.5130974054336548	4.149364471435547	0.8263074405517022	1.8529319763183594	156.9594056796116	576.8100703203885	82.54574923250352	267.28106476749645	302.32502017389027	1299.0415998261096	UP	0.9	0.1	0.0	
GO:0000027	8	ribosomal large subunit assembly	9	16	1	1	0	1	1	1	1	0	0	10	16	18925	0.99159	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000035	3	acyl binding	2	3	1	1	1	1	1	1	1	1	1	9	2	18939	1.0	0.0015823	0.0015823	33.33	573619	ndufab1a	ENSDARG00000058463		797.324	797.324	797.324		797.324		327.486	327.486	327.486		327.486		1941.23	1941.23	1941.23		1941.23		0.0	797.324	0.0	797.324	797.324	327.486	1941.23	1	0	1	573619	ENSDARG00000058463	797.324	797.324		327.486	327.486		1941.23	1941.23		797.324	327.486	1941.23	0															0						Linear,1(1)	2.4282758235931396	2.4282758235931396	2.4282758235931396	2.4282758235931396	0.0	2.4282758235931396	797.324	797.324	327.486	327.486	1941.23	1941.23	UP	1.0	0.0	0.0	
GO:0000036	4	acyl carrier activity	2	2	1	1	1	1	1	1	1	1	1	9	1	18940	1.0	0.0010551	0.0010551	50.0	573619	ndufab1a	ENSDARG00000058463		797.324	797.324	797.324		797.324		327.486	327.486	327.486		327.486		1941.23	1941.23	1941.23		1941.23		0.0	797.324	0.0	797.324	797.324	327.486	1941.23	1	0	1	573619	ENSDARG00000058463	797.324	797.324		327.486	327.486		1941.23	1941.23		797.324	327.486	1941.23	0															0						Linear,1(1)	2.4282758235931396	2.4282758235931396	2.4282758235931396	2.4282758235931396	0.0	2.4282758235931396	797.324	797.324	327.486	327.486	1941.23	1941.23	UP	1.0	0.0	0.0	
GO:0000122	9	negative regulation of transcription by RNA polymerase II	4	189	1	1	1	1	1	1	1	1	1	9	188	18753	0.99578	0.095394	0.095394	0.53	58013	noc2l	ENSDARG00000001754		782.504	782.504	782.504		782.504		326.76	326.76	326.76		326.76		1873.89	1873.89	1873.89		1873.89						782.504	326.76	1873.89	0	1	0															1	58013	ENSDARG00000001754	782.504	782.504		326.76	326.76		1873.89	1873.89		782.504	326.76	1873.89	0						Linear,1(1)	4.149364471435547	4.149364471435547	4.149364471435547	4.149364471435547	0.0	4.149364471435547	782.504	782.504	326.76	326.76	1873.89	1873.89	DOWN	0.0	1.0	0.0	
GO:0000139	6	Golgi membrane	9	261	1	1	1	0	0	0	1	0	0	10	261	18680	0.87048	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000166	4	nucleotide binding	95	2147	1	1	1	0	0	0	1	0	0	10	2147	16794	0.30038	1.0	0.616	0.0																														0	0	0															0															0																							
GO:0000226	5	microtubule cytoskeleton organization	13	252	1	1	1	0	0	0	1	0	0	10	252	18689	0.87468	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000276	5	mitochondrial proton-transporting ATP synthase complex, coupling factor F(o)	9	11	1	1	1	0	0	0	1	0	0	10	11	18930	0.99421	1.0	1.0	0.0																														0	0	0															0															0																							
GO:0000278	4	mitotic cell cycle	8	79	1	0	0	0	0	0	1	0	0	10	79	18862	0.95908	1.0	1.0	0.0																														0	0	0															0															0																							
