GO/Pathway/Gene Set/Gene ID	GO/Pathway/Gene Set/Gene Name	All Genes (Expression Data)	All Genes (Platform)	Input Genes	Genes with BMD <= Highest Dose	Genes with BMD p-Value >= 	Genes with BMD/BMDL <= 	Genes with BMDU/BMD <= 	Genes with BMDU/BMDL <= 	Genes with BMD <= N-Fold Lowest Positive Dose 	Genes That Passed All Filters	Fisher's A Parameter	Fisher's B Parameter	Fisher's C Parameter	Fisher's D Parameter	Fisher's Exact Left P-Value	Fisher's Exact Right P-Value	Fisher's Exact Two Tail	Percentage	Entrez Gene IDs	Gene Symbols	Probe IDs	Genes with Conflicting Probesets	BMD Mean	BMD Median	BMD Minimum	BMD Standard Deviation	BMD wMean	BMD wSD	BMDL Mean	BMDL Median	BMDL Minimum	BMDL Standard Deviation	BMDL wMean	BMDL wSD	BMDU Mean	BMDU Median	BMDU Minimum	BMDU Standard Deviation	BMDU wMean	BMDU wSD	5th Percentile Index	BMD at 5th Percentile of Total Genes	10th Percentile Index	BMD at 10th Percentile of Total Genes	BMD List	BMDL List	BMDU List	Probes with Adverse Direction Up	Probes with Adverse Direction Down	Genes with Adverse Direction Up	Genes Up List	Genes Up Probes List	Genes Up BMD Mean	Genes Up BMD Median	Genes Up SD	Genes Up BMDL Mean	Genes Up BMDL Median	Genes Up BMDL SD	Genes Up BMDU Mean	Genes Up BMDU Median	Genes Up BMDU SD	BMD list (up)	BMDL List (up)	BMDU List (up)	Genes with Adverse Direction Down	Genes Down List	Genes Down Probes List	Genes Down BMD Mean	Genes Down BMD Median	Genes Down SD	Genes Down BMDL Mean	Genes Down BMDL Median	Genes Down BMDL SD	Genes Down BMDU Mean	Genes Down BMDU Median	Genes Down BMDU SD	BMD list (down)	BMDL List (down)	BMDU List (down)	Genes with Adverse Conflict Count	Genes Conflict List	Genes Conflict Probes List	BMD list (Conflict)	BMDL list (Conflict)	BMDU list (Conflict)	Model Counts	Mean Fold Change	Total Fold Change	Min Fold Change	Max Fold Change	Standard Deviation Fold Change	Median Fold Change	Lower bound of the 95% confidence interval -  BMD	Upper bound of the 95% confidence interval -  BMD	Lower bound of the 95% confidence interval -  BMDL	Upper bound of the 95% confidence interval -  BMDL	Lower bound of the 95% confidence interval -  BMDU	Upper bound of the 95% confidence interval -  BMDU	Overall Direction	Percent Genes With Overall Direction Up	Percent Genes With Overall Direction Down	Percent Genes With Overall Direction Conflict
R-DRE-109582	Hemostasis	132	307	13	6	6	10	10	8	13	5	5	50	302	4535	0.87173	0.26131	0.3924	1.63	678603;447926;393730;322691;321545	st14a;kif2a;scg3;plg;serpinc1	ENSDARG00000061173;ENSDARG00000043571;ENSDARG00000086288;ENSDARG00000023111;ENSDARG00000042684		403.61443999999995	472.768	34.0062	214.18961390778966	352.4325697976029	231.80164007590614	219.529176	267.165	7.05488	119.99739752867514	193.2320999826764	132.74658388854127	756.6464	836.596	163.918	362.9617745366582	662.9251116004505	380.781464022121					414.4;553.238;543.66;472.768;34.0062	247.101;289.093;287.232;267.165;7.05488	694.968;1058.73;1029.02;836.596;163.918	4	1	4	678603;447926;322691;321545	ENSDARG00000061173;ENSDARG00000043571;ENSDARG00000023111;ENSDARG00000042684	368.60305	443.58399999999995	230.21208644004042	202.60347000000002	257.13300000000004	131.48879696594028	688.553	765.7819999999999	380.4518263976839	414.4;553.238;472.768;34.0062	247.101;289.093;267.165;7.05488	694.968;1058.73;836.596;163.918	1	393730	ENSDARG00000086288	543.66	543.66		287.232	287.232		1029.02	1029.02		543.66	287.232	1029.02	0						Hill,1(0.2);Linear,4(0.8)	1.8912907255203972	9.482741713523865	1.641464352607727	2.0252320766448975	0.15373901953533933	1.9166030883789062	215.8689655852772	591.3599144147228	114.34681950510436	324.7115324948956	438.4963771696152	1074.7964228303847	UP	0.8	0.2	0.0	
R-DRE-114608	Platelet degranulation 	28	69	5	3	3	3	3	2	5	2	2	53	67	4770	0.95816	0.18145	0.18145	2.9	393730;322691	scg3;plg	ENSDARG00000086288;ENSDARG00000023111		508.21399999999994	508.21399999999994	472.768	50.12821393187779	509.64442745242116	50.087379514273785	277.1985	277.1985	267.165	14.189511778070566	277.60340305941065	14.17795300898424	932.808	932.808	836.596	136.0643152630393	936.6906464495953	135.9534773409461					543.66;472.768	287.232;267.165	1029.02;836.596	1	1	1	322691	ENSDARG00000023111	472.768	472.768		267.165	267.165		836.596	836.596		472.768	267.165	836.596	1	393730	ENSDARG00000086288	543.66	543.66		287.232	287.232		1029.02	1029.02		543.66	287.232	1029.02	0						Linear,2(1)	1.948841475986521	3.899442195892334	1.8911612033843994	2.0082809925079346	0.08281619710039016	1.949721097946167	438.73983999999996	577.6881599999999	257.53284	296.86416	744.23248	1121.3835199999999	CONFLICT	0.5	0.5	0.0	
R-DRE-168249	Innate Immune System	247	502	38	26	18	26	26	26	38	15	15	40	487	4350	0.99992	2.9091E-4	2.9091E-4	2.99	563030;449556;415221;406445;403026;393287;368359;336492;327007;325609;259303;101887158;100331329;100330411;100000085	iqgap2;ttr;psmd8;psma8;vtnb;chuk;txnipa;ptgdsb.1;vamp8;atf1;caspb;tmem176l.3a;tmem176l.3b;ap1m1;si:ch211-212k18.7	ENSDARG00000060010;ENSDARG00000037191;ENSDARG00000020454;ENSDARG00000010965;ENSDARG00000053831;ENSDARG00000011662;ENSDARG00000036107;ENSDARG00000027088;ENSDARG00000024116;ENSDARG00000044301;ENSDARG00000052039;ENSDARG00000098387;ENSDARG00000096874;ENSDARG00000096249;ENSDARG00000055504		541.8073999999999	526.625	369.286	123.22982959425275	526.1658079970872	96.48465698954789	281.1914666666666	282.962	229.074	29.710236648254234	279.2676951749223	24.374766770370137	1058.9923999999999	980.111	595.318	383.9856166798069	1000.1857581285226	292.6814003959689					380.896;577.638;547.355;526.625;458.324;798.483;662.788;515.462;513.845;752.293;369.286;504.624;536.449;403.034;580.009	233.654;295.461;288.678;282.962;262.495;328.072;312.244;279.873;279.552;324.338;229.074;276.942;285.591;242.738;296.198	620.924;1129.31;1037.82;980.111;800.246;1943.4;1406.88;949.364;944.499;1744.92;595.318;919.491;1007.66;669.183;1135.76	12	3	12	563030;449556;406445;403026;368359;336492;327007;325609;259303;101887158;100331329;100000085	ENSDARG00000060010;ENSDARG00000037191;ENSDARG00000010965;ENSDARG00000053831;ENSDARG00000036107;ENSDARG00000027088;ENSDARG00000024116;ENSDARG00000044301;ENSDARG00000052039;ENSDARG00000098387;ENSDARG00000096874;ENSDARG00000055504	531.5199166666666	521.0435	107.09260598231498	279.86533333333335	281.4175	27.96778832655141	1019.5402500000001	964.7375	317.8014311390404	380.896;577.638;526.625;458.324;662.788;515.462;513.845;752.293;369.286;504.624;536.449;580.009	233.654;295.461;282.962;262.495;312.244;279.873;279.552;324.338;229.074;276.942;285.591;296.198	620.924;1129.31;980.111;800.246;1406.88;949.364;944.499;1744.92;595.318;919.491;1007.66;1135.76	3	415221;393287;100330411	ENSDARG00000020454;ENSDARG00000011662;ENSDARG00000096249	582.9573333333333	547.355	200.1140237572904	286.496	288.678	42.70882498969043	1216.8010000000002	1037.82	655.692679189725	547.355;798.483;403.034	288.678;328.072;242.738	1037.82;1943.4;669.183	0						Linear,15(1)	1.8915351319432616	28.741603136062622	1.587579369544983	2.8855395317077637	0.34074038541490786	1.8480033874511719	479.4445018374629	604.1702981625372	266.1560124379258	296.2269208954076	864.6688665850143	1253.3159334149864	UP	0.8	0.2	0.0	
R-DRE-168256	Immune System	363	839	45	29	19	30	30	29	45	15	15	40	824	4013	0.98093	0.039725	0.069038	1.79	563030;449556;415221;406445;403026;393287;368359;336492;327007;325609;259303;101887158;100331329;100330411;100000085	iqgap2;ttr;psmd8;psma8;vtnb;chuk;txnipa;ptgdsb.1;vamp8;atf1;caspb;tmem176l.3a;tmem176l.3b;ap1m1;si:ch211-212k18.7	ENSDARG00000060010;ENSDARG00000037191;ENSDARG00000020454;ENSDARG00000010965;ENSDARG00000053831;ENSDARG00000011662;ENSDARG00000036107;ENSDARG00000027088;ENSDARG00000024116;ENSDARG00000044301;ENSDARG00000052039;ENSDARG00000098387;ENSDARG00000096874;ENSDARG00000096249;ENSDARG00000055504		541.8073999999999	526.625	369.286	123.22982959425275	526.1658079970872	96.48465698954789	281.1914666666666	282.962	229.074	29.710236648254234	279.2676951749223	24.374766770370137	1058.9923999999999	980.111	595.318	383.9856166798069	1000.1857581285226	292.6814003959689					380.896;577.638;547.355;526.625;458.324;798.483;662.788;515.462;513.845;752.293;369.286;504.624;536.449;403.034;580.009	233.654;295.461;288.678;282.962;262.495;328.072;312.244;279.873;279.552;324.338;229.074;276.942;285.591;242.738;296.198	620.924;1129.31;1037.82;980.111;800.246;1943.4;1406.88;949.364;944.499;1744.92;595.318;919.491;1007.66;669.183;1135.76	12	3	12	563030;449556;406445;403026;368359;336492;327007;325609;259303;101887158;100331329;100000085	ENSDARG00000060010;ENSDARG00000037191;ENSDARG00000010965;ENSDARG00000053831;ENSDARG00000036107;ENSDARG00000027088;ENSDARG00000024116;ENSDARG00000044301;ENSDARG00000052039;ENSDARG00000098387;ENSDARG00000096874;ENSDARG00000055504	531.5199166666666	521.0435	107.09260598231498	279.86533333333335	281.4175	27.96778832655141	1019.5402500000001	964.7375	317.8014311390404	380.896;577.638;526.625;458.324;662.788;515.462;513.845;752.293;369.286;504.624;536.449;580.009	233.654;295.461;282.962;262.495;312.244;279.873;279.552;324.338;229.074;276.942;285.591;296.198	620.924;1129.31;980.111;800.246;1406.88;949.364;944.499;1744.92;595.318;919.491;1007.66;1135.76	3	415221;393287;100330411	ENSDARG00000020454;ENSDARG00000011662;ENSDARG00000096249	582.9573333333333	547.355	200.1140237572904	286.496	288.678	42.70882498969043	1216.8010000000002	1037.82	655.692679189725	547.355;798.483;403.034	288.678;328.072;242.738	1037.82;1943.4;669.183	0						Linear,15(1)	1.8915351319432616	28.741603136062622	1.587579369544983	2.8855395317077637	0.34074038541490786	1.8480033874511719	479.4445018374629	604.1702981625372	266.1560124379258	296.2269208954076	864.6688665850143	1253.3159334149864	UP	0.8	0.2	0.0	
R-DRE-6798695	Neutrophil degranulation	139	300	21	14	8	13	13	13	21	6	6	49	294	4543	0.95086	0.11835	0.14852	2.0	563030;449556;336492;327007;100330411;100000085	iqgap2;ttr;ptgdsb.1;vamp8;ap1m1;si:ch211-212k18.7	ENSDARG00000060010;ENSDARG00000037191;ENSDARG00000027088;ENSDARG00000024116;ENSDARG00000096249;ENSDARG00000055504		495.14733333333334	514.6535	380.896	85.21353686279367	488.1627443051274	74.37745509276078	271.24600000000004	279.7125	233.654	26.751627322463538	269.8247672495816	23.89158258193781	908.1733333333333	946.9315	620.924	220.6091114144351	886.3608344616284	190.0176289584999					380.896;577.638;515.462;513.845;403.034;580.009	233.654;295.461;279.873;279.552;242.738;296.198	620.924;1129.31;949.364;944.499;669.183;1135.76	5	1	5	563030;449556;336492;327007;100000085	ENSDARG00000060010;ENSDARG00000037191;ENSDARG00000027088;ENSDARG00000024116;ENSDARG00000055504	513.5699999999999	515.462	80.81598683119577	276.94759999999997	279.873	25.50980470917082	955.9714	949.364	209.0467919409433	380.896;577.638;515.462;513.845;580.009	233.654;295.461;279.873;279.552;296.198	620.924;1129.31;949.364;944.499;1135.76	1	100330411	ENSDARG00000096249	403.034	403.034		242.738	242.738		669.183	669.183		403.034	242.738	669.183	0						Linear,6(1)	1.9447329915385725	11.907564043998718	1.6028000116348267	2.8855395317077637	0.46971722800557303	1.8929880857467651	426.96230306604826	563.3323636006184	249.8402400018163	292.65175999818365	731.6492798457709	1084.6973868208956	UP	0.8333333333333334	0.16666666666666666	0.0	
R-DRE-76002	Platelet activation, signaling and aggregation	64	141	6	3	3	4	4	2	6	2	2	53	139	4698	0.78942	0.47411	0.67248	1.42	393730;322691	scg3;plg	ENSDARG00000086288;ENSDARG00000023111		508.21399999999994	508.21399999999994	472.768	50.12821393187779	509.64442745242116	50.087379514273785	277.1985	277.1985	267.165	14.189511778070566	277.60340305941065	14.17795300898424	932.808	932.808	836.596	136.0643152630393	936.6906464495953	135.9534773409461					543.66;472.768	287.232;267.165	1029.02;836.596	1	1	1	322691	ENSDARG00000023111	472.768	472.768		267.165	267.165		836.596	836.596		472.768	267.165	836.596	1	393730	ENSDARG00000086288	543.66	543.66		287.232	287.232		1029.02	1029.02		543.66	287.232	1029.02	0						Linear,2(1)	1.948841475986521	3.899442195892334	1.8911612033843994	2.0082809925079346	0.08281619710039016	1.949721097946167	438.73983999999996	577.6881599999999	257.53284	296.86416	744.23248	1121.3835199999999	CONFLICT	0.5	0.5	0.0	
R-DRE-76005	Response to elevated platelet cytosolic Ca2+	30	71	5	3	3	3	3	2	5	2	2	53	69	4768	0.95507	0.18959	0.18959	2.82	393730;322691	scg3;plg	ENSDARG00000086288;ENSDARG00000023111		508.21399999999994	508.21399999999994	472.768	50.12821393187779	509.64442745242116	50.087379514273785	277.1985	277.1985	267.165	14.189511778070566	277.60340305941065	14.17795300898424	932.808	932.808	836.596	136.0643152630393	936.6906464495953	135.9534773409461					543.66;472.768	287.232;267.165	1029.02;836.596	1	1	1	322691	ENSDARG00000023111	472.768	472.768		267.165	267.165		836.596	836.596		472.768	267.165	836.596	1	393730	ENSDARG00000086288	543.66	543.66		287.232	287.232		1029.02	1029.02		543.66	287.232	1029.02	0						Linear,2(1)	1.948841475986521	3.899442195892334	1.8911612033843994	2.0082809925079346	0.08281619710039016	1.949721097946167	438.73983999999996	577.6881599999999	257.53284	296.86416	744.23248	1121.3835199999999	CONFLICT	0.5	0.5	0.0	
R-DRE-1430728	Metabolism	490	1029	88	38	27	45	45	34	88	19	19	36	1010	3827	0.9938	0.013786	0.018933	1.85	792041;777632;563972;556199;554166;550579;550507;449677;449556;415221;414331;406445;405829;386663;378446;336492;334098;323424;140620	tbxas1;mccc1;gstt1a;phka2;st3gal7;idh3g;bdh2;cpt1b;ttr;psmd8;cyp51;psma8;dpydb;pfkfb4b;dhcr7;ptgdsb.1;hsd11b2;sult1st1;prps1a	ENSDARG00000002249;ENSDARG00000102538;ENSDARG00000042428;ENSDARG00000030687;ENSDARG00000039064;ENSDARG00000023648;ENSDARG00000052696;ENSDARG00000058285;ENSDARG00000037191;ENSDARG00000020454;ENSDARG00000042641;ENSDARG00000010965;ENSDARG00000010267;ENSDARG00000029075;ENSDARG00000103226;ENSDARG00000027088;ENSDARG00000001975;ENSDARG00000028275;ENSDARG00000015524		476.1590526315789	515.462	296.996	120.73115132092016	464.9334325316228	114.7995367632902	261.8193157894737	279.873	195.551	39.20332985297801	258.85475951222895	36.985019112989065	875.7069999999999	949.364	451.067	316.1299805842881	844.166299024009	302.05661896256186					350.138;298.285;521.13;556.353;588.837;727.269;296.996;608.839;577.638;547.355;449.078;526.625;369.232;520.468;419.313;515.462;333.896;513.82;326.288	221.023;196.325;281.3;290.778;298.373;321.771;195.551;301.826;295.461;288.678;259.226;282.962;229.032;280.895;248.524;279.873;213.522;279.395;210.052	554.677;453.195;965.434;1064.49;1162.06;1643.78;451.067;1228.14;1129.31;1037.82;777.974;980.111;595.255;964.372;707.472;949.364;522.131;944.936;506.845	14	5	14	792041;777632;563972;554166;550579;550507;449556;414331;406445;405829;378446;336492;323424;140620	ENSDARG00000002249;ENSDARG00000102538;ENSDARG00000042428;ENSDARG00000039064;ENSDARG00000023648;ENSDARG00000052696;ENSDARG00000037191;ENSDARG00000042641;ENSDARG00000010965;ENSDARG00000010267;ENSDARG00000103226;ENSDARG00000027088;ENSDARG00000028275;ENSDARG00000015524	462.86507142857147	481.449	126.6697758768316	257.062	269.3105	40.658359920004315	844.3914285714285	861.455	335.82865568086606	350.138;298.285;521.13;588.837;727.269;296.996;577.638;449.078;526.625;369.232;419.313;515.462;513.82;326.288	221.023;196.325;281.3;298.373;321.771;195.551;295.461;259.226;282.962;229.032;248.524;279.873;279.395;210.052	554.677;453.195;965.434;1162.06;1643.78;451.067;1129.31;777.974;980.111;595.255;707.472;949.364;944.936;506.845	5	556199;449677;415221;386663;334098	ENSDARG00000030687;ENSDARG00000058285;ENSDARG00000020454;ENSDARG00000029075;ENSDARG00000001975	513.3822	547.355	105.33060572644567	275.13980000000004	288.678	35.24863484165028	963.3906000000001	1037.82	264.84149354057007	556.353;608.839;547.355;520.468;333.896	290.778;301.826;288.678;280.895;213.522	1064.49;1228.14;1037.82;964.372;522.131	0						Linear,19(1)	1.9840679872520566	38.327741622924805	1.5681315660476685	3.014939546585083	0.3984263472038517	1.9055097103118896	421.8717062961787	530.4463989669792	244.191348840228	279.4472827387194	733.5576246713075	1017.8563753286925	UP	0.7368421052631579	0.2631578947368421	0.0	
R-DRE-156580	Phase II - Conjugation of compounds	26	48	7	3	2	5	5	3	7	2	2	53	46	4791	0.98372	0.1009	0.1009	4.17	563972;323424	gstt1a;sult1st1	ENSDARG00000042428;ENSDARG00000028275		517.475	517.475	513.82	5.1689505704648155	518.4030663068139	4.999543565188133	280.34749999999997	280.34749999999997	279.395	1.347038418176949	280.58935585697407	1.302890628146731	955.185	955.185	944.936	14.494274800771501	957.7873944127319	14.019239945209112					521.13;513.82	281.3;279.395	965.434;944.936	2	0	2	563972;323424	ENSDARG00000042428;ENSDARG00000028275	517.475	517.475	5.1689505704648155	280.34749999999997	280.34749999999997	1.347038418176949	955.185	955.185	14.494274800771501	521.13;513.82	281.3;279.395	965.434;944.936	0															0						Linear,2(1)	1.9773646805992113	3.9645566940307617	1.842792272567749	2.1217644214630127	0.19726309824602417	1.9822783470153809	510.3112000000001	524.6388	278.4805999999999	282.2144	935.09696	975.2730399999999	UP	1.0	0.0	0.0	
R-DRE-211859	Biological oxidations	55	112	12	5	4	8	8	5	12	4	4	51	108	4729	0.99195	0.036319	0.036319	3.57	792041;563972;414331;323424	tbxas1;gstt1a;cyp51;sult1st1	ENSDARG00000002249;ENSDARG00000042428;ENSDARG00000042641;ENSDARG00000028275		458.54150000000004	481.449	350.138	79.1915600279893	450.340917396191	84.3963614009528	260.236	269.3105	221.023	27.984750883293593	257.1826292977911	29.893560226658938	810.7552499999999	861.455	554.677	190.24604231253656	791.7610926314408	202.39280954808345					350.138;521.13;449.078;513.82	221.023;281.3;259.226;279.395	554.677;965.434;777.974;944.936	4	0	4	792041;563972;414331;323424	ENSDARG00000002249;ENSDARG00000042428;ENSDARG00000042641;ENSDARG00000028275	458.54150000000004	481.449	79.1915600279893	260.236	269.3105	27.984750883293593	810.7552499999999	861.455	190.24604231253656	350.138;521.13;449.078;513.82	221.023;281.3;259.226;279.395	554.677;965.434;777.974;944.936	0															0						Linear,4(1)	1.8744210900289582	7.52691924571991	1.6568528413772583	2.1217644214630127	0.19171844042526215	1.8741509914398193	380.9337711725703	536.1492288274297	232.81094413437228	287.6610558656277	624.3141285337144	997.1963714662854	UP	1.0	0.0	0.0	
