Identifier,BPAF-0.1ug/L-C
ENSDARG00000099104,882
ENSDARG00000102407,1
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,12
ENSDARG00000104071,17
ENSDARG00000102746,7
ENSDARG00000103929,12
ENSDARG00000101073,0
ENSDARG00000100223,18
ENSDARG00000096573,0
ENSDARG00000100782,3
ENSDARG00000034862,5
ENSDARG00000075827,8
ENSDARG00000088581,20
ENSDARG00000076900,7
ENSDARG00000013802,19
ENSDARG00000096578,2
ENSDARG00000109848,0
ENSDARG00000100181,1
ENSDARG00000029936,12
ENSDARG00000041589,0
ENSDARG00000041592,30
ENSDARG00000075108,0
ENSDARG00000016304,6
ENSDARG00000058803,20
ENSDARG00000063385,7
ENSDARG00000007804,10
ENSDARG00000068261,15
ENSDARG00000063371,1
ENSDARG00000078751,7
ENSDARG00000078878,1
ENSDARG00000016343,6
ENSDARG00000023678,20
ENSDARG00000011299,19
ENSDARG00000041575,14
ENSDARG00000058962,3
ENSDARG00000089799,1
ENSDARG00000075325,37
ENSDARG00000041570,12
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,10
ENSDARG00000014313,229
ENSDARG00000104279,302
ENSDARG00000103783,11
ENSDARG00000103519,0
ENSDARG00000100307,1
ENSDARG00000101089,1
ENSDARG00000115421,12
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,0
ENSDARG00000080051,0
ENSDARG00000067781,0
ENSDARG00000099108,0
ENSDARG00000001870,137
ENSDARG00000002791,212
ENSDARG00000007739,19
ENSDARG00000039131,22
ENSDARG00000040252,5
ENSDARG00000089477,5
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,0
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,125
ENSDARG00000040246,2
ENSDARG00000040245,39
ENSDARG00000082290,0
ENSDARG00000074381,5
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,1
ENSDARG00000038248,1
ENSDARG00000070581,1
ENSDARG00000096559,0
ENSDARG00000103156,8
ENSDARG00000103647,1
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,20
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,32
ENSDARG00000033928,52
ENSDARG00000031164,61
ENSDARG00000037777,2
ENSDARG00000016706,16
ENSDARG00000030350,0
ENSDARG00000006526,112
ENSDARG00000077688,1
ENSDARG00000096546,28
ENSDARG00000092671,12
ENSDARG00000113935,0
ENSDARG00000063297,0
ENSDARG00000027078,44
ENSDARG00000017537,7
ENSDARG00000063270,4
ENSDARG00000018008,1
ENSDARG00000074031,2
ENSDARG00000043247,11
ENSDARG00000113848,0
ENSDARG00000063253,1
ENSDARG00000073857,32
ENSDARG00000107682,0
ENSDARG00000070558,2
