Identifier,BPAF-1ug/L-B
ENSDARG00000099104,876
ENSDARG00000102407,0
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,14
ENSDARG00000104071,16
ENSDARG00000102746,6
ENSDARG00000103929,10
ENSDARG00000101073,0
ENSDARG00000100223,17
ENSDARG00000096573,0
ENSDARG00000100782,5
ENSDARG00000034862,3
ENSDARG00000075827,12
ENSDARG00000088581,28
ENSDARG00000076900,9
ENSDARG00000013802,12
ENSDARG00000096578,0
ENSDARG00000109848,0
ENSDARG00000100181,0
ENSDARG00000029936,7
ENSDARG00000041589,3
ENSDARG00000041592,36
ENSDARG00000075108,0
ENSDARG00000016304,5
ENSDARG00000058803,21
ENSDARG00000063385,4
ENSDARG00000007804,16
ENSDARG00000068261,11
ENSDARG00000063371,1
ENSDARG00000078751,11
ENSDARG00000078878,0
ENSDARG00000016343,7
ENSDARG00000023678,20
ENSDARG00000011299,16
ENSDARG00000041575,15
ENSDARG00000058962,11
ENSDARG00000089799,0
ENSDARG00000075325,41
ENSDARG00000041570,17
ENSDARG00000113329,1
ENSDARG00000081781,0
ENSDARG00000058996,14
ENSDARG00000014313,240
ENSDARG00000104279,312
ENSDARG00000103783,11
ENSDARG00000103519,0
ENSDARG00000100307,1
ENSDARG00000101089,0
ENSDARG00000115421,10
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,1
ENSDARG00000080051,0
ENSDARG00000067781,1
ENSDARG00000099108,0
ENSDARG00000001870,128
ENSDARG00000002791,207
ENSDARG00000007739,16
ENSDARG00000039131,39
ENSDARG00000040252,4
ENSDARG00000089477,3
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,1
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,110
ENSDARG00000040246,6
ENSDARG00000040245,42
ENSDARG00000082290,0
ENSDARG00000074381,3
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,1
ENSDARG00000038248,1
ENSDARG00000070581,2
ENSDARG00000096559,0
ENSDARG00000103156,6
ENSDARG00000103647,0
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,17
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,28
ENSDARG00000033928,65
ENSDARG00000031164,72
ENSDARG00000037777,1
ENSDARG00000016706,14
ENSDARG00000030350,0
ENSDARG00000006526,94
ENSDARG00000077688,1
ENSDARG00000096546,23
ENSDARG00000092671,5
ENSDARG00000113935,0
ENSDARG00000063297,0
ENSDARG00000027078,36
ENSDARG00000017537,2
ENSDARG00000063270,5
ENSDARG00000018008,0
ENSDARG00000074031,4
ENSDARG00000043247,8
ENSDARG00000113848,1
ENSDARG00000063253,2
ENSDARG00000073857,41
ENSDARG00000107682,0
ENSDARG00000070558,1
ENSDARG00000025754,33
ENSDARG00000096530,0
