Identifier,DES-CC-B
ENSDARG00000099104,367
ENSDARG00000102407,3
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,7
ENSDARG00000104071,17
ENSDARG00000102746,6
ENSDARG00000103929,7
ENSDARG00000101073,0
ENSDARG00000100223,15
ENSDARG00000096573,0
ENSDARG00000100782,4
ENSDARG00000034862,12
ENSDARG00000075827,14
ENSDARG00000088581,14
ENSDARG00000076900,1
ENSDARG00000013802,15
ENSDARG00000096578,0
ENSDARG00000109848,0
ENSDARG00000100181,0
ENSDARG00000029936,0
ENSDARG00000041589,1
ENSDARG00000041592,10
ENSDARG00000075108,0
ENSDARG00000016304,2
ENSDARG00000058803,2
ENSDARG00000063385,6
ENSDARG00000007804,6
ENSDARG00000068261,8
ENSDARG00000063371,0
ENSDARG00000078751,6
ENSDARG00000078878,1
ENSDARG00000016343,2
ENSDARG00000023678,6
ENSDARG00000011299,8
ENSDARG00000041575,3
ENSDARG00000058962,0
ENSDARG00000089799,0
ENSDARG00000075325,22
ENSDARG00000041570,11
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,12
ENSDARG00000014313,187
ENSDARG00000104279,75
ENSDARG00000103783,10
ENSDARG00000103519,0
ENSDARG00000100307,0
ENSDARG00000101089,0
ENSDARG00000115421,3
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,0
ENSDARG00000080051,0
ENSDARG00000067781,2
ENSDARG00000099108,0
ENSDARG00000001870,91
ENSDARG00000002791,107
ENSDARG00000007739,26
ENSDARG00000039131,13
ENSDARG00000040252,4
ENSDARG00000089477,5
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,0
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,25
ENSDARG00000040246,1
ENSDARG00000040245,16
ENSDARG00000082290,0
ENSDARG00000074381,1
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,0
ENSDARG00000038248,4
ENSDARG00000070581,3
ENSDARG00000096559,0
ENSDARG00000103156,2
ENSDARG00000103647,1
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,9
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,10
ENSDARG00000033928,17
ENSDARG00000031164,62
ENSDARG00000037777,1
ENSDARG00000016706,11
ENSDARG00000030350,0
ENSDARG00000006526,85
ENSDARG00000077688,5
ENSDARG00000096546,5
ENSDARG00000092671,6
ENSDARG00000113935,0
ENSDARG00000063297,0
ENSDARG00000027078,9
ENSDARG00000017537,1
ENSDARG00000063270,0
ENSDARG00000018008,0
ENSDARG00000074031,2
ENSDARG00000043247,5
ENSDARG00000113848,1
ENSDARG00000063253,2
ENSDARG00000073857,2
ENSDARG00000107682,0
ENSDARG00000070558,1
ENSDARG00000025754,14
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,1
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,0
ENSDARG00000013741,5
ENSDARG00000017441,3108
ENSDARG00000037713,9
ENSDARG00000021688,0
ENSDARG00000004953,0
ENSDARG00000074050,1
ENSDARG00000018319,5
ENSDARG00000098730,4
ENSDARG00000096630,0
ENSDARG00000117359,0
ENSDARG00000106375,0
ENSDARG00000079779,0
ENSDARG00000089090,0
ENSDARG00000109652,0
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,0
ENSDARG00000095309,0
ENSDARG00000095673,0
ENSDARG00000099359,0
ENSDARG00000092361,3
ENSDARG00000103767,0
ENSDARG00000075791,0
ENSDARG00000107486,0
ENSDARG00000029720,0
ENSDARG00000100166,2
ENSDARG00000074212,0
ENSDARG00000062929,4
ENSDARG00000022668,0
ENSDARG00000099708,0
ENSDARG00000025034,14
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,1
ENSDARG00000002377,1
ENSDARG00000015803,0
ENSDARG00000037739,7
ENSDARG00000076176,2
ENSDARG00000096526,0
ENSDARG00000113858,0
ENSDARG00000096599,0
ENSDARG00000100771,0
ENSDARG00000079873,0
ENSDARG00000079332,2
ENSDARG00000007443,0
ENSDARG00000037746,524
ENSDARG00000037747,5
ENSDARG00000079361,4
ENSDARG00000012458,44
ENSDARG00000070543,2
ENSDARG00000094298,0
ENSDARG00000089873,0
ENSDARG00000093438,1
ENSDARG00000094206,0
ENSDARG00000037758,0
ENSDARG00000008723,0
ENSDARG00000110570,0
ENSDARG00000058460,0
ENSDARG00000088975,2
ENSDARG00000100949,0
ENSDARG00000093053,0
ENSDARG00000058463,92
ENSDARG00000076716,1
ENSDARG00000058464,1
ENSDARG00000058471,1
ENSDARG00000096584,0
ENSDARG00000058475,0
ENSDARG00000080404,0
ENSDARG00000058480,1
ENSDARG00000024740,7
ENSDARG00000101597,7
ENSDARG00000058445,9
ENSDARG00000063169,0
ENSDARG00000092791,0
ENSDARG00000037760,4
ENSDARG00000117314,0
ENSDARG00000017834,3
ENSDARG00000074282,3
ENSDARG00000074372,1
ENSDARG00000104203,1
ENSDARG00000101495,7
ENSDARG00000091916,19
ENSDARG00000099276,8
ENSDARG00000104995,2
ENSDARG00000033852,5
ENSDARG00000037654,8
ENSDARG00000037652,1
ENSDARG00000037646,0
ENSDARG00000032795,0
ENSDARG00000018263,55
ENSDARG00000077542,0
ENSDARG00000070490,0
ENSDARG00000015678,0
ENSDARG00000079043,0
ENSDARG00000076174,3
ENSDARG00000037647,6
ENSDARG00000008969,59
ENSDARG00000020741,46
ENSDARG00000104660,4
ENSDARG00000096594,1
ENSDARG00000077652,4
ENSDARG00000079452,0
ENSDARG00000089943,0
ENSDARG00000096536,0
ENSDARG00000077533,124
ENSDARG00000030563,3
ENSDARG00000026387,4
ENSDARG00000070495,0
ENSDARG00000084766,0
ENSDARG00000034785,1
ENSDARG00000070512,14
ENSDARG00000070504,0
ENSDARG00000062057,0
ENSDARG00000067992,0
ENSDARG00000103508,0
ENSDARG00000070502,0
ENSDARG00000037679,3
ENSDARG00000076833,72
ENSDARG00000012297,4
ENSDARG00000087107,1
ENSDARG00000099342,0
ENSDARG00000008487,10
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,5
ENSDARG00000074379,5
ENSDARG00000062854,1
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,5
ENSDARG00000074213,0
ENSDARG00000062606,1
ENSDARG00000077198,1
ENSDARG00000007678,13
ENSDARG00000089930,3
ENSDARG00000078057,5
ENSDARG00000070448,11
ENSDARG00000070449,0
ENSDARG00000042988,13
ENSDARG00000096506,0
ENSDARG00000070452,8
ENSDARG00000070454,2
ENSDARG00000096515,0
ENSDARG00000038114,0
ENSDARG00000008637,55
ENSDARG00000091609,24
ENSDARG00000002634,1
ENSDARG00000062467,2
ENSDARG00000032808,0
ENSDARG00000078318,0
ENSDARG00000018997,28
ENSDARG00000099771,9
ENSDARG00000045620,7
ENSDARG00000045618,79
ENSDARG00000057248,3
ENSDARG00000017985,20
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,0
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,9
ENSDARG00000105122,0
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,1
ENSDARG00000089805,8
ENSDARG00000117726,0
ENSDARG00000117541,2
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,0
ENSDARG00000079626,13
ENSDARG00000057114,2
ENSDARG00000009026,10
ENSDARG00000085400,0
ENSDARG00000014273,7
ENSDARG00000104795,0
ENSDARG00000056806,1
ENSDARG00000056797,3
ENSDARG00000062341,0
ENSDARG00000107022,0
ENSDARG00000056742,0
ENSDARG00000037576,0
ENSDARG00000070431,7
ENSDARG00000022690,6
ENSDARG00000056677,3
ENSDARG00000012903,18
ENSDARG00000003398,8
ENSDARG00000074867,2
ENSDARG00000109597,2
ENSDARG00000111274,0
ENSDARG00000110922,5
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,1
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,16
ENSDARG00000007534,0
ENSDARG00000077804,8
ENSDARG00000013881,7
ENSDARG00000079317,3
ENSDARG00000117428,0
ENSDARG00000106258,0
ENSDARG00000078854,7
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,2
ENSDARG00000115704,4
ENSDARG00000109375,0
ENSDARG00000017119,9
