Identifier,EE2-1ng/L-C
ENSDARG00000099104,435
ENSDARG00000102407,0
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,13
ENSDARG00000104071,8
ENSDARG00000102746,1
ENSDARG00000103929,0
ENSDARG00000101073,0
ENSDARG00000100223,9
ENSDARG00000096573,0
ENSDARG00000100782,2
ENSDARG00000034862,5
ENSDARG00000075827,5
ENSDARG00000088581,10
ENSDARG00000076900,2
ENSDARG00000013802,4
ENSDARG00000096578,1
ENSDARG00000109848,0
ENSDARG00000100181,1
ENSDARG00000029936,6
ENSDARG00000041589,0
ENSDARG00000041592,10
ENSDARG00000075108,0
ENSDARG00000016304,6
ENSDARG00000058803,11
ENSDARG00000063385,5
ENSDARG00000007804,6
ENSDARG00000068261,4
ENSDARG00000063371,0
ENSDARG00000078751,5
ENSDARG00000078878,0
ENSDARG00000016343,9
ENSDARG00000023678,4
ENSDARG00000011299,7
ENSDARG00000041575,4
ENSDARG00000058962,1
ENSDARG00000089799,0
ENSDARG00000075325,24
ENSDARG00000041570,1
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,9
ENSDARG00000014313,132
ENSDARG00000104279,121
ENSDARG00000103783,3
ENSDARG00000103519,0
ENSDARG00000100307,0
ENSDARG00000101089,1
ENSDARG00000115421,4
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,0
ENSDARG00000080051,0
ENSDARG00000067781,0
ENSDARG00000099108,0
ENSDARG00000001870,74
ENSDARG00000002791,99
ENSDARG00000007739,14
ENSDARG00000039131,11
ENSDARG00000040252,1
ENSDARG00000089477,1
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,0
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,55
ENSDARG00000040246,1
ENSDARG00000040245,28
ENSDARG00000082290,0
ENSDARG00000074381,0
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,0
ENSDARG00000038248,0
ENSDARG00000070581,1
ENSDARG00000096559,0
ENSDARG00000103156,3
ENSDARG00000103647,0
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,11
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,14
ENSDARG00000033928,23
ENSDARG00000031164,44
ENSDARG00000037777,2
ENSDARG00000016706,8
ENSDARG00000030350,0
ENSDARG00000006526,59
ENSDARG00000077688,3
ENSDARG00000096546,10
ENSDARG00000092671,12
ENSDARG00000113935,0
ENSDARG00000063297,0
ENSDARG00000027078,19
ENSDARG00000017537,2
ENSDARG00000063270,1
ENSDARG00000018008,0
ENSDARG00000074031,1
ENSDARG00000043247,6
ENSDARG00000113848,0
ENSDARG00000063253,0
ENSDARG00000073857,9
ENSDARG00000107682,0
ENSDARG00000070558,3
ENSDARG00000025754,14
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,1
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,0
ENSDARG00000013741,2
ENSDARG00000017441,4130
ENSDARG00000037713,20
ENSDARG00000021688,0
ENSDARG00000004953,0
ENSDARG00000074050,0
ENSDARG00000018319,9
ENSDARG00000098730,11
ENSDARG00000096630,0
ENSDARG00000117359,0
ENSDARG00000106375,0
ENSDARG00000079779,1
ENSDARG00000089090,1
ENSDARG00000109652,0
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,0
ENSDARG00000095309,0
ENSDARG00000095673,0
ENSDARG00000099359,0
ENSDARG00000092361,2
ENSDARG00000103767,0
ENSDARG00000075791,0
ENSDARG00000107486,0
ENSDARG00000029720,0
ENSDARG00000100166,12
ENSDARG00000074212,0
ENSDARG00000062929,10
ENSDARG00000022668,1
ENSDARG00000099708,0
ENSDARG00000025034,31
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,1
ENSDARG00000002377,4
ENSDARG00000015803,4
ENSDARG00000037739,2
ENSDARG00000076176,3
ENSDARG00000096526,0
ENSDARG00000113858,1
ENSDARG00000096599,0
ENSDARG00000100771,0
ENSDARG00000079873,0
ENSDARG00000079332,1
ENSDARG00000007443,1
ENSDARG00000037746,395
ENSDARG00000037747,9
ENSDARG00000079361,4
ENSDARG00000012458,54
ENSDARG00000070543,14
ENSDARG00000094298,0
ENSDARG00000089873,0
ENSDARG00000093438,3
ENSDARG00000094206,2
ENSDARG00000037758,0
ENSDARG00000008723,2
ENSDARG00000110570,0
ENSDARG00000058460,1
ENSDARG00000088975,3
ENSDARG00000100949,0
ENSDARG00000093053,0
ENSDARG00000058463,45
ENSDARG00000076716,0
ENSDARG00000058464,1
ENSDARG00000058471,3
ENSDARG00000096584,0
ENSDARG00000058475,1
ENSDARG00000080404,0
ENSDARG00000058480,2
ENSDARG00000024740,1
ENSDARG00000101597,5
ENSDARG00000058445,5
ENSDARG00000063169,1
ENSDARG00000092791,0
ENSDARG00000037760,4
ENSDARG00000117314,0
ENSDARG00000017834,1
ENSDARG00000074282,3
ENSDARG00000074372,1
ENSDARG00000104203,0
ENSDARG00000101495,7
ENSDARG00000091916,10
ENSDARG00000099276,0
ENSDARG00000104995,0
ENSDARG00000033852,2
ENSDARG00000037654,5
ENSDARG00000037652,2
ENSDARG00000037646,3
ENSDARG00000032795,0
ENSDARG00000018263,37
ENSDARG00000077542,0
ENSDARG00000070490,0
ENSDARG00000015678,0
ENSDARG00000079043,0
ENSDARG00000076174,7
ENSDARG00000037647,10
ENSDARG00000008969,26
ENSDARG00000020741,26
ENSDARG00000104660,3
ENSDARG00000096594,4
ENSDARG00000077652,17
ENSDARG00000079452,0
ENSDARG00000089943,0
ENSDARG00000096536,0
ENSDARG00000077533,123
ENSDARG00000030563,6
ENSDARG00000026387,1
ENSDARG00000070495,1
ENSDARG00000084766,0
ENSDARG00000034785,1
ENSDARG00000070512,8
ENSDARG00000070504,0
ENSDARG00000062057,0
ENSDARG00000067992,0
ENSDARG00000103508,0
ENSDARG00000070502,1
ENSDARG00000037679,7
ENSDARG00000076833,68
ENSDARG00000012297,2
ENSDARG00000087107,0
ENSDARG00000099342,0
ENSDARG00000008487,16
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,3
ENSDARG00000074379,5
ENSDARG00000062854,0
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,3
ENSDARG00000074213,0
ENSDARG00000062606,0
ENSDARG00000077198,0
ENSDARG00000007678,43
ENSDARG00000089930,3
ENSDARG00000078057,6
ENSDARG00000070448,20
ENSDARG00000070449,2
ENSDARG00000042988,41
ENSDARG00000096506,0
ENSDARG00000070452,4
ENSDARG00000070454,5
ENSDARG00000096515,0
ENSDARG00000038114,1
ENSDARG00000008637,44
ENSDARG00000091609,9
ENSDARG00000002634,1
ENSDARG00000062467,1
ENSDARG00000032808,0
ENSDARG00000078318,0
ENSDARG00000018997,51
ENSDARG00000099771,7
ENSDARG00000045620,9
ENSDARG00000045618,57
ENSDARG00000057248,3
ENSDARG00000017985,6
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,0
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,19
ENSDARG00000105122,3
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,1
ENSDARG00000089805,8
ENSDARG00000117726,0
ENSDARG00000117541,2
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,0
ENSDARG00000079626,14
ENSDARG00000057114,6
ENSDARG00000009026,8
ENSDARG00000085400,0
ENSDARG00000014273,18
ENSDARG00000104795,0
ENSDARG00000056806,3
ENSDARG00000056797,7
ENSDARG00000062341,0
ENSDARG00000107022,0
ENSDARG00000056742,3
ENSDARG00000037576,0
ENSDARG00000070431,6
ENSDARG00000022690,6
ENSDARG00000056677,1
ENSDARG00000012903,7
ENSDARG00000003398,8
ENSDARG00000074867,10
ENSDARG00000109597,2
ENSDARG00000111274,0
ENSDARG00000110922,4
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,1
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,22
ENSDARG00000007534,0
ENSDARG00000077804,13
ENSDARG00000013881,8
ENSDARG00000079317,2
ENSDARG00000117428,1
ENSDARG00000106258,0
ENSDARG00000078854,10
ENSDARG00000108223,0
ENSDARG00000007356,2
ENSDARG00000078599,7
ENSDARG00000115704,0
ENSDARG00000109375,0
ENSDARG00000017119,10
ENSDARG00000070412,1
ENSDARG00000034105,7
ENSDARG00000062198,8
ENSDARG00000034817,8
ENSDARG00000056504,18
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,59
ENSDARG00000092708,0
ENSDARG00000017905,18
ENSDARG00000030514,17
ENSDARG00000056400,0
ENSDARG00000042937,0
ENSDARG00000092600,0
ENSDARG00000027355,218
ENSDARG00000092022,0
ENSDARG00000056381,1
ENSDARG00000056376,0
ENSDARG00000056369,6
ENSDARG00000011023,1
ENSDARG00000003046,1
ENSDARG00000095697,0
ENSDARG00000016065,0
ENSDARG00000062132,8
ENSDARG00000117687,0
ENSDARG00000117295,0
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,1
ENSDARG00000062122,1
ENSDARG00000095111,0
ENSDARG00000008287,3
ENSDARG00000015495,30
ENSDARG00000062081,4
ENSDARG00000018178,8
ENSDARG00000093886,0
ENSDARG00000056163,0
ENSDARG00000079488,0
ENSDARG00000062055,8
ENSDARG00000074275,3
ENSDARG00000075330,0
ENSDARG00000006392,1
ENSDARG00000073902,3
ENSDARG00000019945,10
ENSDARG00000086957,2
ENSDARG00000056151,81
ENSDARG00000061985,10
ENSDARG00000061981,2
ENSDARG00000003631,1
ENSDARG00000056133,0
ENSDARG00000070321,2
ENSDARG00000017744,9
ENSDARG00000070320,0
ENSDARG00000061952,1
ENSDARG00000061936,0
ENSDARG00000006434,4
ENSDARG00000037484,1
ENSDARG00000094729,0
ENSDARG00000095388,3
ENSDARG00000085360,0
ENSDARG00000037487,0
ENSDARG00000008068,5
ENSDARG00000077648,3
ENSDARG00000096580,0
ENSDARG00000079250,0
ENSDARG00000019986,35
ENSDARG00000080019,1
ENSDARG00000099995,3
ENSDARG00000070278,2
ENSDARG00000061830,0
ENSDARG00000041776,2
ENSDARG00000095632,0
ENSDARG00000037455,18
ENSDARG00000093816,0
ENSDARG00000070266,56
ENSDARG00000037429,0
ENSDARG00000055874,128
ENSDARG00000055876,9
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,18
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,0
ENSDARG00000115895,0
ENSDARG00000061459,11
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,8
ENSDARG00000037409,3
ENSDARG00000070173,5
ENSDARG00000052782,4
ENSDARG00000037406,2
ENSDARG00000034773,1
ENSDARG00000033273,1
ENSDARG00000055439,0
ENSDARG00000055443,5
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,0
ENSDARG00000030759,0
ENSDARG00000079074,0
ENSDARG00000061504,4
ENSDARG00000000606,0
ENSDARG00000107258,0
ENSDARG00000087224,0
ENSDARG00000052764,2
ENSDARG00000092275,0
ENSDARG00000055559,2
ENSDARG00000114954,0
ENSDARG00000115778,2
ENSDARG00000026871,8
ENSDARG00000016470,41
ENSDARG00000103166,0
ENSDARG00000091660,0
ENSDARG00000038056,12
ENSDARG00000002406,0
ENSDARG00000034007,13
ENSDARG00000061143,8
ENSDARG00000034896,10
ENSDARG00000116099,0
ENSDARG00000037378,8
