Identifier,EE2-1000ng/L-A
ENSDARG00000099104,419
ENSDARG00000102407,0
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,8
ENSDARG00000104071,12
ENSDARG00000102746,1
ENSDARG00000103929,2
ENSDARG00000101073,0
ENSDARG00000100223,8
ENSDARG00000096573,0
ENSDARG00000100782,1
ENSDARG00000034862,3
ENSDARG00000075827,5
ENSDARG00000088581,16
ENSDARG00000076900,6
ENSDARG00000013802,3
ENSDARG00000096578,0
ENSDARG00000109848,0
ENSDARG00000100181,0
ENSDARG00000029936,4
ENSDARG00000041589,0
ENSDARG00000041592,6
ENSDARG00000075108,0
ENSDARG00000016304,9
ENSDARG00000058803,6
ENSDARG00000063385,2
ENSDARG00000007804,11
ENSDARG00000068261,3
ENSDARG00000063371,0
ENSDARG00000078751,6
ENSDARG00000078878,0
ENSDARG00000016343,4
ENSDARG00000023678,7
ENSDARG00000011299,4
ENSDARG00000041575,7
ENSDARG00000058962,3
ENSDARG00000089799,0
ENSDARG00000075325,19
ENSDARG00000041570,5
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,7
ENSDARG00000014313,131
ENSDARG00000104279,92
ENSDARG00000103783,5
ENSDARG00000103519,0
ENSDARG00000100307,0
ENSDARG00000101089,2
ENSDARG00000115421,3
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,0
ENSDARG00000080051,0
ENSDARG00000067781,2
ENSDARG00000099108,0
ENSDARG00000001870,65
ENSDARG00000002791,83
ENSDARG00000007739,10
ENSDARG00000039131,7
ENSDARG00000040252,2
ENSDARG00000089477,2
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,0
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,47
ENSDARG00000040246,0
ENSDARG00000040245,27
ENSDARG00000082290,0
ENSDARG00000074381,1
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,0
ENSDARG00000038248,1
ENSDARG00000070581,1
ENSDARG00000096559,0
ENSDARG00000103156,2
ENSDARG00000103647,0
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,1
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,7
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,6
ENSDARG00000033928,21
ENSDARG00000031164,37
ENSDARG00000037777,1
ENSDARG00000016706,7
ENSDARG00000030350,1
ENSDARG00000006526,75
ENSDARG00000077688,1
ENSDARG00000096546,6
ENSDARG00000092671,1
ENSDARG00000113935,0
ENSDARG00000063297,0
ENSDARG00000027078,10
ENSDARG00000017537,2
ENSDARG00000063270,2
ENSDARG00000018008,0
ENSDARG00000074031,1
ENSDARG00000043247,6
ENSDARG00000113848,0
ENSDARG00000063253,1
