Identifier,TGSH-0.1ug/L-A
ENSDARG00000099104,1643
ENSDARG00000102407,3
ENSDARG00000102097,2
ENSDARG00000099319,0
ENSDARG00000099640,20
ENSDARG00000104071,33
ENSDARG00000102746,11
ENSDARG00000103929,14
ENSDARG00000101073,0
ENSDARG00000100223,45
ENSDARG00000096573,0
ENSDARG00000100782,10
ENSDARG00000034862,17
ENSDARG00000075827,25
ENSDARG00000088581,45
ENSDARG00000076900,12
ENSDARG00000013802,20
ENSDARG00000096578,2
ENSDARG00000109848,0
ENSDARG00000100181,4
ENSDARG00000029936,26
ENSDARG00000041589,2
ENSDARG00000041592,37
ENSDARG00000075108,0
ENSDARG00000016304,12
ENSDARG00000058803,47
ENSDARG00000063385,14
ENSDARG00000007804,21
ENSDARG00000068261,19
ENSDARG00000063371,2
ENSDARG00000078751,17
ENSDARG00000078878,0
ENSDARG00000016343,18
ENSDARG00000023678,34
ENSDARG00000011299,32
ENSDARG00000041575,17
ENSDARG00000058962,13
ENSDARG00000089799,0
ENSDARG00000075325,72
ENSDARG00000041570,31
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,20
ENSDARG00000014313,426
ENSDARG00000104279,626
ENSDARG00000103783,17
ENSDARG00000103519,0
ENSDARG00000100307,3
ENSDARG00000101089,0
ENSDARG00000115421,15
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,1
ENSDARG00000080051,0
ENSDARG00000067781,6
ENSDARG00000099108,1
ENSDARG00000001870,310
ENSDARG00000002791,367
ENSDARG00000007739,37
ENSDARG00000039131,22
ENSDARG00000040252,11
ENSDARG00000089477,12
ENSDARG00000093102,1
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,0
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,212
ENSDARG00000040246,8
ENSDARG00000040245,74
ENSDARG00000082290,0
ENSDARG00000074381,3
ENSDARG00000095179,1
ENSDARG00000084484,0
ENSDARG00000070579,0
ENSDARG00000038248,2
ENSDARG00000070581,6
ENSDARG00000096559,0
ENSDARG00000103156,15
