chemical,endpoint,lowerCI,median,upperCI,endpoint2
BPA,Acute Embryo Study,,2.029383778,,EC50
BPA,Acute Embryo Study,,3.755874856,,EC50
BPA,Acute Embryo Study,,1,,LOEC
BPA,Acute Embryo Study,,3.056904851,,EC50
BPA,Acute Embryo Study,,3.698970004,,LOEC
BPA,Acute Embryo Study,,-0.060480747,,LOEC
BPA,Acute Embryo Study,,1.357934847,,LOEC
BPA,Chronic Adult Study,,2.301029996,,LOEC
BPA ,Acute Embryo Study,,-0.642065153,,LOEC
BPAF,Acute Embryo Study,,1.447158031,,EC50
BPAF,Acute Embryo Study,,2.986771734,,EC50
BPAF,Acute Embryo Study,,0,,LOEC
BPAF,Acute Embryo Study,,3,,LOEC
BPAF,Acute Embryo Study,,3,,LOEC
BPAF,Chronic Adult Study,,2.397940009,,LOEC
DES,Acute Embryo Study,,1.428134794,,LOEC
DES,Acute Embryo Study,,2.604226053,,EC50
DES,Chronic Adult Study,,-2,,LOEC
EE2,Acute Embryo Study,,-2,,LOEC
EE2,Acute Embryo Study,,-1.602059991,,LOEC
EE2,Chronic Adult Study,,-2.958607315,,LOEC
TGSH,Acute Embryo Study,,4.51851394,,LOEC
