Probe Id	BMDS Model		Genes	Gene Symbols	BMD	BMDL	BMDU	fitPValue	fitLogLikelihood	AIC	adverseDirection	2BMD/BMDL	Flagged Hill					
ENSDARG00000078308	Linear		335098	spry2	0.582443	0.297008	1.14219	0.010810271	-33.5306064	73.0612128	-1	1.96103472	TRUE	13.3566	-6.70822			
ENSDARG00000100166	Hill		100148061	si:dkeyp-9d4.3	0.00123281	8.85E-10	1718.19	0.944165468	-23.7947064	57.5894128	-1	1393728.499	0	9.62477	-5.10854	12.9184	0.00125394	TRUE
ENSDARG00000020741	Hill		378986	fga	0.00407916	1.62E-04	0.102484	0.972201509	-47.5742064	105.1484128	1	25.12370429	0	23.0541	23.4808	2.10552	0.00532733	TRUE
ENSDARG00000008487	Linear		83773	dmd	0.604774	0.300788	1.21598	0.042910756	-30.6966064	67.3932128	1	2.010632073	TRUE	9.09952	5.51939			
ENSDARG00000019986	Hill		402985	grhprb	9.12E-04	3.97E-05	0.020956	0.060734374	-45.7965064	101.5930128	1	22.98958646	0	27.5017	16.2353	5.86567	9.27E-04	TRUE
ENSDARG00000070266	Exp 5		562002	spock3	5.23E-04	7.59E-07	0.360438	0.407830552	-43.4393064	96.8786128	-1	688.9597973	TRUE	48.0444	100	0.629958081	0.248899	
ENSDARG00000006427	Hill		30708	fabp2	0.0110239	6.45E-06	18.8381	0.805385231	-88.7891064	187.5782128	1	1708.845651	0	173.207	155.762	11.1972	0.0108659	TRUE
ENSDARG00000061732	Linear		560319	raph1b	0.930702	0.334486	2.58966	0.023915003	-25.7196064	57.4392128	-1	2.78248417	TRUE	7.50259	-2.72015			
ENSDARG00000079455	Hill		561122	nlgn4xa	0.0010953	1.84E-08	65.0619	0.198111785	-23.0428064	56.0856128	-1	59400.62476	0	9.05049	-3.41744	12.3839	0.00104615	TRUE
ENSDARG00000069737	Linear		402816	pou4f2	2.76633	0.145017	52.7702	9.24E-04	-31.9046064	69.8092128	-1	19.07590145	TRUE	9.63121	-1.29041			
ENSDARG00000004621	Hill		407734	gpm6ab	0.00109052	4.67E-05	0.0254849	0.732629802	-67.0127064	144.0254128	-1	23.36962112	0	147.083	-47.0693	12.0357	0.0010785	TRUE
ENSDARG00000005479	Linear				1.16984	0.328417	4.16702	0.00309769	-48.9394064	103.8788128	-1	3.562056775	TRUE	34.4501	-7.86162			
ENSDARG00000104437	Linear		334795	aip	0.719012	0.320096	1.61507	0.022421566	-36.5596064	79.1192128	-1	2.246238628	TRUE	18.002	-6.42994			
ENSDARG00000052712	Exp 5		436850	suclg1	8.16E-04	2.83E-07	2.35127	0.927888796	-59.0379064	128.0758128	1	2880.792458	TRUE	57.9912	1.47E-05	5.17676322	0.146701	
ENSDARG00000016793	Linear		560055	crybb1l2	0.898919	0.33379	2.42085	6.45E-05	-77.5093064	161.0186128	1	2.693067498	TRUE	154.491	50.0308			
ENSDARG00000031836	Linear		777738	vps37c	0.434783	0.254373	0.743147	0.147040961	-17.0556064	40.1112128	-1	1.709234078	TRUE	6.89494	-3.59824			
ENSDARG00000069559	Linear				5.18786	0.0214682	1253.66	1.43E-04	-33.8081064	73.6162128	-1	241.6532359	TRUE	8.21582	-0.764837			
ENSDARG00000069415	Hill		557257	col17a1a	0.0828811	7.80E-06	881.134	0.111595409	-45.7532064	101.5064128	-1	10631.30215	0	37.4134	-18.3852	12.1863	0.0851321	TRUE
ENSDARG00000008740	Linear		326718	esf1	0.882422	0.333133	2.33741	0.03424446	-30.8927064	67.7854128	1	2.648857964	TRUE	8.9501	3.82419			
ENSDARG00000052435	Hill		558432	spred2a	0.0012183	3.02E-11	49182.1	0.147038992	-22.2683064	54.5366128	-1	4.04E+07	0	12.0855	-4.90719	14.5849	0.0012435	TRUE
ENSDARG00000093494	Linear				1.07366	0.333965	3.45172	3.18E-06	-39.8276064	85.6552128	-1	3.214887788	TRUE	14.114	-5.16325			
ENSDARG00000036295	Linear		550228	golga7ba	0.890519	0.333945	2.37471	1.15E-05	-42.2556064	90.5112128	-1	2.666663672	TRUE	20.2739	-7.12413			
ENSDARG00000016809	Linear		445076	prkacab	1.60385	0.286683	8.97276	0.005019978	-28.3478064	62.6956128	-1	5.594506825	TRUE	9.52726	-1.82663			
ENSDARG00000043713	Linear		792029	asf1bb	0.635431	0.307157	1.31455	0.33321344	-22.0666064	50.1332128	1	2.068749858	TRUE	5.75526	3.25234			
ENSDARG00000101915	Linear		393721	pin1	0.356608	0.223778	0.568283	0.084741435	-32.9624064	71.9248128	1	1.593579351	TRUE	21.8932	10.616			
ENSDARG00000030340	Hill		415216	guk1a	0.00981386	0.00337448	0.0285412	0.414782802	-24.7474064	59.4948128	-1	2.908258458	0	16.6525	-6.93535	11.7074	0.010363	TRUE
ENSDARG00000076223	Linear		436846	serp1	0.421718	0.249632	0.712434	0.414428762	-57.3103064	120.6206128	1	1.689358736	TRUE	36.6655	34.7203			
ENSDARG00000027957	Exp 5		777735	fgf12a	6.79E-05	6.38E-10	7.22933	0.038007291	-21.9255064	53.8510128	-1	106472.3574	TRUE	10.2365	100	0.403920178	0.178813	
ENSDARG00000012194	Linear		393839	scp2a	0.680344	0.314729	1.47069	0.012569891	-58.1015064	122.2030128	1	2.161681955	TRUE	61.5614	22.4889			
ENSDARG00000058734	Linear		541344	prdx1	0.506433	0.277871	0.922998	0.106584072	-27.6770064	61.3540128	-1	1.822547153	TRUE	11.7985	-5.57323			
ENSDARG00000016477	Exp 5		406760	eif4a2	3.49E-04	3.19E-08	3.81487	0.671304257	-33.4732064	76.9464128	-1	10931.55911	TRUE	19.4956	0.074013	4.54E-05	0.142101	
ENSDARG00000075560	Linear		568162	kmt2cb	3.24778	0.104226	101.204	0.004774401	-44.3717064	94.7434128	-1	31.16093873	TRUE	29.9072	-2.19706			
ENSDARG00000101903	Linear		100005449	zfyve9a	0.577224	0.295272	1.12841	0.125087486	-26.3414064	58.6828128	1	1.954889051	TRUE	5.82284	4.54005			
