GO/Pathway/Gene Set/Gene ID,GO Level,GO/Pathway/Gene Set/Gene Name,All Genes (Expression Data),All Genes (Platform),Input Genes,Genes with BMD <= Highest Dose,Genes with BMD p-Value >= ,Genes with BMD/BMDL <= ,Genes with BMDU/BMD <= ,Genes with BMDU/BMDL <= ,Genes with BMD <= N-Fold Lowest Positive Dose ,Genes That Passed All Filters,Fisher's A Parameter,Fisher's B Parameter,Fisher's C Parameter,Fisher's D Parameter,Fisher's Exact Left P-Value,Fisher's Exact Right P-Value,Fisher's Exact Two Tail,Percentage,Entrez Gene IDs,Gene Symbols,Probe IDs,Genes with Conflicting Probesets,BMD Mean,BMD Median,BMD Minimum,BMD Standard Deviation,BMD wMean,BMD wSD,BMDL Mean,BMDL Median,BMDL Minimum,BMDL Standard Deviation,BMDL wMean,BMDL wSD,BMDU Mean,BMDU Median,BMDU Minimum,BMDU Standard Deviation,BMDU wMean,BMDU wSD,5th Percentile Index,BMD at 5th Percentile of Total Genes,10th Percentile Index,BMD at 10th Percentile of Total Genes,BMD List,BMDL List,BMDU List,Probes with Adverse Direction Up,Probes with Adverse Direction Down,Genes with Adverse Direction Up,Genes Up List,Genes Up Probes List,Genes Up BMD Mean,Genes Up BMD Median,Genes Up SD,Genes Up BMDL Mean,Genes Up BMDL Median,Genes Up BMDL SD,Genes Up BMDU Mean,Genes Up BMDU Median,Genes Up BMDU SD,BMD list (up),BMDL List (up),BMDU List (up),Genes with Adverse Direction Down,Genes Down List,Genes Down Probes List,Genes Down BMD Mean,Genes Down BMD Median,Genes Down SD,Genes Down BMDL Mean,Genes Down BMDL Median,Genes Down BMDL SD,Genes Down BMDU Mean,Genes Down BMDU Median,Genes Down BMDU SD,BMD list (down),BMDL List (down),BMDU List (down),Genes with Adverse Conflict Count,Genes Conflict List,Genes Conflict Probes List,BMD list (Conflict),BMDL list (Conflict),BMDU list (Conflict),Model Counts,Mean Fold Change,Total Fold Change,Min Fold Change,Max Fold Change,Standard Deviation Fold Change,Median Fold Change,Lower bound of the 95% confidence interval -  BMD,Upper bound of the 95% confidence interval -  BMD,Lower bound of the 95% confidence interval -  BMDL,Upper bound of the 95% confidence interval -  BMDL,Lower bound of the 95% confidence interval -  BMDU,Upper bound of the 95% confidence interval -  BMDU,Overall Direction,Percent Genes With Overall Direction Up,Percent Genes With Overall Direction Down,Percent Genes With Overall Direction Conflict
all,0,all,6468,18951,874,426,272,529,529,426,873,175,175,0,18776,0,1,1,1,0.92,101887158;100334510;100331329;100330411;100302470;100149148;100073329;100034580;100007373;100004700;100004663;100002928;100002182;100000085;799300;798527;798092;792041;791134;777632;678603;678531;619204;613141;573207;572542;571836;571189;569468;568454;568156;568155;567919;567272;566523;566226;565869;565830;564584;564123;563972;563956;563665;563038;563030;562552;562460;562093;562087;561724;561010;560322;559076;558885;557528;556199;556162;556123;554231;554168;554166;553981;553765;550579;550507;550501;550466;550464;550463;550429;550394;550287;541322;493612;492507;492488;492482;492481;449679;449677;449616;449559;449556;449543;448858;447926;447832;445481;445315;445145;445141;445091;437019;436793;436753;436640;415221;415191;415190;415162;414331;407735;406822;406777;406614;406600;406445;406421;406309;406278;406249;405881;405864;405829;404615;404602;403026;402810;394069;394048;394000;393936;393850;393730;393543;393287;393179;386663;386613;378446;368359;338183;337596;337386;336617;336492;335494;334613;334098;327556;327160;327007;326974;326845;325609;324655;324416;324412;324134;323919;323696;323424;322691;322533;322493;322325;321681;321545;321314;266637;260441;259303;192336;140620;114467;84702;81581;64698;64609;58094;58068;30749;30674;30628;30131,tmem176l.3a;pet100;tmem176l.3b;ap1m1;epdl1;myha;zgc:165573;cacng6a;zgc:194659;cyp24a1;si:dkey-188i13.11;iqgap1;si:ch73-281k2.5;si:ch211-212k18.7;myhz1.2;abcb5;vimr2;tbxas1;vps8;mccc1;st14a;mmp30;mrps7;itih3b;creb1a;kpna1;tlcd4a;abcb11b;tfb2m;ablim2;larp1b;bnip4;sik2b;washc2c;arhgap27l;homezb;klf9;mapk6;nck1a;col18a1a;gstt1a;sdhaf4;c3b.1;mgat4a;iqgap2;zgc:171775;ppp2r5a;crebzf;ppm1k;csnk1g2b;si:dkey-261h17.1;pdlim2;klf11b;bap1;rbm4.2;phka2;pdia5;slit1a;szrd1;myh11a;st3gal7;sptlc1;pcbp3;idh3g;bdh2;zgc:111983;hmgb3b;ube2g2;eed;steap4;med10;psmd4b;zgc:113054;zgc:101810;crhb;cetp;eif4ebp3;rp9;cav3;cpt1b;bcl9;tmem18;ttr;gca;txnipb;kif2a;capn3a;s100s;chrne;nudcd2;pbrm1l;capn2l;pcca;cbln1;mydgf;slc25a48;psmd8;tnni4b.2;zgc:86896;ube2l3a;cyp51;gria4a;cab39l1;aqp3a;irf2bp2b;stk25b;psma8;acox3;tomm20a;ggctb;ddx39ab;mrpl38;itgb1b.2;dpydb;med8;phox2a;vtnb;psenen;ebag9;h2ax;pgm1;cd2bp2;dhx38;scg3;ilk;chuk;pdap1b;pfkfb4b;pdca;dhcr7;txnipa;mars1;rhbg;snx1a;thy1;ptgdsb.1;fuca1.1;fn1b;hsd11b2;porb;apba2b;vamp8;gabarapa;slco1d1;atf1;cul3a;dpysl5a;zc2hc1a;asmtl;alcamb;f11r.1;sult1st1;plg;anpepb;slc2a2;rnf128a;drap1;serpinc1;lmbr1l;apmap;mthfd1b;caspb;atp6v0ca;prps1a;mafa;cp;cldnb;dcn;atp1a2a;dap1b;pcxb;nr5a2;tefa;smad1;dla,ENSDARG00000098387;ENSDARG00000098017;ENSDARG00000096874;ENSDARG00000096249;ENSDARG00000076386;ENSDARG00000095930;ENSDARG00000102482;ENSDARG00000036457;ENSDARG00000079347;ENSDARG00000103277;ENSDARG00000092895;ENSDARG00000078888;ENSDARG00000104329;ENSDARG00000055504;ENSDARG00000067995;ENSDARG00000021787;ENSDARG00000105188;ENSDARG00000002249;ENSDARG00000060477;ENSDARG00000102538;ENSDARG00000061173;ENSDARG00000045887;ENSDARG00000101622;ENSDARG00000102722;ENSDARG00000053586;ENSDARG00000016360;ENSDARG00000098451;ENSDARG00000070078;ENSDARG00000074756;ENSDARG00000055223;ENSDARG00000061169;ENSDARG00000022832;ENSDARG00000062315;ENSDARG00000062532;ENSDARG00000061798;ENSDARG00000024598;ENSDARG00000068194;ENSDARG00000032103;ENSDARG00000074262;ENSDARG00000036558;ENSDARG00000042428;ENSDARG00000039390;ENSDARG00000093068;ENSDARG00000063330;ENSDARG00000060010;ENSDARG00000058381;ENSDARG00000027017;ENSDARG00000089787;ENSDARG00000076011;ENSDARG00000034056;ENSDARG00000095268;ENSDARG00000069956;ENSDARG00000013794;ENSDARG00000063051;ENSDARG00000055080;ENSDARG00000030687;ENSDARG00000069242;ENSDARG00000044954;ENSDARG00000056338;ENSDARG00000009782;ENSDARG00000039064;ENSDARG00000042995;ENSDARG00000054378;ENSDARG00000023648;ENSDARG00000052696;ENSDARG00000006588;ENSDARG00000006408;ENSDARG00000025404;ENSDARG00000099640;ENSDARG00000055901;ENSDARG00000070623;ENSDARG00000023279;ENSDARG00000053483;ENSDARG00000004658;ENSDARG00000027657;ENSDARG00000030872;ENSDARG00000054916;ENSDARG00000098942;ENSDARG00000024141;ENSDARG00000058285;ENSDARG00000036687;ENSDARG00000036704;ENSDARG00000037191;ENSDARG00000020187;ENSDARG00000070000;ENSDARG00000043571;ENSDARG00000041864;ENSDARG00000036773;ENSDARG00000034307;ENSDARG00000078059;ENSDARG00000077038;ENSDARG00000034211;ENSDARG00000028982;ENSDARG00000057296;ENSDARG00000071679;ENSDARG00000021250;ENSDARG00000020454;ENSDARG00000036671;ENSDARG00000090369;ENSDARG00000112087;ENSDARG00000042641;ENSDARG00000037496;ENSDARG00000021374;ENSDARG00000003808;ENSDARG00000098635;ENSDARG00000039022;ENSDARG00000010965;ENSDARG00000038865;ENSDARG00000103163;ENSDARG00000005085;ENSDARG00000015111;ENSDARG00000039667;ENSDARG00000022689;ENSDARG00000010267;ENSDARG00000114425;ENSDARG00000007406;ENSDARG00000053831;ENSDARG00000068698;ENSDARG00000040021;ENSDARG00000029406;ENSDARG00000013561;ENSDARG00000027357;ENSDARG00000100013;ENSDARG00000086288;ENSDARG00000056964;ENSDARG00000011662;ENSDARG00000002967;ENSDARG00000029075;ENSDARG00000011886;ENSDARG00000103226;ENSDARG00000036107;ENSDARG00000034396;ENSDARG00000009018;ENSDARG00000071031;ENSDARG00000035018;ENSDARG00000027088;ENSDARG00000035890;ENSDARG00000006526;ENSDARG00000001975;ENSDARG00000059035;ENSDARG00000060639;ENSDARG00000024116;ENSDARG00000035557;ENSDARG00000104108;ENSDARG00000044301;ENSDARG00000038967;ENSDARG00000011141;ENSDARG00000027915;ENSDARG00000021433;ENSDARG00000058538;ENSDARG00000017320;ENSDARG00000028275;ENSDARG00000023111;ENSDARG00000103878;ENSDARG00000056196;ENSDARG00000016867;ENSDARG00000041203;ENSDARG00000042684;ENSDARG00000004745;ENSDARG00000017422;ENSDARG00000040492;ENSDARG00000052039;ENSDARG00000057853;ENSDARG00000015524;ENSDARG00000015890;ENSDARG00000010312;ENSDARG00000009544;ENSDARG00000012066;ENSDARG00000010472;ENSDARG00000086842;ENSDARG00000051939;ENSDARG00000100940;ENSDARG00000039117;ENSDARG00000027199;ENSDARG00000010791,,470.2048561,477.065,1.53704,167.5348301,416.8983497,170.9513764,252.9023198,268.382,0.243817,67.9193055,232.3240442,83.82595151,893.4134726,848.011,9.68961,448.6877815,761.0823721,376.2344856,,,,,504.624;549.079;536.449;403.034;429.272;240.376;475.485;491.77;693.447;390.011;477.984;410.67;370.325;580.009;579.309;484.602;25.9407;350.138;25.1289;298.285;414.4;453.458;799.838;457.966;279.654;302.753;587.221;475.904;1.53704;477.065;332.913;325.321;585.536;420.166;322.187;572.167;436.464;635.628;548.296;28.7188;521.13;320.722;479.509;539.741;380.896;470.288;521.278;491.168;421.445;979.037;463.715;270.168;533.67;540.174;496.977;556.353;347.8;521.507;562.401;263.735;588.837;446.431;640.362;727.269;296.996;329.218;855.25;375.268;706.241;376.409;381.051;672.341;508.624;481.871;513.548;310.196;613.011;352.671;445.812;608.839;549.399;673.387;577.638;570.169;479.421;553.238;479.538;429.8;435.07;514.228;375.304;401.437;418.109;490.793;417.493;499.008;547.355;604.341;396.929;412.086;449.078;13.1901;395.842;295.84;640.568;424.374;526.625;486.217;353.171;517.928;462.628;588.609;467.617;369.232;905.242;436.19;458.324;903.797;602.628;676.223;501.121;609.114;401.083;543.66;659.11;798.483;518.335;520.468;5.59378;419.313;662.788;528.081;464.825;507.798;474.166;515.462;522.859;588.138;333.896;10.961;568.436;513.845;571.762;467.018;752.293;356.426;433.959;997.59;464.229;578.102;10.1453;513.82;472.768;578.521;519.971;395.977;339.289;34.0062;438.01;435.411;366.913;369.286;600.109;326.288;501.444;444.782;467.535;504.702;538.664;279.866;413.167;327.524;677.665;559.219;398.696,276.942;288.707;285.591;242.738;252.441;165.363;268.063;272.268;316.769;237.699;269.291;245.421;229.189;296.198;295.901;270.912;5.50907;221.023;4.44254;196.325;247.101;260.864;327.417;262.777;186.935;198.713;297.615;268.343;0.243817;268.382;212.956;209.494;297.154;249.062;207.817;294.493;254.989;307.325;289.217;5.28452;281.3;207.173;269.474;286.483;233.654;266.374;281.877;272.849;249.896;334.966;264.69;181.854;284.948;286.664;274.831;290.778;219.65;281.95;291.071;178.416;298.373;258.72;308.658;321.771;195.551;211.338;331.951;231.419;318.441;232.272;233.776;313.006;278.391;270.127;279.229;202.375;303.218;221.917;258.199;301.826;288.923;314.494;295.461;293.908;269.219;289.093;269.414;252.5;254.032;279.75;231.394;242.015;248.532;272.515;247.663;275.119;288.678;301.271;240.413;245.996;259.226;2.33869;239.767;195.195;308.792;250.934;282.962;270.902;222.077;280.365;264.006;298.242;265.251;229.032;334.061;255.064;262.495;334.59;300.507;314.783;275.634;304.178;241.906;287.232;311.789;328.072;280.637;280.895;1.09379;248.524;312.244;282.011;264.643;277.887;267.739;279.873;281.78;297.782;213.522;1.81799;293.475;279.552;294.255;265.293;324.338;223.61;253.915;335.831;264.842;295.638;3.50367;279.395;267.165;295.807;281.074;239.824;216.027;7.05488;255.092;254.861;228.288;229.074;300.321;210.052;276.035;257.978;265.615;276.803;286.428;186.936;246.307;210.573;314.222;291.175;240.876,919.491;1044.27;1007.66;669.183;729.97;349.416;843.404;888.235;1518.04;639.922;848.409;687.186;598.373;1135.76;1134.16;866.848;122.148;554.677;142.139;453.195;694.968;788.241;1953.9;798.142;418.361;461.266;1158.64;844.011;9.68961;848.011;520.44;505.188;1153.79;708.82;499.499;1111.66;747.092;1314.65;1039.46;156.072;965.434;496.504;853.25;1016.88;620.924;830.3;964.005;884.172;710.757;2861.52;812.391;401.37;999.493;1017.88;898.682;1064.49;550.715;964.6;1086.66;389.854;1162.06;770.333;1328.54;1643.78;451.067;512.847;2203.49;608.53;1566.31;609.991;621.105;1444.2;929.265;859.593;944.499;475.46;1239.31;560.464;769.746;1228.14;1044.7;1441.84;1129.31;1106.11;853.746;1058.73;853.545;731.596;745.126;945.24;608.714;665.875;703.391;883.905;703.779;905.097;1037.82;1212.29;655.34;690.316;777.974;74.3912;653.511;448.377;1328.81;717.694;980.111;872.667;561.651;956.785;810.68;1161.68;824.371;595.255;2453.04;745.938;800.246;2441.34;1208.49;1452.67;911.072;1219.75;665.001;1029.02;1393.33;1943.4;957.361;964.372;28.6073;707.472;1406.88;988.86;816.43;927.926;839.748;949.364;970.194;1161.61;522.131;66.0858;1101.01;944.499;1110.98;822.132;1744.92;568.13;741.667;2963.35;813.726;1130.44;29.3768;944.936;836.596;1131.43;961.919;653.803;532.882;163.918;752.093;743.866;589.716;595.318;1199.15;506.845;910.922;766.853;822.952;920.235;1013.03;418.995;693.068;509.43;1461.48;1074.01;659.917,125,50,125,101887158;100334510;100331329;100302470;100149148;100073329;100034580;100004700;100004663;100002928;100002182;100000085;799300;798527;792041;777632;678603;678531;613141;571836;571189;569468;568454;568156;568155;567272;566523;564584;564123;563972;563956;563665;563030;562552;562087;561724;561010;560322;559076;556162;554231;554168;554166;553981;550579;550507;550501;550466;550464;550463;550429;550394;550287;541322;493612;492488;492482;492481;449679;449559;449556;449543;448858;447926;445481;445315;445091;436753;436640;415191;415190;415162;414331;406822;406777;406445;406421;406309;406278;406249;405864;405829;404602;403026;394069;394000;393543;378446;368359;338183;337596;337386;336617;336492;335494;334613;327556;327007;326974;326845;325609;324134;323919;323696;323424;322691;322533;322493;322325;321545;321314;266637;260441;259303;192336;140620;114467;84702;81581;64698;64609;58094;58068;30749;30674,ENSDARG00000098387;ENSDARG00000098017;ENSDARG00000096874;ENSDARG00000076386;ENSDARG00000095930;ENSDARG00000102482;ENSDARG00000036457;ENSDARG00000103277;ENSDARG00000092895;ENSDARG00000078888;ENSDARG00000104329;ENSDARG00000055504;ENSDARG00000067995;ENSDARG00000021787;ENSDARG00000002249;ENSDARG00000102538;ENSDARG00000061173;ENSDARG00000045887;ENSDARG00000102722;ENSDARG00000098451;ENSDARG00000070078;ENSDARG00000074756;ENSDARG00000055223;ENSDARG00000061169;ENSDARG00000022832;ENSDARG00000062532;ENSDARG00000061798;ENSDARG00000074262;ENSDARG00000036558;ENSDARG00000042428;ENSDARG00000039390;ENSDARG00000093068;ENSDARG00000060010;ENSDARG00000058381;ENSDARG00000076011;ENSDARG00000034056;ENSDARG00000095268;ENSDARG00000069956;ENSDARG00000013794;ENSDARG00000069242;ENSDARG00000056338;ENSDARG00000009782;ENSDARG00000039064;ENSDARG00000042995;ENSDARG00000023648;ENSDARG00000052696;ENSDARG00000006588;ENSDARG00000006408;ENSDARG00000025404;ENSDARG00000099640;ENSDARG00000055901;ENSDARG00000070623;ENSDARG00000023279;ENSDARG00000053483;ENSDARG00000004658;ENSDARG00000030872;ENSDARG00000054916;ENSDARG00000098942;ENSDARG00000024141;ENSDARG00000036704;ENSDARG00000037191;ENSDARG00000020187;ENSDARG00000070000;ENSDARG00000043571;ENSDARG00000036773;ENSDARG00000034307;ENSDARG00000034211;ENSDARG00000071679;ENSDARG00000021250;ENSDARG00000036671;ENSDARG00000090369;ENSDARG00000112087;ENSDARG00000042641;ENSDARG00000021374;ENSDARG00000003808;ENSDARG00000010965;ENSDARG00000038865;ENSDARG00000103163;ENSDARG00000005085;ENSDARG00000015111;ENSDARG00000022689;ENSDARG00000010267;ENSDARG00000007406;ENSDARG00000053831;ENSDARG00000040021;ENSDARG00000013561;ENSDARG00000056964;ENSDARG00000103226;ENSDARG00000036107;ENSDARG00000034396;ENSDARG00000009018;ENSDARG00000071031;ENSDARG00000035018;ENSDARG00000027088;ENSDARG00000035890;ENSDARG00000006526;ENSDARG00000059035;ENSDARG00000024116;ENSDARG00000035557;ENSDARG00000104108;ENSDARG00000044301;ENSDARG00000021433;ENSDARG00000058538;ENSDARG00000017320;ENSDARG00000028275;ENSDARG00000023111;ENSDARG00000103878;ENSDARG00000056196;ENSDARG00000016867;ENSDARG00000042684;ENSDARG00000004745;ENSDARG00000017422;ENSDARG00000040492;ENSDARG00000052039;ENSDARG00000057853;ENSDARG00000015524;ENSDARG00000015890;ENSDARG00000010312;ENSDARG00000009544;ENSDARG00000012066;ENSDARG00000010472;ENSDARG00000086842;ENSDARG00000051939;ENSDARG00000100940;ENSDARG00000039117,457.4826827,467.018,147.7279752,251.527079,265.251,61.26527278,845.9655377,822.132,378.9348406,504.624;549.079;536.449;429.272;240.376;475.485;491.77;390.011;477.984;410.67;370.325;580.009;579.309;484.602;350.138;298.285;414.4;453.458;457.966;587.221;475.904;1.53704;477.065;332.913;325.321;420.166;322.187;548.296;28.7188;521.13;320.722;479.509;380.896;470.288;421.445;979.037;463.715;270.168;533.67;347.8;562.401;263.735;588.837;446.431;727.269;296.996;329.218;855.25;375.268;706.241;376.409;381.051;672.341;508.624;481.871;310.196;613.011;352.671;445.812;673.387;577.638;570.169;479.421;553.238;429.8;435.07;401.437;417.493;499.008;604.341;396.929;412.086;449.078;395.842;295.84;526.625;486.217;353.171;517.928;462.628;467.617;369.232;436.19;458.324;602.628;501.121;659.11;419.313;662.788;528.081;464.825;507.798;474.166;515.462;522.859;588.138;10.961;513.845;571.762;467.018;752.293;464.229;578.102;10.1453;513.82;472.768;578.521;519.971;395.977;34.0062;438.01;435.411;366.913;369.286;600.109;326.288;501.444;444.782;467.535;504.702;538.664;279.866;413.167;327.524;677.665,276.942;288.707;285.591;252.441;165.363;268.063;272.268;237.699;269.291;245.421;229.189;296.198;295.901;270.912;221.023;196.325;247.101;260.864;262.777;297.615;268.343;0.243817;268.382;212.956;209.494;249.062;207.817;289.217;5.28452;281.3;207.173;269.474;233.654;266.374;249.896;334.966;264.69;181.854;284.948;219.65;291.071;178.416;298.373;258.72;321.771;195.551;211.338;331.951;231.419;318.441;232.272;233.776;313.006;278.391;270.127;202.375;303.218;221.917;258.199;314.494;295.461;293.908;269.219;289.093;252.5;254.032;242.015;247.663;275.119;301.271;240.413;245.996;259.226;239.767;195.195;282.962;270.902;222.077;280.365;264.006;265.251;229.032;255.064;262.495;300.507;275.634;311.789;248.524;312.244;282.011;264.643;277.887;267.739;279.873;281.78;297.782;1.81799;279.552;294.255;265.293;324.338;264.842;295.638;3.50367;279.395;267.165;295.807;281.074;239.824;7.05488;255.092;254.861;228.288;229.074;300.321;210.052;276.035;257.978;265.615;276.803;286.428;186.936;246.307;210.573;314.222,919.491;1044.27;1007.66;729.97;349.416;843.404;888.235;639.922;848.409;687.186;598.373;1135.76;1134.16;866.848;554.677;453.195;694.968;788.241;798.142;1158.64;844.011;9.68961;848.011;520.44;505.188;708.82;499.499;1039.46;156.072;965.434;496.504;853.25;620.924;830.3;710.757;2861.52;812.391;401.37;999.493;550.715;1086.66;389.854;1162.06;770.333;1643.78;451.067;512.847;2203.49;608.53;1566.31;609.991;621.105;1444.2;929.265;859.593;475.46;1239.31;560.464;769.746;1441.84;1129.31;1106.11;853.746;1058.73;731.596;745.126;665.875;703.779;905.097;1212.29;655.34;690.316;777.974;653.511;448.377;980.111;872.667;561.651;956.785;810.68;824.371;595.255;745.938;800.246;1208.49;911.072;1393.33;707.472;1406.88;988.86;816.43;927.926;839.748;949.364;970.194;1161.61;66.0858;944.499;1110.98;822.132;1744.92;813.726;1130.44;29.3768;944.936;836.596;1131.43;961.919;653.803;163.918;752.093;743.866;589.716;595.318;1199.15;506.845;910.922;766.853;822.952;920.235;1013.03;418.995;693.068;509.43;1461.48,50,100330411;100007373;798092;791134;619204;573207;572542;567919;566226;565869;565830;563038;562460;562093;558885;557528;556199;556123;553765;492507;449677;449616;447832;445145;445141;437019;436793;415221;407735;406614;406600;405881;404615;402810;394048;393936;393850;393730;393287;393179;386663;386613;334098;327160;324655;324416;324412;321681;30628;30131,ENSDARG00000096249;ENSDARG00000079347;ENSDARG00000105188;ENSDARG00000060477;ENSDARG00000101622;ENSDARG00000053586;ENSDARG00000016360;ENSDARG00000062315;ENSDARG00000024598;ENSDARG00000068194;ENSDARG00000032103;ENSDARG00000063330;ENSDARG00000027017;ENSDARG00000089787;ENSDARG00000063051;ENSDARG00000055080;ENSDARG00000030687;ENSDARG00000044954;ENSDARG00000054378;ENSDARG00000027657;ENSDARG00000058285;ENSDARG00000036687;ENSDARG00000041864;ENSDARG00000078059;ENSDARG00000077038;ENSDARG00000028982;ENSDARG00000057296;ENSDARG00000020454;ENSDARG00000037496;ENSDARG00000098635;ENSDARG00000039022;ENSDARG00000039667;ENSDARG00000114425;ENSDARG00000068698;ENSDARG00000029406;ENSDARG00000027357;ENSDARG00000100013;ENSDARG00000086288;ENSDARG00000011662;ENSDARG00000002967;ENSDARG00000029075;ENSDARG00000011886;ENSDARG00000001975;ENSDARG00000060639;ENSDARG00000038967;ENSDARG00000011141;ENSDARG00000027915;ENSDARG00000041203;ENSDARG00000027199;ENSDARG00000010791,502.0102896,520.873,207.358813,256.3404218,281.386,82.85891226,1012.03331,964.1885,575.6894627,403.034;693.447;25.9407;25.1289;799.838;279.654;302.753;585.536;572.167;436.464;635.628;539.741;521.278;491.168;540.174;496.977;556.353;521.507;640.362;513.548;608.839;549.399;479.538;514.228;375.304;418.109;490.793;547.355;13.1901;640.568;424.374;588.609;905.242;903.797;676.223;609.114;401.083;543.66;798.483;518.335;520.468;5.59378;333.896;568.436;356.426;433.959;997.59;339.289;559.219;398.696,242.738;316.769;5.50907;4.44254;327.417;186.935;198.713;297.154;294.493;254.989;307.325;286.483;281.877;272.849;286.664;274.831;290.778;281.95;308.658;279.229;301.826;288.923;269.414;279.75;231.394;248.532;272.515;288.678;2.33869;308.792;250.934;298.242;334.061;334.59;314.783;304.178;241.906;287.232;328.072;280.637;280.895;1.09379;213.522;293.475;223.61;253.915;335.831;216.027;291.175;240.876,669.183;1518.04;122.148;142.139;1953.9;418.361;461.266;1153.79;1111.66;747.092;1314.65;1016.88;964.005;884.172;1017.88;898.682;1064.49;964.6;1328.54;944.499;1228.14;1044.7;853.545;945.24;608.714;703.391;883.905;1037.82;74.3912;1328.81;717.694;1161.68;2453.04;2441.34;1452.67;1219.75;665.001;1029.02;1943.4;957.361;964.372;28.6073;522.131;1101.01;568.13;741.667;2963.35;532.882;1074.01;659.917,0,,,,,,"Exp 5,1(0.01);Hill,8(0.05);Linear,166(0.95)",1.959673695,348.5758049,1.501477361,3.327632904,0.379266143,1.915105939,445.3825483,495.0271639,242.8392547,262.9653849,826.9349606,959.8919846,UP,0.714285714,0.285714286,0
GO:0000015,4,phosphopyruvate hydratase complex,4,5,1,0,0,0,0,0,1,0,0,175,5,18771,0.95467,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GO:0000018,7,regulation of DNA recombination,11,40,1,0,0,1,1,0,1,0,0,175,40,18736,0.68972,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GO:0000027,8,ribosomal large subunit assembly,14,16,7,1,1,1,1,0,7,0,0,175,16,18760,0.862,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GO:0000028,8,ribosomal small subunit assembly,13,14,11,1,1,2,2,1,11,1,1,174,13,18763,0.99283,0.12184,0.12184,7.14,619204,mrps7,ENSDARG00000101622,,799.838,799.838,799.838,,799.838,,327.417,327.417,327.417,,327.417,,1953.9,1953.9,1953.9,,1953.9,,0,799.838,,,799.838,327.417,1953.9,0,1,0,,,,,,,,,,,,,,,1,619204,ENSDARG00000101622,799.838,799.838,,327.417,327.417,,1953.9,1953.9,,799.838,327.417,1953.9,0,,,,,,"Linear,1(1)",1.990525365,1.990525365,1.990525365,1.990525365,0,1.990525365,799.838,799.838,327.417,327.417,1953.9,1953.9,DOWN,0,1,0
GO:0000038,7,very long-chain fatty acid metabolic process,12,28,1,1,1,0,0,0,1,0,0,175,28,18748,0.77109,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GO:0000041,8,transition metal ion transport,21,69,6,3,2,3,3,3,6,2,2,173,67,18709,0.974,0.13348,0.13348,2.9,550429;84702,steap4;cp,ENSDARG00000055901;ENSDARG00000010312,,410.5955,410.5955,376.409,48.34701195,435.6211624,32.93730426,245.125,245.125,232.272,18.17688692,254.5338262,12.38334347,688.422,688.422,609.991,110.9181839,745.8361174,75.56508301,,,,,376.409;444.782,232.272;257.978,609.991;766.853,2,0,2,550429;84702,ENSDARG00000055901;ENSDARG00000010312,410.5955,410.5955,48.34701195,245.125,245.125,18.17688692,688.422,688.422,110.9181839,376.409;444.782,232.272;257.978,609.991;766.853,0,,,,,,,,,,,,,,,0,,,,,,"Linear,2(1)",2.623496333,5.360795736,2.131034851,3.229760885,0.776916629,2.680397868,343.58996,477.60104,219.93312,270.31688,534.69724,842.14676,UP,1,0,0
GO:0000045,7,autophagosome assembly,21,42,3,3,2,2,2,2,3,1,1,174,41,18735,0.94261,0.32299,0.32299,2.38,326974,gabarapa,ENSDARG00000035557,,571.762,571.762,571.762,,571.762,,294.255,294.255,294.255,,294.255,,1110.98,1110.98,1110.98,,1110.98,,,,,,571.762,294.255,1110.98,1,0,1,326974,ENSDARG00000035557,571.762,571.762,,294.255,294.255,,1110.98,1110.98,,571.762,294.255,1110.98,0,,,,,,,,,,,,,,,0,,,,,,"Linear,1(1)",1.979263902,1.979263902,1.979263902,1.979263902,0,1.979263902,571.762,571.762,294.255,294.255,1110.98,1110.98,UP,1,0,0
GO:0000049,6,tRNA binding,14,40,2,0,0,1,1,1,2,0,0,175,40,18736,0.68972,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
GO:0000054,8,ribosomal subunit export from nucleus,10,13,2,0,0,2,2,2,2,0,0,175,13,18763,0.88635,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,
