Identifier,EE2-100ng/L-B
ENSDARG00000099104,530
ENSDARG00000102407,0
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,9
ENSDARG00000104071,5
ENSDARG00000102746,2
ENSDARG00000103929,7
ENSDARG00000101073,0
ENSDARG00000100223,14
ENSDARG00000096573,0
ENSDARG00000100782,2
ENSDARG00000034862,2
ENSDARG00000075827,5
ENSDARG00000088581,13
ENSDARG00000076900,6
ENSDARG00000013802,4
ENSDARG00000096578,0
ENSDARG00000109848,0
ENSDARG00000100181,1
ENSDARG00000029936,5
ENSDARG00000041589,1
ENSDARG00000041592,7
ENSDARG00000075108,0
ENSDARG00000016304,3
ENSDARG00000058803,9
ENSDARG00000063385,1
ENSDARG00000007804,8
ENSDARG00000068261,5
ENSDARG00000063371,0
ENSDARG00000078751,7
ENSDARG00000078878,1
ENSDARG00000016343,4
ENSDARG00000023678,5
ENSDARG00000011299,5
ENSDARG00000041575,5
ENSDARG00000058962,3
ENSDARG00000089799,0
ENSDARG00000075325,23
ENSDARG00000041570,4
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,10
ENSDARG00000014313,143
ENSDARG00000104279,108
ENSDARG00000103783,2
ENSDARG00000103519,0
ENSDARG00000100307,0
ENSDARG00000101089,0
ENSDARG00000115421,5
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,0
ENSDARG00000080051,0
ENSDARG00000067781,1
ENSDARG00000099108,0
ENSDARG00000001870,74
ENSDARG00000002791,88
ENSDARG00000007739,12
ENSDARG00000039131,13
ENSDARG00000040252,2
ENSDARG00000089477,4
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,0
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,41
ENSDARG00000040246,0
ENSDARG00000040245,17
ENSDARG00000082290,0
ENSDARG00000074381,0
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,0
ENSDARG00000038248,1
ENSDARG00000070581,0
ENSDARG00000096559,0
ENSDARG00000103156,6
ENSDARG00000103647,1
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,5
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,21
ENSDARG00000033928,24
ENSDARG00000031164,50
ENSDARG00000037777,0
ENSDARG00000016706,9
ENSDARG00000030350,0
ENSDARG00000006526,73
ENSDARG00000077688,1
ENSDARG00000096546,7
ENSDARG00000092671,5
ENSDARG00000113935,0
ENSDARG00000063297,0
ENSDARG00000027078,11
ENSDARG00000017537,2
ENSDARG00000063270,0
ENSDARG00000018008,0
ENSDARG00000074031,1
ENSDARG00000043247,4
ENSDARG00000113848,0
ENSDARG00000063253,0
ENSDARG00000073857,10
ENSDARG00000107682,0
ENSDARG00000070558,1
ENSDARG00000025754,13
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,1
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,1
ENSDARG00000013741,5
ENSDARG00000017441,4149
ENSDARG00000037713,17
ENSDARG00000021688,0
ENSDARG00000004953,0
ENSDARG00000074050,0
ENSDARG00000018319,9
ENSDARG00000098730,8
ENSDARG00000096630,0
ENSDARG00000117359,1
ENSDARG00000106375,0
ENSDARG00000079779,2
ENSDARG00000089090,0
ENSDARG00000109652,0
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,0
ENSDARG00000095309,0
ENSDARG00000095673,0
ENSDARG00000099359,0
ENSDARG00000092361,3
ENSDARG00000103767,0
ENSDARG00000075791,0
ENSDARG00000107486,0
ENSDARG00000029720,0
ENSDARG00000100166,8
ENSDARG00000074212,0
ENSDARG00000062929,4
ENSDARG00000022668,1
ENSDARG00000099708,0
ENSDARG00000025034,28
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,0
ENSDARG00000002377,0
ENSDARG00000015803,1
ENSDARG00000037739,2
ENSDARG00000076176,3
ENSDARG00000096526,0
ENSDARG00000113858,7
ENSDARG00000096599,0
ENSDARG00000100771,0
ENSDARG00000079873,0
ENSDARG00000079332,0
ENSDARG00000007443,2
ENSDARG00000037746,319
ENSDARG00000037747,2
ENSDARG00000079361,1
ENSDARG00000012458,40
ENSDARG00000070543,11
ENSDARG00000094298,0
ENSDARG00000089873,0
ENSDARG00000093438,3
ENSDARG00000094206,0
ENSDARG00000037758,0
ENSDARG00000008723,3
ENSDARG00000110570,0
ENSDARG00000058460,1
ENSDARG00000088975,3
ENSDARG00000100949,0
ENSDARG00000093053,0
ENSDARG00000058463,52
ENSDARG00000076716,0
ENSDARG00000058464,0
ENSDARG00000058471,5
ENSDARG00000096584,0
ENSDARG00000058475,1
ENSDARG00000080404,0
ENSDARG00000058480,3
ENSDARG00000024740,1
ENSDARG00000101597,7
ENSDARG00000058445,3
ENSDARG00000063169,0
ENSDARG00000092791,0
ENSDARG00000037760,5
ENSDARG00000117314,0
ENSDARG00000017834,1
ENSDARG00000074282,3
ENSDARG00000074372,1
ENSDARG00000104203,0
ENSDARG00000101495,1
ENSDARG00000091916,3
ENSDARG00000099276,6
ENSDARG00000104995,1
ENSDARG00000033852,9
ENSDARG00000037654,2
ENSDARG00000037652,1
ENSDARG00000037646,4
ENSDARG00000032795,0
ENSDARG00000018263,32
ENSDARG00000077542,0
ENSDARG00000070490,1
ENSDARG00000015678,0
ENSDARG00000079043,0
ENSDARG00000076174,5
ENSDARG00000037647,4
ENSDARG00000008969,42
ENSDARG00000020741,47
ENSDARG00000104660,1
ENSDARG00000096594,3
ENSDARG00000077652,14
ENSDARG00000079452,0
ENSDARG00000089943,0
ENSDARG00000096536,0
ENSDARG00000077533,97
ENSDARG00000030563,1
ENSDARG00000026387,3
ENSDARG00000070495,1
ENSDARG00000084766,0
ENSDARG00000034785,6
ENSDARG00000070512,15
ENSDARG00000070504,0
ENSDARG00000062057,0
ENSDARG00000067992,0
ENSDARG00000103508,0
ENSDARG00000070502,1
ENSDARG00000037679,1
ENSDARG00000076833,45
ENSDARG00000012297,3
ENSDARG00000087107,1
ENSDARG00000099342,0
ENSDARG00000008487,8
ENSDARG00000084839,0
ENSDARG00000100507,0
ENSDARG00000070239,3
ENSDARG00000074379,3
ENSDARG00000062854,1
ENSDARG00000112849,0
ENSDARG00000113410,0
ENSDARG00000092242,0
ENSDARG00000092200,0
ENSDARG00000093636,0
ENSDARG00000095482,0
ENSDARG00000094981,0
ENSDARG00000037619,0
ENSDARG00000062585,2
ENSDARG00000074213,0
ENSDARG00000062606,1
ENSDARG00000077198,0
ENSDARG00000007678,31
ENSDARG00000089930,8
ENSDARG00000078057,8
ENSDARG00000070448,15
ENSDARG00000070449,2
ENSDARG00000042988,29
ENSDARG00000096506,0
ENSDARG00000070452,6
ENSDARG00000070454,3
ENSDARG00000096515,0
ENSDARG00000038114,0
ENSDARG00000008637,35
ENSDARG00000091609,14
ENSDARG00000002634,0
ENSDARG00000062467,1
ENSDARG00000032808,0
ENSDARG00000078318,0
ENSDARG00000018997,31
ENSDARG00000099771,3
ENSDARG00000045620,6
ENSDARG00000045618,65
ENSDARG00000057248,1
ENSDARG00000017985,4
ENSDARG00000113585,0
ENSDARG00000106508,0
ENSDARG00000117227,0
ENSDARG00000104707,1
ENSDARG00000102049,0
ENSDARG00000116228,0
ENSDARG00000099729,10
ENSDARG00000105122,2
ENSDARG00000098668,0
ENSDARG00000098053,0
ENSDARG00000102604,0
ENSDARG00000102339,1
ENSDARG00000089805,3
ENSDARG00000117726,0
ENSDARG00000117541,2
ENSDARG00000112668,0
ENSDARG00000110084,0
ENSDARG00000078525,0
ENSDARG00000079626,13
ENSDARG00000057114,7
ENSDARG00000009026,11
ENSDARG00000085400,0
ENSDARG00000014273,20
ENSDARG00000104795,0
ENSDARG00000056806,2
ENSDARG00000056797,4
ENSDARG00000062341,1
ENSDARG00000107022,0
ENSDARG00000056742,1
ENSDARG00000037576,0
ENSDARG00000070431,7
ENSDARG00000022690,3
ENSDARG00000056677,1
ENSDARG00000012903,12
ENSDARG00000003398,6
ENSDARG00000074867,5
ENSDARG00000109597,3
ENSDARG00000111274,0
ENSDARG00000110922,10
ENSDARG00000116310,0
ENSDARG00000109592,0
ENSDARG00000117482,0
ENSDARG00000103921,0
ENSDARG00000114198,0
ENSDARG00000106947,0
ENSDARG00000039063,0
ENSDARG00000113383,0
ENSDARG00000109748,0
ENSDARG00000116279,0
ENSDARG00000109910,0
ENSDARG00000116174,0
ENSDARG00000116266,0
ENSDARG00000111171,0
ENSDARG00000111710,0
ENSDARG00000111723,0
ENSDARG00000115042,0
ENSDARG00000114262,0
ENSDARG00000078898,27
ENSDARG00000007534,0
ENSDARG00000077804,9
ENSDARG00000013881,0
ENSDARG00000079317,1
ENSDARG00000117428,1
ENSDARG00000106258,0
ENSDARG00000078854,12
ENSDARG00000108223,0
ENSDARG00000007356,0
ENSDARG00000078599,6
ENSDARG00000115704,2
ENSDARG00000109375,0
ENSDARG00000017119,8
ENSDARG00000070412,2
ENSDARG00000034105,12
ENSDARG00000062198,8
ENSDARG00000034817,2
ENSDARG00000056504,2
ENSDARG00000108673,0
ENSDARG00000110937,0
ENSDARG00000117129,0
ENSDARG00000116147,0
ENSDARG00000116406,0
ENSDARG00000111254,0
ENSDARG00000113731,0
ENSDARG00000115569,0
ENSDARG00000113149,0
ENSDARG00000116958,0
ENSDARG00000092109,0
ENSDARG00000017591,47
ENSDARG00000092708,0
ENSDARG00000017905,16
ENSDARG00000030514,14
ENSDARG00000056400,1
ENSDARG00000042937,0
ENSDARG00000092600,0
ENSDARG00000027355,175
ENSDARG00000092022,1
ENSDARG00000056381,0
ENSDARG00000056376,0
ENSDARG00000056369,5
ENSDARG00000011023,1
ENSDARG00000003046,0
ENSDARG00000095697,1
ENSDARG00000016065,1
ENSDARG00000062132,13
ENSDARG00000117687,0
ENSDARG00000117295,1
ENSDARG00000094943,0
ENSDARG00000115616,0
ENSDARG00000037545,1
ENSDARG00000062122,2
ENSDARG00000095111,0
ENSDARG00000008287,1
ENSDARG00000015495,13
ENSDARG00000062081,2
ENSDARG00000018178,8
ENSDARG00000093886,0
ENSDARG00000056163,1
ENSDARG00000079488,0
ENSDARG00000062055,5
ENSDARG00000074275,7
ENSDARG00000075330,0
ENSDARG00000006392,2
ENSDARG00000073902,0
ENSDARG00000019945,4
ENSDARG00000086957,3
ENSDARG00000056151,79
ENSDARG00000061985,9
ENSDARG00000061981,7
ENSDARG00000003631,3
ENSDARG00000056133,1
ENSDARG00000070321,1
ENSDARG00000017744,7
ENSDARG00000070320,0
ENSDARG00000061952,6
ENSDARG00000061936,1
ENSDARG00000006434,3
ENSDARG00000037484,2
ENSDARG00000094729,1
ENSDARG00000095388,1
ENSDARG00000085360,0
ENSDARG00000037487,0
ENSDARG00000008068,4
ENSDARG00000077648,1
ENSDARG00000096580,0
ENSDARG00000079250,0
ENSDARG00000019986,43
ENSDARG00000080019,0
ENSDARG00000099995,4
ENSDARG00000070278,5
ENSDARG00000061830,2
ENSDARG00000041776,4
ENSDARG00000095632,1
ENSDARG00000037455,13
ENSDARG00000093816,1
ENSDARG00000070266,52
ENSDARG00000037429,1
ENSDARG00000055874,86
ENSDARG00000055876,6
ENSDARG00000092321,0
ENSDARG00000061786,0
ENSDARG00000094202,6
ENSDARG00000109806,0
ENSDARG00000112850,0
ENSDARG00000110242,1
ENSDARG00000115895,0
ENSDARG00000061459,3
ENSDARG00000037411,0
ENSDARG00000084908,0
ENSDARG00000037410,6
ENSDARG00000037409,0
ENSDARG00000070173,2
ENSDARG00000052782,3
ENSDARG00000037406,9
ENSDARG00000034773,4
ENSDARG00000033273,1
ENSDARG00000055439,1
ENSDARG00000055443,5
ENSDARG00000112783,0
ENSDARG00000095593,0
ENSDARG00000037383,1
ENSDARG00000030759,1
ENSDARG00000079074,1
ENSDARG00000061504,3
ENSDARG00000000606,0
ENSDARG00000107258,0
ENSDARG00000087224,0
ENSDARG00000052764,2
ENSDARG00000092275,0
ENSDARG00000055559,0
ENSDARG00000114954,0
ENSDARG00000115778,2
ENSDARG00000026871,9
ENSDARG00000016470,21
ENSDARG00000103166,0
ENSDARG00000091660,0
ENSDARG00000038056,7
ENSDARG00000002406,0
ENSDARG00000034007,9
ENSDARG00000061143,6
ENSDARG00000034896,6
ENSDARG00000116099,0
ENSDARG00000037378,6
ENSDARG00000012672,12
ENSDARG00000093064,2
ENSDARG00000061121,10
ENSDARG00000094677,1
ENSDARG00000054799,5
ENSDARG00000116939,0
ENSDARG00000037350,590
ENSDARG00000022845,2
ENSDARG00000019838,6
ENSDARG00000005799,3
ENSDARG00000013505,7
ENSDARG00000055022,12
ENSDARG00000061451,0
ENSDARG00000070121,0
ENSDARG00000054680,1
ENSDARG00000092290,3
ENSDARG00000055099,10
ENSDARG00000070109,5
ENSDARG00000070098,9
ENSDARG00000094046,0
ENSDARG00000114096,0
ENSDARG00000004246,21
ENSDARG00000083023,0
ENSDARG00000031108,26
ENSDARG00000015266,29
ENSDARG00000100600,0
ENSDARG00000092542,0
ENSDARG00000035692,570
ENSDARG00000094885,0
ENSDARG00000090822,0
ENSDARG00000088202,3
ENSDARG00000086859,0
ENSDARG00000090118,0
ENSDARG00000061021,2
ENSDARG00000037309,1
ENSDARG00000054334,1
ENSDARG00000116715,0
ENSDARG00000060994,3
ENSDARG00000106456,0
ENSDARG00000074776,2
ENSDARG00000074451,1
ENSDARG00000079434,11
ENSDARG00000031817,2
ENSDARG00000074812,2
ENSDARG00000070055,6
ENSDARG00000070050,9
ENSDARG00000095408,0
ENSDARG00000037286,0
ENSDARG00000037283,5
ENSDARG00000037281,28
ENSDARG00000037278,2
ENSDARG00000070039,0
ENSDARG00000091184,0
ENSDARG00000094763,0
ENSDARG00000037276,6
ENSDARG00000013787,4
ENSDARG00000086790,1
ENSDARG00000006427,292
ENSDARG00000104824,0
ENSDARG00000076499,0
ENSDARG00000037266,3
ENSDARG00000077157,4
ENSDARG00000037256,2
ENSDARG00000116236,0
ENSDARG00000069998,2
ENSDARG00000053995,7
ENSDARG00000021702,28
ENSDARG00000054031,8
ENSDARG00000037259,31
ENSDARG00000037260,2
ENSDARG00000037261,9
ENSDARG00000037262,0
ENSDARG00000104309,0
ENSDARG00000077817,6
ENSDARG00000107180,0
ENSDARG00000076928,24
ENSDARG00000009685,5
ENSDARG00000079377,0
ENSDARG00000091678,4
ENSDARG00000014790,15
ENSDARG00000019581,21
ENSDARG00000096665,0
ENSDARG00000079925,0
ENSDARG00000053731,0
ENSDARG00000094127,0
ENSDARG00000005210,5
ENSDARG00000023330,30
ENSDARG00000096667,5
ENSDARG00000037245,1
ENSDARG00000096554,1
ENSDARG00000079266,0
ENSDARG00000023600,20
ENSDARG00000033345,0
ENSDARG00000069989,21
ENSDARG00000095189,0
ENSDARG00000104096,0
ENSDARG00000102639,0
ENSDARG00000006621,16
ENSDARG00000069996,5
ENSDARG00000100083,13
ENSDARG00000031632,5
ENSDARG00000101474,6
ENSDARG00000104710,4
ENSDARG00000095954,0
ENSDARG00000095895,0
ENSDARG00000089138,7
ENSDARG00000112052,1
ENSDARG00000089334,1
ENSDARG00000053456,1
ENSDARG00000053466,17
ENSDARG00000053463,1
ENSDARG00000037109,5
ENSDARG00000096538,0
ENSDARG00000005739,11
ENSDARG00000053496,4
ENSDARG00000053500,4
ENSDARG00000053502,5
ENSDARG00000035080,0
ENSDARG00000037100,1
ENSDARG00000096627,0
ENSDARG00000096648,0
ENSDARG00000075193,0
ENSDARG00000069804,2
ENSDARG00000078546,2
ENSDARG00000037099,7
ENSDARG00000060620,0
ENSDARG00000075858,0
ENSDARG00000096592,1
ENSDARG00000096643,0
ENSDARG00000093663,0
ENSDARG00000096555,0
ENSDARG00000096544,0
ENSDARG00000069799,0
ENSDARG00000074117,0
ENSDARG00000092653,0
ENSDARG00000061732,10
ENSDARG00000095590,0
ENSDARG00000031202,0
ENSDARG00000037144,4
ENSDARG00000037177,25
ENSDARG00000003866,17
ENSDARG00000037178,5
ENSDARG00000028982,8
ENSDARG00000055839,0
ENSDARG00000060477,3
ENSDARG00000082429,0
ENSDARG00000113839,0
ENSDARG00000110947,0
ENSDARG00000096572,0
ENSDARG00000091513,11
ENSDARG00000026771,0
ENSDARG00000096632,23
ENSDARG00000099758,16
ENSDARG00000093065,0
ENSDARG00000074302,0
ENSDARG00000003142,7
ENSDARG00000096668,9
ENSDARG00000042688,1
ENSDARG00000060559,0
