Identifier,TGSH-10ug/L-A
ENSDARG00000099104,1079
ENSDARG00000102407,1
ENSDARG00000102097,0
ENSDARG00000099319,0
ENSDARG00000099640,18
ENSDARG00000104071,22
ENSDARG00000102746,2
ENSDARG00000103929,14
ENSDARG00000101073,0
ENSDARG00000100223,26
ENSDARG00000096573,0
ENSDARG00000100782,14
ENSDARG00000034862,13
ENSDARG00000075827,18
ENSDARG00000088581,22
ENSDARG00000076900,4
ENSDARG00000013802,18
ENSDARG00000096578,1
ENSDARG00000109848,0
ENSDARG00000100181,1
ENSDARG00000029936,12
ENSDARG00000041589,0
ENSDARG00000041592,28
ENSDARG00000075108,0
ENSDARG00000016304,10
ENSDARG00000058803,12
ENSDARG00000063385,6
ENSDARG00000007804,13
ENSDARG00000068261,11
ENSDARG00000063371,1
ENSDARG00000078751,13
ENSDARG00000078878,2
ENSDARG00000016343,16
ENSDARG00000023678,14
ENSDARG00000011299,19
ENSDARG00000041575,10
ENSDARG00000058962,7
ENSDARG00000089799,0
ENSDARG00000075325,33
ENSDARG00000041570,15
ENSDARG00000113329,0
ENSDARG00000081781,0
ENSDARG00000058996,11
ENSDARG00000014313,287
ENSDARG00000104279,232
ENSDARG00000103783,11
ENSDARG00000103519,0
ENSDARG00000100307,2
ENSDARG00000101089,0
ENSDARG00000115421,3
ENSDARG00000115673,0
ENSDARG00000116514,0
ENSDARG00000103469,0
ENSDARG00000117321,0
ENSDARG00000087646,0
ENSDARG00000080051,0
ENSDARG00000067781,1
ENSDARG00000099108,2
ENSDARG00000001870,222
ENSDARG00000002791,223
ENSDARG00000007739,31
ENSDARG00000039131,26
ENSDARG00000040252,10
ENSDARG00000089477,4
ENSDARG00000093102,0
ENSDARG00000095102,0
ENSDARG00000040250,0
ENSDARG00000075505,1
ENSDARG00000010376,0
ENSDARG00000033684,0
ENSDARG00000040247,0
ENSDARG00000078743,0
ENSDARG00000018460,112
ENSDARG00000040246,1
ENSDARG00000040245,36
ENSDARG00000082290,0
ENSDARG00000074381,0
ENSDARG00000095179,0
ENSDARG00000084484,0
ENSDARG00000070579,0
ENSDARG00000038248,1
ENSDARG00000070581,5
ENSDARG00000096559,0
ENSDARG00000103156,10
ENSDARG00000103647,1
ENSDARG00000104805,0
ENSDARG00000100273,0
ENSDARG00000104910,0
ENSDARG00000099103,0
ENSDARG00000098078,0
ENSDARG00000104155,0
ENSDARG00000117575,0
ENSDARG00000088916,0
ENSDARG00000098769,17
ENSDARG00000104115,0
ENSDARG00000102013,0
ENSDARG00000117775,0
ENSDARG00000082581,0
ENSDARG00000078308,40
ENSDARG00000033928,48
ENSDARG00000031164,99
ENSDARG00000037777,2
ENSDARG00000016706,16
ENSDARG00000030350,1
ENSDARG00000006526,177
ENSDARG00000077688,4
ENSDARG00000096546,24
ENSDARG00000092671,6
ENSDARG00000113935,0
ENSDARG00000063297,0
ENSDARG00000027078,30
ENSDARG00000017537,3
ENSDARG00000063270,0
ENSDARG00000018008,0
ENSDARG00000074031,4
ENSDARG00000043247,5
ENSDARG00000113848,2
ENSDARG00000063253,2
ENSDARG00000073857,22
ENSDARG00000107682,0
ENSDARG00000070558,2
ENSDARG00000025754,30
ENSDARG00000096530,0
ENSDARG00000116636,0
ENSDARG00000063207,2
ENSDARG00000095087,0
ENSDARG00000096610,0
ENSDARG00000117465,0
ENSDARG00000102217,0
ENSDARG00000090408,2
ENSDARG00000013741,12
ENSDARG00000017441,9438
ENSDARG00000037713,39
ENSDARG00000021688,0
ENSDARG00000004953,0
ENSDARG00000074050,3
ENSDARG00000018319,17
ENSDARG00000098730,25
ENSDARG00000096630,0
ENSDARG00000117359,0
ENSDARG00000106375,0
ENSDARG00000079779,0
ENSDARG00000089090,0
ENSDARG00000109652,0
ENSDARG00000115102,0
ENSDARG00000115288,0
ENSDARG00000093857,0
ENSDARG00000095309,0
ENSDARG00000095673,0
ENSDARG00000099359,0
ENSDARG00000092361,11
ENSDARG00000103767,0
ENSDARG00000075791,0
ENSDARG00000107486,2
ENSDARG00000029720,1
ENSDARG00000100166,19
ENSDARG00000074212,0
ENSDARG00000062929,10
ENSDARG00000022668,6
ENSDARG00000099708,0
ENSDARG00000025034,52
ENSDARG00000078474,0
ENSDARG00000096583,0
ENSDARG00000063003,1
ENSDARG00000002377,5
ENSDARG00000015803,2
ENSDARG00000037739,7
ENSDARG00000076176,7
ENSDARG00000096526,0
ENSDARG00000113858,4
ENSDARG00000096599,2
ENSDARG00000100771,0
ENSDARG00000079873,1
ENSDARG00000079332,1
ENSDARG00000007443,5
ENSDARG00000037746,914
ENSDARG00000037747,23
ENSDARG00000079361,1
