"summary.plate_id" "summary.embryo_id" "summary.is_VC" "summary.endpoint" "summary.endpoint_value"
"1" "BPA" "Control_1" 1 "a" 3981.15
"2" "BPA" "Control_1" 1 "b" 3904.15
"3" "BPA" "Control_1" 1 "c" 5169.6
"4" "BPA" "Control_1" 1 "d" 2518.05
"5" "BPA" "Control_1" 1 "e" 5461.25
"6" "BPA" "Control_1" 1 "f" 2711.5
"7" "BPA" "Control_2" 1 "a" 3368.3
"8" "BPA" "Control_2" 1 "b" 3187.45
"9" "BPA" "Control_2" 1 "c" 1943.6
"10" "BPA" "Control_2" 1 "d" 2978.7
"11" "BPA" "Control_2" 1 "e" 4121.55
"12" "BPA" "Control_2" 1 "f" 2443.25
"13" "BPA" "Control_3" 1 "a" 3768.1
"14" "BPA" "Control_3" 1 "b" 2575.95
"15" "BPA" "Control_3" 1 "c" 5171.85
"16" "BPA" "Control_3" 1 "d" 4424
"17" "BPA" "Control_3" 1 "e" 4937.45
"18" "BPA" "Control_3" 1 "f" 2307.65
"19" "BPA" "Control_4" 1 "a" 3979.25
"20" "BPA" "Control_4" 1 "b" 3205.2
"21" "BPA" "Control_4" 1 "c" 4599.05
"22" "BPA" "Control_4" 1 "d" 717.85
"23" "BPA" "Control_4" 1 "e" 4948.1
"24" "BPA" "Control_4" 1 "f" 2657.35
"25" "BPA" "Control_5" 1 "a" 4339.35
"26" "BPA" "Control_5" 1 "b" 3534.3
"27" "BPA" "Control_5" 1 "c" 5370.55
"28" "BPA" "Control_5" 1 "d" 4045.65
"29" "BPA" "Control_5" 1 "e" 5143.7
"30" "BPA" "Control_5" 1 "f" 3116.5
"31" "BPA" "Control_6" 1 "a" 4058
"32" "BPA" "Control_6" 1 "b" 3116.25
"33" "BPA" "Control_6" 1 "c" 4705.3
"34" "BPA" "Control_6" 1 "d" 1904.7
"35" "BPA" "Control_6" 1 "e" 4092.2
"36" "BPA" "Control_6" 1 "f" 3080.2
"37" "BPA" "Control_7" 1 "a" 3782.95
"38" "BPA" "Control_7" 1 "b" 3386.6
"39" "BPA" "Control_7" 1 "c" 4235.5
"40" "BPA" "Control_7" 1 "d" 1642
"41" "BPA" "Control_7" 1 "e" 4640.2
"42" "BPA" "Control_7" 1 "f" 3031.85
"43" "BPA" "Control_8" 1 "a" 5187.75
"44" "BPA" "Control_8" 1 "b" 3814.4
"45" "BPA" "Control_8" 1 "c" 5692.85
"46" "BPA" "Control_8" 1 "d" 3657.8
"47" "BPA" "Control_8" 1 "e" 5990.4
"48" "BPA" "Control_8" 1 "f" 3947.8
"49" "BPA" "Control_9" 1 "a" 4656.3
"50" "BPA" "Control_9" 1 "b" 1571.65
"51" "BPA" "Control_9" 1 "c" 5534.5
"52" "BPA" "Control_9" 1 "d" 3255.4
"53" "BPA" "Control_9" 1 "e" 5920.8
"54" "BPA" "Control_9" 1 "f" 5695.95
"55" "BPA" "Dose1_1" 0 "a" 5883.55
"56" "BPA" "Dose1_1" 0 "b" 5760.1
"57" "BPA" "Dose1_1" 0 "c" 6584.35
"58" "BPA" "Dose1_1" 0 "d" 2565.65
"59" "BPA" "Dose1_1" 0 "e" 6100.05
"60" "BPA" "Dose1_1" 0 "f" 4543.45
"61" "BPA" "Dose1_2" 0 "a" 5347.15
"62" "BPA" "Dose1_2" 0 "b" 7960.15
"63" "BPA" "Dose1_2" 0 "c" 6816.1
"64" "BPA" "Dose1_2" 0 "d" 4879.3
"65" "BPA" "Dose1_2" 0 "e" 8035.1
"66" "BPA" "Dose1_2" 0 "f" 2443.95
"67" "BPA" "Dose1_3" 0 "a" 5365.55
"68" "BPA" "Dose1_3" 0 "b" 5722.4
"69" "BPA" "Dose1_3" 0 "c" 6234.45
"70" "BPA" "Dose1_3" 0 "d" 3163.45
"71" "BPA" "Dose1_3" 0 "e" 6333.55
"72" "BPA" "Dose1_3" 0 "f" 4638.7
"73" "BPA" "Dose1_4" 0 "a" 4773.95
"74" "BPA" "Dose1_4" 0 "b" 1744.75
"75" "BPA" "Dose1_4" 0 "c" 4654.85
