"summary.plate_id" "summary.embryo_id" "summary.is_VC" "summary.endpoint" "summary.endpoint_value"
"1" "DES" "Control_1" 1 "a" 4600.65
"2" "DES" "Control_1" 1 "b" 5556.55
"3" "DES" "Control_1" 1 "c" 7045.4
"4" "DES" "Control_1" 1 "d" 1064.95
"5" "DES" "Control_1" 1 "e" 4423
"6" "DES" "Control_1" 1 "f" 5400.8
"7" "DES" "Control_2" 1 "a" 5974.3
"8" "DES" "Control_2" 1 "b" 4194.05
"9" "DES" "Control_2" 1 "c" 7304.4
"10" "DES" "Control_2" 1 "d" 5651.25
"11" "DES" "Control_2" 1 "e" 6821.8
"12" "DES" "Control_2" 1 "f" 2940.95
"13" "DES" "Control_3" 1 "a" 4321.45
"14" "DES" "Control_3" 1 "b" 4325.9
"15" "DES" "Control_3" 1 "c" 6011
"16" "DES" "Control_3" 1 "d" 2621.7
"17" "DES" "Control_3" 1 "e" 5223.55
"18" "DES" "Control_3" 1 "f" 3744.4
"19" "DES" "Control_4" 1 "a" 4761.1
"20" "DES" "Control_4" 1 "b" 3590.9
"21" "DES" "Control_4" 1 "c" 5944.95
"22" "DES" "Control_4" 1 "d" 3277.3
"23" "DES" "Control_4" 1 "e" 5189.4
"24" "DES" "Control_4" 1 "f" 4811.6
"25" "DES" "Control_5" 1 "a" 3860.5
"26" "DES" "Control_5" 1 "b" 3515.8
"27" "DES" "Control_5" 1 "c" 4712.6
"28" "DES" "Control_5" 1 "d" 3434.25
"29" "DES" "Control_5" 1 "e" 4509.5
"30" "DES" "Control_5" 1 "f" 2541.2
"31" "DES" "Control_6" 1 "a" 4102.1
"32" "DES" "Control_6" 1 "b" 3775.05
"33" "DES" "Control_6" 1 "c" 5384.8
"34" "DES" "Control_6" 1 "d" 2344.25
"35" "DES" "Control_6" 1 "e" 5510.1
"36" "DES" "Control_6" 1 "f" 4049.05
"37" "DES" "Control_7" 1 "a" 3951.45
"38" "DES" "Control_7" 1 "b" 3868.6
"39" "DES" "Control_7" 1 "c" 5489.7
"40" "DES" "Control_7" 1 "d" 4734.25
"41" "DES" "Control_7" 1 "e" 6121.6
"42" "DES" "Control_7" 1 "f" 3538.45
"43" "DES" "Control_8" 1 "a" 5571.1
"44" "DES" "Control_8" 1 "b" 4301.5
"45" "DES" "Control_8" 1 "c" 7502.3
"46" "DES" "Control_8" 1 "d" 2975.6
"47" "DES" "Control_8" 1 "e" 6862.35
"48" "DES" "Control_8" 1 "f" 3488.1
"49" "DES" "Control_9" 1 "a" 3840.6
"50" "DES" "Control_9" 1 "b" 3350.7
"51" "DES" "Control_9" 1 "c" 5745.4
"52" "DES" "Control_9" 1 "d" 8191.95
"53" "DES" "Control_9" 1 "e" 3926.05
"54" "DES" "Control_9" 1 "f" 1760.55
"55" "DES" "Dose1_1" 0 "a" 6590.95
"56" "DES" "Dose1_1" 0 "b" 4725.25
"57" "DES" "Dose1_1" 0 "c" 7396.75
"58" "DES" "Dose1_1" 0 "d" 4698.25
"59" "DES" "Dose1_1" 0 "e" 6996.2
"60" "DES" "Dose1_1" 0 "f" 5900.55
"61" "DES" "Dose1_2" 0 "a" 7690.9
"62" "DES" "Dose1_2" 0 "b" 4417.9
"63" "DES" "Dose1_2" 0 "c" 7372.7
