plate_id	embryo_id	is_VC	time_end	value
BPAF	Dose1_1	0	1	1851.4
BPAF	Dose1_2	0	1	1264.5
BPAF	Dose1_3	0	1	1146.6
BPAF	Dose1_4	0	1	858.4
BPAF	Dose1_5	0	1	1034.2
BPAF	Dose1_6	0	1	1077.4
BPAF	Dose1_7	0	1	1026.1
BPAF	Dose1_8	0	1	1117.1
BPAF	Dose1_9	0	1	905.4
BPAF	Dose2_1	0	1	1245.9
BPAF	Dose2_2	0	1	870.1
BPAF	Dose2_3	0	1	1029.1
BPAF	Dose2_4	0	1	692.6
BPAF	Dose2_5	0	1	959.2
BPAF	Dose2_6	0	1	1213
BPAF	Dose2_7	0	1	1206.1
BPAF	Dose2_8	0	1	1184.8
BPAF	Dose2_9	0	1	1031.9
BPAF	Dose3_1	0	1	1780.8
BPAF	Dose3_2	0	1	807.6
BPAF	Dose3_3	0	1	1197.2
BPAF	Dose3_4	0	1	2064.2
BPAF	Dose3_5	0	1	190.9
BPAF	Dose3_6	0	1	1028.1
BPAF	Dose3_7	0	1	1035.1
BPAF	Dose3_8	0	1	1247.3
BPAF	Dose3_9	0	1	953
BPAF	Dose4_1	0	1	590.3
BPAF	Dose4_2	0	1	1058.1
BPAF	Dose4_3	0	1	1548.7
BPAF	Dose4_4	0	1	1218.9
BPAF	Dose4_5	0	1	1348.3
BPAF	Dose4_6	0	1	1168.4
BPAF	Dose4_7	0	1	1351
BPAF	Dose4_8	0	1	1385
BPAF	Dose4_9	0	1	1158.6
BPAF	Dose5_1	0	1	1001.5
BPAF	Dose5_2	0	1	1327.8
BPAF	Dose5_3	0	1	1033.5
BPAF	Dose5_4	0	1	1363
BPAF	Dose5_5	0	1	1409.7
BPAF	Dose5_6	0	1	1131.2
BPAF	Dose5_7	0	1	1040.4
BPAF	Dose5_8	0	1	957.1
BPAF	Dose5_9	0	1	1946.8
BPAF	Control_1	1	1	1439.6
BPAF	Control_2	1	1	2206
BPAF	Control_3	1	1	1158.7
BPAF	Control_4	1	1	1084
BPAF	Control_5	1	1	1118.3
BPAF	Control_6	1	1	811.4
BPAF	Control_7	1	1	974
BPAF	Control_8	1	1	940.6
BPAF	Control_9	1	1	740.2
BPAF	Dose1_1	0	2	1643.9
BPAF	Dose1_2	0	2	959.5
BPAF	Dose1_3	0	2	1809.4
BPAF	Dose1_4	0	2	1175
BPAF	Dose1_5	0	2	925.4
BPAF	Dose1_6	0	2	1108.9
BPAF	Dose1_7	0	2	1234.5
BPAF	Dose1_8	0	2	1343.7
BPAF	Dose1_9	0	2	983.4
BPAF	Dose2_1	0	2	1246.2
BPAF	Dose2_2	0	2	767.9
BPAF	Dose2_3	0	2	1216.6
BPAF	Dose2_4	0	2	603.9
BPAF	Dose2_5	0	2	719.8
BPAF	Dose2_6	0	2	1260.1
BPAF	Dose2_7	0	2	1263.3
BPAF	Dose2_8	0	2	1268.7
BPAF	Dose2_9	0	2	1053.9
BPAF	Dose3_1	0	2	1668
BPAF	Dose3_2	0	2	1278.9
BPAF	Dose3_3	0	2	1224.4
BPAF	Dose3_4	0	2	1800.1
BPAF	Dose3_5	0	2	395.4
BPAF	Dose3_6	0	2	727
BPAF	Dose3_7	0	2	1161.3
BPAF	Dose3_8	0	2	1212.1
BPAF	Dose3_9	0	2	1171.1
BPAF	Dose4_1	0	2	1300.8
BPAF	Dose4_2	0	2	1112.1
BPAF	Dose4_3	0	2	1607.9
BPAF	Dose4_4	0	2	1534.7
BPAF	Dose4_5	0	2	1258.7
BPAF	Dose4_6	0	2	1158.4
BPAF	Dose4_7	0	2	1226.9
BPAF	Dose4_8	0	2	1086.2
BPAF	Dose4_9	0	2	986
BPAF	Dose5_1	0	2	1183.5
BPAF	Dose5_2	0	2	1201.2
BPAF	Dose5_3	0	2	1051.6
BPAF	Dose5_4	0	2	1352.3
BPAF	Dose5_5	0	2	1041.7
BPAF	Dose5_6	0	2	742.6
BPAF	Dose5_7	0	2	1147.5
BPAF	Dose5_8	0	2	1038.8
BPAF	Dose5_9	0	2	1943.1
BPAF	Control_1	1	2	1436.8
BPAF	Control_2	1	2	2245.5
BPAF	Control_3	1	2	1281.9
BPAF	Control_4	1	2	969.6
BPAF	Control_5	1	2	1055.1
BPAF	Control_6	1	2	969.8
BPAF	Control_7	1	2	752.8
BPAF	Control_8	1	2	841.7
BPAF	Control_9	1	2	795.7
BPAF	Dose1_1	0	3	1749.7
BPAF	Dose1_2	0	3	1203.3
BPAF	Dose1_3	0	3	1834
BPAF	Dose1_4	0	3	1276
BPAF	Dose1_5	0	3	1014.6
BPAF	Dose1_6	0	3	1094.5
BPAF	Dose1_7	0	3	1200.6
BPAF	Dose1_8	0	3	1164.4
BPAF	Dose1_9	0	3	790.7
BPAF	Dose2_1	0	3	1284.3
BPAF	Dose2_2	0	3	900.5
BPAF	Dose2_3	0	3	1020.1
BPAF	Dose2_4	0	3	898.6
BPAF	Dose2_5	0	3	698.4
BPAF	Dose2_6	0	3	1319.5
BPAF	Dose2_7	0	3	1186.7
BPAF	Dose2_8	0	3	1181.5
BPAF	Dose2_9	0	3	1077.4
BPAF	Dose3_1	0	3	1961.5
BPAF	Dose3_2	0	3	1205.1
BPAF	Dose3_3	0	3	1288.6
BPAF	Dose3_4	0	3	1972.4
BPAF	Dose3_5	0	3	790.1
BPAF	Dose3_6	0	3	994.8
BPAF	Dose3_7	0	3	1125.3
BPAF	Dose3_8	0	3	1230.6
BPAF	Dose3_9	0	3	1031.3
BPAF	Dose4_1	0	3	1064.3
BPAF	Dose4_2	0	3	1181.3
BPAF	Dose4_3	0	3	1408.7
BPAF	Dose4_4	0	3	1427.6
