animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal01	Dose1A	0	     0.0	    60.0	56	     7.4	     0.0	216	    33.5	   603.0	182	    16.8	   767.5	34	     2.2
Animal01	Dose1A	1	     0.0	    60.0	56	     7.4	     0.0	216	    33.5	   603.0	182	    16.8	   767.5	0	     0.0
Animal02	Dose1A	0	     0.0	    60.0	92	    15.8	     0.0	181	    24.8	   372.4	141	    18.8	  1335.9	17	     0.6
Animal02	Dose1A	1	     0.0	    60.0	92	    15.8	     0.0	181	    24.8	   372.4	141	    18.8	  1335.9	0	     0.0
Animal03	Dose1A	0	     0.0	    60.0	85	    14.9	     0.0	173	    25.9	   416.0	136	    18.7	  1182.9	13	     0.5
Animal03	Dose1A	1	     0.0	    60.0	85	    14.9	     0.0	173	    25.9	   416.0	136	    18.7	  1182.9	0	     0.0
Animal04	Dose1B	0	     0.0	    60.0	76	     9.2	     0.0	181	    39.1	   681.1	122	    11.4	   702.8	4	     0.2
Animal04	Dose1B	1	     0.0	    60.0	76	     9.2	     0.0	181	    39.1	   681.1	122	    11.4	   702.8	0	     0.0
Animal05	Dose1B	0	     0.0	    60.0	71	    25.1	     0.0	136	    20.3	   322.3	101	    14.0	   948.1	17	     0.6
Animal05	Dose1B	1	     0.0	    60.0	71	    25.1	     0.0	136	    20.3	   322.3	101	    14.0	   948.1	0	     0.0
Animal06	Dose1B	0	     0.0	    60.0	41	     5.8	     0.0	168	    14.5	   206.4	175	    37.9	  2421.1	37	     1.8
Animal06	Dose1B	1	     0.0	    60.0	41	     5.8	     0.0	168	    14.5	   206.4	175	    37.9	  2421.1	0	     0.0
Animal07	Dose1C	0	     0.0	    60.0	94	    21.6	     0.0	151	    25.3	   385.0	111	    13.0	   767.6	4	     0.1
Animal07	Dose1C	1	     0.0	    60.0	94	    21.6	     0.0	151	    25.3	   385.0	111	    13.0	   767.6	0	     0.0
Animal08	Dose1C	0	     0.0	    60.0	77	    10.3	     0.0	183	    26.5	   425.7	151	    22.7	  1524.3	17	     0.5
Animal08	Dose1C	1	     0.0	    60.0	77	    10.3	     0.0	183	    26.5	   425.7	151	    22.7	  1524.3	0	     0.0
Animal09	Dose1C	0	     0.0	    60.0	77	    23.3	     0.0	148	    24.6	   394.6	108	    11.7	   824.9	9	     0.3
Animal09	Dose1C	1	     0.0	    60.0	77	    23.3	     0.0	148	    24.6	   394.6	108	    11.7	   824.9	0	     0.0
Animal10	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal10	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal11	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal11	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal12	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal12	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal13	Dose2A	0	     0.0	    60.0	81	    12.4	     0.0	164	    24.6	   373.0	122	    22.7	  1276.3	6	     0.2
