animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal01	Dose1A	0	     0.0	    60.0	55	     7.0	     0.0	231	    30.0	   651.0	208	    16.4	   886.1	90	     6.5
Animal01	Dose1A	1	     0.0	    60.0	55	     7.0	     0.0	231	    30.0	   651.0	208	    16.4	   886.1	0	     0.0
Animal02	Dose1A	0	     0.0	    60.0	84	    13.3	     0.0	207	    39.2	   722.5	157	     7.2	   238.0	3	     0.4
Animal02	Dose1A	1	     0.0	    60.0	84	    13.3	     0.0	207	    39.2	   722.5	157	     7.2	   238.0	0	     0.0
Animal03	Dose1A	0	     0.0	    60.0	49	     5.4	     0.0	227	    45.6	   906.2	207	     8.3	   222.8	2	     0.6
Animal03	Dose1A	1	     0.0	    60.0	49	     5.4	     0.0	227	    45.6	   906.2	207	     8.3	   222.8	0	     0.0
Animal04	Dose1B	0	     0.0	    60.0	66	    11.2	     0.0	220	    34.6	   670.6	186	    13.0	   520.1	15	     1.2
Animal04	Dose1B	1	     0.0	    60.0	66	    11.2	     0.0	220	    34.6	   670.6	186	    13.0	   520.1	0	     0.0
Animal05	Dose1B	0	     0.0	    60.0	69	    13.3	     0.0	176	    27.5	   432.1	137	    17.9	   998.7	11	     1.2
Animal05	Dose1B	1	     0.0	    60.0	69	    13.3	     0.0	176	    27.5	   432.1	137	    17.9	   998.7	0	     0.0
Animal06	Dose1B	0	     0.0	    60.0	257	    15.9	     0.0	231	    14.4	   206.5	57	     2.2	    55.4	436	    27.5
Animal06	Dose1B	1	     0.0	    60.0	257	    15.9	     0.0	231	    14.4	   206.5	57	     2.2	    55.4	0	     0.0
Animal07	Dose1C	0	     0.0	    60.0	96	    16.6	     0.0	216	    31.2	   540.3	170	    12.0	   441.9	4	     0.2
Animal07	Dose1C	1	     0.0	    60.0	96	    16.6	     0.0	216	    31.2	   540.3	170	    12.0	   441.9	0	     0.0
Animal08	Dose1C	0	     0.0	    60.0	79	    11.6	     0.0	204	    39.5	   723.1	150	     7.0	   199.9	5	     1.9
Animal08	Dose1C	1	     0.0	    60.0	79	    11.6	     0.0	204	    39.5	   723.1	150	     7.0	   199.9	0	     0.0
Animal09	Dose1C	0	     0.0	    60.0	77	    12.8	     0.0	222	    24.6	   404.2	173	    22.1	   899.7	11	     0.6
Animal09	Dose1C	1	     0.0	    60.0	77	    12.8	     0.0	222	    24.6	   404.2	173	    22.1	   899.7	0	     0.0
Animal10	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
