"",".id","dose","diff","lwr.ci","upr.ci","pval","is.significant"
"1","17beta_estradiol",0.01,22.4963840735417,-17.4888366862539,62.4816048333372,0.454037941181592,FALSE
"2","17beta_estradiol",0.1,32.442661550442,-7.54255920935357,72.4278823102376,0.147459574600265,FALSE
"3","17beta_estradiol",1,17.5753838506909,-22.4098369091047,57.5606046104864,0.676055476928553,FALSE
"4","17beta_estradiol",10,14.4694070775889,-25.5158136822067,54.4546278373844,0.811204872196068,FALSE
"5","17beta_estradiol",100,12.6419573221761,-27.3432634376195,52.6271780819716,0.877915677968023,FALSE
"6","1decanol",0.1,21.4549792546947,-21.5624630989753,64.4724216083646,0.566886123391717,FALSE
"7","1decanol",1,1.07195163595916,-41.9454907177108,44.0893939896291,0.999999083708177,FALSE
"8","1decanol",10,-22.7965496868966,-65.8139920405666,20.2208926667733,0.510580789909821,FALSE
"9","1decanol",100,-10.5674062585728,-53.5848486122427,32.4500360950971,0.951777567244212,FALSE
"10","1decanol",1000,-1.92417658636558,-44.9416189400355,41.0932657673044,0.999983148078412,FALSE
"11","1octanol",1,7.73550569948403,-32.1360044800369,47.607015879005,0.981783941889921,FALSE
"12","1octanol",10,18.6815850883979,-21.1899250911231,58.5530952679188,0.622602416815589,FALSE
"13","1octanol",100,8.15386921305289,-31.7176409664681,48.0253793925738,0.977204909502281,FALSE
"14","1octanol",1000,-29.7000510507233,-69.5715612302442,10.1714591287977,0.206409688182374,FALSE
"15","1octanol",10000,0.229256068930039,-39.6422541105909,40.100766248451,0.999999999396346,FALSE
"16","24DMP",0.1,11.7230171175347,-21.0121338710883,44.4581681061577,0.817115381518537,FALSE
"17","24DMP",1,-2.50170998727294,-35.2368609758959,30.23344100135,0.999764385913855,FALSE
"18","24DMP",10,15.074679363349,-17.660471625274,47.8098303519719,0.637391083269884,FALSE
"19","24DMP",100,11.8118433596484,-20.9233076289746,44.5469943482714,0.812855517978944,FALSE
"20","24DMP",1000,1.52458155285047,-31.2105694357725,34.2597325414734,0.999979413867969,FALSE
"21","24DNP",1,8.72244871958852,-17.8674221943195,35.3123196334965,0.861835067334647,FALSE
"22","24DNP",10,-0.705167422427515,-27.2950383363355,25.8847034914805,0.999998750055697,FALSE
"23","24DNP",100,20.5375198515969,-6.05235106231109,47.1273907655048,0.180059655755191,FALSE
"24","24DNP",1000,18.4854883736904,-8.10438254021757,45.0753592875984,0.261225338030565,FALSE
"25","24DNP",10000,5.33734662583123,-21.2525242880767,31.9272175397392,0.978929109095356,FALSE
"26","34DCA",0.1,-2.82691216083451,-50.6642015217033,45.0103772000343,0.999933247657959,FALSE
"27","34DCA",1,-17.9167498588908,-65.7540392197596,29.920539501978,0.790679238261793,FALSE
"28","34DCA",10,25.1343740227452,-22.7029153381236,72.971663383614,0.518626848098462,FALSE
"29","34DCA",100,-3.08183220519054,-50.9191215660593,44.7554571556783,0.999897795900997,FALSE
"30","34DCA",1000,-102.054234803048,-149.891524163917,-54.2169454421796,0.00000424953962652186,TRUE
"31","4TOP",0.01,11.34681049122,-10.3517967300441,33.045417712484,0.523130104000139,FALSE
"32","4TOP",0.1,4.11061579022275,-17.5879914310413,25.8092230114868,0.983569855546258,FALSE
"33","4TOP",1,15.5811379618826,-6.11746925938145,37.2797451831467,0.234807474313785,FALSE
"34","4TOP",10,10.2093936225097,-11.4892135987543,31.9080008437738,0.618883144010312,FALSE
