animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal01	Dose1A	0	     0.0	    60.0	75	    22.9	     0.0	112	    30.7	   481.7	50	     4.7	   519.0	20	     1.6
Animal01	Dose1A	1	     0.0	    60.0	75	    22.9	     0.0	112	    30.7	   481.7	50	     4.7	   519.0	0	     0.0
Animal02	Dose1A	0	     0.0	    60.0	73	    18.2	     0.0	141	    28.3	   449.8	95	    13.0	  1063.3	11	     0.5
Animal02	Dose1A	1	     0.0	    60.0	73	    18.2	     0.0	141	    28.3	   449.8	95	    13.0	  1063.3	0	     0.0
Animal03	Dose1A	0	     0.0	    60.0	88	    15.2	     0.0	152	    41.7	   710.6	73	     3.0	    85.4	0	     0.0
Animal03	Dose1A	1	     0.0	    60.0	88	    15.2	     0.0	152	    41.7	   710.6	73	     3.0	    85.4	0	     0.0
Animal04	Dose1B	0	     0.0	    60.0	84	    18.8	     0.0	147	    34.4	   573.0	74	     5.4	   553.8	11	     1.3
Animal04	Dose1B	1	     0.0	    60.0	84	    18.8	     0.0	147	    34.4	   573.0	74	     5.4	   553.8	0	     0.0
Animal05	Dose1B	0	     0.0	    60.0	59	    34.7	     0.0	92	    19.2	   285.0	49	     5.6	   474.6	8	     0.5
Animal05	Dose1B	1	     0.0	    60.0	59	    34.7	     0.0	92	    19.2	   285.0	49	     5.6	   474.6	0	     0.0
Animal06	Dose1B	0	     0.0	    60.0	71	    27.1	     0.0	132	    24.0	   365.6	84	     8.7	   379.2	2	     0.2
Animal06	Dose1B	1	     0.0	    60.0	71	    27.1	     0.0	132	    24.0	   365.6	84	     8.7	   379.2	0	     0.0
Animal07	Dose1C	0	     0.0	    60.0	52	    38.3	     0.0	77	    18.7	   283.2	32	     2.9	   206.1	2	     0.1
Animal07	Dose1C	1	     0.0	    60.0	52	    38.3	     0.0	77	    18.7	   283.2	32	     2.9	   206.1	0	     0.0
Animal08	Dose1C	0	     0.0	    60.0	70	    26.1	     0.0	139	    25.9	   405.6	87	     7.9	   545.9	2	     0.1
Animal08	Dose1C	1	     0.0	    60.0	70	    26.1	     0.0	139	    25.9	   405.6	87	     7.9	   545.9	0	     0.0
Animal09	Dose1C	0	     0.0	    60.0	85	    30.3	     0.0	118	    22.5	   325.6	50	     6.2	   644.3	12	     1.0
Animal09	Dose1C	1	     0.0	    60.0	85	    30.3	     0.0	118	    22.5	   325.6	50	     6.2	   644.3	0	     0.0
Animal10	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal10	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal11	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
