animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal01	Dose1A	0	     0.0	    60.0	95	    14.3	     0.0	149	    42.0	   649.9	63	     3.4	   139.9	3	     0.2
Animal01	Dose1A	1	     0.0	    60.0	95	    14.3	     0.0	149	    42.0	   649.9	63	     3.4	   139.9	0	     0.0
Animal02	Dose1A	0	     0.0	    60.0	4	     0.2	     0.0	317	    24.1	   837.0	314	    35.8	  2833.3	0	     0.0
Animal02	Dose1A	1	     0.0	    60.0	4	     0.2	     0.0	317	    24.1	   837.0	314	    35.8	  2833.3	0	     0.0
Animal03	Dose1A	0	     0.0	    60.0	57	     6.5	     0.0	257	    42.6	   890.2	255	    10.9	   260.8	0	     0.0
Animal03	Dose1A	1	     0.0	    60.0	57	     6.5	     0.0	257	    42.6	   890.2	255	    10.9	   260.8	0	     0.0
Animal04	Dose1B	0	     0.0	    60.0	69	    14.1	     0.0	150	    37.4	   700.4	89	     8.5	   821.9	0	     0.0
Animal04	Dose1B	1	     0.0	    60.0	69	    14.1	     0.0	150	    37.4	   700.4	89	     8.5	   821.9	0	     0.0
Animal05	Dose1B	0	     0.0	    60.0	41	     3.5	     0.0	272	    27.9	   657.6	259	    28.5	  1879.4	3	     0.1
Animal05	Dose1B	1	     0.0	    60.0	41	     3.5	     0.0	272	    27.9	   657.6	259	    28.5	  1879.4	0	     0.0
Animal06	Dose1B	0	     0.0	    60.0	64	     7.5	     0.0	270	    24.1	   549.4	266	    28.1	  1736.4	8	     0.3
Animal06	Dose1B	1	     0.0	    60.0	64	     7.5	     0.0	270	    24.1	   549.4	266	    28.1	  1736.4	0	     0.0
Animal07	Dose1C	0	     0.0	    60.0	66	    33.8	     0.0	89	    23.3	   353.9	30	     2.9	   140.9	0	     0.0
Animal07	Dose1C	1	     0.0	    60.0	66	    33.8	     0.0	89	    23.3	   353.9	30	     2.9	   140.9	0	     0.0
Animal08	Dose1C	0	     0.0	    60.0	81	    12.4	     0.0	194	    25.3	   429.6	164	    22.1	  1336.9	6	     0.2
Animal08	Dose1C	1	     0.0	    60.0	81	    12.4	     0.0	194	    25.3	   429.6	164	    22.1	  1336.9	0	     0.0
Animal09	Dose1C	0	     0.0	    60.0	50	     5.2	     0.0	252	    29.4	   645.9	252	    25.0	  1487.3	8	     0.3
Animal09	Dose1C	1	     0.0	    60.0	50	     5.2	     0.0	252	    29.4	   645.9	252	    25.0	  1487.3	0	     0.0
Animal10	NA	0	     0.0	    60.0	79	     4.9	     0.0	194	    50.1	   783.0	18	     0.6	    18.0	121	     4.4
Animal10	NA	1	     0.0	    60.0	79	     4.9	     0.0	194	    50.1	   783.0	18	     0.6	    18.0	0	     0.0
Animal11	NA	0	     0.0	    60.0	341	    31.2	     0.0	90	     4.6	    97.5	76	     3.1	   120.0	408	    21.0
Animal11	NA	1	     0.0	    60.0	341	    31.2	     0.0	90	     4.6	    97.5	76	     3.1	   120.0	0	     0.0
Animal12	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal12	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal13	Dose2A	0	     0.0	    60.0	90	    16.8	     0.0	195	    22.9	   352.2	159	    20.0	  1250.9	8	     0.3
Animal13	Dose2A	1	     0.0	    60.0	90	    16.8	     0.0	195	    22.9	   352.2	159	    20.0	  1250.9	0	     0.0
Animal14	Dose2A	0	     0.0	    60.0	74	    13.6	     0.0	172	    28.5	   449.4	138	    17.6	  1011.3	6	     0.2
Animal14	Dose2A	1	     0.0	    60.0	74	    13.6	     0.0	172	    28.5	   449.4	138	    17.6	  1011.3	0	     0.0
Animal15	Dose2A	0	     0.0	    60.0	64	    20.8	     0.0	163	    27.9	   483.1	125	    11.3	   532.3	1	     0.1
Animal15	Dose2A	1	     0.0	    60.0	64	    20.8	     0.0	163	    27.9	   483.1	125	    11.3	   532.3	0	     0.0
Animal16	Dose2B	0	     0.0	    60.0	80	    12.2	     0.0	170	    24.5	   395.5	151	    22.5	  1869.6	21	     0.7
Animal16	Dose2B	1	     0.0	    60.0	80	    12.2	     0.0	170	    24.5	   395.5	151	    22.5	  1869.6	0	     0.0
Animal17	Dose2B	0	     0.0	    60.0	8	     0.8	     0.0	325	    21.2	   715.2	320	    38.0	  3184.3	0	     0.0
Animal17	Dose2B	1	     0.0	    60.0	8	     0.8	     0.0	325	    21.2	   715.2	320	    38.0	  3184.3	0	     0.0
Animal18	Dose2B	0	     0.0	    60.0	59	     6.3	     0.0	249	    25.2	   590.0	251	    28.0	  2001.9	13	     0.5
Animal18	Dose2B	1	     0.0	    60.0	59	     6.3	     0.0	249	    25.2	   590.0	251	    28.0	  2001.9	0	     0.0
Animal19	Dose2C	0	     0.0	    60.0	74	    17.3	     0.0	90	    41.8	   655.1	18	     0.9	    30.1	0	     0.0
Animal19	Dose2C	1	     0.0	    60.0	74	    17.3	     0.0	90	    41.8	   655.1	18	     0.9	    30.1	0	     0.0
Animal20	Dose2C	0	     0.0	    60.0	75	    16.5	     0.0	145	    25.8	   404.9	117	    17.5	  1084.8	6	     0.2
Animal20	Dose2C	1	     0.0	    60.0	75	    16.5	     0.0	145	    25.8	   404.9	117	    17.5	  1084.8	0	     0.0
Animal21	Dose2C	0	     0.0	    60.0	26	     1.7	     0.0	310	    44.9	  1008.5	302	    13.4	   372.5	0	     0.0
Animal21	Dose2C	1	     0.0	    60.0	26	     1.7	     0.0	310	    44.9	  1008.5	302	    13.4	   372.5	0	     0.0
Animal22	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal22	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal23	NA	0	     0.0	    60.0	16	     0.5	     0.0	3	     0.1	     0.0	0	     0.0	     0.0	23	    59.3
Animal23	NA	1	     0.0	    60.0	16	     0.5	     0.0	3	     0.1	     0.0	0	     0.0	     0.0	0	     0.0
Animal24	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal24	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal25	Dose3A	0	     0.0	    60.0	83	    14.9	     0.0	172	    31.2	   501.9	123	    13.8	   608.9	2	     0.1
Animal25	Dose3A	1	     0.0	    60.0	83	    14.9	     0.0	172	    31.2	   501.9	123	    13.8	   608.9	0	     0.0
Animal26	Dose3A	0	     0.0	    60.0	77	    15.6	     0.0	175	    25.9	   414.1	145	    18.2	   981.6	6	     0.2
Animal26	Dose3A	1	     0.0	    60.0	77	    15.6	     0.0	175	    25.9	   414.1	145	    18.2	   981.6	0	     0.0
Animal27	Dose3A	0	     0.0	    60.0	63	    30.8	     0.0	99	    24.2	   399.9	49	     4.9	   340.4	3	     0.1
Animal27	Dose3A	1	     0.0	    60.0	63	    30.8	     0.0	99	    24.2	   399.9	49	     4.9	   340.4	0	     0.0
Animal28	Dose3B	0	     0.0	    60.0	75	    17.1	     0.0	169	    31.3	   478.7	105	    11.6	   675.3	1	     0.0
Animal28	Dose3B	1	     0.0	    60.0	75	    17.1	     0.0	169	    31.3	   478.7	105	    11.6	   675.3	0	     0.0
Animal29	Dose3B	0	     0.0	    60.0	80	    13.4	     0.0	212	    33.8	   609.6	163	    12.6	   698.1	5	     0.2
Animal29	Dose3B	1	     0.0	    60.0	80	    13.4	     0.0	212	    33.8	   609.6	163	    12.6	   698.1	0	     0.0
Animal30	Dose3B	0	     0.0	    60.0	69	    16.0	     0.0	154	    27.1	   442.0	111	    16.7	  1093.7	5	     0.2
Animal30	Dose3B	1	     0.0	    60.0	69	    16.0	     0.0	154	    27.1	   442.0	111	    16.7	  1093.7	0	     0.0
Animal31	Dose3C	0	     0.0	    60.0	71	    16.4	     0.0	170	    27.6	   456.0	128	    15.6	   897.6	6	     0.3
Animal31	Dose3C	1	     0.0	    60.0	71	    16.4	     0.0	170	    27.6	   456.0	128	    15.6	   897.6	0	     0.0
Animal32	Dose3C	0	     0.0	    60.0	81	    15.2	     0.0	164	    22.9	   360.1	134	    21.5	  1160.6	10	     0.4
Animal32	Dose3C	1	     0.0	    60.0	81	    15.2	     0.0	164	    22.9	   360.1	134	    21.5	  1160.6	0	     0.0
Animal33	Dose3C	0	     0.0	    60.0	85	    17.6	     0.0	174	    24.1	   381.6	140	    17.4	  1209.0	20	     0.8
Animal33	Dose3C	1	     0.0	    60.0	85	    17.6	     0.0	174	    24.1	   381.6	140	    17.4	  1209.0	0	     0.0
Animal34	NA	0	     0.0	    60.0	11	     0.5	     0.0	302	    16.4	   401.4	194	     8.5	   331.2	288	    34.5
Animal34	NA	1	     0.0	    60.0	11	     0.5	     0.0	302	    16.4	   401.4	194	     8.5	   331.2	0	     0.0
Animal35	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal35	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal36	NA	0	     0.0	    60.0	74	     2.5	     0.0	1	     0.1	     0.0	0	     0.0	     0.0	79	    57.3
Animal36	NA	1	     0.0	    60.0	74	     2.5	     0.0	1	     0.1	     0.0	0	     0.0	     0.0	0	     0.0
Animal37	Dose4A	0	     0.0	    60.0	91	    12.7	     0.0	203	    29.0	   462.7	156	    17.9	   868.2	11	     0.4
Animal37	Dose4A	1	     0.0	    60.0	91	    12.7	     0.0	203	    29.0	   462.7	156	    17.9	   868.2	0	     0.0
Animal38	Dose4A	0	     0.0	    60.0	37	     2.5	     0.0	232	    48.9	   980.7	203	     8.6	   225.0	0	     0.0
Animal38	Dose4A	1	     0.0	    60.0	37	     2.5	     0.0	232	    48.9	   980.7	203	     8.6	   225.0	0	     0.0
Animal39	Dose4A	0	     0.0	    60.0	82	    27.4	     0.0	84	    32.3	   481.4	2	     0.2	     8.8	0	     0.0
Animal39	Dose4A	1	     0.0	    60.0	82	    27.4	     0.0	84	    32.3	   481.4	2	     0.2	     8.8	0	     0.0
Animal40	Dose4B	0	     0.0	    60.0	47	    37.0	     0.0	55	    22.1	   333.5	14	     0.9	    33.6	0	     0.0
Animal40	Dose4B	1	     0.0	    60.0	47	    37.0	     0.0	55	    22.1	   333.5	14	     0.9	    33.6	0	     0.0
Animal41	Dose4B	0	     0.0	    60.0	82	    15.3	     0.0	167	    28.7	   454.7	119	    15.6	  1002.6	13	     0.4
Animal41	Dose4B	1	     0.0	    60.0	82	    15.3	     0.0	167	    28.7	   454.7	119	    15.6	  1002.6	0	     0.0
Animal42	Dose4B	0	     0.0	    60.0	33	    48.6	     0.0	49	     8.6	   143.3	24	     2.8	   121.8	0	     0.0
Animal42	Dose4B	1	     0.0	    60.0	33	    48.6	     0.0	49	     8.6	   143.3	24	     2.8	   121.8	0	     0.0
Animal43	Dose4C	0	     0.0	    60.0	88	    19.8	     0.0	147	    37.6	   626.1	61	     2.5	    77.1	0	     0.0
Animal43	Dose4C	1	     0.0	    60.0	88	    19.8	     0.0	147	    37.6	   626.1	61	     2.5	    77.1	0	     0.0
Animal44	Dose4C	0	     0.0	    60.0	82	    17.1	     0.0	167	    27.9	   435.4	118	    12.0	   538.6	7	     2.9
Animal44	Dose4C	1	     0.0	    60.0	82	    17.1	     0.0	167	    27.9	   435.4	118	    12.0	   538.6	0	     0.0
Animal45	Dose4C	0	     0.0	    60.0	62	    18.3	     0.0	157	    30.3	   510.4	116	    11.1	   679.0	7	     0.3
Animal45	Dose4C	1	     0.0	    60.0	62	    18.3	     0.0	157	    30.3	   510.4	116	    11.1	   679.0	0	     0.0
Animal46	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal46	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal47	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal47	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal48	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal48	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal49	Dose5A	0	     0.0	    60.0	68	     9.7	     0.0	228	    31.9	   604.7	205	    18.1	   810.3	7	     0.3
Animal49	Dose5A	1	     0.0	    60.0	68	     9.7	     0.0	228	    31.9	   604.7	205	    18.1	   810.3	0	     0.0
Animal50	Dose5A	0	     0.0	    60.0	82	    14.9	     0.0	174	    24.9	   392.5	147	    19.8	  1068.6	11	     0.4
