animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal01	Dose1A	0	     0.0	    60.0	55	     7.2	     0.0	212	    27.6	   533.9	207	    17.1	  1208.0	74	     8.0
Animal01	Dose1A	1	     0.0	    60.0	55	     7.2	     0.0	212	    27.6	   533.9	207	    17.1	  1208.0	0	     0.0
Animal02	Dose1A	0	     0.0	    60.0	75	    10.6	     0.0	188	    27.0	   488.9	169	    21.8	  1465.2	17	     0.6
Animal02	Dose1A	1	     0.0	    60.0	75	    10.6	     0.0	188	    27.0	   488.9	169	    21.8	  1465.2	0	     0.0
Animal03	Dose1A	0	     0.0	    60.0	78	    13.6	     0.0	162	    24.4	   410.6	126	    21.4	  1459.7	14	     0.6
Animal03	Dose1A	1	     0.0	    60.0	78	    13.6	     0.0	162	    24.4	   410.6	126	    21.4	  1459.7	0	     0.0
Animal04	Dose1B	0	     0.0	    60.0	78	    11.4	     0.0	177	    26.6	   422.9	154	    21.4	  1616.2	17	     0.6
Animal04	Dose1B	1	     0.0	    60.0	78	    11.4	     0.0	177	    26.6	   422.9	154	    21.4	  1616.2	0	     0.0
Animal05	Dose1B	0	     0.0	    60.0	77	    13.4	     0.0	181	    26.4	   427.3	165	    18.4	  1482.9	35	     1.8
Animal05	Dose1B	1	     0.0	    60.0	77	    13.4	     0.0	181	    26.4	   427.3	165	    18.4	  1482.9	0	     0.0
Animal06	Dose1B	0	     0.0	    60.0	88	    15.9	     0.0	166	    31.1	   503.3	107	    11.4	   577.8	6	     1.6
Animal06	Dose1B	1	     0.0	    60.0	88	    15.9	     0.0	166	    31.1	   503.3	107	    11.4	   577.8	0	     0.0
Animal07	Dose1C	0	     0.0	    60.0	70	    11.8	     0.0	200	    35.8	   653.1	146	    12.4	   627.5	1	     0.0
Animal07	Dose1C	1	     0.0	    60.0	70	    11.8	     0.0	200	    35.8	   653.1	146	    12.4	   627.5	0	     0.0
Animal08	Dose1C	0	     0.0	    60.0	49	    37.2	     0.0	83	    16.9	   246.2	52	     5.0	   600.2	14	     0.8
Animal08	Dose1C	1	     0.0	    60.0	49	    37.2	     0.0	83	    16.9	   246.2	52	     5.0	   600.2	0	     0.0
Animal09	Dose1C	0	     0.0	    60.0	90	    33.2	     0.0	102	    26.3	   366.2	12	     0.6	    14.1	0	     0.0
Animal09	Dose1C	1	     0.0	    60.0	90	    33.2	     0.0	102	    26.3	   366.2	12	     0.6	    14.1	0	     0.0
Animal10	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	2	    60.0
Animal10	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal11	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	2	    60.0
Animal11	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal12	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal12	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal13	Dose2A	0	     0.0	    60.0	63	    28.9	     0.0	113	    27.4	   440.3	59	     3.7	   168.7	0	     0.0
Animal13	Dose2A	1	     0.0	    60.0	63	    28.9	     0.0	113	    27.4	   440.3	59	     3.7	   168.7	0	     0.0
Animal14	Dose2A	0	     0.0	    60.0	74	    10.6	     0.0	211	    33.7	   575.9	171	    14.5	   650.3	8	     1.3
Animal14	Dose2A	1	     0.0	    60.0	74	    10.6	     0.0	211	    33.7	   575.9	171	    14.5	   650.3	0	     0.0
Animal15	Dose2A	0	     0.0	    60.0	84	    15.6	     0.0	165	    22.1	   332.2	126	    21.7	  1424.3	12	     0.6
Animal15	Dose2A	1	     0.0	    60.0	84	    15.6	     0.0	165	    22.1	   332.2	126	    21.7	  1424.3	0	     0.0
Animal16	Dose2B	0	     0.0	    60.0	89	    12.4	     0.0	149	    40.5	   642.4	74	     7.0	   360.8	0	     0.0
Animal16	Dose2B	1	     0.0	    60.0	89	    12.4	     0.0	149	    40.5	   642.4	74	     7.0	   360.8	0	     0.0
Animal17	Dose2B	0	     0.0	    60.0	73	     8.3	     0.0	222	    22.6	   327.2	196	    28.5	  1556.2	13	     0.6
Animal17	Dose2B	1	     0.0	    60.0	73	     8.3	     0.0	222	    22.6	   327.2	196	    28.5	  1556.2	0	     0.0
Animal18	Dose2B	0	     0.0	    60.0	82	    18.8	     0.0	152	    24.4	   366.0	104	    16.7	   933.8	5	     0.2
Animal18	Dose2B	1	     0.0	    60.0	82	    18.8	     0.0	152	    24.4	   366.0	104	    16.7	   933.8	0	     0.0
Animal19	Dose2C	0	     0.0	    60.0	87	    15.3	     0.0	150	    24.9	   374.4	113	    19.3	  1418.6	14	     0.5
Animal19	Dose2C	1	     0.0	    60.0	87	    15.3	     0.0	150	    24.9	   374.4	113	    19.3	  1418.6	0	     0.0
Animal20	Dose2C	0	     0.0	    60.0	77	    12.7	     0.0	146	    42.1	   709.5	81	     5.1	   295.3	4	     0.1
Animal20	Dose2C	1	     0.0	    60.0	77	    12.7	     0.0	146	    42.1	   709.5	81	     5.1	   295.3	0	     0.0
Animal21	Dose2C	0	     0.0	    60.0	82	    11.3	     0.0	178	    43.4	   744.6	106	     5.2	   227.9	3	     0.1
Animal21	Dose2C	1	     0.0	    60.0	82	    11.3	     0.0	178	    43.4	   744.6	106	     5.2	   227.9	0	     0.0
Animal22	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal22	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal23	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal23	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal24	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal24	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal25	Dose3A	0	     0.0	    60.0	88	    18.0	     0.0	166	    25.7	   383.5	122	    16.0	   832.9	6	     0.2
Animal25	Dose3A	1	     0.0	    60.0	88	    18.0	     0.0	166	    25.7	   383.5	122	    16.0	   832.9	0	     0.0
Animal26	Dose3A	0	     0.0	    60.0	77	    13.3	     0.0	159	    25.3	   409.7	138	    20.3	  1621.4	25	     1.1
Animal26	Dose3A	1	     0.0	    60.0	77	    13.3	     0.0	159	    25.3	   409.7	138	    20.3	  1621.4	0	     0.0
Animal27	Dose3A	0	     0.0	    60.0	70	    12.5	     0.0	163	    25.8	   432.4	139	    20.9	  1682.9	21	     0.9
Animal27	Dose3A	1	     0.0	    60.0	70	    12.5	     0.0	163	    25.8	   432.4	139	    20.9	  1682.9	0	     0.0
Animal28	Dose3B	0	     0.0	    60.0	79	    12.9	     0.0	182	    25.7	   450.1	153	    20.4	  1315.1	24	     0.9
Animal28	Dose3B	1	     0.0	    60.0	79	    12.9	     0.0	182	    25.7	   450.1	153	    20.4	  1315.1	0	     0.0
Animal29	Dose3B	0	     0.0	    60.0	72	    13.7	     0.0	154	    31.0	   503.7	116	    14.9	   891.0	11	     0.4
Animal29	Dose3B	1	     0.0	    60.0	72	    13.7	     0.0	154	    31.0	   503.7	116	    14.9	   891.0	0	     0.0
Animal30	Dose3B	0	     0.0	    60.0	75	    14.6	     0.0	183	    24.9	   386.0	144	    19.9	  1105.2	14	     0.5
Animal30	Dose3B	1	     0.0	    60.0	75	    14.6	     0.0	183	    24.9	   386.0	144	    19.9	  1105.2	0	     0.0
