animal	Treatment	an	start	end	inact	inadur	inadist	smlct	smldur	smldist	larct	lardur	lardist	emptyct	emptydur
Animal01	Dose1A	0	     0.0	    60.0	51	     8.2	     0.0	176	    33.5	   590.5	152	    14.0	  1255.0	57	     4.3
Animal01	Dose1A	1	     0.0	    60.0	51	     8.2	     0.0	176	    33.5	   590.5	152	    14.0	  1255.0	0	     0.0
Animal02	Dose1A	0	     0.0	    60.0	89	    15.0	     0.0	175	    22.1	   334.0	142	    22.6	  1409.8	8	     0.3
Animal02	Dose1A	1	     0.0	    60.0	89	    15.0	     0.0	175	    22.1	   334.0	142	    22.6	  1409.8	0	     0.0
Animal03	Dose1A	0	     0.0	    60.0	82	    13.7	     0.0	153	    27.3	   419.1	128	    18.1	  1563.4	25	     0.9
Animal03	Dose1A	1	     0.0	    60.0	82	    13.7	     0.0	153	    27.3	   419.1	128	    18.1	  1563.4	0	     0.0
Animal04	Dose1B	0	     0.0	    60.0	84	    18.0	     0.0	159	    23.8	   344.2	113	    17.6	  1155.8	15	     0.5
Animal04	Dose1B	1	     0.0	    60.0	84	    18.0	     0.0	159	    23.8	   344.2	113	    17.6	  1155.8	0	     0.0
Animal05	Dose1B	0	     0.0	    60.0	66	     8.0	     0.0	188	    40.3	   737.7	144	    11.5	   573.1	6	     0.2
Animal05	Dose1B	1	     0.0	    60.0	66	     8.0	     0.0	188	    40.3	   737.7	144	    11.5	   573.1	0	     0.0
Animal06	Dose1B	0	     0.0	    60.0	87	    14.5	     0.0	159	    19.6	   306.3	148	    24.7	  1816.9	13	     1.1
Animal06	Dose1B	1	     0.0	    60.0	87	    14.5	     0.0	159	    19.6	   306.3	148	    24.7	  1816.9	0	     0.0
Animal07	Dose1C	0	     0.0	    60.0	91	    22.6	     0.0	139	    25.0	   358.9	82	    12.1	   795.5	9	     0.4
Animal07	Dose1C	1	     0.0	    60.0	91	    22.6	     0.0	139	    25.0	   358.9	82	    12.1	   795.5	0	     0.0
Animal08	Dose1C	0	     0.0	    60.0	83	    12.4	     0.0	167	    21.0	   324.9	156	    26.0	  1712.0	16	     0.5
Animal08	Dose1C	1	     0.0	    60.0	83	    12.4	     0.0	167	    21.0	   324.9	156	    26.0	  1712.0	0	     0.0
Animal09	Dose1C	0	     0.0	    60.0	83	    17.8	     0.0	161	    24.3	   366.5	118	    17.8	   979.4	5	     0.2
Animal09	Dose1C	1	     0.0	    60.0	83	    17.8	     0.0	161	    24.3	   366.5	118	    17.8	   979.4	0	     0.0
Animal10	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal10	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal11	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal11	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal12	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal12	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal13	Dose2A	0	     0.0	    60.0	67	     9.7	     0.0	173	    20.7	   348.2	168	    28.7	  1983.6	21	     0.8
Animal13	Dose2A	1	     0.0	    60.0	67	     9.7	     0.0	173	    20.7	   348.2	168	    28.7	  1983.6	0	     0.0
Animal14	Dose2A	0	     0.0	    60.0	72	    24.8	     0.0	158	    28.0	   458.1	97	     6.9	   426.7	5	     0.3
Animal14	Dose2A	1	     0.0	    60.0	72	    24.8	     0.0	158	    28.0	   458.1	97	     6.9	   426.7	0	     0.0
Animal15	Dose2A	0	     0.0	    60.0	80	    19.2	     0.0	140	    33.4	   521.7	76	     7.3	   393.9	1	     0.0
Animal15	Dose2A	1	     0.0	    60.0	80	    19.2	     0.0	140	    33.4	   521.7	76	     7.3	   393.9	0	     0.0
Animal16	Dose2B	0	     0.0	    60.0	68	    14.7	     0.0	157	    32.5	   564.4	110	    12.7	   682.1	4	     0.1
Animal16	Dose2B	1	     0.0	    60.0	68	    14.7	     0.0	157	    32.5	   564.4	110	    12.7	   682.1	0	     0.0
Animal17	Dose2B	0	     0.0	    60.0	78	    15.4	     0.0	188	    26.7	   452.6	147	    17.0	  1421.1	21	     0.9
Animal17	Dose2B	1	     0.0	    60.0	78	    15.4	     0.0	188	    26.7	   452.6	147	    17.0	  1421.1	0	     0.0
Animal18	Dose2B	0	     0.0	    60.0	85	    11.8	     0.0	241	    32.9	   600.8	222	    13.0	   778.9	21	     2.2
Animal18	Dose2B	1	     0.0	    60.0	85	    11.8	     0.0	241	    32.9	   600.8	222	    13.0	   778.9	0	     0.0
Animal19	Dose2C	0	     0.0	    60.0	74	    14.5	     0.0	165	    26.1	   415.1	138	    18.2	  1305.2	19	     1.2
Animal19	Dose2C	1	     0.0	    60.0	74	    14.5	     0.0	165	    26.1	   415.1	138	    18.2	  1305.2	0	     0.0
Animal20	Dose2C	0	     0.0	    60.0	41	    50.8	     0.0	47	     7.9	   105.8	10	     1.3	    55.9	0	     0.0
Animal20	Dose2C	1	     0.0	    60.0	41	    50.8	     0.0	47	     7.9	   105.8	10	     1.3	    55.9	0	     0.0
Animal21	Dose2C	0	     0.0	    60.0	92	    15.2	     0.0	179	    24.9	   346.8	129	    19.9	   922.8	2	     0.1
Animal21	Dose2C	1	     0.0	    60.0	92	    15.2	     0.0	179	    24.9	   346.8	129	    19.9	   922.8	0	     0.0
Animal22	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal22	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
Animal23	NA	0	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	1	    60.0
Animal23	NA	1	     0.0	    60.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0	     0.0	0	     0.0
